time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,104.45,107.29,104.45,106.94,1100.0,1,0.0
2024-01-03,105.5,106.5,104.51,105.1,972.0,1,0.0
2024-01-04,105.25,107.69,104.67,106.02,1277.0,1,0.0
2024-01-05,105.33,108.18,105.1,107.18,1186.0,2,0.0
2024-01-08,107.24,108.92,106.78,108.84,1173.0,1,0.0
2024-01-09,107.21,108.99,107.1,108.26,1393.0,1,0.0
2024-01-10,107.95,109.87,107.1,109.42,1249.0,1,0.0
2024-01-11,108.59,109.95,108.16,109.59,1033.0,1,0.0
2024-01-12,109.78,110.26,108.31,108.96,914.0,1,0.0
2024-01-16,108.39,108.39,104.0,104.8,1255.0,1,0.0
2024-01-17,103.75,106.35,103.75,104.47,1158.0,1,0.0
2024-01-18,104.05,105.37,103.52,105.19,1140.0,1,0.0
2024-01-19,104.83,105.25,103.72,104.61,1342.0,1,0.0
2024-01-22,105.03,106.48,104.49,104.54,1207.0,1,0.0
2024-01-23,104.91,106.56,103.09,103.63,1035.0,1,0.0
2024-01-24,104.53,106.34,103.37,104.29,1247.0,1,0.0
2024-01-25,104.75,107.52,104.12,107.42,1274.0,1,0.0
2024-01-26,107.43,108.57,106.84,107.12,1207.0,1,0.0
2024-01-29,105.45,108.3,105.39,108.04,927.0,1,0.0
2024-01-30,107.86,109.08,107.44,107.51,971.0,1,0.0
2024-01-31,107.8,109.71,107.2,108.07,1161.0,1,0.0
2024-02-01,108.0,112.46,108.0,112.13,1643.0,1,0.0
2024-02-02,111.3,111.94,110.26,111.08,1497.0,1,0.0
2024-02-05,110.52,111.65,109.5,110.74,1049.0,1,0.0
2024-02-06,109.73,112.8,109.73,111.92,1248.0,1,0.0
2024-02-07,112.1,113.65,111.3,111.54,1251.0,2,0.0
2024-02-08,110.5,111.25,109.56,110.76,1143.0,1,0.0
2024-02-09,110.01,111.23,109.68,109.68,1116.0,1,0.0
2024-02-12,109.51,114.5,108.73,114.06,1914.0,1,0.0
2024-02-13,110.54,115.12,110.54,113.78,1576.0,2,0.0
2024-02-14,125.97,127.47,120.22,122.68,1971.0,1,0.0
2024-02-15,123.4,124.61,118.32,119.27,1564.0,1,0.0
2024-02-16,119.09,124.23,118.6,121.81,1516.0,2,0.0
2024-02-20,121.45,123.33,120.49,122.98,1303.0,1,0.0
2024-02-21,121.76,121.98,119.21,120.7,1364.0,1,0.0
2024-02-22,120.7,123.27,120.7,122.68,1396.0,1,0.0
2024-02-23,121.86,125.46,121.86,125.32,1440.0,1,0.0
