time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,22.53,23.05,22.5,22.82,2760.0,1,0.0
2024-01-03,22.4,22.74,22.11,22.48,2846.0,1,0.0
2024-01-04,22.37,22.68,22.25,22.29,2475.0,1,0.0
2024-01-05,22.28,22.96,22.12,22.54,2990.0,1,0.0
2024-01-08,22.37,23.31,22.37,23.2,2579.0,1,0.0
2024-01-09,22.8,23.28,22.8,23.09,2251.0,1,0.0
2024-01-10,22.82,23.33,22.82,23.27,1883.0,1,0.0
2024-01-11,23.16,23.72,23.07,23.71,2793.0,1,0.0
2024-01-12,23.76,24.46,23.76,24.19,3036.0,1,0.0
2024-01-16,23.83,23.95,23.3,23.61,3471.0,1,0.0
2024-01-17,22.53,22.72,22.24,22.42,3372.0,1,0.0
2024-01-18,22.45,22.85,22.28,22.8,3088.0,1,0.0
2024-01-19,22.81,23.1,22.77,22.99,2734.0,1,0.0
2024-01-22,23.31,23.47,23.22,23.33,2769.0,1,0.0
2024-01-23,23.48,23.71,23.06,23.12,2232.0,1,0.0
2024-01-24,22.78,23.25,22.71,22.79,2503.0,1,0.0
2024-01-25,22.88,23.44,22.88,23.19,2756.0,1,0.0
2024-01-26,23.15,23.5,23.12,23.29,2240.0,1,0.0
2024-01-29,23.3,23.36,23.07,23.18,1949.0,1,0.0
2024-01-30,22.95,23.21,22.77,22.77,2145.0,1,0.0
2024-01-31,22.54,22.63,21.75,21.79,2502.0,1,0.0
2024-02-01,21.82,22.07,21.55,21.66,2656.0,1,0.0
2024-02-02,21.91,22.21,20.26,21.64,2174.0,1,0.0
2024-02-05,21.59,21.81,20.94,21.19,1194.0,1,0.0
2024-02-06,20.5,21.32,20.5,21.31,726.0,1,0.0
2024-02-07,21.3,21.6,21.11,21.34,1040.0,1,0.0
2024-02-08,21.21,22.42,21.14,22.04,1616.0,1,0.0
2024-02-09,21.87,22.52,21.87,22.14,1254.0,1,0.0
2024-02-12,22.05,22.56,21.95,22.47,1382.0,1,0.0
2024-02-13,21.73,22.23,21.41,21.76,1626.0,1,0.0
2024-02-14,21.89,21.95,21.43,21.45,1072.0,1,0.0
2024-02-15,21.56,22.2,21.56,22.14,975.0,1,0.0
2024-02-16,21.82,22.67,21.68,21.72,1484.0,1,0.0
2024-02-20,21.31,21.41,20.68,20.81,1120.0,1,0.0
2024-02-21,20.67,20.87,20.2,20.31,1239.0,1,0.0
2024-02-22,20.42,21.25,20.42,21.21,1243.0,1,0.0
2024-02-23,21.34,21.46,21.03,21.3,985.0,1,0.0
2024-02-26,21.11,21.69,20.96,21.59,1204.0,1,0.0
2024-02-27,21.62,21.86,21.36,21.81,1096.0,1,0.0
2024-02-28,21.6,21.88,21.53,21.58,844.0,1,0.0
2024-02-29,21.58,22.0,21.52,21.93,1017.0,1,0.0
2024-03-01,21.6,21.9,21.45,21.68,1115.0,1,0.0
2024-03-04,21.59,21.63,20.7,20.75,1147.0,1,0.0
2024-03-05,20.45,20.61,20.01,20.16,1275.0,1,0.0
2024-03-06,20.29,20.54,20.09,20.36,1101.0,1,0.0
2024-03-07,20.39,20.63,20.0,20.4,1075.0,1,0.0
2024-03-08,20.56,21.05,20.4,20.88,1396.0,1,0.0
2024-03-11,20.81,21.26,20.8,20.99,973.0,1,0.0
2024-03-12,20.93,21.15,20.75,21.03,768.0,1,0.0
2024-03-13,21.04,21.26,20.6,20.76,934.0,1,0.0
2024-03-14,20.56,20.8,20.3,20.49,985.0,0,0.0
2024-03-15,20.38,20.77,20.33,20.63,1354.0,1,0.0
2024-03-18,20.23,20.83,20.23,20.7,964.0,1,0.0
2024-03-19,20.42,20.85,20.35,20.81,975.0,1,0.0
2024-03-20,20.74,21.21,20.6,21.14,1000.0,1,0.0
2024-03-21,21.0,21.27,20.78,21.01,1102.0,1,0.0
2024-03-22,20.92,21.02,20.31,20.49,889.0,1,0.0
2024-03-25,20.45,20.84,20.45,20.64,778.0,1,0.0
2024-03-26,20.66,20.88,20.59,20.63,1418.0,1,0.0
2024-03-27,20.65,21.16,20.62,21.05,1738.0,1,0.0
2024-03-28,21.02,21.36,21.02,21.18,801.0,1,0.0
2024-04-01,21.13,21.15,20.85,21.02,700.0,1,0.0
2024-04-02,20.85,21.06,20.75,21.03,1123.0,1,0.0
2024-04-03,20.84,21.23,20.84,21.11,1613.0,1,0.0
2024-04-04,21.21,21.31,20.79,20.93,836.0,1,0.0
2024-04-05,20.7,20.81,20.43,20.46,810.0,1,0.0
2024-04-08,20.59,20.99,20.59,20.88,1740.0,1,0.0
2024-04-09,20.82,22.14,20.81,22.0,2221.0,1,0.0
2024-04-10,21.37,21.4,21.03,21.13,1267.0,0,0.0
2024-04-11,21.07,21.32,20.87,21.2,1097.0,1,0.0
2024-04-12,20.98,20.99,20.15,20.31,1024.0,1,0.0
2024-04-15,20.3,20.52,20.0,20.18,2242.0,1,0.0
2024-04-16,20.0,20.22,19.91,19.96,2563.0,1,0.0
2024-04-17,19.88,20.22,19.67,19.82,1795.0,1,0.0
2024-04-18,19.58,19.91,19.52,19.58,1826.0,0,0.0
2024-04-19,19.44,20.22,19.44,20.19,2212.0,1,0.0
2024-04-22,20.21,20.55,19.99,20.42,1866.0,1,0.0
2024-04-23,20.47,21.23,20.26,21.14,2079.0,1,0.0
2024-04-24,21.06,21.26,20.96,21.04,1715.0,1,0.0
2024-04-25,20.75,20.77,20.25,20.35,2235.0,1,0.0
2024-04-26,20.25,20.56,19.92,20.08,1615.0,1,0.0
2024-04-29,20.21,20.48,20.14,20.27,1436.0,1,0.0
2024-04-30,19.93,20.08,19.46,19.5,1549.0,1,0.0
2024-05-01,19.5,19.65,18.96,19.01,1032.0,1,0.0
2024-05-02,19.19,19.31,18.71,18.91,2619.0,1,0.0
2024-05-03,19.37,19.43,18.95,19.13,1021.0,0,0.0
2024-05-06,19.3,19.88,19.3,19.71,1784.0,1,0.0
2024-05-07,19.63,19.97,19.52,19.7,1027.0,1,0.0
2024-05-08,19.4,19.97,19.4,19.87,1426.0,1,0.0
2024-05-09,19.66,19.79,19.33,19.64,1596.0,1,0.0
2024-05-10,19.59,19.75,19.35,19.44,1232.0,1,0.0
2024-05-13,19.6,19.9,19.37,19.54,1535.0,1,0.0
2024-05-14,19.61,19.84,19.55,19.79,811.0,1,0.0
2024-05-15,19.94,20.04,19.44,19.72,2406.0,1,0.0
2024-05-16,19.71,20.18,19.71,19.83,1461.0,1,0.0
2024-05-17,15.66,16.89,15.66,16.51,3401.0,1,0.0
2024-05-20,16.31,16.42,15.9,16.16,2030.0,1,0.0
2024-05-21,15.75,15.95,15.44,15.92,1539.0,1,0.0
2024-05-22,15.78,16.49,15.78,16.36,1717.0,1,0.0
2024-05-23,16.41,16.43,15.83,15.95,1192.0,1,0.0
2024-05-24,15.83,15.93,15.41,15.62,1225.0,0,0.0
2024-05-28,15.5,15.61,15.16,15.17,1183.0,1,0.0
2024-05-29,14.93,15.2,14.86,15.08,1344.0,1,0.0
2024-05-30,15.05,15.19,14.78,15.15,1665.0,1,0.0
2024-05-31,15.17,15.67,15.15,15.53,1108.0,1,0.0
2024-06-03,15.61,15.74,15.4,15.71,1223.0,1,0.0
2024-06-04,15.52,15.67,15.26,15.48,1203.0,1,0.0
2024-06-05,15.52,15.61,15.28,15.45,1016.0,1,0.0
2024-06-06,15.4,15.88,15.4,15.81,965.0,1,0.0
2024-06-07,15.64,16.63,15.55,16.58,1804.0,1,0.0
2024-06-10,16.35,19.39,16.25,18.67,2702.0,1,0.0
2024-06-11,18.88,18.88,17.9,18.4,3142.0,1,0.0
2024-06-12,18.48,19.68,18.48,18.93,3076.0,1,0.0
2024-06-13,18.83,19.12,18.47,18.72,1884.0,1,0.0
2024-06-14,18.26,18.39,17.82,17.89,1535.0,1,0.0
2024-06-17,17.68,18.15,17.5,17.97,1209.0,1,0.0
