time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,195.19,198.09,195.0,197.65,1390.0,1,0.0
2024-01-03,195.96,197.51,195.0,195.89,1275.0,2,0.0
2024-01-04,194.26,197.32,194.26,195.16,1147.0,2,0.0
2024-01-05,194.88,196.06,194.0,194.92,1178.0,6,0.0
2024-01-08,193.71,195.83,192.73,195.78,983.0,2,0.0
2024-01-09,193.69,196.0,193.25,195.6,1043.0,6,0.0
2024-01-10,195.93,197.81,195.26,197.31,910.0,5,0.0
2024-01-11,197.39,198.0,195.84,197.93,1508.0,1,0.0
2024-01-12,197.79,199.0,197.19,198.61,1075.0,1,0.0
2024-01-16,198.0,199.65,197.36,199.37,1218.0,2,0.0
2024-01-17,195.0,198.76,195.0,197.38,1217.0,2,0.0
2024-01-18,197.18,200.74,197.18,200.38,1193.0,1,0.0
2024-01-19,200.0,200.02,197.95,199.44,1035.0,3,0.0
2024-01-22,199.87,202.13,199.87,201.0,1344.0,2,0.0
2024-01-23,200.87,201.22,198.61,198.98,1183.0,1,0.0
2024-01-24,198.21,199.45,196.12,196.25,1268.0,4,0.0
2024-01-25,195.43,198.6,195.43,198.3,1173.0,1,0.0
2024-01-26,198.03,199.6,197.29,198.11,992.0,2,0.0
2024-01-29,197.05,199.12,196.0,199.1,736.0,2,0.0
2024-01-30,198.0,200.91,198.0,200.29,881.0,1,0.0
2024-01-31,199.16,200.7,197.0,198.07,1525.0,3,0.0
2024-02-01,197.32,199.89,196.0,199.89,1265.0,1,0.0
2024-02-02,197.54,200.47,196.46,199.17,1325.0,2,0.0
2024-02-05,195.88,197.84,195.5,195.5,2207.0,1,0.0
2024-02-06,195.0,200.23,195.0,199.6,2594.0,1,0.0
2024-02-07,199.96,203.26,199.65,202.46,1810.0,1,0.0
2024-02-08,202.5,202.71,201.22,202.39,2278.0,2,0.0
2024-02-09,201.02,203.16,200.38,202.42,2795.0,2,0.0
2024-02-12,202.06,203.88,201.69,202.74,2096.0,1,0.0
2024-02-13,213.18,221.4,212.79,220.81,3487.0,1,0.0
2024-02-14,220.75,220.76,216.04,216.18,2780.0,1,0.0
2024-02-15,217.11,217.89,214.2,216.32,2786.0,1,0.0
2024-02-16,216.0,217.41,214.08,215.17,2002.0,2,0.0
2024-02-20,213.02,216.91,213.02,215.83,2152.0,1,0.0
2024-02-21,215.09,217.63,215.09,216.65,2593.0,2,0.0
2024-02-22,216.95,220.7,216.29,219.82,1673.0,2,0.0
2024-02-23,219.7,222.45,218.16,222.07,1542.0,2,0.0
2024-02-26,220.99,222.15,220.07,220.25,1673.0,2,0.0
2024-02-27,220.0,222.53,220.0,221.94,1730.0,3,0.0
2024-02-28,221.16,225.57,220.0,224.88,2012.0,1,0.0
2024-02-29,225.06,225.62,223.17,224.91,1800.0,1,0.0
2024-03-01,221.54,226.28,221.54,225.93,1879.0,2,0.0
2024-03-04,225.76,227.14,224.09,225.75,1784.0,1,0.0
2024-03-05,224.53,226.5,222.75,223.35,2139.0,1,0.0
2024-03-06,223.23,224.23,222.52,223.54,2233.0,2,0.0
2024-03-07,223.66,226.26,223.54,224.5,1889.0,2,0.0
2024-03-08,224.45,226.11,223.07,223.07,2366.0,2,0.0
2024-03-11,222.6,223.76,221.75,223.48,1936.0,2,0.0
2024-03-12,223.01,224.15,223.0,223.43,1651.0,2,0.0
2024-03-13,223.0,225.91,223.0,224.91,1600.0,2,0.0
2024-03-14,223.82,225.77,223.62,224.51,2143.0,3,0.0
2024-03-15,223.14,227.0,222.63,226.65,2761.0,1,0.0
2024-03-18,227.28,229.5,226.63,228.06,1978.0,2,0.0
2024-03-19,227.72,228.8,225.17,227.42,2320.0,2,0.0
2024-03-20,226.76,229.65,225.85,228.44,1900.0,3,0.0
2024-03-21,227.44,229.32,226.51,228.49,1948.0,1,0.0
2024-03-22,228.77,229.77,228.0,229.39,1489.0,1,0.0
2024-03-25,227.94,228.63,226.6,227.0,1570.0,2,0.0
2024-03-26,227.01,228.83,226.54,227.91,1752.0,3,0.0
2024-03-27,230.05,231.41,228.49,231.19,1643.0,2,0.0
2024-03-28,230.18,231.31,229.89,230.79,1285.0,3,0.0
2024-04-01,229.21,230.08,227.03,228.18,1733.0,2,0.0
2024-04-02,227.46,228.42,226.65,227.43,1842.0,2,0.0
2024-04-03,228.42,229.14,226.74,227.76,1907.0,3,0.0
2024-04-04,229.67,230.03,224.2,224.39,2008.0,2,0.0
2024-04-05,224.81,228.19,224.58,227.47,2376.0,2,0.0
2024-04-08,228.42,228.42,225.29,226.37,1570.0,3,0.0
2024-04-09,226.21,226.33,224.0,225.68,1799.0,2,0.0
2024-04-10,221.99,223.86,221.0,222.48,3042.0,1,0.0
2024-04-11,222.16,222.35,220.86,220.89,3342.0,2,0.0
2024-04-12,221.99,221.99,219.06,221.21,2243.0,3,0.0
2024-04-15,222.28,222.44,218.17,218.73,2090.0,2,0.0
2024-04-16,218.14,221.55,217.78,220.08,2468.0,2,0.0
2024-04-17,220.13,220.29,217.24,219.08,2258.0,3,0.0
2024-04-18,218.97,220.29,217.14,218.69,2449.0,3,0.0
2024-04-19,219.11,219.78,217.0,217.73,2909.0,2,0.0
