time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,98.95,101.08,98.69,100.35,526.0,4,0.0
2024-01-03,98.73,99.02,95.83,96.61,581.0,4,0.0
2024-01-04,95.14,97.18,94.61,97.03,511.0,4,0.0
2024-01-05,95.01,98.51,95.01,98.09,652.0,5,0.0
2024-01-08,97.55,100.37,97.4,100.07,351.0,2,0.0
2024-01-09,97.95,100.15,97.06,99.03,378.0,7,0.0
2024-01-10,96.49,99.56,96.49,98.74,345.0,7,0.0
2024-01-11,97.78,99.12,97.0,98.89,560.0,3,0.0
2024-01-12,98.85,99.93,98.54,99.3,402.0,7,0.0
2024-01-16,98.01,99.37,97.0,99.08,377.0,7,0.0
2024-01-17,97.0,98.38,97.0,97.83,463.0,6,0.0
2024-01-18,97.59,98.73,97.07,98.49,291.0,6,0.0
2024-01-19,97.38,99.59,97.38,99.5,478.0,5,0.0
2024-01-22,99.7,101.3,99.06,100.92,338.0,1,0.0
2024-01-23,100.18,101.74,99.42,100.14,316.0,5,0.0
2024-01-24,99.85,100.47,97.19,97.81,526.0,1,0.0
2024-01-25,97.43,99.19,97.43,98.78,451.0,3,0.0
2024-01-26,98.73,99.95,98.09,99.11,426.0,1,0.0
2024-01-29,98.36,101.16,97.48,100.94,355.0,1,0.0
2024-01-30,99.49,101.17,98.76,100.73,492.0,1,0.0
2024-01-31,99.37,101.41,99.02,99.7,482.0,9,0.0
2024-02-01,100.92,104.32,100.57,103.85,759.0,4,0.0
2024-02-02,102.28,103.29,101.67,102.7,653.0,5,0.0
2024-02-05,100.74,102.83,100.0,102.04,539.0,6,0.0
2024-02-06,101.01,103.41,101.01,102.86,796.0,3,0.0
2024-02-07,104.0,105.76,100.0,103.28,583.0,3,0.0
2024-02-08,102.3,102.54,100.0,100.76,565.0,6,0.0
2024-02-09,100.0,103.95,100.0,103.95,485.0,2,0.0
2024-02-12,103.12,107.51,101.93,107.25,461.0,3,0.0
2024-02-13,103.61,106.64,103.61,104.7,614.0,9,0.0
2024-02-14,104.84,109.63,104.54,109.19,517.0,5,0.0
2024-02-15,109.41,111.06,108.73,110.32,500.0,4,0.0
2024-02-16,109.25,110.46,107.63,108.23,526.0,7,0.0
2024-02-20,105.87,107.58,105.12,107.38,413.0,5,0.0
2024-02-21,105.79,107.18,104.77,106.01,390.0,5,0.0
2024-02-22,106.35,107.61,105.43,107.09,417.0,4,0.0
2024-02-23,106.46,108.57,105.51,107.98,386.0,3,0.0
2024-02-26,105.99,108.96,105.26,107.32,481.0,3,0.0
2024-02-27,107.59,108.46,106.38,108.06,321.0,7,0.0
2024-02-28,104.94,109.43,104.94,109.13,369.0,5,0.0
2024-02-29,109.0,109.71,107.87,109.18,414.0,4,0.0
2024-03-01,107.89,109.46,107.52,108.77,687.0,6,0.0
2024-03-04,107.82,110.24,107.5,109.35,551.0,3,0.0
2024-03-05,108.14,109.53,107.32,108.43,439.0,6,0.0
2024-03-06,108.33,111.13,107.62,110.77,532.0,6,0.0
2024-03-07,110.59,112.05,110.32,111.74,718.0,6,0.0
2024-03-08,111.75,113.08,110.86,111.39,411.0,7,0.0
2024-03-11,110.58,113.71,110.5,111.76,372.0,6,0.0
2024-03-12,110.63,112.04,107.91,109.48,451.0,3,0.0
2024-03-13,108.26,108.93,105.74,106.44,527.0,4,0.0
2024-03-14,104.74,108.79,104.74,108.4,645.0,5,0.0
2024-03-15,107.7,109.33,106.4,107.26,431.0,7,0.0
2024-03-18,106.9,108.26,106.3,106.86,528.0,4,0.0
2024-03-19,106.17,108.2,106.0,107.63,369.0,3,0.0
2024-03-20,106.69,108.54,106.36,108.23,518.0,6,0.0
2024-03-21,108.14,110.53,107.73,109.59,365.0,5,0.0
2024-03-22,108.51,108.72,107.41,108.21,278.0,6,0.0
2024-03-25,107.56,108.91,106.79,108.42,261.0,7,0.0
2024-03-26,109.75,109.75,107.95,108.84,444.0,4,0.0
2024-03-27,109.08,111.04,108.16,110.99,360.0,6,0.0
2024-03-28,110.25,111.71,108.5,109.5,412.0,3,0.0
2024-04-01,108.04,109.56,107.83,108.63,413.0,4,0.0
2024-04-02,107.0,107.47,105.85,107.05,462.0,1,0.0
2024-04-03,104.6,108.0,104.6,106.56,335.0,8,0.0
2024-04-04,106.48,108.24,105.72,106.34,316.0,2,0.0
2024-04-05,105.4,108.29,105.4,107.7,265.0,2,0.0
2024-04-08,108.12,108.91,107.29,108.48,298.0,5,0.0
2024-04-09,108.25,110.43,107.82,109.89,246.0,10,0.0
2024-04-10,107.22,107.86,105.45,106.22,487.0,9,0.0
2024-04-11,105.27,106.52,103.6,105.86,455.0,3,0.0
2024-04-12,104.16,105.07,103.03,103.74,276.0,9,0.0
2024-04-15,103.72,103.78,100.66,101.8,489.0,6,0.0
2024-04-16,100.28,102.5,99.41,101.33,311.0,7,0.0
2024-04-17,101.61,102.28,100.85,100.91,348.0,7,0.0
2024-04-18,101.22,102.46,100.1,101.34,341.0,9,0.0
2024-04-19,100.85,103.02,100.71,102.6,469.0,2,0.0
2024-04-22,103.59,105.21,103.0,103.61,313.0,5,0.0
2024-04-23,103.89,106.29,103.07,105.5,398.0,2,0.0
2024-04-24,105.07,106.26,104.23,105.49,437.0,5,0.0
2024-04-25,104.51,104.61,102.14,103.23,405.0,4,0.0
2024-04-26,103.61,104.86,103.2,103.38,332.0,7,0.0
2024-04-29,102.94,105.19,102.65,104.39,386.0,8,0.0
2024-04-30,102.79,103.87,102.3,102.38,474.0,5,0.0
2024-05-01,106.17,109.15,100.93,104.35,588.0,4,0.0
2024-05-02,104.64,107.01,103.04,106.56,719.0,5,0.0
2024-05-03,107.88,110.06,107.3,109.84,376.0,3,0.0
2024-05-06,109.98,113.27,109.25,111.92,472.0,8,0.0
2024-05-07,113.09,114.39,111.7,112.06,421.0,5,0.0
2024-05-08,110.31,113.16,109.61,112.61,564.0,2,0.0
2024-05-09,111.28,114.07,111.28,114.07,415.0,6,0.0
2024-05-10,112.88,114.35,112.88,113.83,367.0,5,0.0
2024-05-13,113.32,115.76,112.56,113.54,376.0,4,0.0
2024-05-14,114.24,115.48,113.26,114.69,552.0,4,0.0
2024-05-15,115.04,115.83,114.26,114.94,413.0,5,0.0
2024-05-16,113.56,115.48,113.0,114.78,332.0,8,0.0
2024-05-17,115.33,115.69,114.27,115.0,349.0,6,0.0
2024-05-20,114.08,115.46,114.0,114.61,462.0,5,0.0
2024-05-21,113.39,114.74,113.29,113.96,295.0,3,0.0
2024-05-22,113.0,116.09,112.5,114.81,480.0,4,0.0
2024-05-23,113.96,114.61,112.89,113.55,483.0,7,0.0
2024-05-24,114.01,115.39,113.98,114.57,350.0,4,0.0
2024-05-28,113.93,114.44,111.87,112.46,393.0,6,0.0
2024-05-29,109.73,111.75,109.73,111.05,380.0,6,0.0
2024-05-30,110.63,113.69,110.41,113.38,402.0,9,0.0
2024-05-31,113.16,116.8,113.16,116.29,510.0,2,0.0
2024-06-03,116.0,117.1,114.44,115.71,431.0,7,0.0
2024-06-04,113.74,116.58,113.74,115.21,462.0,5,0.0
2024-06-05,115.5,115.5,113.7,114.38,248.0,5,0.0
2024-06-06,114.19,115.06,112.47,113.29,240.0,6,0.0
2024-06-07,111.21,113.2,111.21,112.49,316.0,7,0.0
2024-06-10,110.2,111.54,109.17,110.91,373.0,5,0.0
2024-06-11,110.07,110.26,108.01,109.91,369.0,7,0.0
2024-06-12,111.23,112.7,110.0,110.63,508.0,7,0.0
2024-06-13,108.63,109.88,107.73,108.86,410.0,4,0.0
2024-06-14,105.83,107.2,105.41,106.37,381.0,7,0.0
2024-06-17,105.75,107.34,105.75,106.75,267.0,11,0.0
2024-06-18,105.56,107.48,105.47,105.71,373.0,4,0.0
2024-06-20,105.03,108.13,105.03,107.69,376.0,8,0.0
2024-06-21,107.99,110.2,107.97,109.29,352.0,7,0.0
2024-06-24,108.58,111.46,108.34,110.27,360.0,4,0.0
2024-06-25,108.69,109.19,106.45,107.76,660.0,4,0.0
2024-06-26,105.82,107.68,105.26,106.43,493.0,3,0.0
2024-06-27,105.41,106.44,104.59,105.97,360.0,7,0.0
2024-06-28,105.66,105.87,102.35,103.2,627.0,6,0.0
2024-07-01,102.92,104.51,101.02,101.88,678.0,4,0.0
2024-07-02,101.25,103.41,101.25,103.29,505.0,5,0.0
2024-07-03,102.53,103.27,101.42,102.38,311.0,5,0.0
2024-07-05,102.47,102.92,101.25,101.77,561.0,5,0.0
2024-07-08,102.0,103.09,101.0,102.08,416.0,5,0.0
2024-07-09,100.81,101.98,100.07,100.32,378.0,5,0.0
2024-07-10,100.1,101.5,98.57,100.04,454.0,3,0.0
2024-07-11,100.11,103.2,100.0,102.58,583.0,4,0.0
2024-07-12,101.48,103.73,100.75,102.92,413.0,7,0.0
2024-07-15,101.84,105.69,101.56,104.19,612.0,6,0.0
2024-07-16,104.07,108.82,103.13,108.4,676.0,2,0.0
2024-07-17,106.22,108.64,105.73,107.42,612.0,4,0.0
2024-07-18,105.43,108.75,104.52,104.96,952.0,4,0.0
2024-07-19,95.02,102.16,92.02,101.82,1075.0,1,0.0
2024-07-22,101.31,104.1,100.53,102.74,539.0,1,0.0
2024-07-23,100.71,102.45,99.86,100.85,469.0,5,0.0
2024-07-24,99.16,100.82,97.95,98.24,435.0,6,0.0
2024-07-25,97.23,99.99,97.23,98.46,530.0,3,0.0
2024-07-26,97.47,100.62,97.4,99.96,411.0,4,0.0
2024-07-29,99.08,100.91,99.07,99.94,371.0,5,0.0
2024-07-30,99.83,102.6,99.53,101.17,320.0,2,0.0
2024-07-31,100.5,103.61,100.18,101.97,297.0,6,0.0
2024-08-01,101.22,101.53,98.45,99.31,394.0,4,0.0
2024-08-02,96.22,96.89,95.28,95.93,532.0,8,0.0
2024-08-05,90.9,94.33,90.9,92.5,469.0,9,0.0
2024-08-06,91.37,94.89,90.6,93.31,627.0,3,0.0
2024-08-07,93.73,97.58,93.73,95.56,477.0,4,0.0
2024-08-08,96.31,99.75,96.31,97.3,456.0,9,0.0
2024-08-09,95.91,98.01,95.91,97.58,428.0,3,0.0
2024-08-12,97.1,97.94,96.41,96.59,382.0,4,0.0
2024-08-13,96.55,101.02,95.91,99.74,457.0,4,0.0
2024-08-14,99.78,100.61,98.77,99.29,441.0,3,0.0
2024-08-15,99.99,101.83,99.73,101.03,352.0,4,0.0
2024-08-16,101.34,103.63,100.35,102.69,335.0,4,0.0
2024-08-19,102.35,103.66,101.75,103.19,309.0,5,0.0
2024-08-20,100.61,103.84,100.61,102.33,425.0,1,0.0
2024-08-21,102.39,104.6,101.12,104.05,438.0,3,0.0
2024-08-22,103.3,104.66,102.89,103.05,391.0,8,0.0
2024-08-23,102.19,106.34,102.19,105.07,494.0,2,0.0
2024-08-26,105.69,106.79,104.74,104.86,351.0,3,0.0
2024-08-27,104.84,106.32,103.41,105.66,326.0,5,0.0
2024-08-28,103.86,106.52,103.86,105.17,366.0,2,0.0
2024-08-29,104.88,107.84,104.08,106.73,343.0,5,0.0
2024-08-30,106.22,107.83,105.73,107.83,422.0,3,0.0
2024-09-03,107.69,108.18,104.6,104.97,470.0,3,0.0
2024-09-04,104.08,105.97,104.0,104.37,452.0,4,0.0
2024-09-05,104.0,105.08,101.96,102.13,375.0,3,0.0
2024-09-06,102.44,103.28,99.41,99.63,427.0,3,0.0
2024-09-09,99.54,100.22,97.68,98.44,488.0,3,0.0
2024-09-10,97.5,97.76,95.64,96.69,558.0,4,0.0
2024-09-11,96.07,97.18,94.45,97.03,473.0,7,0.0
2024-09-12,97.0,97.7,96.25,96.88,303.0,8,0.0
2024-09-13,97.22,99.65,96.76,98.74,401.0,4,0.0
2024-09-16,99.16,99.64,97.89,98.35,407.0,4,0.0
2024-09-17,98.94,100.49,98.15,99.31,495.0,4,0.0
2024-09-18,99.04,101.57,98.46,99.45,472.0,4,0.0
2024-09-19,99.45,101.44,99.37,100.24,365.0,4,0.0
