time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,95.34,95.74,94.83,95.25,4694,2,0
2024-01-03,94.08,94.5,93.62,94.22,7433,2,0
2024-01-04,93.89,94.74,93.7,94.14,4822,2,0
2024-01-05,93.87,94.9,93.59,93.99,5624,2,0
2024-01-08,94.35,95.42,94.24,95.38,3450,2,0
2024-01-09,94.55,94.98,94.39,94.64,3473,2,0
2024-01-10,95.31,95.84,95.1,95.7,5231,2,0
2024-01-11,95.94,96.11,94.74,95.74,8945,2,0
2024-01-12,96.43,96.69,95.97,96.21,6099,2,0
2024-01-16,94.92,95.22,94.34,94.61,5362,1,0
2024-01-17,93.35,93.78,92.52,93.77,6251,2,0
2024-01-18,94.3,94.88,94.0,94.88,5878,1,0
2024-01-19,94.52,95.21,94.19,95.17,4737,2,0
2024-01-22,95.5,95.81,95.19,95.49,4530,2,0
2024-01-23,94.98,95.36,94.79,95.3,2485,2,0
2024-01-24,96.46,96.76,95.96,96.07,5452,2,0
2024-01-25,95.88,96.51,95.88,96.5,5807,2,0
2024-01-26,97.19,97.47,96.82,97.13,4978,2,0
2024-01-29,97.0,97.94,96.85,97.84,3708,2,0
2024-01-30,97.75,97.76,97.15,97.59,4758,2,0
2024-01-31,97.98,98.34,96.27,97.1,9561,2,0
2024-02-01,97.5,98.55,97.05,98.5,5631,2,0
2024-02-02,97.47,97.81,97.06,97.76,5621,2,0
2024-02-05,97.0,97.71,96.54,97.46,5799,2,0
2024-02-06,97.33,98.1,97.11,98.0,3462,2,0
2024-02-07,98.04,98.43,97.94,98.24,3204,2,0
2024-02-08,98.41,98.45,97.85,98.36,3276,2,0
2024-02-09,98.58,99.16,97.96,99.1,3322,2,0
2024-02-12,98.87,99.32,98.66,98.92,2441,2,0
2024-02-13,97.22,97.81,96.86,97.24,4738,2,0
2024-02-14,98.08,98.7,97.67,98.68,3130,2,0
2024-02-15,99.37,99.82,99.15,99.81,3532,2,0
2024-02-16,99.74,100.42,99.17,99.89,4438,2,0
2024-02-20,100.43,100.48,99.67,100.18,2742,2,0
2024-02-21,99.3,100.13,99.3,100.07,3697,2,0
2024-02-22,101.07,101.62,100.56,101.56,3249,2,0
2024-02-23,101.81,101.97,101.44,101.75,3167,1,0
2024-02-26,102.01,102.01,101.51,101.84,2237,2,0
2024-02-27,101.68,102.0,101.34,101.91,2513,2,0
2024-02-28,101.07,101.36,100.81,101.25,1636,2,0
2024-02-29,101.74,101.9,100.8,101.43,3295,2,0
2024-03-01,101.87,102.77,101.45,102.74,2719,2,0
2024-03-04,102.48,102.88,102.06,102.67,2506,2,0
2024-03-05,102.49,102.72,101.6,101.87,3062,2,0
2024-03-06,102.87,103.65,102.59,103.31,5965,2,0
2024-03-07,104.08,104.97,103.77,104.83,3311,2,0
2024-03-08,104.88,104.99,103.7,103.88,5845,2,0
2024-03-11,103.48,103.54,102.93,103.43,3189,2,0
2024-03-12,103.57,104.6,103.12,104.6,5661,2,0
2024-03-13,104.39,104.66,104.1,104.46,2529,2,0
2024-03-14,104.32,104.49,103.01,103.55,8885,2,0
2024-03-15,103.1,103.56,102.69,103.13,2874,2,0
2024-03-18,103.49,103.53,102.98,103.18,1623,2,0
2024-03-19,102.73,103.37,102.53,102.99,1177,2,0
2024-03-20,103.1,104.3,102.9,104.23,4278,2,0
2024-03-21,104.27,104.49,103.93,104.16,4134,2,0
2024-03-22,103.74,103.99,103.42,103.84,829,2,0
2024-03-25,103.36,103.82,103.16,103.39,3437,2,0
2024-03-26,103.87,103.97,103.26,103.49,2083,2,0
2024-03-27,103.84,104.09,103.48,103.99,4060,2,0
2024-03-28,103.73,103.96,103.43,103.8,2950,2,0
2024-04-01,103.7,104.01,103.18,103.36,2533,2,0
2024-04-02,102.03,102.28,101.81,102.27,2820,2,0
2024-04-03,101.87,102.82,101.7,102.66,2451,2,0
2024-04-04,103.04,103.16,101.19,101.27,1916,2,0
2024-04-05,101.33,102.11,100.76,101.89,2288,2,0
2024-04-08,102.25,102.48,101.89,102.23,2259,2,0
2024-04-09,102.52,102.68,101.39,102.05,4157,2,0
2024-04-10,100.45,101.16,100.2,100.72,5185,2,0
2024-04-11,101.04,101.36,100.0,101.25,3029,2,0
2024-04-12,99.93,100.32,98.96,99.2,6859,2,0
2024-04-15,99.97,100.53,98.48,98.82,5827,2,0
2024-04-16,98.31,98.78,97.4,98.3,8308,2,0
2024-04-17,98.75,98.79,97.42,98.12,7401,2,0
2024-04-18,97.89,98.31,97.14,97.62,5365,2,0
2024-04-19,97.25,97.87,96.76,97.19,5403,2,0
2024-04-22,97.73,98.73,97.23,98.35,4297,2,0
2024-04-23,98.85,99.86,98.22,99.68,4342,2,0
2024-04-24,100.05,100.2,99.08,99.65,4932,2,0
2024-04-25,97.44,99.2,97.18,99.04,3642,2,0
2024-04-26,99.04,100.15,98.26,100.0,1360,2,0
2024-04-29,99.76,100.36,99.58,100.25,590,2,0
2024-04-30,99.32,100.16,98.69,98.86,2832,2,0
2024-05-01,98.51,99.9,97.63,98.3,2490,2,0
2024-05-02,99.65,100.06,98.88,99.85,2728,2,0
2024-05-03,100.88,101.28,100.31,101.11,4674,3,0
2024-05-06,101.11,101.86,100.99,101.82,1671,2,0
2024-05-07,101.99,102.4,101.99,102.19,2134,2,0
2024-05-08,101.67,102.27,101.6,102.15,1708,2,0
2024-05-09,102.06,102.92,101.41,102.67,1832,2,0
2024-05-10,103.01,103.24,102.33,102.9,1404,2,0
2024-05-13,102.32,103.11,102.32,102.85,992,2,0
2024-05-14,103.25,103.66,102.91,103.65,1663,3,0
2024-05-15,104.13,105.04,103.57,105.03,1817,2,0
2024-05-16,104.43,104.97,104.17,104.48,1832,2,0
