time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,240.2,243.61,237.14,239.18,1289.0,5,0.0
2024-01-03,236.75,236.75,230.0,233.01,1294.0,2,0.0
2024-01-04,230.56,236.98,230.56,234.34,1140.0,3,0.0
2024-01-05,230.87,238.31,230.87,236.66,966.0,1,0.0
2024-01-08,240.0,247.58,239.05,246.67,1256.0,3,0.0
2024-01-09,243.62,246.16,242.01,243.35,1895.0,3,0.0
2024-01-10,240.67,245.45,240.67,244.31,1430.0,4,0.0
2024-01-11,242.0,243.27,240.0,242.79,1351.0,4,0.0
2024-01-12,243.86,244.26,240.63,243.45,1099.0,5,0.0
2024-01-16,239.75,246.35,238.73,245.96,988.0,2,0.0
2024-01-17,240.51,244.55,240.51,244.05,1325.0,2,0.0
2024-01-18,245.26,247.25,241.44,244.83,1367.0,1,0.0
2024-01-19,243.26,246.94,242.73,245.26,1081.0,3,0.0
2024-01-22,248.21,250.07,245.91,247.8,1008.0,5,0.0
2024-01-23,249.5,250.04,246.88,248.78,880.0,5,0.0
2024-01-24,247.81,249.69,246.17,246.64,1013.0,4,0.0
2024-01-25,246.62,250.17,246.41,248.17,1191.0,5,0.0
2024-01-26,247.96,248.88,244.63,246.09,839.0,6,0.0
2024-01-29,244.44,249.77,244.07,249.7,1222.0,2,0.0
2024-01-30,246.23,250.27,246.23,247.89,801.0,5,0.0
2024-01-31,246.92,249.62,242.79,244.84,1423.0,7,0.0
2024-02-01,245.27,250.47,242.33,249.78,1532.0,4,0.0
2024-02-02,247.27,250.86,240.95,249.78,1418.0,5,0.0
2024-02-05,246.78,247.04,241.93,244.37,1690.0,3,0.0
2024-02-06,241.41,243.33,239.48,243.22,1289.0,3,0.0
2024-02-07,242.61,245.54,238.86,241.82,1412.0,4,0.0
2024-02-08,248.87,254.91,237.11,251.93,2041.0,1,0.0
2024-02-09,250.27,251.0,245.15,249.08,1400.0,4,0.0
2024-02-12,249.22,256.11,247.53,255.68,1297.0,3,0.0
2024-02-13,253.86,253.86,244.95,247.26,1839.0,6,0.0
2024-02-14,248.53,250.55,245.33,250.23,1596.0,3,0.0
2024-02-15,250.21,260.84,250.21,260.17,1700.0,4,0.0
