time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,471.0,480.54,471.0,478.89,2375.0,3,0.0
2024-01-03,481.83,487.5,477.92,481.13,2265.0,4,0.0
2024-01-04,481.61,488.55,481.02,484.18,2009.0,2,0.0
2024-01-05,482.96,485.2,477.01,480.0,1437.0,6,0.0
2024-01-08,480.07,484.48,468.87,478.67,1825.0,5,0.0
2024-01-09,478.66,483.81,474.62,482.66,1701.0,7,0.0
2024-01-10,482.63,482.63,478.0,480.3,1700.0,7,0.0
2024-01-11,479.38,482.31,476.18,481.53,1805.0,8,0.0
2024-01-12,470.53,477.18,469.5,474.91,2250.0,5,0.0
2024-01-16,475.4,476.75,470.69,472.83,2194.0,4,0.0
2024-01-17,474.0,483.25,474.0,475.66,1874.0,5,0.0
2024-01-18,449.14,470.24,449.0,469.48,3385.0,2,0.0
2024-01-19,466.95,469.82,462.28,463.53,2412.0,5,0.0
2024-01-22,465.31,474.4,464.6,472.77,2456.0,3,0.0
2024-01-23,471.44,476.84,470.33,472.01,2362.0,3,0.0
2024-01-24,486.01,495.18,473.54,474.16,2895.0,4,0.0
2024-01-25,469.1,480.3,461.59,480.13,4131.0,3,0.0
2024-01-26,478.36,484.89,478.36,483.56,3162.0,6,0.0
2024-01-29,481.67,487.18,479.71,486.82,2029.0,3,0.0
2024-01-30,488.57,492.65,486.55,492.23,1330.0,4,0.0
2024-01-31,493.91,497.09,489.24,493.91,2308.0,6,0.0
2024-02-01,488.34,496.81,487.5,495.07,2206.0,8,0.0
2024-02-02,491.92,497.5,490.28,495.92,2176.0,6,0.0
2024-02-05,495.98,495.98,488.42,489.83,1796.0,10,0.0
2024-02-06,489.35,495.68,486.28,492.63,1337.0,12,0.0
2024-02-07,495.51,501.84,495.43,497.39,1488.0,10,0.0
2024-02-08,499.53,503.65,498.0,501.82,1252.0,6,0.0
2024-02-09,500.31,506.6,499.61,505.12,1036.0,7,0.0
2024-02-12,503.16,506.83,502.0,504.9,1338.0,7,0.0
2024-02-13,504.68,511.93,503.03,505.1,1743.0,8,0.0
2024-02-14,504.04,507.07,501.19,505.52,1630.0,6,0.0
2024-02-15,504.56,510.62,504.56,508.69,1485.0,4,0.0
2024-02-16,508.84,514.14,505.43,511.98,1480.0,7,0.0
2024-02-20,511.0,514.9,508.0,508.79,1156.0,4,0.0
2024-02-21,505.38,509.62,505.38,508.75,1147.0,7,0.0
2024-02-22,509.63,512.21,506.0,511.94,1210.0,7,0.0
2024-02-23,510.0,514.12,508.3,514.03,1195.0,8,0.0
2024-02-26,514.34,516.38,505.45,506.2,1536.0,7,0.0
2024-02-27,503.72,509.0,502.84,506.5,1114.0,10,0.0
