time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,143.32,145.65,142.46,145.57,3073.0,1,0.0
2024-01-03,142.53,142.75,137.75,138.46,2160.0,1,0.0
2024-01-04,137.39,139.46,137.05,138.71,2637.0,1,0.0
2024-01-05,136.2,139.82,136.1,137.24,3374.0,1,0.0
2024-01-08,136.7,138.94,135.8,138.67,2622.0,1,0.0
2024-01-09,137.59,139.23,137.0,139.0,2266.0,1,0.0
2024-01-10,137.27,138.13,135.13,135.69,3307.0,1,0.0
2024-01-11,134.34,138.7,133.0,138.7,4299.0,1,0.0
2024-01-12,139.01,139.21,134.28,134.66,2403.0,1,0.0
2024-01-16,133.5,133.5,128.43,129.49,4454.0,1,0.0
2024-01-17,125.25,126.35,124.11,126.24,4075.0,1,0.0
2024-01-18,126.28,128.52,126.02,127.77,3297.0,1,0.0
2024-01-19,126.57,126.57,124.9,125.7,3548.0,1,0.0
2024-01-22,125.5,127.11,124.76,125.34,3369.0,1,0.0
2024-01-23,127.86,132.69,127.5,128.19,3255.0,2,0.0
2024-01-24,128.53,129.62,126.11,126.24,3372.0,1,0.0
2024-01-25,126.5,129.48,125.55,128.65,4253.0,1,0.0
2024-01-26,133.2,134.7,130.85,130.85,3393.0,1,0.0
2024-01-29,130.8,135.49,129.8,135.45,3888.0,1,0.0
2024-01-30,133.55,136.42,132.19,133.91,3020.0,1,0.0
2024-01-31,133.07,134.96,131.28,131.83,3208.0,2,0.0
2024-02-01,133.0,134.84,131.25,134.6,4071.0,1,0.0
2024-02-02,131.0,135.78,130.0,134.1,5523.0,1,0.0
2024-02-05,157.94,158.05,149.8,150.12,6427.0,1,0.0
2024-02-06,147.59,151.07,145.1,145.64,4805.0,1,0.0
2024-02-07,146.5,146.99,141.16,141.8,3742.0,1,0.0
2024-02-08,141.23,142.3,138.0,140.38,3229.0,1,0.0
2024-02-09,140.81,145.1,140.5,143.36,3268.0,1,0.0
2024-02-12,144.41,147.39,143.6,145.76,3262.0,1,0.0
2024-02-13,142.89,144.48,140.15,141.84,2865.0,1,0.0
2024-02-14,143.0,145.24,142.0,142.28,2698.0,1,0.0
2024-02-15,143.98,147.46,143.14,145.34,3242.0,1,0.0
2024-02-16,144.75,147.63,144.75,145.89,3046.0,1,0.0
2024-02-20,143.12,145.2,143.0,144.56,2874.0,1,0.0
2024-02-21,144.0,147.54,144.0,147.13,2588.0,1,0.0
2024-02-22,146.0,150.83,146.0,148.63,2629.0,0,0.0
2024-02-23,149.11,151.66,148.09,150.01,2526.0,1,0.0
2024-02-26,148.5,150.51,144.44,144.86,2137.0,2,0.0
2024-02-27,145.02,149.43,144.5,148.32,2540.0,1,0.0
2024-02-28,146.39,148.27,145.34,147.09,2448.0,1,0.0
2024-02-29,149.1,150.46,148.25,148.81,3477.0,1,0.0
2024-03-01,146.11,150.2,144.34,149.03,2239.0,1,0.0
2024-03-04,149.19,149.25,146.26,147.65,2685.0,1,0.0
2024-03-05,146.22,148.42,146.0,146.98,2738.0,2,0.0
2024-03-06,146.89,147.0,143.03,145.11,2785.0,2,0.0
2024-03-07,145.0,148.85,145.0,147.83,2217.0,1,0.0
2024-03-08,149.54,150.03,148.0,149.41,2201.0,1,0.0
2024-03-11,150.23,155.34,149.79,153.77,2847.0,1,0.0
2024-03-12,154.01,154.3,149.53,152.0,2437.0,1,0.0
2024-03-13,153.98,159.42,153.2,157.69,2831.0,1,0.0
2024-03-14,156.7,156.7,151.36,152.84,2556.0,1,0.0
2024-03-15,151.1,152.56,149.25,149.41,2664.0,1,0.0
2024-03-18,149.39,149.56,147.0,147.44,2269.0,1,0.0
2024-03-19,147.6,147.6,146.0,146.05,1958.0,1,0.0
2024-03-20,144.93,147.19,143.73,146.41,2413.0,1,0.0
2024-03-21,145.75,148.15,145.75,146.17,1685.0,1,0.0
2024-03-22,145.01,145.01,141.06,143.24,2359.0,1,0.0
2024-03-25,141.47,142.54,138.34,139.1,2012.0,1,0.0
2024-03-26,140.0,141.46,138.93,139.11,2126.0,1,0.0
2024-03-27,140.74,144.67,140.74,144.4,2365.0,1,0.0
2024-03-28,150.0,154.91,148.5,154.26,3193.0,1,0.0
2024-04-01,154.3,154.68,150.34,151.91,2335.0,1,0.0
2024-04-02,154.2,154.58,150.35,152.52,2892.0,1,0.0
2024-04-03,149.78,150.05,145.2,146.6,2992.0,1,0.0
2024-04-04,147.2,149.93,144.37,144.37,2824.0,1,0.0
2024-04-05,145.07,146.3,143.9,144.48,2211.0,1,0.0
2024-04-08,145.58,147.54,144.45,145.45,1962.0,1,0.0
2024-04-09,146.03,148.44,145.43,148.2,2450.0,1,0.0
2024-04-10,143.96,145.68,143.1,145.17,3246.0,0,0.0
2024-04-11,145.22,145.79,142.66,145.54,2910.0,1,0.0
2024-04-12,143.0,143.0,138.1,138.71,2634.0,1,0.0
2024-04-15,140.27,141.53,136.34,137.16,2267.0,2,0.0
2024-04-16,136.18,137.96,134.59,137.11,3137.0,1,0.0
2024-04-17,138.77,139.33,137.04,138.06,2194.0,1,0.0
2024-04-18,139.8,146.44,138.34,144.67,3919.0,1,0.0
2024-04-19,143.96,145.09,143.75,144.18,2543.0,1,0.0
2024-04-22,144.28,147.76,143.12,147.11,3107.0,1,0.0
2024-04-23,146.76,149.8,146.5,148.72,2372.0,1,0.0
2024-04-24,146.0,148.07,145.39,147.4,3786.0,1,0.0
2024-04-25,147.38,147.39,143.22,144.66,2992.0,1,0.0
2024-04-26,144.09,147.59,143.2,147.55,4026.0,1,0.0
2024-04-29,147.89,148.86,145.5,146.64,2404.0,1,0.0
2024-04-30,146.14,148.48,145.0,146.73,2741.0,1,0.0
2024-05-01,137.8,140.6,124.03,127.5,5520.0,1,0.0
2024-05-02,129.81,134.84,129.6,134.75,3983.0,1,0.0
2024-05-03,134.5,135.72,130.45,132.93,2925.0,1,0.0
2024-05-06,132.01,132.07,128.85,129.99,1959.0,1,0.0
2024-05-07,129.18,130.56,128.75,129.1,2070.0,1,0.0
2024-05-08,127.75,129.63,126.61,129.43,2042.0,1,0.0
2024-05-09,129.81,132.02,128.6,131.55,1894.0,1,0.0
2024-05-10,130.31,132.59,130.05,132.0,2157.0,1,0.0
2024-05-13,132.23,134.72,132.0,134.56,1702.0,1,0.0
2024-05-14,135.94,136.06,133.58,134.26,2198.0,1,0.0
2024-05-15,135.0,136.54,134.8,136.14,2115.0,1,0.0
2024-05-16,135.33,139.22,135.0,138.39,2541.0,1,0.0
2024-05-17,137.08,137.2,134.46,134.59,1967.0,1,0.0
2024-05-20,133.85,133.99,131.09,131.22,2260.0,1,0.0
