time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,88.67,88.76,88.08,88.17,2303,2,0
2024-01-03,87.47,87.88,87.2,87.84,2571,2,0
2024-01-04,87.32,87.59,87.26,87.46,1769,2,0
2024-01-05,87.04,87.95,86.81,87.16,3520,2,0
2024-01-08,87.02,87.48,87.02,87.29,1626,2,0
2024-01-09,86.89,87.17,86.89,86.91,1454,2,0
2024-01-10,87.51,87.66,86.89,87.6,1572,2,0
2024-01-11,87.92,88.39,87.61,88.32,3313,2,0
2024-01-12,88.54,88.77,88.38,88.51,1979,2,0
2024-01-16,88.12,88.16,87.55,87.69,2708,2,0
2024-01-17,87.41,87.43,86.85,87.43,1834,2,0
2024-01-18,87.59,87.64,87.19,87.43,1854,2,0
2024-01-19,87.23,87.46,87.08,87.46,1896,2,0
2024-01-22,87.52,87.69,87.31,87.54,1544,2,0
2024-01-23,87.21,87.21,86.78,87.12,1260,2,0
2024-01-24,87.4,87.47,86.7,86.81,2922,2,0
2024-01-25,87.22,87.47,87.14,87.47,2465,2,0
2024-01-26,87.45,87.65,87.22,87.56,1754,2,0
2024-01-29,87.62,88.01,87.57,87.92,1366,2,0
2024-01-30,88.0,88.14,87.04,88.12,2141,2,0
2024-01-31,88.16,88.52,87.8,87.95,5454,2,0
2024-02-01,88.15,88.51,87.01,88.34,2884,2,0
2024-02-02,87.55,87.82,87.45,87.64,2537,2,0
2024-02-05,87.2,87.22,86.61,86.91,2100,2,0
2024-02-06,87.22,87.81,87.2,87.66,3445,2,0
2024-02-07,87.59,87.75,87.45,87.58,2401,2,0
2024-02-08,87.5,87.61,87.41,87.46,1806,2,0
2024-02-09,87.22,87.47,87.22,87.45,1768,2,0
2024-02-12,87.54,87.69,87.49,87.56,1651,2,0
2024-02-13,86.74,86.87,86.41,86.49,1847,2,0
2024-02-14,86.86,87.08,86.75,87.04,2228,2,0
2024-02-15,87.64,87.79,87.39,87.78,2192,2,0
2024-02-16,87.24,87.43,87.1,87.19,1755,2,0
2024-02-20,87.25,87.35,87.15,87.2,1438,2,0
2024-02-21,87.42,87.43,87.0,87.1,2718,2,0
2024-02-22,87.4,87.72,86.82,87.65,2904,1,0
2024-02-23,87.88,88.27,87.78,88.13,2246,2,0
2024-02-26,88.38,88.39,87.88,87.9,1918,2,0
2024-02-27,87.93,87.94,87.71,87.78,1327,2,0
2024-02-28,87.94,88.05,87.82,88.0,1332,2,0
2024-02-29,88.28,88.42,88.25,88.31,1266,2,0
2024-03-01,87.88,88.51,86.86,88.42,1689,2,0
2024-03-04,88.28,88.41,88.22,88.35,803,2,0
2024-03-05,88.5,88.74,88.09,88.54,1214,2,0
2024-03-06,88.93,89.06,88.09,88.86,1700,2,0
2024-03-07,89.15,89.15,88.91,89.09,1092,2,0
2024-03-08,89.34,89.51,89.13,89.22,1356,2,0
2024-03-11,89.24,89.27,89.03,89.07,1467,2,0
2024-03-12,88.98,89.01,88.74,88.95,1339,1,0
2024-03-13,89.01,89.22,88.98,89.05,1137,2,0
2024-03-14,89.12,89.13,88.52,88.58,1400,2,0
2024-03-15,88.44,88.49,88.29,88.29,1188,2,0
2024-03-18,88.39,88.44,88.3,88.35,953,2,0
2024-03-19,88.48,88.98,88.46,88.78,1226,2,0
