time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,104.11,104.43,103.71,104.19,6711,2,0
2024-01-03,103.66,103.8,103.13,103.24,9737,2,0
2024-01-04,103.01,103.71,102.85,102.91,7724,2,0
2024-01-05,102.8,103.6,102.71,103.06,5164,2,0
2024-01-08,103.07,104.58,103.07,104.57,5020,2,0
2024-01-09,103.83,104.62,103.78,104.36,6286,2,0
2024-01-10,104.39,105.13,104.3,104.95,5143,2,0
2024-01-11,105.21,105.27,103.98,104.97,9596,2,0
2024-01-12,105.31,105.44,104.67,105.03,8334,2,0
2024-01-16,104.62,105.01,104.23,104.67,9662,2,0
2024-01-17,103.82,104.2,103.54,104.14,6129,2,0
2024-01-18,104.36,105.11,104.08,105.01,6738,1,0
2024-01-19,105.13,106.33,105.06,106.22,5848,2,0
2024-01-22,106.53,106.94,106.38,106.57,6398,2,0
2024-01-23,106.6,106.85,106.36,106.81,4086,2,0
2024-01-24,107.29,107.62,106.75,106.79,3988,2,0
2024-01-25,107.12,107.55,106.88,107.4,4280,2,0
2024-01-26,107.39,107.73,107.08,107.31,6307,2,0
2024-01-29,107.28,108.19,107.25,108.17,4179,1,0
2024-01-30,108.04,108.23,107.77,108.08,4891,2,0
2024-01-31,107.56,107.69,106.33,106.43,14078,2,0
2024-02-01,106.78,107.63,106.4,107.57,10606,2,0
2024-02-02,107.65,109.12,107.51,108.83,6556,2,0
2024-02-05,108.48,108.73,107.81,108.5,6533,2,0
2024-02-06,108.56,108.75,108.26,108.64,3949,2,0
2024-02-07,109.18,109.7,108.93,109.54,7308,2,0
2024-02-08,109.37,109.77,109.37,109.69,4914,2,0
2024-02-09,109.83,110.51,109.75,110.38,3902,2,0
2024-02-12,110.32,110.93,110.2,110.32,6047,2,0
2024-02-13,108.59,109.16,108.0,108.74,9509,2,0
2024-02-14,109.36,109.81,108.86,109.8,8076,2,0
2024-02-15,109.9,110.53,109.79,110.43,6191,2,0
2024-02-16,110.25,110.67,109.51,109.89,7837,2,0
2024-02-20,109.5,109.59,108.71,109.14,10020,2,0
2024-02-21,108.75,109.32,108.48,109.29,7194,2,0
2024-02-22,110.5,111.77,110.45,111.61,5885,0,0
2024-02-23,112.05,112.1,111.43,111.73,5425,2,0
2024-02-26,111.73,111.77,111.26,111.28,4828,2,0
2024-02-27,111.34,111.45,110.94,111.43,4190,2,0
2024-02-28,111.02,111.38,110.74,111.21,4583,2,0
2024-02-29,111.65,112.06,111.08,112.01,5384,2,0
2024-03-01,111.96,112.9,111.52,112.87,5879,2,0
2024-03-04,112.57,113.08,112.54,112.67,4400,2,0
2024-03-05,112.16,112.24,110.96,111.48,6333,2,0
2024-03-06,112.19,112.54,111.71,112.04,9922,2,0
2024-03-07,112.64,113.41,112.51,113.26,5970,2,0
2024-03-08,113.42,113.95,112.31,112.49,14493,2,0
2024-03-11,112.0,112.45,111.67,112.27,9694,2,0
2024-03-12,112.79,113.67,112.23,113.6,10246,0,0
2024-03-13,113.54,113.67,113.02,113.35,7261,2,0
2024-03-14,113.44,113.59,112.35,112.92,7549,2,0
2024-03-15,112.46,112.7,111.94,112.14,9087,2,0
2024-03-18,113.25,113.48,112.88,112.88,6596,2,0
2024-03-19,112.65,113.71,112.55,113.68,8532,2,0
2024-03-20,113.54,114.73,113.23,114.62,5430,2,0
2024-03-21,114.83,115.18,114.72,114.8,6314,2,0
2024-03-22,114.78,114.82,114.44,114.7,5446,2,0
2024-03-25,114.26,114.45,114.05,114.18,4683,2,0
2024-03-26,114.42,114.6,113.95,113.98,4262,2,0
2024-03-27,114.6,114.89,113.89,114.88,5731,2,0
2024-03-28,114.84,115.27,114.52,115.11,4709,2,0
2024-04-01,114.99,115.2,114.45,114.76,6234,2,0
2024-04-02,113.7,114.01,113.32,113.96,6195,2,0
2024-04-03,113.7,114.44,113.61,114.09,6166,1,0
2024-04-04,114.85,115.15,112.72,112.79,11090,2,0
2024-04-05,113.11,114.38,112.98,113.97,14076,2,0
2024-04-08,114.13,114.33,113.81,113.95,8885,2,0
2024-04-09,114.27,114.44,113.06,114.08,11031,2,0
2024-04-10,112.65,113.39,112.53,113.13,17323,2,0
2024-04-11,113.13,114.07,112.5,113.83,9740,2,0
2024-04-12,112.99,113.22,111.75,112.05,9550,2,0
2024-04-15,112.88,113.12,110.52,110.78,14913,2,0
2024-04-16,110.7,111.13,110.19,110.5,18111,2,0
2024-04-17,110.88,111.07,109.5,109.94,17310,2,0
2024-04-18,109.93,110.58,109.35,109.55,15261,1,0
2024-04-19,109.34,109.79,108.36,108.67,22220,2,0
2024-04-22,108.99,110.18,108.64,109.44,9640,2,0
2024-04-23,110.05,111.07,109.87,110.83,7657,2,0
2024-04-24,110.99,111.38,110.47,111.07,13321,2,0
2024-04-25,109.57,110.73,109.18,110.52,15177,2,0
2024-04-26,110.91,111.95,110.86,111.66,9611,2,0
2024-04-29,112.03,112.16,111.39,111.97,8771,2,0
2024-04-30,111.49,111.94,110.38,110.38,11540,2,0
2024-05-01,110.14,111.64,109.75,109.96,15617,2,0
2024-05-02,110.56,111.15,109.71,110.8,12785,2,0
2024-05-03,112.31,112.55,111.78,112.34,11757,2,0
2024-05-06,112.87,113.51,112.74,113.51,5114,2,0
2024-05-07,113.83,114.01,113.53,113.76,5511,2,0
2024-05-08,113.19,113.78,113.11,113.74,4412,2,0
2024-05-09,113.8,114.41,113.58,114.37,5530,2,0
2024-05-10,114.77,114.96,114.31,114.7,6059,2,0
2024-05-13,114.94,114.94,114.36,114.54,3654,2,0
2024-05-14,114.57,115.28,114.53,115.25,4776,2,0
2024-05-15,115.79,116.67,115.5,116.61,4656,2,0
2024-05-16,116.61,116.93,116.36,116.42,6519,0,0
2024-05-17,116.35,116.41,115.95,116.34,5045,2,0
2024-05-20,116.54,116.9,116.38,116.46,4981,2,0
2024-05-21,116.22,116.84,116.22,116.83,4261,2,0
2024-05-22,116.64,116.77,115.89,116.25,7525,2,0
2024-05-23,116.91,116.92,115.29,115.56,12313,2,0
2024-05-24,115.81,116.46,115.44,116.26,5596,2,0
2024-05-28,116.44,116.51,115.76,116.21,6479,2,0
2024-05-29,115.42,115.82,115.36,115.45,6819,1,0
2024-05-30,115.07,115.29,114.41,114.67,7005,2,0
2024-05-31,114.83,115.5,113.67,115.46,8739,2,0
2024-06-03,115.91,116.04,114.52,115.52,9139,2,0
2024-06-04,115.22,115.88,114.96,115.72,9833,2,0
2024-06-05,116.08,117.12,115.8,117.05,7153,2,0
2024-06-06,117.08,117.26,116.66,117.02,7989,2,0
2024-06-07,116.72,117.56,116.49,117.01,7473,2,0
2024-06-10,116.55,117.4,116.54,117.24,4839,2,0
2024-06-11,116.43,117.24,116.21,117.23,7425,2,0
2024-06-12,118.27,118.88,118.0,118.42,11463,2,0
2024-06-13,118.56,118.63,117.84,118.61,9209,2,0
2024-06-14,118.07,118.46,117.9,118.44,7988,2,0
2024-06-17,118.3,119.78,118.22,119.42,6414,2,0
2024-06-18,119.54,119.88,119.4,119.84,6370,2,0
2024-06-20,119.82,120.21,119.07,119.45,11147,2,0
2024-06-21,119.2,119.57,118.69,119.34,8178,2,0
2024-06-24,119.17,119.9,118.94,118.98,7426,2,0
2024-06-25,119.08,119.42,118.84,119.37,5867,2,0
2024-06-26,118.97,119.62,118.8,119.56,7782,2,0
2024-06-27,119.45,119.86,119.35,119.57,6141,2,0
2024-06-28,119.87,120.66,119.02,119.35,11877,2,0
2024-07-01,119.56,119.66,118.91,119.56,9153,2,0
2024-07-02,119.17,120.31,119.15,120.3,7964,2,0
2024-07-03,120.37,121.01,120.27,121.0,4207,2,0
2024-07-05,120.89,121.64,120.79,121.61,5786,2,0
2024-07-08,121.77,121.93,121.54,121.71,5472,2,0
2024-07-09,121.94,122.16,121.82,121.92,5417,2,0
2024-07-10,122.12,123.11,122.03,123.1,4021,2,0
2024-07-11,123.18,123.38,121.96,122.15,12238,2,0
2024-07-12,122.33,123.69,122.16,122.74,6873,2,0
2024-07-15,123.33,123.94,122.79,123.03,8087,2,0
2024-07-16,123.53,124.1,123.33,124.1,9161,2,0
2024-07-17,122.82,123.1,122.19,122.29,10949,0,0
2024-07-18,122.46,122.76,120.7,121.12,13168,2,0
2024-07-19,121.0,121.44,120.12,120.24,11045,2,0
2024-07-22,121.09,121.78,120.86,121.67,8527,2,0
2024-07-23,121.55,122.15,121.39,121.41,8781,2,0
2024-07-24,120.42,120.5,118.5,118.67,8509,2,0
2024-07-25,118.63,120.19,117.9,118.22,13214,2,0
2024-07-26,118.9,120.16,118.9,119.46,7534,2,0
2024-07-29,119.68,120.15,119.19,119.58,13056,2,0
2024-07-30,119.97,120.18,118.22,119.15,11563,2,0
2024-07-31,120.57,121.67,120.33,121.03,15507,2,0
2024-08-01,121.4,122.03,118.5,119.24,23704,2,0
2024-08-02,117.29,117.76,115.92,116.83,27826,2,0
2024-08-05,111.97,114.92,111.88,113.44,29686,2,0
2024-08-06,113.75,116.29,113.66,114.67,22757,2,0
2024-08-07,116.13,116.73,113.65,113.72,22896,2,0
2024-08-08,114.89,116.59,114.41,116.28,11531,2,0
2024-08-09,116.35,117.31,115.99,117.02,12541,2,0
2024-08-12,117.22,117.58,116.49,116.81,11905,2,0
2024-08-13,117.66,118.99,117.66,118.97,7286,2,0
2024-08-14,119.17,119.65,118.55,119.52,9057,2,0
2024-08-15,120.73,121.46,120.43,121.2,6539,2,0
2024-08-16,121.08,121.83,120.99,121.62,5883,2,0
2024-08-19,121.7,122.76,121.55,122.75,3874,2,0
2024-08-20,122.69,123.08,122.3,122.59,3460,2,0
2024-08-21,122.79,123.39,122.51,123.17,5463,2,0
2024-08-22,123.56,123.63,121.82,121.88,7962,2,0
2024-08-23,122.7,123.64,122.39,123.5,16025,2,0
2024-08-26,123.71,123.84,122.75,122.97,11137,2,0
2024-08-27,122.77,123.38,122.52,123.18,9646,2,0
2024-08-28,123.2,123.21,121.8,122.55,14448,2,0
2024-08-29,122.96,123.79,122.35,122.53,15672,0,0
2024-08-30,123.17,123.89,122.39,123.83,12883,2,0
2024-09-03,123.1,123.11,120.68,121.12,11976,2,0
2024-09-04,120.76,121.63,120.54,121.03,11095,2,0
2024-09-05,120.86,121.43,120.0,120.35,19353,2,0
2024-09-06,120.87,121.04,118.37,118.54,22261,2,0
2024-09-09,119.54,120.25,119.13,119.94,11379,2,0
2024-09-10,120.35,120.52,119.29,120.52,12626,2,0
2024-09-11,120.28,121.97,118.58,121.92,19100,2,0
2024-09-12,121.88,122.9,121.36,122.75,15856,2,0
2024-09-13,123.01,123.78,122.97,123.56,10632,2,0
2024-09-16,123.55,123.87,123.11,123.84,9997,2,0
2024-09-17,124.32,124.65,123.4,123.86,13935,2,0
2024-09-18,123.87,125.17,123.21,123.55,20872,2,0
2024-09-19,125.57,126.07,124.97,125.64,13653,2,0
2024-09-20,125.34,125.68,124.74,125.39,10075,2,0
2024-09-23,125.54,125.87,125.37,125.69,11242,2,0
2024-09-24,125.75,126.03,125.25,125.93,9669,2,0
2024-09-25,125.7,125.79,125.11,125.27,10878,2,0
2024-09-26,126.23,126.27,125.3,125.88,13729,2,0
2024-09-27,126.07,126.26,125.39,125.7,10659,2,0
2024-09-30,125.5,126.28,124.89,126.21,12369,2,0
2024-10-01,125.84,125.84,124.39,124.98,19526,2,0
2024-10-02,124.51,125.26,124.18,125.05,11472,2,0
2024-10-03,124.66,125.19,124.26,124.8,16259,2,0
2024-10-04,125.62,125.96,124.81,125.9,15682,2,0
2024-10-07,125.44,125.6,124.52,124.71,11791,2,0
2024-10-08,125.28,126.13,125.17,126.05,8646,2,0
2024-10-09,125.94,126.98,125.76,126.93,7417,2,0
2024-10-10,126.42,126.96,126.21,126.68,9818,2,0
2024-10-11,126.65,127.54,126.46,127.39,8256,2,0
2024-10-14,127.66,128.66,127.64,128.44,7350,2,0
2024-10-15,128.54,128.6,127.17,127.35,11006,2,0
2024-10-16,127.32,128.07,127.25,127.94,8683,2,0
2024-10-17,128.56,128.62,127.85,127.92,11072,2,0
2024-10-18,128.05,128.48,127.9,128.32,6858,2,0
2024-10-21,128.16,128.31,127.38,127.99,8924,2,0
2024-10-22,127.3,128.14,127.27,127.9,8788,2,0
2024-10-23,127.44,127.53,125.94,126.7,10428,2,0
2024-10-24,126.97,127.24,126.51,127.08,12392,2,0
2024-10-25,127.76,128.25,126.81,126.95,11092,2,0
2024-10-28,127.6,127.83,127.37,127.42,7431,2,0
2024-10-29,126.97,127.85,126.81,127.54,8875,2,0
2024-10-30,127.41,128.0,127.05,127.21,8457,0,0
2024-10-31,126.04,126.29,124.94,124.97,11998,2,0
2024-11-01,125.38,126.37,125.31,125.38,12722,2,0
2024-11-04,125.36,125.79,124.78,125.06,8060,2,0
2024-11-05,125.53,126.64,125.37,126.61,9198,2,0
2024-11-06,129.11,130.06,128.5,129.8,11618,2,0
2024-11-07,130.36,131.16,130.26,130.93,7477,2,0
2024-11-08,131.11,131.88,131.02,131.55,6146,2,0
2024-11-11,132.01,132.11,131.48,131.75,6000,2,0
2024-11-12,131.77,132.0,130.89,131.37,7803,2,0
2024-11-13,131.45,131.97,131.03,131.47,11041,2,0
2024-11-14,131.52,131.6,130.51,130.6,11128,2,0
2024-11-15,129.83,129.88,128.52,128.9,13080,2,0
2024-11-18,128.81,129.75,128.8,129.34,7544,2,0
2024-11-19,128.59,130.0,128.45,129.84,10852,2,0
2024-11-20,129.86,130.01,128.62,129.88,10077,2,0
2024-11-21,130.63,131.17,129.44,130.9,16450,2,0
2024-11-22,130.85,131.39,130.71,131.32,12149,2,0
2024-11-25,132.0,132.4,131.22,131.72,11608,2,0
2024-11-26,132.0,132.49,131.69,132.44,8977,2,0
2024-11-27,132.2,132.34,131.49,131.79,7677,2,0
2024-11-29,132.04,132.87,132.03,132.68,3784,2,0
2024-12-02,132.74,133.06,132.56,132.91,5617,2,0
2024-12-03,132.8,133.06,132.6,133.03,5291,2,0
2024-12-04,133.38,134.08,133.23,134.03,6162,2,0
2024-12-05,134.02,134.16,133.65,133.68,7030,2,0
2024-12-06,134.04,134.3,133.82,134.04,7993,2,0
2024-12-09,133.92,134.0,133.12,133.18,5853,2,0
2024-12-10,133.17,133.39,132.57,132.64,4809,2,0
2024-12-11,133.41,134.01,133.34,133.83,4184,2,0
2024-12-12,133.48,133.78,133.17,133.24,6078,2,0
2024-12-13,133.5,133.76,132.75,133.09,7504,2,0
2024-12-16,133.44,133.79,133.27,133.53,5623,2,0
2024-12-17,132.47,132.77,132.22,132.6,8879,2,0
2024-12-18,132.4,132.91,128.42,128.81,20063,2,0
2024-12-19,129.7,129.93,128.36,128.44,22149,2,0
2024-12-20,127.92,130.95,127.65,129.76,23117,2,0
2024-12-23,130.0,130.84,129.18,130.76,15060,2,0
2024-12-24,130.88,132.09,130.87,132.09,4876,2,0
2024-12-26,131.78,132.37,131.38,132.17,9464,2,0
2024-12-27,131.23,131.35,129.82,130.68,15998,2,0
2024-12-30,129.03,130.07,128.4,129.44,14339,2,0
2024-12-31,129.65,129.86,128.47,128.72,16453,2,0
2025-01-02,129.57,129.99,127.7,128.51,9887,2,0
2025-01-03,129.27,130.34,128.97,130.17,5528,2,0
2025-01-06,131.03,131.88,130.57,130.84,7415,2,0
2025-01-07,131.38,131.39,129.04,129.46,13398,2,0
2025-01-08,129.28,129.94,128.75,129.69,16519,2,0
2025-01-10,128.55,128.79,127.32,127.76,17783,2,0
2025-01-13,126.58,127.99,126.53,127.97,17173,2,0
2025-01-14,128.39,128.75,127.35,128.06,18454,2,0
2025-01-15,130.05,130.79,129.74,130.57,8576,2,0
2025-01-16,130.6,130.94,130.12,130.43,14076,2,0
2025-01-17,131.45,132.07,131.19,131.57,8262,2,0
2025-01-21,132.26,132.9,131.85,132.87,9671,2,0
2025-01-22,133.45,133.96,133.37,133.66,4313,2,0
2025-01-23,133.41,134.21,133.36,134.21,4960,2,0
2025-01-24,134.36,134.49,133.61,133.89,5621,2,0
2025-01-27,131.22,131.94,131.07,131.68,19337,2,0
2025-01-28,131.87,133.18,131.33,132.95,9959,2,0
2025-01-29,132.71,132.89,131.76,132.38,20075,2,0
2025-01-30,132.85,133.43,132.18,133.01,15155,2,0
2025-01-31,133.55,134.11,132.13,132.29,20023,2,0
2025-02-03,130.37,131.94,129.72,131.44,26046,2,0
2025-02-04,131.26,132.25,131.26,132.18,11056,2,0
2025-02-05,131.83,132.7,131.42,132.7,6810,2,0
2025-02-06,132.88,133.03,132.18,132.96,5892,2,0
2025-02-07,133.16,133.36,131.59,131.72,17924,2,0
2025-02-10,132.43,132.77,132.17,132.55,4863,2,0
2025-02-11,132.14,132.78,132.13,132.6,6901,2,0
2025-02-12,131.11,132.44,131.11,132.19,9167,2,0
2025-02-13,132.47,133.58,132.04,133.54,8085,2,0
2025-02-14,133.5,133.72,133.33,133.53,4154,2,0
2025-02-18,133.66,133.83,133.21,133.83,5419,2,0
2025-02-19,133.54,134.19,133.38,134.14,4225,2,0
2025-02-20,133.97,133.97,132.76,133.67,7501,2,0
2025-02-21,133.49,133.53,131.14,131.27,11773,2,0
2025-02-24,131.59,131.9,130.31,130.47,12069,2,0
2025-02-25,130.29,130.59,128.84,129.88,9420,3,0
2025-02-26,130.1,131.11,129.43,129.88,8191,3,0
2025-02-27,130.47,130.75,127.92,127.92,22704,2,0
2025-02-28,127.8,129.94,127.39,129.94,20946,2,0
2025-03-03,130.39,130.57,126.77,127.55,22168,2,0
2025-03-04,126.33,127.98,124.89,126.04,21134,2,0
2025-03-05,126.11,127.85,125.26,127.44,20933,2,0
2025-03-06,125.52,126.69,124.43,124.95,18512,2,0
2025-03-07,124.71,125.99,123.37,125.8,11072,3,0
2025-03-10,123.97,124.17,121.12,122.12,11332,2,0
2025-03-11,122.01,122.74,120.38,121.41,13620,3,0
2025-03-12,122.73,122.84,120.79,121.99,18864,2,0
2025-03-13,121.67,121.83,119.79,120.07,20933,2,0
2025-03-14,121.26,123.0,121.06,122.98,13920,2,0
2025-03-17,122.8,124.3,122.76,123.76,10944,2,0
2025-03-18,122.7,122.7,121.64,122.04,11596,2,0
2025-03-19,122.29,124.26,122.0,123.34,12571,2,0
2025-03-20,122.47,124.13,122.47,123.04,10156,2,0
2025-03-21,121.97,123.23,121.79,123.23,10371,2,0
2025-03-24,124.51,125.64,124.51,125.51,6155,2,0
2025-03-25,125.67,125.93,125.32,125.67,5348,2,0
2025-03-26,125.65,125.82,123.83,124.23,10782,2,0
2025-03-27,123.81,124.58,123.25,123.77,13149,2,0
2025-03-28,123.16,123.5,121.04,121.23,13029,2,0
2025-03-31,119.87,122.2,119.11,122.02,15993,2,0
2025-04-01,121.3,122.74,120.69,122.37,15592,2,0
2025-04-02,121.18,123.82,120.98,123.4,15557,2,0
2025-04-03,119.17,119.48,117.22,117.28,26165,2,0
2025-04-04,114.41,114.41,110.19,110.3,34959,1,0
2025-04-07,106.36,113.92,105.0,109.85,23456,2,0
2025-04-08,113.18,114.37,106.53,107.97,20134,3,0
2025-04-09,107.77,118.98,107.24,118.4,18700,0,0
2025-04-10,115.58,116.06,110.71,114.26,17683,4,0
2025-04-11,113.64,116.67,113.11,116.23,20869,3,0
2025-04-14,117.9,118.34,116.2,117.23,10939,3,0
2025-04-15,117.47,118.23,116.84,117.1,8175,2,0
2025-04-16,115.93,116.4,113.25,114.54,11314,3,0
2025-04-17,114.78,115.63,114.05,114.61,9262,5,0
2025-04-21,113.47,113.47,110.65,111.98,5987,4,0
2025-04-22,113.15,115.2,112.86,114.77,7048,4,0
2025-04-23,117.72,118.73,116.2,116.78,23482,2,0
2025-04-24,116.91,119.15,116.5,119.1,10968,2,0
2025-04-25,118.98,120.07,118.41,120.0,7567,4,0
2025-04-28,120.26,120.56,118.73,120.2,17943,2,0
2025-04-29,119.77,121.07,119.6,120.86,18668,2,0
2025-04-30,118.88,121.35,118.0,121.09,21862,2,0
2025-05-01,122.0,123.01,121.72,121.76,10572,2,0
2025-05-02,123.26,123.98,122.62,123.58,12050,2,0
2025-05-05,122.76,123.7,122.55,122.99,11107,2,0
2025-05-06,121.78,122.88,121.34,122.15,12070,2,0
2025-05-07,122.33,122.95,121.12,122.49,22638,2,0
2025-05-08,123.3,124.57,122.62,123.35,18617,2,0
2025-05-09,123.85,123.97,122.89,123.25,15238,2,0
2025-05-12,126.71,127.43,126.14,127.41,12398,2,0
2025-05-13,127.47,128.91,127.43,128.53,10274,2,0
2025-05-14,128.68,128.84,128.09,128.54,13573,2,0
2025-05-15,128.19,129.34,127.98,129.12,11167,2,0
2025-05-16,129.11,130.1,128.84,130.09,7613,2,0
2025-05-19,128.83,130.37,128.66,130.15,11675,2,0
2025-05-20,129.73,130.03,129.1,129.71,7770,2,0
2025-05-21,128.9,129.68,127.28,127.67,19151,2,0
2025-05-22,127.4,128.33,127.1,127.51,13744,3,0
2025-05-23,125.84,127.24,125.84,126.76,16626,3,0
2025-05-27,127.9,129.36,127.7,129.2,5050,2,0
2025-05-28,129.39,129.67,128.39,128.54,7120,2,0
2025-05-29,129.32,129.5,127.98,129.07,14538,3,0
2025-05-30,128.54,129.28,127.55,129.09,14404,2,0
2025-06-02,128.68,129.61,127.83,129.55,10667,2,0
2025-06-03,129.63,130.67,129.36,130.51,11486,2,0
2025-06-04,130.55,130.89,130.28,130.51,10224,2,0
2025-06-05,130.49,131.22,129.3,129.59,17184,2,0
2025-06-06,131.15,131.54,130.68,131.23,10280,2,0
2025-06-09,131.17,131.56,130.91,131.26,6097,2,0
2025-06-10,131.35,131.96,130.92,131.84,9340,2,0
2025-06-11,131.82,132.31,131.02,131.43,20265,2,0
2025-06-12,131.19,132.03,131.12,131.92,9967,2,0
2025-06-13,131.16,131.57,130.15,130.33,13832,2,0
2025-06-16,131.04,131.81,130.92,131.3,8954,0,0
2025-06-17,131.02,131.28,130.18,130.35,13154,2,0
2025-06-18,130.4,131.15,130.11,130.27,14189,2,0
2025-06-20,130.8,131.12,129.61,129.92,14617,2,0
2025-06-23,129.89,131.29,129.38,131.25,17863,2,0
2025-06-24,132.17,132.95,131.85,132.8,6505,2,0
2025-06-25,132.99,133.07,132.44,132.7,6680,2,0
2025-06-26,133.15,133.82,132.93,133.8,5723,2,0
2025-06-27,134.01,134.73,133.48,134.38,11643,2,0
2025-06-30,134.77,135.44,134.51,135.34,8291,2,0
2025-07-01,134.84,135.24,134.49,134.96,9820,2,0
