time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,52.0,52.91,52.0,52.87,637.0,1,0.0
2024-01-03,52.05,53.11,51.82,52.69,711.0,1,0.0
2024-01-04,52.39,53.26,52.05,53.0,807.0,1,0.0
2024-01-05,52.85,53.8,52.49,52.74,649.0,1,0.0
2024-01-08,52.84,53.45,52.28,53.27,540.0,1,0.0
2024-01-09,52.6,52.75,51.82,52.4,637.0,1,0.0
2024-01-10,51.68,53.1,51.68,53.05,565.0,1,0.0
2024-01-11,52.66,52.96,51.82,52.71,821.0,1,0.0
2024-01-12,53.03,53.72,52.75,53.47,636.0,1,0.0
2024-01-16,53.2,53.25,52.43,52.69,719.0,1,0.0
2024-01-17,52.07,52.95,52.07,52.77,630.0,1,0.0
2024-01-18,52.79,53.45,52.44,53.3,712.0,1,0.0
2024-01-19,53.46,55.12,53.32,54.94,793.0,1,0.0
2024-01-22,55.71,55.89,54.85,55.16,776.0,1,0.0
2024-01-23,55.21,55.5,54.44,54.59,655.0,1,0.0
2024-01-24,54.8,55.49,54.47,54.87,729.0,1,0.0
2024-01-25,55.14,55.59,54.5,55.15,670.0,1,0.0
2024-01-26,55.07,55.71,54.92,55.42,563.0,1,0.0
2024-01-29,55.26,55.74,55.03,55.56,571.0,1,0.0
2024-01-30,55.4,56.29,55.06,56.16,486.0,2,0.0
2024-01-31,55.89,56.42,54.94,55.08,808.0,1,0.0
2024-02-01,54.98,55.22,53.94,54.95,794.0,1,0.0
2024-02-02,54.08,55.29,54.08,54.67,1031.0,1,0.0
2024-02-05,53.85,53.94,52.88,53.56,835.0,1,0.0
2024-02-06,53.31,54.33,53.28,53.79,786.0,1,0.0
2024-02-07,53.71,53.74,52.83,53.19,761.0,1,0.0
2024-02-08,52.8,53.12,51.94,52.88,853.0,1,0.0
2024-02-09,51.85,52.39,50.5,51.79,1019.0,1,0.0
2024-02-12,51.77,53.36,51.77,53.0,1198.0,1,0.0
2024-02-13,51.92,52.48,51.2,51.61,1098.0,1,0.0
2024-02-14,52.03,52.32,51.32,52.09,947.0,1,0.0
2024-02-15,52.3,53.5,52.3,53.27,880.0,1,0.0
2024-02-16,53.1,53.4,52.25,52.3,910.0,1,0.0
2024-02-20,51.5,52.25,51.21,51.88,795.0,1,0.0
2024-02-21,51.89,52.83,51.41,52.55,862.0,1,0.0
2024-02-22,52.47,52.55,51.9,52.12,769.0,1,0.0
2024-02-23,52.05,53.42,52.04,52.76,683.0,1,0.0
2024-02-26,52.38,52.77,52.12,52.3,637.0,1,0.0
2024-02-27,52.22,52.68,51.9,52.52,540.0,1,0.0
2024-02-28,52.24,53.8,52.24,53.26,796.0,1,0.0
2024-02-29,53.52,53.7,52.71,53.66,694.0,1,0.0
2024-03-01,53.37,53.67,53.04,53.42,678.0,1,0.0
2024-03-04,53.67,54.61,53.25,53.39,748.0,1,0.0
2024-03-05,53.67,54.1,53.14,53.54,813.0,1,0.0
2024-03-06,53.69,54.48,53.27,53.71,836.0,1,0.0
2024-03-07,54.12,54.6,53.62,53.99,530.0,1,0.0
2024-03-08,54.0,54.88,53.8,53.87,861.0,1,0.0
2024-03-11,53.67,55.71,53.61,55.63,791.0,1,0.0
2024-03-12,55.04,55.96,54.53,55.63,633.0,1,0.0
2024-03-13,55.43,56.33,55.42,55.83,597.0,1,0.0
2024-03-14,55.48,56.04,54.87,55.18,516.0,1,0.0
2024-03-15,55.0,55.77,55.0,55.21,802.0,1,0.0
2024-03-18,54.81,55.4,54.31,54.34,746.0,1,0.0
2024-03-19,54.31,55.87,53.78,55.72,673.0,1,0.0
2024-03-20,55.51,58.53,55.05,57.85,971.0,1,0.0
2024-03-21,57.8,58.62,57.66,58.55,724.0,1,0.0
2024-03-22,58.06,58.46,57.38,57.63,554.0,1,0.0
2024-03-25,57.52,58.52,57.52,57.87,606.0,1,0.0
2024-03-26,57.85,58.06,57.36,57.65,489.0,1,0.0
2024-03-27,57.67,59.09,57.67,58.96,633.0,1,0.0
2024-03-28,59.07,59.78,58.85,59.52,606.0,1,0.0
2024-04-01,58.82,59.13,58.37,58.84,674.0,1,0.0
2024-04-02,58.22,59.06,58.0,58.45,644.0,1,0.0
2024-04-03,57.38,58.7,57.38,58.15,681.0,1,0.0
2024-04-04,58.11,58.43,56.18,56.55,825.0,1,0.0
2024-04-05,56.48,57.26,56.44,56.68,672.0,1,0.0
2024-04-08,56.76,57.16,56.5,56.72,373.0,2,0.0
2024-04-09,56.69,57.01,56.05,56.2,564.0,1,0.0
2024-04-10,54.26,55.07,53.46,54.02,912.0,1,0.0
2024-04-11,53.89,54.23,53.53,53.93,683.0,1,0.0
2024-04-12,53.0,53.86,53.0,53.55,581.0,1,0.0
2024-04-15,53.84,53.99,52.75,53.24,589.0,1,0.0
2024-04-16,52.44,52.94,52.07,52.59,570.0,1,0.0
2024-04-17,52.66,53.18,52.26,52.4,611.0,1,0.0
2024-04-18,52.29,53.08,52.03,52.52,626.0,1,0.0
2024-04-19,52.53,53.47,52.38,53.41,637.0,1,0.0
2024-04-22,53.44,54.11,52.8,53.81,638.0,1,0.0
2024-04-23,53.49,54.4,53.23,54.06,599.0,0,0.0
2024-04-24,53.57,54.16,53.2,54.06,657.0,1,0.0
2024-04-25,53.64,53.95,53.08,53.77,610.0,1,0.0
2024-04-26,53.49,54.08,53.27,53.82,459.0,2,0.0
