time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,108.98,111.17,106.0,106.39,1143.0,2,0.0
2024-01-03,102.54,106.45,102.53,105.5,1149.0,2,0.0
2024-01-04,104.11,105.3,102.87,103.06,1000.0,3,0.0
2024-01-05,103.15,105.06,102.81,103.79,952.0,5,0.0
2024-01-08,104.1,108.92,104.1,108.38,972.0,2,0.0
2024-01-09,108.0,109.72,107.65,108.17,1048.0,3,0.0
2024-01-10,108.63,108.94,106.19,108.13,1072.0,2,0.0
2024-01-11,109.25,114.43,108.0,112.17,1498.0,1,0.0
2024-01-12,109.95,113.88,109.43,111.62,1292.0,2,0.0
2024-01-16,111.29,116.8,110.31,116.35,1636.0,1,0.0
2024-01-17,115.81,116.54,111.0,115.57,1374.0,1,0.0
2024-01-18,119.0,120.67,115.2,117.8,1730.0,2,0.0
2024-01-19,118.5,121.46,117.44,119.78,1554.0,2,0.0
2024-01-22,124.0,124.29,120.5,123.22,1361.0,2,0.0
2024-01-23,122.4,122.59,120.5,122.15,1177.0,2,0.0
2024-01-24,122.77,125.6,118.55,119.29,1090.0,2,0.0
2024-01-25,119.77,120.41,116.95,117.8,1075.0,3,0.0
2024-01-26,117.31,119.14,115.0,117.61,1143.0,2,0.0
2024-01-29,118.2,123.13,118.2,122.69,925.0,1,0.0
2024-01-30,122.01,122.56,119.91,121.43,992.0,3,0.0
2024-01-31,119.0,120.43,116.5,117.08,962.0,6,0.0
2024-02-01,116.5,119.19,115.9,118.39,1391.0,2,0.0
2024-02-02,121.0,125.05,120.13,124.48,1396.0,1,0.0
2024-02-05,126.05,126.5,120.26,122.31,973.0,3,0.0
2024-02-06,123.03,123.55,119.0,122.08,1017.0,3,0.0
2024-02-07,123.07,126.42,122.2,125.24,1007.0,1,0.0
2024-02-08,125.83,128.22,123.98,126.24,1044.0,3,0.0
2024-02-09,128.9,131.38,128.0,130.14,1169.0,1,0.0
2024-02-12,128.5,129.36,126.34,127.51,1102.0,3,0.0
2024-02-13,120.77,125.68,117.0,122.17,1633.0,2,0.0
2024-02-14,122.98,126.75,120.12,126.22,1287.0,2,0.0
2024-02-15,130.7,133.17,130.0,132.09,1248.0,2,0.0
2024-02-16,132.75,132.75,128.54,130.11,1236.0,3,0.0
2024-02-20,128.14,129.85,122.9,125.44,1228.0,3,0.0
2024-02-21,120.11,121.99,117.43,121.0,1562.0,3,0.0
2024-02-22,125.0,127.86,124.18,127.2,1071.0,1,0.0
2024-02-23,128.07,130.97,127.6,129.36,1167.0,2,0.0
2024-02-26,129.0,132.72,128.05,130.24,1165.0,3,0.0
2024-02-27,132.14,133.0,130.4,130.99,1174.0,3,0.0
2024-02-28,128.76,131.87,128.75,129.93,857.0,3,0.0
2024-02-29,127.45,135.95,127.45,133.39,1685.0,1,0.0
2024-03-01,113.55,119.58,112.2,116.88,2054.0,1,0.0
2024-03-04,115.07,117.76,107.02,108.05,1693.0,1,0.0
2024-03-05,105.68,109.24,105.11,108.4,1893.0,2,0.0
2024-03-06,110.0,110.74,107.0,108.4,1494.0,3,0.0
2024-03-07,107.12,108.23,104.02,106.7,1415.0,2,0.0
2024-03-08,106.71,109.31,105.0,105.91,1403.0,2,0.0
2024-03-11,104.13,104.49,101.47,103.62,1331.0,2,0.0
2024-03-12,103.86,107.07,102.84,105.95,870.0,4,0.0
2024-03-13,104.89,107.02,104.89,105.93,929.0,2,0.0
2024-03-14,104.33,105.37,102.6,102.84,908.0,4,0.0
2024-03-15,102.19,102.19,100.15,100.91,1055.0,2,0.0
2024-03-18,100.01,102.71,100.0,101.43,1373.0,1,0.0
2024-03-19,100.04,101.94,99.0,101.42,1087.0,1,0.0
2024-03-20,101.5,103.47,100.22,103.04,1137.0,2,0.0
2024-03-21,104.05,104.18,100.02,100.7,1294.0,1,0.0
2024-03-22,101.05,102.7,99.72,102.41,898.0,1,0.0
2024-03-25,101.04,102.15,100.56,100.78,691.0,2,0.0
2024-03-26,101.07,101.43,100.0,100.53,671.0,2,0.0
2024-03-27,99.93,100.46,97.89,99.9,1020.0,2,0.0
2024-03-28,99.92,102.32,99.4,100.16,1036.0,2,0.0
2024-04-01,99.4,101.4,99.4,100.69,869.0,1,0.0
2024-04-02,97.1,98.38,96.0,97.9,852.0,1,0.0
2024-04-03,97.0,98.13,96.5,97.21,814.0,1,0.0
2024-04-04,97.54,100.17,97.15,97.7,1010.0,2,0.0
2024-04-05,98.08,98.53,96.29,97.06,918.0,1,0.0
2024-04-08,97.63,98.42,96.09,97.96,687.0,1,0.0
2024-04-09,98.01,99.05,97.13,98.43,787.0,1,0.0
2024-04-10,97.08,98.45,96.69,97.85,832.0,2,0.0
2024-04-11,98.44,99.68,97.9,99.67,880.0,3,0.0
2024-04-12,99.8,100.16,97.0,97.13,954.0,4,0.0
2024-04-15,96.01,97.07,94.7,94.7,870.0,2,0.0
2024-04-16,94.25,95.6,94.0,95.06,962.0,1,0.0
2024-04-17,95.0,95.53,94.0,94.56,751.0,2,0.0
2024-04-18,94.05,95.93,93.33,94.93,714.0,2,0.0
2024-04-19,94.54,97.79,94.24,96.06,1255.0,2,0.0
2024-04-22,96.1,98.36,94.4,98.06,1289.0,2,0.0
2024-04-23,98.67,103.16,98.0,102.25,1571.0,1,0.0
2024-04-24,103.0,104.7,101.85,103.73,857.0,2,0.0
2024-04-25,101.32,104.72,100.11,104.41,1490.0,1,0.0
2024-04-26,106.14,108.58,106.14,107.46,1115.0,2,0.0
2024-04-29,108.15,108.4,103.48,103.48,1008.0,1,0.0
2024-04-30,103.43,104.75,102.39,102.39,1112.0,2,0.0
2024-05-01,102.5,108.02,102.5,105.28,1338.0,1,0.0
2024-05-02,106.9,107.14,103.64,105.69,948.0,2,0.0
2024-05-03,106.77,106.77,105.5,105.71,886.0,1,0.0
2024-05-06,105.6,107.72,105.6,107.24,584.0,3,0.0
2024-05-07,105.48,107.48,103.0,107.1,752.0,2,0.0
2024-05-08,105.5,106.21,104.75,105.38,706.0,3,0.0
2024-05-09,104.52,106.41,104.52,104.85,594.0,2,0.0
2024-05-10,105.1,106.52,104.41,105.98,1080.0,1,0.0
2024-05-13,105.66,107.57,105.2,107.21,784.0,3,0.0
2024-05-14,107.1,109.8,107.1,109.08,746.0,2,0.0
2024-05-15,110.5,111.63,108.0,110.91,713.0,1,0.0
2024-05-16,110.11,111.5,108.0,108.24,939.0,1,0.0
2024-05-17,108.25,110.06,107.48,109.73,800.0,3,0.0
2024-05-20,109.0,111.18,108.25,110.72,739.0,2,0.0
2024-05-21,110.3,111.11,108.26,109.0,563.0,2,0.0
2024-05-22,111.05,111.33,107.25,107.28,697.0,2,0.0
2024-05-23,108.19,108.83,105.54,105.65,820.0,2,0.0
2024-05-24,104.0,105.76,103.15,104.92,714.0,1,0.0
2024-05-28,102.6,102.6,99.5,100.12,970.0,2,0.0
2024-05-29,98.35,102.42,98.35,102.41,922.0,1,0.0
2024-05-30,98.7,98.7,93.0,93.0,1332.0,1,0.0
2024-05-31,105.0,106.23,100.0,103.92,1725.0,2,0.0
2024-06-03,103.47,104.27,98.48,102.98,1230.0,1,0.0
2024-06-04,102.99,103.44,99.52,102.49,946.0,3,0.0
2024-06-05,104.04,107.62,102.9,107.14,877.0,3,0.0
2024-06-06,108.11,113.65,107.17,112.73,1284.0,3,0.0
2024-06-07,112.1,112.18,110.0,111.8,720.0,2,0.0
2024-06-10,109.91,112.98,108.59,112.98,1039.0,4,0.0
2024-06-11,112.0,112.0,110.0,111.29,937.0,1,0.0
2024-06-12,112.0,116.63,111.57,114.5,1206.0,2,0.0
2024-06-13,115.0,115.67,112.32,112.68,769.0,1,0.0
2024-06-14,112.19,114.9,112.15,114.21,723.0,2,0.0
2024-06-17,113.32,113.44,110.57,112.28,831.0,3,0.0
2024-06-18,110.51,111.52,109.55,109.83,953.0,1,0.0
2024-06-20,109.61,111.03,106.8,108.74,916.0,4,0.0
2024-06-21,107.07,108.84,106.61,108.29,944.0,2,0.0
2024-06-24,106.79,110.45,106.56,108.92,922.0,3,0.0
2024-06-25,108.1,109.61,107.17,108.83,856.0,6,0.0
2024-06-26,108.5,111.03,108.5,109.6,754.0,4,0.0
2024-06-27,109.41,115.84,109.24,114.29,948.0,2,0.0
2024-06-28,114.93,115.89,113.09,113.6,745.0,4,0.0
2024-07-01,113.91,115.5,112.02,115.07,825.0,4,0.0
2024-07-02,115.61,116.23,113.4,114.88,698.0,2,0.0
2024-07-03,114.93,116.0,113.71,115.64,426.0,3,0.0
2024-07-05,116.09,116.99,114.02,114.61,622.0,1,0.0
2024-07-08,116.47,116.49,113.45,115.78,739.0,1,0.0
2024-07-09,114.26,115.7,111.52,112.17,776.0,1,0.0
2024-07-10,111.06,116.06,111.06,115.03,1187.0,3,0.0
2024-07-11,115.71,120.64,115.4,120.28,1340.0,1,0.0
2024-07-12,120.7,123.39,120.25,122.21,966.0,3,0.0
2024-07-15,121.77,123.46,117.43,117.43,779.0,6,0.0
2024-07-16,118.43,120.68,118.16,118.31,932.0,2,0.0
2024-07-17,116.31,117.35,114.48,115.43,721.0,4,0.0
2024-07-18,115.25,116.47,110.39,111.07,798.0,1,0.0
2024-07-19,110.0,112.95,110.0,111.79,776.0,3,0.0
2024-07-22,112.31,114.08,111.11,113.36,716.0,6,0.0
2024-07-23,112.53,117.81,112.44,116.93,758.0,5,0.0
2024-07-24,115.07,115.75,110.08,110.29,587.0,3,0.0
2024-07-25,110.0,114.65,108.05,113.35,771.0,4,0.0
2024-07-26,113.33,115.43,112.28,112.29,673.0,3,0.0
2024-07-29,112.26,114.37,111.5,112.34,571.0,3,0.0
2024-07-30,113.17,113.4,104.54,106.45,939.0,2,0.0
2024-07-31,107.32,110.92,105.4,109.13,1164.0,8,0.0
2024-08-01,108.75,109.8,106.02,107.04,1018.0,3,0.0
2024-08-02,101.41,102.28,98.33,101.85,1021.0,8,0.0
2024-08-05,94.61,100.99,94.61,99.53,1088.0,6,0.0
2024-08-06,100.26,103.27,99.29,101.39,700.0,2,0.0
2024-08-07,104.03,107.2,100.77,100.83,744.0,5,0.0
2024-08-08,103.0,105.13,100.0,104.7,661.0,6,0.0
2024-08-09,104.46,105.37,102.65,104.87,705.0,3,0.0
2024-08-12,104.2,104.64,102.31,102.8,834.0,5,0.0
2024-08-13,102.72,107.64,102.17,106.51,836.0,3,0.0
2024-08-14,106.51,107.08,103.22,105.68,799.0,3,0.0
2024-08-15,105.64,110.25,105.38,108.74,727.0,2,0.0
2024-08-16,106.39,109.52,106.39,108.64,699.0,4,0.0
2024-08-19,108.47,111.0,107.07,110.75,732.0,7,0.0
2024-08-20,109.77,110.97,109.0,110.23,687.0,5,0.0
2024-08-21,109.2,110.27,107.55,109.78,697.0,6,0.0
2024-08-22,108.26,109.2,105.32,105.5,680.0,5,0.0
2024-08-23,105.03,106.18,104.0,105.59,890.0,6,0.0
2024-08-26,107.22,110.23,106.79,107.21,728.0,6,0.0
2024-08-27,105.48,107.21,105.0,105.0,738.0,4,0.0
2024-08-28,104.54,105.04,101.95,102.97,824.0,2,0.0
2024-08-29,106.55,106.55,102.22,102.88,880.0,4,0.0
2024-08-30,77.41,78.2,73.65,76.15,2104.0,1,0.0
2024-09-03,75.18,77.31,72.57,73.08,1086.0,1,0.0
2024-09-04,73.64,75.72,72.5,73.03,1348.0,3,0.0
2024-09-05,71.58,73.28,71.2,72.48,1066.0,2,0.0
2024-09-06,71.75,72.51,70.07,70.1,1048.0,2,0.0
2024-09-09,69.47,71.79,69.0,71.17,1225.0,2,0.0
2024-09-10,70.53,72.37,70.35,71.98,911.0,2,0.0
2024-09-11,71.53,74.69,71.1,74.39,980.0,2,0.0
2024-09-12,74.46,75.08,73.34,73.73,852.0,2,0.0
2024-09-13,73.53,75.71,73.5,75.26,822.0,2,0.0
2024-09-16,74.79,76.72,74.04,75.8,896.0,2,0.0
2024-09-17,76.0,77.42,74.81,75.31,832.0,2,0.0
2024-09-18,74.53,76.26,74.03,74.95,971.0,3,0.0
2024-09-19,76.52,78.39,76.03,76.32,1117.0,2,0.0
2024-09-20,76.0,76.81,75.21,76.22,876.0,4,0.0
2024-09-23,76.47,77.29,76.11,76.87,791.0,2,0.0
2024-09-24,77.0,78.26,76.0,78.12,739.0,2,0.0
2024-09-25,77.77,78.78,77.0,78.21,775.0,2,0.0
2024-09-26,78.36,78.44,77.12,77.3,767.0,4,0.0
2024-09-27,78.23,78.23,76.61,77.16,746.0,4,0.0
2024-09-30,76.28,77.37,75.61,76.69,835.0,1,0.0
2024-10-01,76.0,76.72,74.02,74.81,884.0,1,0.0
2024-10-02,75.34,76.41,74.0,76.38,1188.0,2,0.0
2024-10-03,75.0,76.14,74.6,75.9,864.0,2,0.0
2024-10-04,77.31,79.4,77.01,78.69,789.0,2,0.0
2024-10-07,79.43,79.7,77.03,77.03,736.0,1,0.0
2024-10-08,77.2,77.43,76.25,76.58,788.0,1,0.0
2024-10-09,77.05,80.01,76.95,79.63,994.0,4,0.0
2024-10-10,78.75,82.53,78.75,81.96,781.0,2,0.0
2024-10-11,81.46,83.82,81.12,82.94,943.0,1,0.0
2024-10-14,85.81,86.8,82.51,83.03,963.0,2,0.0
2024-10-15,83.27,83.5,82.1,82.1,732.0,3,0.0
2024-10-16,81.82,82.96,80.9,81.95,649.0,1,0.0
2024-10-17,81.98,83.2,81.98,82.31,780.0,2,0.0
2024-10-18,82.25,82.9,81.41,81.54,783.0,2,0.0
2024-10-21,81.25,82.0,80.05,80.12,752.0,2,0.0
