time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,61.52,63.81,61.05,63.61,1825.0,1,0.0
2024-01-03,63.3,64.62,62.63,64.3,1751.0,1,0.0
2024-01-04,63.83,64.6,62.58,62.76,1654.0,1,0.0
2024-01-05,62.42,62.84,61.59,62.15,2695.0,1,0.0
2024-01-08,61.75,62.85,61.75,62.81,1663.0,1,0.0
2024-01-09,58.76,59.51,58.01,58.09,2310.0,1,0.0
2024-01-10,57.03,58.47,57.03,58.39,1961.0,1,0.0
2024-01-11,58.0,58.06,56.28,57.15,1809.0,1,0.0
2024-01-12,57.3,57.47,56.57,56.84,1809.0,1,0.0
2024-01-16,56.5,56.9,55.95,56.23,1755.0,1,0.0
2024-01-17,55.38,56.32,54.51,54.78,1856.0,1,0.0
2024-01-18,54.47,54.75,53.55,54.02,5699.0,1,0.0
2024-01-19,53.73,53.97,53.0,53.43,5067.0,1,0.0
2024-01-22,53.37,53.97,52.62,52.8,7301.0,1,0.0
2024-01-23,53.17,53.37,52.09,52.84,5993.0,1,0.0
2024-01-24,53.01,53.52,52.79,53.09,1968.0,1,0.0
2024-01-25,54.25,55.05,53.81,54.86,2193.0,1,0.0
2024-01-26,54.98,56.11,54.75,55.18,1871.0,1,0.0
2024-01-29,54.82,55.55,54.5,55.04,1810.0,0,0.0
2024-01-30,54.88,55.4,54.65,54.77,1920.0,1,0.0
2024-01-31,54.81,55.43,54.04,54.22,1953.0,1,0.0
2024-02-01,53.87,55.91,53.87,55.86,2063.0,1,0.0
2024-02-02,55.0,55.8,54.24,55.19,1645.0,1,0.0
2024-02-05,54.35,54.57,53.65,53.65,1570.0,1,0.0
2024-02-06,53.39,53.98,53.39,53.64,1669.0,1,0.0
2024-02-07,53.75,53.87,53.0,53.58,1716.0,1,0.0
2024-02-08,53.42,54.02,52.69,53.99,1560.0,1,0.0
2024-02-09,53.75,55.26,53.75,54.99,1801.0,1,0.0
2024-02-12,55.0,55.89,54.75,55.47,1680.0,1,0.0
2024-02-13,55.21,55.52,53.74,54.51,2217.0,1,0.0
2024-02-14,55.88,57.87,55.62,57.03,3002.0,1,0.0
2024-02-15,59.14,59.14,57.39,58.51,2805.0,1,0.0
2024-02-16,57.86,58.95,57.52,58.68,2048.0,1,0.0
2024-02-20,58.41,59.16,57.48,57.63,2208.0,1,0.0
2024-02-21,57.52,59.34,57.52,58.37,1822.0,1,0.0
2024-02-22,57.36,58.59,57.2,58.16,2421.0,1,0.0
2024-02-23,58.0,59.32,57.56,58.84,1670.0,1,0.0
2024-02-26,58.02,58.72,57.33,57.68,1484.0,1,0.0
2024-02-27,57.7,59.46,57.7,59.23,1594.0,1,0.0
2024-02-28,58.62,59.2,58.1,58.53,1360.0,1,0.0
2024-02-29,58.84,59.15,58.16,58.7,2107.0,1,0.0
2024-03-01,58.0,58.54,57.52,58.33,1648.0,1,0.0
2024-03-04,57.26,59.23,56.75,58.9,1586.0,1,0.0
2024-03-05,59.0,59.7,58.04,58.18,1751.0,1,0.0
2024-03-06,58.37,58.91,57.85,58.44,1614.0,1,0.0
2024-03-07,58.3,59.65,58.3,59.45,1716.0,1,0.0
2024-03-08,59.08,60.36,59.0,60.09,1663.0,1,0.0
2024-03-11,60.4,60.76,60.0,60.72,2055.0,1,0.0
2024-03-12,60.24,60.64,59.16,59.72,2114.0,1,0.0
2024-03-13,59.81,60.38,58.61,59.12,1534.0,1,0.0
2024-03-14,58.84,59.08,57.75,58.89,1400.0,1,0.0
2024-03-15,59.07,59.43,58.44,58.9,1383.0,1,0.0
2024-03-18,58.5,59.35,58.4,58.9,1354.0,1,0.0
2024-03-19,58.65,59.35,58.44,58.73,1399.0,1,0.0
2024-03-20,58.3,59.64,58.3,58.93,1391.0,1,0.0
2024-03-21,59.0,59.48,57.88,57.99,1321.0,1,0.0
2024-03-22,58.16,58.55,57.76,57.94,1232.0,1,0.0
2024-03-25,57.88,58.18,57.12,57.5,1090.0,1,0.0
2024-03-26,57.24,57.36,56.1,56.37,1219.0,1,0.0
2024-03-27,56.95,58.92,56.78,58.85,1660.0,1,0.0
2024-03-28,58.87,59.98,58.71,59.85,1169.0,1,0.0
2024-04-01,59.57,59.57,58.5,58.85,1428.0,1,0.0
2024-04-02,58.44,59.63,58.44,59.14,1042.0,1,0.0
2024-04-03,58.91,59.09,58.06,58.41,1115.0,1,0.0
2024-04-04,59.14,59.47,58.21,58.87,1122.0,1,0.0
2024-04-05,58.49,58.82,58.04,58.58,1154.0,1,0.0
2024-04-08,58.51,59.57,58.51,59.35,935.0,1,0.0
2024-04-09,59.47,60.29,59.45,59.86,1126.0,1,0.0
2024-04-10,58.8,59.18,58.25,59.03,1293.0,1,0.0
2024-04-11,59.27,59.33,58.43,59.18,1122.0,1,0.0
2024-04-12,58.73,59.46,58.38,58.73,1575.0,1,0.0
2024-04-15,58.95,59.23,57.6,58.15,1371.0,1,0.0
2024-04-16,57.68,57.68,56.58,57.13,1497.0,1,0.0
2024-04-17,57.37,58.54,56.97,58.51,1674.0,1,0.0
2024-04-18,58.47,59.19,58.0,58.96,1155.0,1,0.0
2024-04-19,58.95,59.88,58.81,59.7,1317.0,1,0.0
2024-04-22,59.38,60.81,59.38,60.31,1058.0,1,0.0
2024-04-23,59.68,60.91,59.68,60.15,950.0,1,0.0
2024-04-24,59.31,61.03,59.31,60.81,1307.0,1,0.0
2024-04-25,60.75,60.75,59.56,60.47,1106.0,1,0.0
2024-04-26,60.12,60.55,59.49,59.61,871.0,1,0.0
2024-04-29,59.69,60.69,59.51,60.3,989.0,1,0.0
2024-04-30,59.28,60.84,59.0,60.53,1129.0,1,0.0
2024-05-01,60.41,62.45,60.36,61.5,1419.0,1,0.0
2024-05-02,61.87,62.94,60.19,60.79,1358.0,1,0.0
2024-05-03,61.0,61.28,58.9,60.05,1412.0,1,0.0
2024-05-06,60.01,60.29,59.5,59.68,944.0,1,0.0
2024-05-07,60.01,61.25,60.0,61.21,1367.0,1,0.0
2024-05-08,60.85,61.32,60.25,61.1,940.0,1,0.0
2024-05-09,60.57,61.82,60.57,61.62,893.0,1,0.0
2024-05-10,61.79,62.08,61.4,61.82,886.0,1,0.0
2024-05-13,61.51,61.77,61.01,61.24,1326.0,1,0.0
2024-05-14,61.35,61.87,60.77,60.97,899.0,1,0.0
2024-05-15,60.81,60.98,60.3,60.4,892.0,1,0.0
2024-05-16,60.39,61.73,60.07,61.36,1085.0,1,0.0
2024-05-17,61.02,61.35,60.6,60.96,982.0,1,0.0
2024-05-20,60.69,60.92,60.52,60.78,749.0,1,0.0
2024-05-21,60.68,61.31,60.6,61.1,1074.0,1,0.0
2024-05-22,60.4,61.04,59.75,59.83,1317.0,1,0.0
2024-05-23,59.01,59.01,57.38,57.56,967.0,1,0.0
2024-05-24,57.56,58.27,57.29,57.51,1020.0,1,0.0
2024-05-28,57.5,58.27,56.76,56.76,870.0,1,0.0
2024-05-29,56.31,56.85,56.05,56.83,922.0,1,0.0
2024-05-30,57.1,57.53,56.59,57.36,1120.0,1,0.0
2024-05-31,57.63,59.17,57.63,59.11,1295.0,1,0.0
2024-06-03,59.08,59.9,58.91,59.65,1238.0,1,0.0
2024-06-04,59.28,61.02,59.28,60.76,1161.0,1,0.0
2024-06-05,60.35,60.49,59.4,59.51,1056.0,1,0.0
2024-06-06,59.04,60.18,58.67,58.75,824.0,1,0.0
2024-06-07,58.29,59.05,58.0,58.73,983.0,1,0.0
2024-06-10,58.4,59.37,58.0,58.96,1153.0,1,0.0
2024-06-11,58.4,59.27,58.25,59.05,1135.0,1,0.0
2024-06-12,59.65,59.65,58.25,58.92,1251.0,1,0.0
2024-06-13,58.88,59.09,57.79,58.66,998.0,1,0.0
2024-06-14,58.17,59.14,58.0,58.98,984.0,1,0.0
2024-06-17,58.0,58.52,57.45,57.6,1059.0,1,0.0
2024-06-18,57.56,58.17,57.28,57.98,1115.0,1,0.0
2024-06-20,57.79,58.4,57.6,57.96,951.0,1,0.0
2024-06-21,57.67,58.22,57.16,57.16,994.0,1,0.0
2024-06-24,57.23,58.12,57.0,58.02,1060.0,1,0.0
2024-06-25,57.93,58.29,57.01,57.09,1133.0,1,0.0
2024-06-26,56.5,57.12,56.28,56.98,811.0,1,0.0
2024-06-27,56.7,57.63,56.7,57.2,1279.0,1,0.0
2024-06-28,56.79,57.18,56.3,56.55,1079.0,1,0.0
2024-07-01,56.78,57.33,56.3,56.46,1004.0,1,0.0
2024-07-02,56.49,57.23,56.22,56.5,818.0,1,0.0
2024-07-03,56.62,57.79,56.62,57.39,619.0,1,0.0
2024-07-05,57.0,57.78,57.0,57.3,976.0,1,0.0
2024-07-08,57.09,57.49,57.0,57.28,1427.0,1,0.0
2024-07-09,57.14,57.89,56.81,57.81,1736.0,1,0.0
2024-07-10,57.97,58.15,57.22,58.08,1640.0,1,0.0
2024-07-11,58.37,59.7,58.27,59.45,3346.0,1,0.0
2024-07-12,59.28,60.6,59.15,60.3,2614.0,1,0.0
2024-07-15,59.45,59.99,59.02,59.26,1205.0,1,0.0
2024-07-16,59.28,59.78,59.04,59.6,1173.0,1,0.0
2024-07-17,59.56,61.78,59.56,61.49,1549.0,1,0.0
2024-07-18,61.19,62.35,60.96,61.37,1340.0,1,0.0
2024-07-19,61.21,61.21,60.5,61.0,1024.0,1,0.0
2024-07-22,60.93,62.09,60.91,61.68,955.0,1,0.0
2024-07-23,61.47,61.55,60.69,60.69,1000.0,1,0.0
2024-07-24,61.0,63.08,61.0,62.93,1456.0,1,0.0
2024-07-25,63.21,64.75,63.0,63.55,2006.0,1,0.0
2024-07-26,63.35,64.53,63.25,64.37,1295.0,1,0.0
2024-07-29,64.57,65.35,64.09,64.92,1130.0,1,0.0
2024-07-30,64.64,66.03,64.41,65.92,1075.0,1,0.0
2024-07-31,65.3,65.75,64.63,64.99,1150.0,1,0.0
2024-08-01,64.25,66.38,64.25,65.98,1369.0,1,0.0
2024-08-02,68.0,68.57,65.66,66.94,1784.0,1,0.0
2024-08-05,66.45,67.0,64.94,64.98,1469.0,1,0.0
2024-08-06,64.94,65.9,64.94,65.57,2019.0,1,0.0
2024-08-07,65.25,66.28,65.19,65.21,1973.0,1,0.0
2024-08-08,64.57,65.47,64.35,64.72,1744.0,1,0.0
2024-08-09,64.32,65.15,63.7,64.9,2098.0,1,0.0
2024-08-12,64.69,65.17,64.11,64.78,1877.0,1,0.0
2024-08-13,65.05,65.79,64.83,65.73,1764.0,1,0.0
2024-08-14,65.13,66.73,65.07,66.38,2308.0,1,0.0
2024-08-15,65.52,65.55,64.61,64.61,4064.0,1,0.0
2024-08-16,64.97,65.17,64.67,65.06,2350.0,1,0.0
2024-08-19,65.24,65.96,65.04,65.75,3105.0,1,0.0
2024-08-20,65.96,66.07,65.69,65.98,3827.0,1,0.0
2024-08-21,65.97,66.69,65.87,66.52,3754.0,1,0.0
2024-08-22,66.88,67.22,66.6,66.96,4953.0,1,0.0
2024-08-23,67.24,67.42,66.53,66.79,4608.0,1,0.0
2024-08-26,66.91,67.24,66.63,66.88,2043.0,1,0.0
2024-08-27,66.91,67.09,66.28,66.42,2252.0,1,0.0
2024-08-28,66.39,67.32,66.24,66.96,1821.0,1,0.0
2024-08-29,66.75,66.82,66.02,66.54,2273.0,1,0.0
2024-08-30,66.63,67.51,66.63,67.31,2053.0,1,0.0
2024-09-03,67.21,68.12,67.03,67.72,2368.0,1,0.0
2024-09-04,67.87,68.65,67.63,68.14,2558.0,1,0.0
2024-09-05,68.52,68.82,67.88,67.92,2238.0,1,0.0
2024-09-06,67.95,68.2,67.26,67.36,2507.0,1,0.0
2024-09-09,67.44,68.05,67.4,67.92,1627.0,1,0.0
