time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,238.97,239.56,236.8,238.67,2104.0,2,0.0
2024-01-03,237.05,237.05,231.75,232.74,2281.0,2,0.0
2024-01-04,233.75,236.86,233.75,234.18,1800.0,2,0.0
2024-01-05,234.2,235.52,233.58,234.76,2072.0,3,0.0
2024-01-08,235.0,239.1,234.05,238.92,1776.0,3,0.0
2024-01-09,237.06,239.7,235.5,239.52,2140.0,3,0.0
2024-01-10,240.0,242.02,239.6,240.79,2501.0,1,0.0
2024-01-11,240.8,243.31,239.0,243.2,2553.0,1,0.0
2024-01-12,243.53,243.54,240.8,242.09,1997.0,3,0.0
2024-01-16,240.65,243.14,239.1,241.55,2092.0,2,0.0
2024-01-17,236.4,238.71,236.0,237.21,2111.0,1,0.0
2024-01-18,236.87,240.6,236.5,240.2,2195.0,3,0.0
2024-01-19,240.67,244.55,240.0,244.45,2077.0,1,0.0
2024-01-22,245.68,246.86,243.46,243.96,1865.0,2,0.0
2024-01-23,240.28,243.32,239.1,243.0,2054.0,1,0.0
2024-01-24,243.82,244.71,241.41,241.61,2594.0,1,0.0
2024-01-25,243.43,246.22,241.57,245.53,2950.0,1,0.0
2024-01-26,245.44,247.43,244.61,245.84,2404.0,1,0.0
2024-01-29,244.05,248.69,244.05,248.61,2675.0,2,0.0
2024-01-30,248.37,251.07,248.0,250.2,2360.0,2,0.0
2024-01-31,247.01,250.41,245.59,245.75,3037.0,2,0.0
2024-02-01,253.91,264.52,253.91,264.34,3429.0,1,0.0
2024-02-02,265.0,271.71,265.0,270.0,4168.0,1,0.0
2024-02-05,268.0,269.89,266.5,269.36,2896.0,2,0.0
2024-02-06,270.25,272.23,267.76,270.51,2334.0,3,0.0
2024-02-07,272.5,273.93,271.0,272.42,2075.0,2,0.0
2024-02-08,272.0,274.55,272.0,272.58,1616.0,2,0.0
2024-02-09,273.22,278.48,273.0,278.0,1886.0,1,0.0
2024-02-12,276.91,277.0,272.51,273.78,1961.0,2,0.0
2024-02-13,267.42,272.99,265.87,272.54,3127.0,2,0.0
2024-02-14,273.86,277.11,272.53,275.61,2646.0,3,0.0
2024-02-15,275.75,276.53,272.4,275.43,2493.0,2,0.0
2024-02-16,274.97,278.73,274.97,276.8,1907.0,1,0.0
2024-02-20,275.79,277.6,274.0,275.68,2394.0,2,0.0
2024-02-21,274.16,277.91,273.94,276.55,2061.0,3,0.0
2024-02-22,283.48,286.17,281.91,284.84,2370.0,1,0.0
2024-02-23,285.88,287.81,282.8,284.86,2122.0,4,0.0
2024-02-26,285.5,287.44,284.0,284.27,2073.0,1,0.0
2024-02-27,284.39,285.25,282.15,283.36,1750.0,3,0.0
2024-02-28,282.82,287.57,282.82,286.86,1983.0,1,0.0
2024-02-29,286.76,289.79,285.72,289.3,2580.0,2,0.0
2024-03-01,291.3,294.22,291.0,293.34,2270.0,1,0.0
2024-03-04,296.55,298.06,294.5,296.08,1945.0,2,0.0
2024-03-05,293.7,294.95,289.22,292.28,2728.0,1,0.0
2024-03-06,294.85,298.12,294.85,296.52,2009.0,4,0.0
2024-03-07,299.46,301.09,296.85,300.7,1963.0,1,0.0
2024-03-08,299.5,303.24,295.5,297.11,2698.0,3,0.0
2024-03-11,294.85,294.85,289.57,292.61,2129.0,2,0.0
2024-03-12,293.73,298.25,291.0,297.7,2030.0,3,0.0
2024-03-13,296.8,300.65,295.55,300.13,2159.0,3,0.0
2024-03-14,301.7,302.76,297.36,299.46,2243.0,3,0.0
2024-03-15,298.08,302.57,298.0,298.15,2403.0,2,0.0
2024-03-18,301.49,302.99,298.26,298.26,1920.0,3,0.0
2024-03-19,297.0,303.14,297.0,302.59,1658.0,3,0.0
2024-03-20,303.8,310.37,303.26,309.33,2331.0,4,0.0
2024-03-21,312.0,315.68,310.11,315.05,1924.0,2,0.0
2024-03-22,314.71,316.95,314.33,316.62,2029.0,1,0.0
