time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,50.25,51.3,50.13,51.28,1864.0,1,0.0
2024-01-03,51.16,51.6,50.83,51.45,1377.0,1,0.0
2024-01-04,51.32,52.16,51.21,51.36,1524.0,1,0.0
2024-01-05,51.15,52.05,51.1,51.86,1637.0,1,0.0
2024-01-08,51.75,52.35,51.6,52.26,1333.0,1,0.0
2024-01-09,51.8,52.27,51.64,52.11,1380.0,1,0.0
2024-01-10,52.0,52.44,51.91,52.18,1429.0,1,0.0
2024-01-11,51.9,52.09,50.86,51.27,1237.0,1,0.0
2024-01-12,51.47,51.69,51.2,51.46,1329.0,1,0.0
2024-01-16,51.28,51.83,50.92,51.47,1318.0,1,0.0
2024-01-17,51.08,51.27,49.71,50.26,1557.0,1,0.0
2024-01-18,49.91,50.04,49.33,49.44,2008.0,1,0.0
2024-01-19,49.32,49.68,49.18,49.49,1460.0,1,0.0
2024-01-22,49.5,49.78,48.88,49.18,1267.0,1,0.0
2024-01-23,49.1,49.32,48.69,49.14,1297.0,1,0.0
2024-01-24,49.21,49.54,48.54,48.63,1953.0,1,0.0
2024-01-25,49.0,49.65,48.69,49.49,1222.0,1,0.0
2024-01-26,49.55,49.88,49.38,49.64,1265.0,1,0.0
2024-01-29,49.51,50.05,49.35,49.78,1156.0,1,0.0
2024-01-30,49.63,50.34,49.4,50.06,1553.0,1,0.0
2024-01-31,50.39,50.52,49.5,49.82,1681.0,1,0.0
2024-02-01,49.31,51.02,49.22,50.91,1853.0,1,0.0
2024-02-02,50.33,50.77,49.63,50.31,2009.0,1,0.0
2024-02-05,49.75,50.17,49.26,49.65,1553.0,1,0.0
2024-02-06,49.56,49.9,49.25,49.75,1369.0,1,0.0
2024-02-07,49.78,49.9,49.27,49.35,1846.0,1,0.0
2024-02-08,48.56,48.81,48.06,48.63,1333.0,1,0.0
2024-02-09,48.4,48.99,48.35,48.92,1279.0,1,0.0
2024-02-12,48.95,49.66,48.61,49.44,1423.0,1,0.0
2024-02-13,49.27,49.32,48.02,49.14,1675.0,1,0.0
2024-02-14,49.06,49.4,48.52,49.0,1444.0,1,0.0
2024-02-15,49.19,50.0,49.09,49.88,1313.0,1,0.0
2024-02-16,49.56,50.35,49.5,50.01,2712.0,1,0.0
2024-02-20,49.88,50.51,49.88,49.94,1592.0,1,0.0
2024-02-21,50.01,50.83,49.85,50.51,1821.0,1,0.0
2024-02-22,50.0,50.71,49.85,50.63,3960.0,1,0.0
2024-02-23,50.77,51.54,50.76,51.23,3436.0,1,0.0
2024-02-26,50.76,50.88,49.87,49.88,3299.0,1,0.0
2024-02-27,50.03,50.35,49.95,50.32,3403.0,1,0.0
2024-02-28,50.27,50.42,50.02,50.18,2697.0,1,0.0
2024-02-29,50.38,50.89,50.28,50.8,3518.0,1,0.0
2024-03-01,50.28,50.42,49.75,50.18,3638.0,1,0.0
2024-03-04,49.98,51.17,49.98,50.91,3588.0,1,0.0
2024-03-05,51.17,51.94,50.78,50.95,4406.0,1,0.0
2024-03-06,51.17,51.6,51.0,51.25,3255.0,1,0.0
2024-03-07,51.47,51.94,51.22,51.47,3210.0,1,0.0
2024-03-08,51.23,51.78,51.0,51.61,4751.0,1,0.0
2024-03-11,51.73,52.01,51.4,51.65,3741.0,1,0.0
2024-03-12,51.31,51.68,50.93,51.42,3636.0,1,0.0
2024-03-13,51.47,51.94,51.33,51.47,3344.0,1,0.0
2024-03-14,50.92,51.22,50.5,51.15,4267.0,1,0.0
2024-03-15,51.16,51.51,50.79,50.89,4578.0,1,0.0
2024-03-18,50.82,51.39,50.75,51.14,4118.0,1,0.0
2024-03-19,51.15,51.77,51.0,51.63,4014.0,1,0.0
2024-03-20,51.28,51.98,51.25,51.35,3996.0,1,0.0
2024-03-21,51.53,52.08,51.53,51.71,3578.0,1,0.0
2024-03-22,51.77,52.0,51.42,51.54,1966.0,1,0.0
2024-03-25,51.6,51.74,51.34,51.53,2012.0,1,0.0
2024-03-26,51.44,51.64,51.06,51.15,2500.0,1,0.0
2024-03-27,51.32,52.3,51.32,52.26,2880.0,1,0.0
2024-03-28,52.39,52.88,52.03,52.79,2130.0,1,0.0
2024-04-01,52.55,52.61,52.09,52.41,2647.0,1,0.0
2024-04-02,52.35,53.16,52.35,52.57,1303.0,1,0.0
2024-04-03,52.64,52.78,52.01,52.17,2683.0,1,0.0
2024-04-04,52.5,52.5,51.66,52.19,1608.0,1,0.0
2024-04-05,51.82,52.37,51.63,52.03,3443.0,1,0.0
2024-04-08,51.93,52.82,51.93,52.73,2698.0,1,0.0
2024-04-09,52.92,53.21,52.72,53.06,2981.0,1,0.0
2024-04-10,52.13,52.38,51.74,52.21,4080.0,1,0.0
2024-04-11,52.42,52.51,51.67,51.93,3464.0,1,0.0
2024-04-12,51.81,52.08,51.11,51.36,3724.0,1,0.0
2024-04-15,51.75,51.81,50.9,51.1,3239.0,1,0.0
2024-04-16,50.91,50.91,50.14,50.3,4183.0,1,0.0
2024-04-17,50.71,51.66,50.52,51.6,3930.0,1,0.0
2024-04-18,51.66,51.96,51.15,51.84,3352.0,1,0.0
2024-04-19,52.13,53.57,52.05,53.28,4503.0,1,0.0
2024-04-22,52.98,53.92,52.53,53.71,5235.0,1,0.0
2024-04-23,53.42,54.12,53.42,53.53,2725.0,1,0.0
2024-04-24,51.51,53.52,51.51,53.21,2960.0,1,0.0
2024-04-25,53.08,53.88,52.82,53.71,3925.0,1,0.0
2024-04-26,53.49,53.64,53.01,53.14,2536.0,1,0.0
2024-04-29,53.44,53.83,53.32,53.49,2101.0,1,0.0
2024-04-30,53.1,53.75,52.71,53.22,2439.0,1,0.0
2024-05-01,52.63,53.91,52.54,53.49,3376.0,1,0.0
2024-05-02,53.53,53.79,53.06,53.5,2256.0,1,0.0
2024-05-03,53.6,54.07,53.28,53.95,1987.0,1,0.0
2024-05-06,54.25,54.68,53.66,54.54,2389.0,1,0.0
2024-05-07,54.53,55.3,54.5,55.25,3105.0,1,0.0
2024-05-08,54.8,55.42,54.8,55.35,2370.0,1,0.0
2024-05-09,55.21,55.75,55.16,55.72,2234.0,1,0.0
2024-05-10,55.75,56.29,55.52,55.99,2741.0,1,0.0
2024-05-13,55.84,56.32,55.77,55.92,2171.0,1,0.0
2024-05-14,55.97,56.04,55.5,55.72,2037.0,1,0.0
