time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,52.0,53.63,51.85,53.39,1649.0,1,0.0
2024-01-03,53.44,54.02,53.0,53.82,1586.0,1,0.0
2024-01-04,53.33,54.03,53.33,53.56,2047.0,1,0.0
2024-01-05,53.52,54.23,53.16,53.64,1815.0,1,0.0
2024-01-08,53.62,53.93,53.4,53.92,5997.0,1,0.0
2024-01-09,53.5,54.46,53.5,54.2,6033.0,1,0.0
2024-01-10,53.73,54.4,53.73,54.08,5149.0,1,0.0
2024-01-11,53.81,54.07,53.02,53.38,8062.0,1,0.0
2024-01-12,53.6,54.02,53.3,53.79,5682.0,1,0.0
2024-01-16,53.56,53.56,52.66,52.8,7007.0,1,0.0
2024-01-17,52.35,52.9,51.64,51.81,6362.0,1,0.0
2024-01-18,51.46,51.64,50.82,50.91,5857.0,1,0.0
2024-01-19,50.91,51.0,50.25,50.37,5377.0,1,0.0
2024-01-22,50.34,50.95,49.67,49.85,7388.0,1,0.0
2024-01-23,49.84,50.1,49.37,50.0,5279.0,1,0.0
2024-01-24,50.18,50.55,49.31,49.33,6630.0,1,0.0
2024-01-25,49.73,50.14,49.34,50.04,6590.0,1,0.0
2024-01-26,50.23,50.43,49.68,49.78,5131.0,1,0.0
2024-01-29,49.84,50.84,49.6,50.58,4768.0,1,0.0
2024-01-30,50.29,50.9,49.82,50.67,6055.0,1,0.0
2024-01-31,51.13,51.53,50.15,50.77,4486.0,1,0.0
2024-02-01,50.25,51.86,50.25,51.74,7690.0,1,0.0
2024-02-02,51.05,51.21,50.25,50.74,8629.0,1,0.0
2024-02-05,50.0,50.2,49.58,49.67,7235.0,1,0.0
2024-02-06,49.42,49.79,49.31,49.67,6454.0,1,0.0
2024-02-07,49.8,49.8,49.35,49.38,6046.0,1,0.0
2024-02-08,49.0,49.06,48.03,48.62,5679.0,1,0.0
2024-02-09,48.47,49.26,48.38,49.07,5404.0,1,0.0
2024-02-12,49.09,49.73,48.76,49.71,6084.0,1,0.0
2024-02-13,49.41,49.52,48.15,49.15,7654.0,1,0.0
2024-02-14,49.08,49.49,48.76,49.18,6719.0,1,0.0
2024-02-15,49.48,50.19,49.4,49.9,7177.0,1,0.0
2024-02-16,49.5,50.41,49.3,50.02,7049.0,0,0.0
2024-02-20,49.91,50.6,49.91,50.11,6180.0,1,0.0
2024-02-21,50.19,50.74,50.01,50.59,6555.0,1,0.0
2024-02-22,49.95,50.56,49.9,50.26,6493.0,1,0.0
2024-02-23,50.12,50.81,50.03,50.58,6278.0,1,0.0
2024-02-26,50.02,50.25,49.41,49.5,5588.0,1,0.0
2024-02-27,49.5,50.2,49.47,50.15,5471.0,1,0.0
2024-02-28,49.53,50.22,49.53,49.78,4754.0,1,0.0
2024-02-29,49.77,50.33,49.45,49.58,4808.0,1,0.0
2024-03-01,49.1,49.16,48.58,49.11,5421.0,1,0.0
2024-03-04,49.1,49.99,48.8,49.95,4283.0,1,0.0
2024-03-05,50.16,51.14,50.03,50.35,5050.0,1,0.0
2024-03-06,50.53,51.18,50.36,50.69,5179.0,1,0.0
2024-03-07,50.8,51.43,50.79,51.32,5370.0,1,0.0
2024-03-08,50.72,51.96,50.34,51.56,5435.0,1,0.0
2024-03-11,51.66,52.09,51.26,51.62,4434.0,1,0.0
2024-03-12,51.25,51.41,50.6,51.28,4294.0,1,0.0
2024-03-13,51.46,52.36,51.28,51.43,4433.0,1,0.0
2024-03-14,51.43,51.49,50.56,50.91,4662.0,1,0.0
2024-03-15,51.17,51.71,51.0,51.61,4530.0,1,0.0
2024-03-18,51.26,51.94,51.2,51.73,3313.0,1,0.0
2024-03-19,51.61,52.42,51.61,52.19,3820.0,1,0.0
2024-03-20,52.03,52.35,51.41,51.71,4319.0,1,0.0
2024-03-21,51.77,52.18,51.63,51.83,3955.0,1,0.0
2024-03-22,51.96,52.17,51.34,51.72,3425.0,1,0.0
2024-03-25,51.64,51.85,51.11,51.37,3808.0,1,0.0
2024-03-26,51.4,51.76,51.05,51.3,4407.0,1,0.0
2024-03-27,51.43,53.02,51.39,53.02,4409.0,0,0.0
2024-03-28,52.98,53.59,52.9,53.4,3872.0,1,0.0
2024-04-01,53.03,53.16,52.58,52.75,3940.0,1,0.0
2024-04-02,52.75,53.41,52.66,53.01,3439.0,1,0.0
2024-04-03,52.79,52.91,52.3,52.64,3214.0,1,0.0
2024-04-04,52.86,52.86,52.33,52.68,4814.0,1,0.0
2024-04-05,52.23,52.39,51.8,52.17,1915.0,1,0.0
2024-04-08,52.01,52.9,52.01,52.75,3930.0,1,0.0
2024-04-09,52.8,53.17,52.62,52.93,4439.0,1,0.0
2024-04-10,52.01,52.01,51.32,51.71,2946.0,1,0.0
2024-04-11,51.79,51.96,50.98,51.4,3402.0,1,0.0
2024-04-12,51.25,51.74,50.6,50.95,4990.0,1,0.0
2024-04-15,51.09,51.39,50.27,50.42,4282.0,1,0.0
2024-04-16,50.18,50.32,49.54,49.54,6614.0,1,0.0
2024-04-17,49.72,50.66,49.67,50.52,4711.0,1,0.0
2024-04-18,50.63,51.07,50.31,51.0,4875.0,0,0.0
2024-04-19,51.11,51.96,50.97,51.72,5211.0,1,0.0
2024-04-22,51.49,52.36,51.49,52.18,3953.0,1,0.0
2024-04-23,51.85,52.69,51.85,52.19,4021.0,1,0.0
2024-04-24,51.29,52.7,51.17,52.49,4473.0,1,0.0
2024-04-25,52.22,52.58,51.81,52.4,4800.0,1,0.0
2024-04-26,52.27,52.56,51.63,51.7,3778.0,1,0.0
2024-04-29,51.83,52.77,51.82,52.7,4351.0,1,0.0
2024-04-30,52.29,52.8,51.76,52.43,2284.0,1,0.0
2024-05-01,52.34,53.36,52.11,52.85,3664.0,1,0.0
2024-05-02,53.05,53.57,52.68,53.46,5180.0,1,0.0
2024-05-03,53.75,54.17,53.25,54.08,4218.0,0,0.0
2024-05-06,54.11,54.21,53.6,53.95,3472.0,1,0.0
2024-05-07,53.86,54.66,53.8,54.44,3152.0,1,0.0
2024-05-08,54.0,54.69,54.0,54.57,3676.0,1,0.0
2024-05-09,54.0,55.83,54.0,55.75,4429.0,1,0.0
2024-05-10,55.87,56.01,55.22,55.44,3153.0,1,0.0
2024-05-13,55.5,56.04,55.44,55.72,3227.0,1,0.0
2024-05-14,56.07,56.2,55.09,55.31,1989.0,1,0.0
2024-05-15,55.64,56.14,55.5,55.68,1658.0,1,0.0
2024-05-16,55.61,55.92,55.38,55.68,1105.0,0,0.0
2024-05-17,54.89,55.58,54.74,55.05,889.0,1,0.0
2024-05-20,55.01,55.21,54.79,55.07,973.0,1,0.0
2024-05-21,55.09,55.64,55.09,55.56,883.0,1,0.0
2024-05-22,54.99,55.45,54.75,54.83,1119.0,1,0.0
2024-05-23,54.39,54.39,53.38,53.46,1122.0,1,0.0
2024-05-24,53.51,53.72,53.35,53.4,1492.0,1,0.0
2024-05-28,53.4,53.74,53.06,53.22,1053.0,1,0.0
2024-05-29,52.62,52.78,52.35,52.59,914.0,1,0.0
2024-05-30,52.79,53.26,52.57,53.23,995.0,1,0.0
2024-05-31,53.34,54.67,53.31,54.58,1692.0,1,0.0
2024-06-03,54.25,54.91,54.08,54.24,1426.0,1,0.0
2024-06-04,54.03,54.96,54.03,54.61,1053.0,1,0.0
2024-06-05,54.37,54.37,53.7,53.79,964.0,1,0.0
2024-06-06,53.61,54.0,53.32,53.43,897.0,1,0.0
2024-06-07,52.8,53.32,52.7,53.0,834.0,1,0.0
2024-06-10,52.53,53.14,52.53,53.0,1083.0,1,0.0
2024-06-11,52.52,53.33,52.52,53.24,1124.0,1,0.0
2024-06-12,53.41,53.42,52.8,53.15,1477.0,1,0.0
2024-06-13,53.03,53.25,52.3,52.96,1017.0,1,0.0
2024-06-14,52.54,53.06,52.51,52.67,676.0,1,0.0
2024-06-17,52.21,53.23,52.1,52.62,796.0,1,0.0
2024-06-18,52.69,53.14,52.42,52.73,1042.0,1,0.0
2024-06-20,52.76,53.43,52.65,52.86,795.0,1,0.0
2024-06-21,52.86,53.27,52.49,52.56,757.0,1,0.0
2024-06-24,52.69,53.58,52.66,53.27,948.0,1,0.0
2024-06-25,53.0,53.12,52.57,52.78,690.0,1,0.0
2024-06-26,52.11,52.88,52.1,52.84,723.0,1,0.0
2024-06-27,52.63,53.27,52.6,53.09,1051.0,1,0.0
2024-06-28,53.07,53.44,52.87,52.93,993.0,1,0.0
2024-07-01,53.09,53.46,52.52,52.62,937.0,1,0.0
2024-07-02,52.87,53.24,52.61,52.76,641.0,1,0.0
2024-07-03,52.75,53.24,52.43,52.43,566.0,1,0.0
2024-07-05,52.28,53.0,52.25,52.84,887.0,1,0.0
2024-07-08,52.6,53.0,52.5,52.81,744.0,1,0.0
2024-07-09,52.83,53.54,52.7,53.15,868.0,1,0.0
2024-07-10,53.3,53.68,53.22,53.61,828.0,1,0.0
