time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,63.59,63.95,63.43,63.52,2108,2,0
2024-01-03,63.31,63.49,62.97,63.21,2982,2,0
2024-01-04,63.1,63.44,63.01,63.07,1638,2,0
2024-01-05,63.56,64.19,63.45,63.51,3602,2,0
2024-01-08,63.67,64.47,63.67,64.46,1399,2,0
2024-01-09,64.04,64.23,63.96,64.05,1579,2,0
2024-01-10,65.25,65.4,65.12,65.2,1497,0,0
2024-01-11,65.77,65.9,65.25,65.79,3690,2,0
2024-01-12,66.53,66.78,66.33,66.44,2486,2,0
2024-01-16,66.57,66.57,65.79,65.92,3066,2,0
2024-01-17,64.93,65.11,64.75,65.11,2426,2,0
2024-01-18,65.43,65.71,65.34,65.68,2410,2,0
2024-01-19,65.49,65.89,65.28,65.82,2592,2,0
2024-01-22,66.54,66.84,66.48,66.68,1830,2,0
2024-01-23,65.93,66.12,65.78,66.07,1868,2,0
2024-01-24,66.29,66.55,66.13,66.16,2637,2,0
2024-01-25,66.07,66.19,65.71,65.9,3103,2,0
2024-01-26,65.34,65.61,65.3,65.37,1826,2,0
2024-01-29,65.83,66.28,65.74,66.15,1400,2,0
2024-01-30,66.03,66.04,65.81,65.93,1666,2,0
2024-01-31,66.5,66.9,66.01,66.16,6516,2,0
2024-02-01,66.54,66.92,66.28,66.91,3411,2,0
2024-02-02,66.26,66.52,66.08,66.52,2781,2,0
2024-02-05,66.26,66.4,65.92,66.23,2002,2,0
2024-02-06,65.82,66.17,65.79,66.16,2734,2,0
2024-02-07,66.5,66.63,66.4,66.54,2498,2,0
2024-02-08,66.26,66.38,65.96,66.36,1658,2,0
2024-02-09,66.37,66.63,66.28,66.63,1540,1,0
2024-02-12,66.82,67.19,66.8,66.94,1289,2,0
2024-02-13,67.07,67.24,66.51,66.72,2205,2,0
2024-02-14,66.86,67.01,66.64,66.99,1865,2,0
2024-02-15,67.23,67.69,67.21,67.62,2155,2,0
2024-02-16,67.5,67.93,67.36,67.62,2703,2,0
2024-02-20,67.99,68.07,67.66,67.91,2012,2,0
2024-02-21,67.79,67.97,67.56,67.74,2135,2,0
2024-02-22,68.75,68.96,68.64,68.87,2032,1,0
2024-02-23,69.03,69.21,68.97,69.03,1430,1,0
2024-02-26,69.17,69.21,68.89,68.97,1596,2,0
2024-02-27,69.07,69.25,69.05,69.16,1270,2,0
2024-02-28,68.64,68.82,68.61,68.67,1351,2,0
2024-02-29,69.23,69.37,68.81,69.16,1804,2,0
2024-03-01,69.91,70.39,69.8,70.31,2160,0,0
2024-03-04,69.99,70.09,69.82,69.91,1225,2,0
2024-03-05,70.54,70.77,70.16,70.29,2620,2,0
2024-03-06,71.27,71.63,71.16,71.37,3101,2,0
2024-03-07,71.26,71.42,71.12,71.32,2351,2,0
2024-03-08,71.66,71.75,71.11,71.15,5187,2,0
2024-03-11,69.84,69.89,69.44,69.56,1849,2,0
2024-03-12,69.63,70.03,69.32,69.97,2556,0,0
2024-03-13,69.18,69.5,69.08,69.38,1883,2,0
2024-03-14,69.61,69.68,68.82,69.02,2882,2,0
2024-03-15,69.46,69.63,69.27,69.55,2458,2,0
2024-03-18,70.53,70.7,70.28,70.63,1748,2,0
2024-03-19,70.62,71.04,70.49,70.93,1508,2,0
2024-03-20,70.98,71.51,70.86,71.47,4743,2,0
2024-03-21,71.69,71.92,71.69,71.81,2173,2,0
2024-03-22,72.04,72.06,71.74,71.85,1460,2,0
2024-03-25,70.92,71.17,70.91,70.96,1218,2,0
2024-03-26,71.35,71.57,71.29,71.3,1399,2,0
2024-03-27,71.43,71.61,71.27,71.6,1472,2,0
2024-03-28,71.14,71.51,71.14,71.37,1526,2,0
2024-04-01,70.33,70.4,70.06,70.27,1833,2,0
2024-04-02,69.82,69.93,69.56,69.92,2422,2,0
2024-04-03,69.98,70.52,69.94,70.41,2302,2,0
2024-04-04,70.72,70.75,69.62,69.65,3414,2,0
2024-04-05,69.73,70.04,69.59,69.86,3826,2,0
2024-04-08,70.35,70.5,70.18,70.24,2272,2,0
2024-04-09,70.77,70.81,70.19,70.45,3009,2,0
2024-04-10,69.43,69.68,69.11,69.4,5159,2,0
2024-04-11,69.91,70.1,69.27,69.97,3852,2,0
2024-04-12,69.54,69.64,68.99,69.04,4002,1,0
2024-04-15,69.66,69.82,68.66,68.78,4076,2,0
2024-04-16,67.95,68.12,67.62,67.79,6046,2,0
2024-04-17,67.32,67.42,66.84,67.12,5773,2,0
2024-04-18,67.17,67.41,66.79,66.87,4560,2,0
2024-04-19,66.72,66.86,66.34,66.47,6601,2,0
2024-04-22,66.82,67.37,66.71,67.18,2969,2,0
2024-04-23,66.97,67.41,66.95,67.26,2892,2,0
2024-04-24,67.67,67.76,67.33,67.61,3051,2,0
2024-04-25,66.04,66.67,65.83,66.57,4398,2,0
2024-04-26,66.8,67.2,66.8,67.15,2483,2,0
2024-04-29,67.63,67.98,67.46,67.75,2725,2,0
2024-04-30,67.92,68.09,67.27,67.3,2870,2,0
2024-05-01,67.34,67.91,67.01,67.12,7487,2,0
2024-05-02,68.32,68.58,67.94,68.46,3206,2,0
2024-05-03,69.13,69.32,68.76,69.24,4208,2,0
2024-05-06,69.46,69.72,69.44,69.66,1374,2,0
2024-05-07,68.99,69.11,68.8,68.92,2361,2,0
2024-05-08,67.81,68.09,67.71,68.04,1576,2,0
2024-05-09,67.74,68.32,67.74,68.32,1524,2,0
2024-05-10,68.24,68.27,67.82,67.95,2031,2,0
2024-05-13,67.8,67.89,67.56,67.65,1520,2,0
2024-05-14,68.0,68.21,67.87,68.2,1869,2,0
2024-05-15,68.56,68.97,68.33,68.97,2140,2,0
2024-05-16,68.86,68.87,68.18,68.27,2000,2,0
2024-05-17,68.77,68.93,68.58,68.72,1792,2,0
2024-05-20,69.12,69.43,69.08,69.17,1583,2,0
2024-05-21,68.85,69.02,68.63,68.82,1464,2,0
2024-05-22,68.1,68.26,67.89,67.98,2424,2,0
2024-05-23,68.65,68.67,67.59,67.69,4618,2,0
2024-05-24,68.33,68.56,68.03,68.44,2108,2,0
2024-05-28,69.1,69.11,68.65,68.83,2479,2,0
