time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,64.9,65.07,64.52,64.74,4333,2,0
2024-01-03,63.15,63.63,63.01,63.39,4596,2,0
2024-01-04,62.62,63.05,62.58,62.7,3165,2,0
2024-01-05,62.81,63.54,62.63,62.91,6058,2,0
2024-01-08,62.35,63.23,62.35,63.21,2289,2,0
2024-01-09,61.97,62.08,61.6,61.79,2785,2,0
2024-01-10,61.31,61.58,61.09,61.43,3119,2,0
2024-01-11,61.67,61.77,60.84,61.52,6383,2,0
2024-01-12,61.64,61.77,61.18,61.35,3700,2,0
2024-01-16,59.38,59.49,58.87,58.99,4569,2,0
2024-01-17,57.21,57.47,57.03,57.45,3007,2,0
2024-01-18,58.17,58.55,58.0,58.52,2619,1,0
2024-01-19,58.73,59.3,58.57,59.21,3468,2,0
2024-01-22,58.49,58.66,58.34,58.53,2783,2,0
2024-01-23,58.88,58.95,58.56,58.92,2344,2,0
2024-01-24,59.48,59.67,59.13,59.14,3632,2,0
2024-01-25,58.98,59.08,58.7,58.87,3287,2,0
2024-01-26,59.51,59.69,59.31,59.49,2801,2,0
2024-01-29,60.0,60.26,59.75,60.15,1691,2,0
2024-01-30,59.92,60.02,59.66,59.91,1929,2,0
2024-01-31,59.87,60.25,59.26,59.48,7360,2,0
2024-02-01,60.79,61.31,60.65,61.31,6993,2,0
2024-02-02,62.63,62.72,62.26,62.62,3917,2,0
2024-02-05,62.08,62.36,61.75,62.09,5824,2,0
2024-02-06,62.14,62.34,62.03,62.17,5442,2,0
2024-02-07,63.32,63.43,63.06,63.29,4078,2,0
2024-02-08,63.28,63.38,63.05,63.3,3376,2,0
2024-02-09,63.34,63.72,62.98,63.65,2683,2,0
2024-02-12,63.89,65.04,63.88,64.44,5116,2,0
2024-02-13,63.18,63.31,62.4,62.65,4144,2,0
2024-02-14,63.54,63.89,63.28,63.83,4155,2,0
2024-02-15,63.5,63.82,63.33,63.81,4983,2,0
2024-02-16,64.06,64.48,63.85,64.18,3777,2,0
2024-02-20,64.43,64.56,64.11,64.28,4213,2,0
2024-02-21,64.12,64.31,63.87,64.28,4154,2,0
2024-02-22,64.85,65.15,64.77,65.1,3777,2,0
2024-02-23,64.92,65.22,64.77,65.22,3595,1,0
2024-02-26,64.25,64.43,64.11,64.2,3513,2,0
2024-02-27,63.7,63.76,63.54,63.63,1773,2,0
2024-02-28,64.25,64.27,64.09,64.14,2508,2,0
2024-02-29,64.47,64.49,63.9,64.15,2421,2,0
2024-03-01,64.38,65.13,64.09,64.92,3090,2,0
2024-03-04,65.49,65.72,65.46,65.6,1960,2,0
2024-03-05,64.71,64.93,64.07,64.37,5365,2,0
2024-03-06,64.86,65.27,64.78,65.06,4665,2,0
2024-03-07,65.47,65.88,65.3,65.88,2247,2,0
2024-03-08,66.95,66.98,66.14,66.26,5741,2,0
2024-03-11,66.25,66.33,66.0,66.21,4209,1,0
2024-03-12,66.9,67.22,66.55,67.2,2542,2,0
2024-03-13,66.96,67.17,66.89,67.08,2230,2,0
2024-03-14,67.46,67.55,66.8,67.03,3359,2,0
2024-03-15,65.77,65.91,65.47,65.58,3099,2,0
2024-03-18,66.07,66.13,65.73,65.74,3472,2,0
2024-03-19,64.81,65.39,64.73,65.29,2724,2,0
