time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,35.67,36.67,35.57,36.46,5633.0,1,0.0
2024-01-03,36.61,36.64,35.84,36.16,4481.0,1,0.0
2024-01-04,35.94,36.31,35.91,36.01,5184.0,1,0.0
2024-01-05,35.8,36.49,35.74,36.28,6459.0,1,0.0
2024-01-08,36.08,36.72,35.85,36.69,5311.0,1,0.0
2024-01-09,36.38,36.58,36.15,36.42,4956.0,1,0.0
2024-01-10,36.42,36.78,36.29,36.63,4117.0,1,0.0
2024-01-11,36.31,36.55,35.89,36.28,6117.0,1,0.0
2024-01-12,36.44,36.47,36.05,36.08,4563.0,1,0.0
2024-01-16,35.97,35.98,35.45,35.7,4213.0,1,0.0
2024-01-17,35.54,36.05,35.28,35.61,6336.0,1,0.0
2024-01-18,35.29,35.43,34.86,35.3,4974.0,1,0.0
2024-01-19,35.25,35.37,34.8,35.05,4724.0,1,0.0
2024-01-22,34.93,35.37,34.64,34.85,4855.0,1,0.0
2024-01-23,34.88,35.12,34.51,34.75,3948.0,1,0.0
2024-01-24,34.9,34.98,34.01,34.05,4214.0,1,0.0
2024-01-25,34.28,34.86,34.06,34.85,5055.0,1,0.0
2024-01-26,34.81,35.02,34.61,35.0,4025.0,1,0.0
2024-01-29,34.93,35.26,34.57,35.26,3232.0,1,0.0
2024-01-30,34.9,35.14,34.64,35.04,3767.0,1,0.0
2024-01-31,35.07,35.24,34.5,34.82,5532.0,1,0.0
2024-02-01,34.57,35.05,34.41,34.99,5128.0,1,0.0
2024-02-02,34.58,34.65,33.94,34.38,5382.0,1,0.0
2024-02-05,33.8,34.22,33.6,33.62,4825.0,1,0.0
2024-02-06,33.37,34.14,33.37,33.91,4369.0,1,0.0
2024-02-07,34.0,34.25,33.63,34.08,4228.0,1,0.0
2024-02-08,33.86,33.87,33.53,33.74,3396.0,1,0.0
2024-02-09,33.66,33.89,33.34,33.83,4625.0,1,0.0
2024-02-12,33.79,34.49,33.52,34.34,4149.0,1,0.0
2024-02-13,34.61,34.63,33.5,34.17,5508.0,1,0.0
2024-02-14,34.19,34.48,34.0,34.11,5392.0,1,0.0
2024-02-15,34.4,34.93,34.37,34.86,5009.0,1,0.0
2024-02-16,34.57,35.13,34.34,34.91,5222.0,1,0.0
2024-02-20,34.83,35.33,34.64,34.73,6134.0,1,0.0
2024-02-21,35.68,36.45,35.48,36.24,6974.0,1,0.0
2024-02-22,35.9,36.19,35.36,36.06,5165.0,1,0.0
2024-02-23,35.89,36.4,35.81,36.14,5185.0,1,0.0
2024-02-26,35.64,35.78,35.29,35.63,4659.0,1,0.0
2024-02-27,35.83,36.39,35.61,36.22,4211.0,1,0.0
2024-02-28,36.01,36.32,35.62,35.79,4164.0,1,0.0
2024-02-29,35.9,36.27,35.74,35.83,4297.0,1,0.0
2024-03-01,35.1,35.61,34.96,35.48,5201.0,1,0.0
2024-03-04,35.47,36.28,35.25,36.22,4954.0,1,0.0
2024-03-05,36.39,36.98,36.11,36.27,5126.0,1,0.0
2024-03-06,36.47,36.72,36.31,36.69,5426.0,1,0.0
2024-03-07,36.97,37.24,36.65,36.82,4093.0,1,0.0
2024-03-08,36.74,37.07,36.52,36.97,5803.0,1,0.0
2024-03-11,37.22,37.37,36.73,37.2,4372.0,1,0.0
2024-03-12,37.03,37.11,36.75,37.0,3658.0,1,0.0
2024-03-13,37.14,37.42,36.93,37.01,3974.0,1,0.0
2024-03-14,36.93,36.97,36.33,36.57,3972.0,0,0.0
2024-03-15,36.8,36.92,36.16,36.46,4833.0,1,0.0
2024-03-18,36.45,36.97,36.35,36.56,3385.0,1,0.0
2024-03-19,36.62,36.99,36.55,36.83,3389.0,1,0.0
2024-03-20,36.65,37.12,36.33,36.52,4224.0,1,0.0
2024-03-21,36.58,37.16,36.57,37.07,4139.0,1,0.0
2024-03-22,37.1,37.19,36.69,36.72,3466.0,1,0.0
2024-03-25,36.75,36.95,36.51,36.84,3358.0,1,0.0
2024-03-26,36.72,36.95,36.52,36.59,3613.0,1,0.0
2024-03-27,36.77,37.3,36.77,37.24,3379.0,1,0.0
2024-03-28,37.25,37.69,37.22,37.59,3271.0,1,0.0
2024-04-01,37.55,37.6,37.05,37.22,3519.0,1,0.0
2024-04-02,37.16,37.67,37.14,37.58,3526.0,1,0.0
2024-04-03,37.58,37.63,37.22,37.23,3474.0,1,0.0
2024-04-04,37.48,37.6,36.95,37.22,5525.0,1,0.0
2024-04-05,36.83,37.44,36.5,37.38,5636.0,1,0.0
2024-04-08,37.3,37.8,37.24,37.75,3362.0,1,0.0
2024-04-09,37.82,37.98,37.67,37.84,4157.0,0,0.0
2024-04-10,37.06,37.16,36.62,36.94,5666.0,1,0.0
2024-04-11,37.17,37.2,36.55,36.81,3712.0,1,0.0
2024-04-12,36.75,36.95,36.16,36.43,5368.0,1,0.0
2024-04-15,36.7,36.82,36.06,36.29,4579.0,1,0.0
2024-04-16,36.12,36.21,35.72,35.77,4991.0,1,0.0
2024-04-17,35.88,36.51,35.84,36.44,4567.0,0,0.0
2024-04-18,36.43,36.74,36.27,36.69,3927.0,0,0.0
2024-04-19,36.8,37.64,36.62,37.55,4784.0,1,0.0
2024-04-22,37.38,37.94,37.1,37.67,3750.0,1,0.0
2024-04-23,37.28,37.94,37.28,37.52,3861.0,1,0.0
2024-04-24,36.78,37.89,36.69,37.78,3692.0,1,0.0
2024-04-25,37.95,37.97,37.18,37.65,4453.0,1,0.0
2024-04-26,37.34,37.59,37.21,37.32,3041.0,1,0.0
2024-04-29,37.41,37.75,37.34,37.68,2470.0,1,0.0
2024-04-30,37.35,37.79,37.0,37.59,4320.0,1,0.0
2024-05-01,37.48,38.19,37.23,37.86,3961.0,1,0.0
2024-05-02,38.08,38.23,37.3,37.84,3818.0,1,0.0
2024-05-03,38.01,38.01,36.95,37.39,4459.0,1,0.0
2024-05-06,37.3,37.59,37.03,37.52,2232.0,1,0.0
2024-05-07,37.55,37.92,37.2,37.9,3242.0,1,0.0
2024-05-08,37.6,38.0,37.5,37.84,3410.0,1,0.0
2024-05-09,37.65,38.31,37.61,38.28,2212.0,1,0.0
2024-05-10,37.96,38.08,37.54,37.65,3780.0,1,0.0
2024-05-13,37.72,38.28,37.72,38.13,2213.0,1,0.0
2024-05-14,38.23,38.49,38.09,38.42,2097.0,1,0.0
2024-05-15,38.68,38.99,38.51,38.74,3578.0,1,0.0
2024-05-16,38.67,38.95,38.47,38.64,1369.0,0,0.0
2024-05-17,38.41,38.72,38.3,38.52,1257.0,1,0.0
2024-05-20,38.6,38.6,38.29,38.44,1369.0,1,0.0
2024-05-21,38.33,38.75,38.24,38.49,1369.0,1,0.0
2024-05-22,38.34,38.56,37.76,37.86,2040.0,1,0.0
2024-05-23,37.52,37.56,37.01,37.04,2236.0,1,0.0
2024-05-24,36.98,37.08,36.63,36.66,1489.0,1,0.0
2024-05-28,36.74,37.16,36.61,36.75,1450.0,1,0.0
2024-05-29,36.49,36.56,36.1,36.19,1379.0,1,0.0
2024-05-30,36.21,36.77,36.2,36.71,1540.0,1,0.0
2024-05-31,36.72,37.49,36.72,37.49,1844.0,1,0.0
2024-06-03,37.17,37.47,37.07,37.15,1588.0,1,0.0
2024-06-04,36.99,37.52,36.88,37.38,1381.0,1,0.0
2024-06-05,37.16,37.22,36.66,36.79,1496.0,1,0.0
2024-06-06,36.57,37.15,36.36,36.51,2115.0,1,0.0
2024-06-07,36.16,36.5,36.14,36.18,1638.0,1,0.0
2024-06-10,36.17,36.53,36.01,36.2,1681.0,1,0.0
2024-06-11,35.93,36.43,35.7,36.2,2014.0,1,0.0
2024-06-12,36.28,36.33,34.72,34.8,3797.0,1,0.0
2024-06-13,34.93,35.53,34.75,35.4,3380.0,1,0.0
2024-06-14,35.19,35.54,35.07,35.49,2388.0,1,0.0
2024-06-17,35.16,35.65,35.1,35.17,2658.0,1,0.0
2024-06-18,35.18,35.35,34.8,34.88,2678.0,0,0.0
2024-06-20,34.89,35.2,34.85,34.95,3371.0,1,0.0
2024-06-21,35.01,35.28,34.63,34.75,3659.0,1,0.0
2024-06-24,34.77,35.42,34.7,35.33,2366.0,1,0.0
2024-06-25,35.16,35.28,34.76,34.83,3333.0,1,0.0
2024-06-26,34.62,34.82,34.48,34.78,2330.0,1,0.0
2024-06-27,34.69,35.0,34.51,34.67,2692.0,1,0.0
2024-06-28,34.61,34.83,34.46,34.61,3533.0,1,0.0
2024-07-01,34.72,34.85,34.25,34.54,2663.0,1,0.0
2024-07-02,34.58,34.75,34.38,34.54,2096.0,1,0.0
2024-07-03,34.57,34.86,34.51,34.73,1436.0,1,0.0
2024-07-05,34.54,34.73,34.28,34.33,2210.0,1,0.0
2024-07-08,34.18,34.25,34.01,34.22,1982.0,1,0.0
2024-07-09,34.17,34.63,34.15,34.46,2449.0,1,0.0
2024-07-10,34.46,34.8,34.33,34.7,2634.0,1,0.0
2024-07-11,34.84,35.5,34.71,35.33,3370.0,1,0.0
2024-07-12,35.41,35.65,35.21,35.22,2479.0,1,0.0
2024-07-15,34.87,35.41,34.8,35.35,3137.0,1,0.0
2024-07-16,35.44,35.71,35.33,35.51,2281.0,1,0.0
2024-07-17,35.69,36.58,35.69,36.42,3299.0,1,0.0
2024-07-18,36.31,36.91,36.25,36.26,3698.0,1,0.0
2024-07-19,36.23,36.24,35.91,36.11,2476.0,1,0.0
2024-07-22,36.1,36.28,36.03,36.23,2593.0,1,0.0
2024-07-23,36.09,36.12,35.84,35.85,2122.0,1,0.0
2024-07-24,36.02,36.52,36.0,36.47,3284.0,1,0.0
2024-07-25,36.65,37.28,36.36,36.52,4501.0,1,0.0
2024-07-26,36.6,36.87,36.5,36.7,3711.0,1,0.0
2024-07-29,36.78,37.04,36.63,36.87,3595.0,1,0.0
2024-07-30,36.79,37.32,36.77,37.23,3125.0,1,0.0
2024-07-31,37.19,37.36,36.91,37.16,4492.0,1,0.0
2024-08-01,37.16,38.33,37.06,38.26,3894.0,1,0.0
2024-08-02,38.84,39.01,38.01,38.76,5446.0,1,0.0
2024-08-05,39.09,39.14,37.43,37.54,6996.0,1,0.0
2024-08-06,37.59,37.97,37.46,37.61,5271.0,1,0.0
2024-08-07,37.5,38.32,37.46,37.82,4532.0,1,0.0
2024-08-08,37.47,38.0,37.41,37.51,4842.0,1,0.0
2024-08-09,37.2,37.59,36.95,37.49,3569.0,1,0.0
2024-08-12,36.89,37.11,36.76,36.89,2879.0,1,0.0
2024-08-13,36.95,37.16,36.78,37.13,2864.0,1,0.0
2024-08-14,36.9,37.41,36.82,37.03,2526.0,1,0.0
2024-08-15,36.94,37.49,36.79,37.46,3327.0,1,0.0
2024-08-16,37.41,37.74,37.2,37.6,2396.0,1,0.0
