time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,251.57,252.71,250.18,252.02,7399.0,1,0.0
2024-01-03,249.5,249.75,245.8,247.73,5952.0,1,0.0
2024-01-04,246.57,247.59,245.28,245.28,6210.0,1,0.0
2024-01-05,244.75,248.79,244.75,246.98,6359.0,2,0.0
2024-01-08,248.44,249.32,246.1,248.74,3557.0,1,0.0
2024-01-09,246.7,248.65,246.7,247.22,2869.0,2,0.0
2024-01-10,246.75,250.48,246.02,250.44,3651.0,1,0.0
2024-01-11,250.0,251.69,248.28,251.06,3119.0,2,0.0
2024-01-12,250.1,251.16,247.6,248.84,2398.0,2,0.0
2024-01-16,246.51,247.2,243.69,245.26,3695.0,1,0.0
2024-01-17,242.23,244.68,241.5,243.56,2530.0,1,0.0
2024-01-18,244.1,244.51,242.0,244.23,3034.0,1,0.0
2024-01-19,244.02,246.62,242.03,246.18,2878.0,1,0.0
2024-01-22,247.5,251.57,247.5,250.17,4051.0,2,0.0
2024-01-23,250.75,251.62,249.28,250.44,3057.0,1,0.0
2024-01-24,251.94,253.4,248.75,249.37,3287.0,1,0.0
2024-01-25,252.09,254.82,251.82,252.88,3401.0,1,0.0
2024-01-26,253.35,254.12,250.7,250.98,2865.0,1,0.0
2024-01-29,250.01,250.47,246.0,247.96,2351.0,1,0.0
2024-01-30,243.71,246.8,241.36,243.46,3304.0,1,0.0
2024-01-31,243.03,244.37,240.5,241.38,3240.0,1,0.0
2024-02-01,241.78,242.51,239.13,241.53,3458.0,2,0.0
2024-02-02,241.31,243.63,239.3,242.03,3270.0,2,0.0
2024-02-05,240.8,240.82,237.9,238.27,2731.0,1,0.0
2024-02-06,238.75,243.72,238.65,241.27,2639.0,1,0.0
2024-02-07,242.32,243.0,240.3,242.04,2573.0,2,0.0
2024-02-08,241.36,243.2,240.4,241.72,1789.0,2,0.0
2024-02-09,241.8,242.76,240.1,242.27,1950.0,1,0.0
2024-02-12,243.81,244.33,241.9,243.97,1887.0,1,0.0
2024-02-13,239.65,240.22,235.08,236.24,2716.0,1,0.0
2024-02-14,237.12,237.45,235.3,236.73,2232.0,1,0.0
2024-02-15,236.25,238.25,235.71,236.28,2046.0,1,0.0
2024-02-16,235.38,238.14,234.4,237.36,2102.0,2,0.0
2024-02-20,236.0,239.57,235.25,238.95,2591.0,1,0.0
2024-02-21,238.5,241.46,238.0,241.0,2554.0,1,0.0
2024-02-22,242.21,244.26,241.44,243.77,3239.0,2,0.0
2024-02-23,243.64,244.91,242.5,243.54,2285.0,2,0.0
2024-02-26,240.59,243.83,240.49,241.21,2130.0,1,0.0
2024-02-27,240.8,242.51,240.8,241.47,2158.0,1,0.0
2024-02-28,239.63,244.28,239.1,244.22,2430.0,1,0.0
2024-02-29,246.57,249.44,245.1,249.36,3176.0,1,0.0
2024-03-01,247.52,249.02,245.5,246.76,2754.0,1,0.0
2024-03-04,245.86,248.04,245.48,246.75,2764.0,1,0.0
2024-03-05,245.91,248.69,245.06,248.47,2797.0,1,0.0
2024-03-06,248.72,251.53,247.4,248.4,2451.0,2,0.0
2024-03-07,249.23,251.06,248.8,250.24,4185.0,1,0.0
2024-03-08,249.5,250.07,247.46,247.67,2478.0,3,0.0
2024-03-11,248.24,253.36,248.0,252.82,2892.0,1,0.0
2024-03-12,253.54,258.06,253.07,254.18,3213.0,2,0.0
2024-03-13,256.23,258.01,255.0,255.4,2852.0,1,0.0
2024-03-14,254.21,256.24,253.5,255.28,3011.0,1,0.0
2024-03-15,253.94,255.57,252.28,253.25,3515.0,1,0.0
2024-03-18,253.88,254.55,251.6,253.21,2214.0,2,0.0
2024-03-19,252.33,257.25,252.33,257.02,2916.0,1,0.0
2024-03-20,256.06,259.96,255.0,259.59,3364.0,1,0.0
2024-03-21,259.55,265.33,259.47,265.0,3825.0,1,0.0
2024-03-22,286.02,288.65,281.53,284.37,5692.0,1,0.0
2024-03-25,281.0,282.79,277.55,281.92,4221.0,1,0.0
2024-03-26,283.58,290.76,283.58,288.35,4982.0,2,0.0
2024-03-27,287.5,289.49,284.25,288.02,3056.0,1,0.0
2024-03-28,287.66,290.4,285.35,289.91,2787.0,1,0.0
2024-04-01,285.41,286.37,279.31,279.81,2962.0,2,0.0
2024-04-02,276.8,277.75,273.8,275.18,2895.0,1,0.0
2024-04-03,275.87,279.56,275.87,278.39,2530.0,1,0.0
2024-04-04,280.0,281.09,274.3,275.0,2128.0,1,0.0
2024-04-05,274.19,275.74,272.02,273.46,2282.0,2,0.0
2024-04-08,274.08,276.45,273.67,275.82,1763.0,1,0.0
2024-04-09,274.84,276.44,273.52,276.36,1825.0,2,0.0
2024-04-10,272.0,272.5,267.7,270.63,2639.0,1,0.0
2024-04-11,269.46,273.01,268.99,272.12,2442.0,2,0.0
2024-04-12,270.0,270.82,265.9,267.17,2132.0,2,0.0
2024-04-15,269.01,271.42,266.08,266.71,2404.0,1,0.0
2024-04-16,265.57,266.2,263.15,264.31,1837.0,3,0.0
2024-04-17,263.59,265.58,262.18,262.73,1717.0,3,0.0
2024-04-18,263.57,264.56,262.0,262.76,2024.0,2,0.0
2024-04-19,264.13,268.85,263.12,266.71,3227.0,2,0.0
2024-04-22,268.71,271.83,267.0,269.64,1964.0,2,0.0
2024-04-23,270.19,273.78,269.5,271.41,1887.0,1,0.0
2024-04-24,269.57,269.75,263.28,266.4,2194.0,2,0.0
2024-04-25,264.54,265.71,262.5,264.96,2534.0,3,0.0
2024-04-26,263.35,267.18,263.28,266.27,1893.0,2,0.0
2024-04-29,266.82,267.87,263.45,265.42,1470.0,2,0.0
2024-04-30,264.49,264.6,261.56,261.92,1599.0,3,0.0
2024-05-01,261.18,263.02,259.5,259.9,1890.0,3,0.0
2024-05-02,263.16,263.49,259.78,261.4,1948.0,2,0.0
2024-05-03,263.6,265.34,259.5,260.24,1830.0,2,0.0
2024-05-06,262.97,262.97,260.19,260.31,1785.0,1,0.0
2024-05-07,261.0,261.7,258.38,259.28,1521.0,1,0.0
2024-05-08,257.6,258.8,255.8,258.04,1768.0,1,0.0
2024-05-09,258.1,262.48,258.1,262.03,1386.0,3,0.0
2024-05-10,262.1,265.9,262.1,265.5,1995.0,3,0.0
2024-05-13,266.72,268.2,265.0,266.46,1131.0,3,0.0
2024-05-14,266.89,266.89,258.2,258.49,1732.0,3,0.0
2024-05-15,259.39,260.57,258.18,259.15,1348.0,2,0.0
2024-05-16,258.49,260.81,257.36,258.99,1751.0,2,0.0
2024-05-17,259.0,259.53,256.21,256.84,1318.0,1,0.0
2024-05-20,256.47,257.1,254.05,254.17,1493.0,1,0.0
2024-05-21,253.67,254.67,250.88,252.34,1556.0,1,0.0
2024-05-22,251.53,252.5,249.72,252.31,1824.0,2,0.0
2024-05-23,250.5,251.05,246.88,248.77,1806.0,1,0.0
2024-05-24,249.31,250.6,246.25,247.26,1411.0,1,0.0
2024-05-28,247.0,249.18,246.66,247.64,2113.0,1,0.0
2024-05-29,245.8,246.82,244.28,245.35,1479.0,1,0.0
2024-05-30,245.49,249.57,245.11,249.34,2034.0,4,0.0
2024-05-31,248.58,254.29,248.06,253.63,1905.0,2,0.0
2024-06-03,252.28,252.28,246.63,248.11,1883.0,1,0.0
2024-06-04,247.5,247.94,244.26,245.8,1978.0,1,0.0
2024-06-05,245.5,248.29,244.45,248.16,1467.0,2,0.0
2024-06-06,247.34,251.21,247.0,250.05,2078.0,3,0.0
2024-06-07,248.5,251.24,247.05,247.46,1761.0,1,0.0
2024-06-10,246.66,254.12,245.8,253.41,1969.0,2,0.0
2024-06-11,251.2,252.55,249.9,252.41,2188.0,1,0.0
2024-06-12,252.74,254.1,248.06,248.1,2205.0,2,0.0
2024-06-13,248.6,248.87,244.12,248.32,1564.0,2,0.0
2024-06-14,246.0,247.48,242.88,246.4,1643.0,1,0.0
2024-06-17,245.01,250.37,244.68,250.25,2014.0,2,0.0
2024-06-18,250.1,251.99,247.5,247.75,1912.0,1,0.0
2024-06-20,248.69,253.13,248.3,252.42,2029.0,2,0.0
2024-06-21,253.24,255.8,251.37,253.51,2092.0,2,0.0
2024-06-24,253.0,257.14,253.0,256.0,1883.0,2,0.0
2024-06-25,253.69,256.7,252.55,256.43,2898.0,2,0.0
2024-06-26,285.5,296.61,284.0,296.61,4685.0,1,0.0
2024-06-27,291.19,295.8,288.4,295.04,2573.0,2,0.0
2024-06-28,294.05,302.28,293.08,299.67,3204.0,2,0.0
2024-07-01,298.73,301.14,297.17,298.46,1927.0,2,0.0
2024-07-02,298.34,300.76,297.18,297.92,1553.0,2,0.0
2024-07-03,298.32,298.75,292.5,294.32,1003.0,4,0.0
2024-07-05,293.0,294.76,292.01,293.79,1749.0,3,0.0
2024-07-08,294.0,297.8,293.7,295.62,1351.0,2,0.0
2024-07-09,296.0,296.0,292.43,292.51,1125.0,3,0.0
2024-07-10,292.12,293.19,289.4,293.0,1337.0,1,0.0
2024-07-11,293.45,300.74,293.45,299.21,1807.0,2,0.0
2024-07-12,298.0,300.95,297.5,298.7,1925.0,1,0.0
2024-07-15,299.02,305.53,299.02,304.76,1989.0,2,0.0
2024-07-16,306.69,313.64,305.56,313.49,1654.0,1,0.0
2024-07-17,311.77,313.42,308.04,310.01,1683.0,3,0.0
2024-07-18,309.6,313.08,305.6,306.4,1994.0,1,0.0
2024-07-19,305.14,308.54,304.0,306.38,1524.0,2,0.0
2024-07-22,306.5,307.5,301.39,306.44,1258.0,2,0.0
2024-07-23,300.5,303.87,297.73,299.95,1771.0,1,0.0
2024-07-24,299.11,300.64,296.57,297.89,1856.0,2,0.0
2024-07-25,298.0,303.07,297.94,298.12,1702.0,2,0.0
2024-07-26,299.44,301.86,297.06,299.49,1552.0,5,0.0
2024-07-29,298.6,301.83,297.6,299.09,1137.0,5,0.0
2024-07-30,300.31,302.95,299.0,300.63,1146.0,2,0.0
2024-07-31,301.15,305.34,300.56,302.05,1355.0,3,0.0
2024-08-01,304.01,305.0,296.23,297.7,1645.0,4,0.0
2024-08-02,291.2,294.48,287.71,291.6,1701.0,2,0.0
2024-08-05,279.62,288.86,279.55,282.42,1538.0,3,0.0
2024-08-06,282.55,289.39,282.55,285.0,1340.0,9,0.0
2024-08-07,286.8,288.1,277.02,277.82,1336.0,2,0.0
2024-08-08,278.2,281.42,276.34,278.12,1628.0,3,0.0
2024-08-09,276.46,277.63,274.05,277.33,1455.0,5,0.0
2024-08-12,277.95,281.1,277.41,278.73,1063.0,4,0.0
2024-08-13,279.33,282.97,279.15,282.65,1126.0,4,0.0
2024-08-14,283.34,284.7,282.56,283.38,818.0,6,0.0
2024-08-15,288.03,291.34,282.6,283.6,1126.0,5,0.0
2024-08-16,281.7,285.1,279.11,284.85,1160.0,6,0.0
2024-08-19,286.59,288.77,285.75,287.9,1071.0,3,0.0
2024-08-20,287.75,288.63,286.36,288.26,829.0,4,0.0
2024-08-21,290.0,292.5,289.25,290.92,1055.0,5,0.0
2024-08-22,292.0,294.4,290.34,293.81,1223.0,4,0.0
2024-08-23,295.0,298.43,294.75,297.42,1450.0,3,0.0
2024-08-26,297.94,299.0,295.74,295.98,894.0,3,0.0
2024-08-27,295.87,296.0,292.79,294.75,872.0,4,0.0
2024-08-28,294.0,297.24,294.0,295.5,838.0,4,0.0
2024-08-29,297.0,299.02,294.24,295.89,984.0,5,0.0
2024-08-30,296.5,299.04,294.64,298.73,1156.0,5,0.0
2024-09-03,296.0,296.93,291.55,293.67,1565.0,4,0.0
2024-09-04,293.13,294.96,291.84,292.85,1277.0,5,0.0
2024-09-05,291.61,291.61,283.6,285.03,1344.0,7,0.0
2024-09-06,283.9,287.85,282.36,282.91,933.0,5,0.0
2024-09-09,283.18,286.07,282.51,282.97,890.0,8,0.0
2024-09-10,282.57,284.63,280.0,283.7,757.0,7,0.0
2024-09-11,282.0,285.16,277.77,284.7,1097.0,6,0.0
2024-09-12,285.7,288.12,283.7,285.65,1039.0,8,0.0
2024-09-13,284.36,287.01,280.26,286.21,1395.0,6,0.0
2024-09-16,289.19,293.54,288.75,292.68,1714.0,2,0.0
2024-09-17,296.22,300.33,294.65,297.1,1819.0,6,0.0
2024-09-18,296.14,300.54,295.6,298.06,1799.0,9,0.0
2024-09-19,303.0,305.28,297.78,299.81,2224.0,3,0.0
2024-09-20,261.13,261.85,253.5,254.87,5233.0,1,0.0
2024-09-23,256.83,260.54,256.0,258.84,2597.0,1,0.0
2024-09-24,259.25,268.29,259.05,267.11,3171.0,1,0.0
2024-09-25,266.0,267.13,262.88,263.74,1867.0,3,0.0
2024-09-26,267.77,270.7,265.1,266.51,2096.0,3,0.0
2024-09-27,268.05,270.27,266.5,267.84,1548.0,1,0.0
2024-09-30,269.69,276.65,268.79,273.66,2497.0,1,0.0
2024-10-01,272.0,272.3,268.0,269.62,1809.0,2,0.0
2024-10-02,268.28,269.25,266.33,267.03,1502.0,1,0.0
2024-10-03,265.09,265.84,262.26,262.26,1638.0,3,0.0
2024-10-04,263.76,264.84,259.26,260.3,1779.0,2,0.0
2024-10-07,258.11,260.98,258.11,260.13,1437.0,3,0.0
2024-10-08,260.64,262.21,259.11,261.38,1387.0,2,0.0
2024-10-09,262.76,267.0,262.5,264.59,1409.0,3,0.0
2024-10-10,263.14,265.64,263.0,264.0,1500.0,1,0.0
2024-10-11,266.46,266.8,264.38,264.52,1354.0,1,0.0
