time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,176.98,177.9,175.38,176.01,742.0,3,0.0
2024-01-03,174.87,175.66,172.82,173.48,1016.0,3,0.0
2024-01-04,171.36,173.22,169.94,171.38,772.0,2,0.0
2024-01-05,170.86,172.39,170.86,171.37,759.0,8,0.0
2024-01-08,170.61,174.45,170.51,174.25,692.0,6,0.0
2024-01-09,174.09,174.94,173.04,173.59,958.0,4,0.0
2024-01-10,171.29,175.7,171.29,175.19,590.0,7,0.0
2024-01-11,175.32,176.33,174.61,175.92,798.0,2,0.0
2024-01-12,175.82,177.43,175.62,175.92,799.0,5,0.0
2024-01-16,175.64,176.58,173.9,175.75,754.0,7,0.0
2024-01-17,173.94,178.12,173.94,177.33,931.0,3,0.0
2024-01-18,178.37,180.28,176.79,180.24,665.0,3,0.0
2024-01-19,180.04,181.47,179.0,179.94,1010.0,1,0.0
2024-01-22,180.44,182.36,179.72,181.62,924.0,3,0.0
2024-01-23,181.07,182.0,179.74,180.77,821.0,5,0.0
2024-01-24,180.73,182.64,180.13,180.95,973.0,2,0.0
2024-01-25,181.59,184.9,181.59,184.56,765.0,3,0.0
2024-01-26,183.35,184.91,181.99,183.61,1281.0,1,0.0
2024-01-29,183.0,185.88,183.0,185.04,1207.0,2,0.0
2024-01-30,196.18,197.3,186.48,186.73,1374.0,3,0.0
2024-01-31,185.55,186.4,182.0,183.61,1222.0,5,0.0
2024-02-01,183.98,185.96,182.74,185.8,1119.0,3,0.0
2024-02-02,184.5,186.05,183.0,184.95,1530.0,4,0.0
2024-02-05,183.91,184.7,183.0,184.24,801.0,2,0.0
2024-02-06,184.5,185.29,181.43,182.08,979.0,7,0.0
2024-02-07,182.58,183.55,180.48,183.18,743.0,4,0.0
2024-02-08,182.11,185.17,181.8,185.08,531.0,3,0.0
2024-02-09,185.2,186.99,184.18,186.13,643.0,1,0.0
2024-02-12,186.08,187.56,184.74,186.21,835.0,2,0.0
2024-02-13,180.0,184.69,180.0,182.63,762.0,6,0.0
2024-02-14,183.62,184.81,183.08,183.99,1169.0,2,0.0
2024-02-15,184.29,184.81,182.21,183.17,848.0,4,0.0
2024-02-16,182.98,184.41,180.85,181.98,1239.0,3,0.0
2024-02-20,181.36,183.49,181.0,182.66,840.0,2,0.0
2024-02-21,180.5,181.27,179.04,180.78,840.0,2,0.0
2024-02-22,182.39,185.02,180.83,184.59,778.0,3,0.0
2024-02-23,185.5,186.7,184.29,185.89,600.0,3,0.0
2024-02-26,186.11,187.67,185.12,186.48,911.0,2,0.0
2024-02-27,186.24,186.4,184.04,184.98,645.0,3,0.0
2024-02-28,183.64,186.51,183.07,185.41,593.0,3,0.0
2024-02-29,186.56,188.13,186.01,187.16,712.0,2,0.0
2024-03-01,186.56,190.1,185.76,189.98,615.0,4,0.0
2024-03-04,189.51,194.12,188.46,193.36,812.0,1,0.0
2024-03-05,192.0,192.25,186.23,187.12,930.0,2,0.0
2024-03-06,188.51,191.02,187.25,190.41,900.0,5,0.0
2024-03-07,190.31,193.17,188.93,192.68,726.0,6,0.0
2024-03-08,192.33,194.32,192.0,192.71,1193.0,2,0.0
2024-03-11,191.5,193.58,189.77,193.12,696.0,3,0.0
2024-03-12,194.28,195.29,192.58,193.46,561.0,3,0.0
2024-03-13,192.42,194.17,192.17,193.32,533.0,8,0.0
2024-03-14,193.0,193.91,190.19,190.89,896.0,6,0.0
2024-03-15,188.33,191.09,186.66,187.48,776.0,5,0.0
2024-03-18,185.61,188.55,185.61,187.27,519.0,3,0.0
2024-03-19,185.73,189.01,185.73,188.89,529.0,6,0.0
2024-03-20,188.85,189.81,187.65,189.06,531.0,8,0.0
2024-03-21,189.23,192.26,188.81,190.62,533.0,5,0.0
2024-03-22,190.25,190.85,188.76,190.41,637.0,5,0.0
2024-03-25,189.15,189.46,187.72,188.36,365.0,6,0.0
2024-03-26,188.0,189.62,186.58,187.01,463.0,9,0.0
2024-03-27,187.1,188.79,187.0,188.45,551.0,9,0.0
2024-03-28,188.51,190.41,188.51,189.24,602.0,7,0.0
2024-04-01,189.06,191.34,188.73,189.74,540.0,5,0.0
2024-04-02,188.32,189.54,187.01,189.34,449.0,4,0.0
2024-04-03,189.17,191.97,187.64,190.85,714.0,3,0.0
2024-04-04,192.3,193.81,187.69,187.99,575.0,5,0.0
2024-04-05,188.26,192.4,187.32,191.97,577.0,4,0.0
2024-04-08,191.5,194.29,190.11,191.61,623.0,8,0.0
2024-04-09,192.01,196.1,191.5,195.67,645.0,5,0.0
2024-04-10,192.4,193.31,189.23,191.12,522.0,9,0.0
2024-04-11,190.49,192.87,189.68,191.8,680.0,4,0.0
2024-04-12,189.0,189.74,187.5,187.86,547.0,8,0.0
2024-04-15,188.28,189.22,183.45,183.52,736.0,7,0.0
2024-04-16,183.21,184.12,182.33,182.46,600.0,5,0.0
2024-04-17,182.29,183.65,181.05,181.52,431.0,12,0.0
2024-04-18,180.99,181.76,178.92,179.2,608.0,6,0.0
2024-04-19,178.29,179.38,176.48,177.3,566.0,5,0.0
2024-04-22,177.73,180.53,176.46,178.74,619.0,6,0.0
2024-04-23,179.38,181.39,178.58,179.85,604.0,6,0.0
2024-04-24,179.5,181.93,178.84,181.53,593.0,5,0.0
2024-04-25,180.97,183.39,178.79,181.32,599.0,9,0.0
2024-04-26,181.25,183.1,180.28,181.96,538.0,6,0.0
2024-04-29,183.32,185.3,180.29,181.14,872.0,5,0.0
2024-04-30,159.31,169.68,159.0,163.99,1054.0,1,0.0
2024-05-01,164.5,170.12,163.96,166.03,1038.0,1,0.0
2024-05-02,166.84,166.84,163.04,165.51,891.0,5,0.0
2024-05-03,167.04,168.05,165.13,165.61,892.0,6,0.0
2024-05-06,165.67,168.76,165.67,168.41,605.0,7,0.0
2024-05-07,168.5,169.61,167.54,168.26,505.0,6,0.0
2024-05-08,167.51,172.22,165.73,171.61,688.0,3,0.0
2024-05-09,170.91,172.27,170.02,171.06,412.0,8,0.0
2024-05-10,170.94,172.11,170.24,171.3,438.0,6,0.0
2024-05-13,171.23,172.86,170.69,170.91,542.0,3,0.0
2024-05-14,171.99,172.39,170.0,171.72,522.0,6,0.0
2024-05-15,171.79,175.08,171.5,174.66,928.0,3,0.0
2024-05-16,174.41,174.45,172.25,173.8,575.0,7,0.0
2024-05-17,173.26,174.61,172.1,173.67,558.0,2,0.0
2024-05-20,173.25,175.28,172.69,174.3,980.0,2,0.0
2024-05-21,173.29,173.85,172.0,173.27,721.0,1,0.0
2024-05-22,172.5,174.51,172.0,172.85,989.0,2,0.0
2024-05-23,172.59,172.72,168.48,169.29,914.0,3,0.0
2024-05-24,170.08,171.27,168.74,169.46,759.0,4,0.0
