time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,83.61,88.96,83.61,87.29,962.0,2,0.0
2024-01-03,86.23,86.55,82.35,83.22,741.0,4,0.0
2024-01-04,82.41,84.1,82.1,83.8,880.0,1,0.0
2024-01-05,83.0,85.11,82.11,84.26,469.0,1,0.0
2024-01-08,83.15,84.08,82.69,82.97,816.0,2,0.0
2024-01-09,82.1,86.21,82.1,83.83,674.0,4,0.0
2024-01-10,84.0,86.75,84.0,85.13,824.0,1,0.0
2024-01-11,83.12,84.95,82.68,84.92,589.0,5,0.0
2024-01-12,83.69,86.28,83.69,85.11,769.0,3,0.0
2024-01-16,84.39,85.52,84.17,85.25,537.0,2,0.0
2024-01-17,83.58,85.42,83.36,85.16,584.0,3,0.0
2024-01-18,85.66,85.8,83.67,84.88,507.0,4,0.0
2024-01-19,84.98,86.69,84.35,86.38,563.0,3,0.0
2024-01-22,87.61,88.18,85.9,87.45,612.0,4,0.0
2024-01-23,87.47,88.53,87.23,87.81,498.0,2,0.0
2024-01-24,87.47,89.3,86.91,87.79,637.0,4,0.0
2024-01-25,87.78,88.27,87.22,87.85,632.0,2,0.0
2024-01-26,86.94,88.32,86.94,87.97,420.0,4,0.0
2024-01-29,86.51,88.97,86.51,87.94,583.0,5,0.0
2024-01-30,86.14,88.34,85.95,88.14,439.0,3,0.0
2024-01-31,87.41,87.94,85.69,86.02,505.0,2,0.0
2024-02-01,84.91,87.57,84.74,86.91,406.0,4,0.0
2024-02-02,86.44,88.89,85.48,88.18,638.0,5,0.0
2024-02-05,86.0,87.91,86.0,87.67,955.0,5,0.0
2024-02-06,86.63,88.92,86.63,88.3,475.0,3,0.0
2024-02-07,87.02,89.76,86.58,88.41,610.0,1,0.0
2024-02-08,88.38,89.35,86.3,87.1,485.0,4,0.0
2024-02-09,86.51,88.76,85.47,87.27,530.0,4,0.0
2024-02-12,87.0,89.79,87.0,88.2,622.0,5,0.0
2024-02-13,84.33,87.71,84.33,87.58,504.0,5,0.0
2024-02-14,88.06,88.84,85.22,88.55,542.0,3,0.0
2024-02-15,89.03,90.62,88.0,89.69,640.0,4,0.0
2024-02-16,86.93,90.07,86.93,89.54,610.0,3,0.0
2024-02-20,88.65,90.29,88.07,89.73,513.0,6,0.0
2024-02-21,88.1,89.8,87.52,88.84,726.0,8,0.0
2024-02-22,88.14,90.52,88.14,90.11,537.0,2,0.0
2024-02-23,89.49,93.01,89.49,91.71,976.0,2,0.0
2024-02-26,109.0,110.27,103.29,110.15,1454.0,3,0.0
2024-02-27,110.43,110.43,104.48,107.71,1261.0,4,0.0
2024-02-28,107.02,110.88,107.02,109.35,791.0,1,0.0
2024-02-29,110.4,114.25,109.02,112.92,1063.0,5,0.0
2024-03-01,111.03,112.48,108.14,110.39,848.0,3,0.0
2024-03-04,109.73,112.83,109.33,112.21,779.0,6,0.0
2024-03-05,109.47,112.91,109.06,111.07,546.0,7,0.0
2024-03-06,110.09,110.15,108.2,108.73,685.0,4,0.0
2024-03-07,109.04,109.12,107.33,108.53,591.0,5,0.0
2024-03-08,108.08,110.24,106.29,107.94,1016.0,2,0.0
2024-03-11,110.4,110.89,107.5,107.81,570.0,4,0.0
2024-03-12,107.24,110.31,107.11,109.5,558.0,6,0.0
2024-03-13,109.6,112.39,109.6,110.82,507.0,8,0.0
2024-03-14,111.02,111.02,107.0,109.19,606.0,2,0.0
2024-03-15,106.5,109.96,106.5,109.55,494.0,2,0.0
2024-03-18,107.1,109.54,107.09,107.92,514.0,4,0.0
2024-03-19,107.47,109.71,106.92,108.8,459.0,7,0.0
2024-03-20,108.53,110.75,107.42,110.31,702.0,7,0.0
2024-03-21,111.8,114.92,110.37,113.84,825.0,7,0.0
2024-03-22,112.48,115.09,111.71,114.56,518.0,11,0.0
2024-03-25,115.19,116.53,113.97,114.39,533.0,5,0.0
2024-03-26,114.8,115.63,113.31,113.94,435.0,5,0.0
2024-03-27,114.95,116.05,114.08,115.31,561.0,5,0.0
2024-03-28,115.95,116.69,114.58,115.56,456.0,6,0.0
2024-04-01,115.58,116.73,113.2,115.42,489.0,6,0.0
2024-04-02,112.84,115.49,112.25,115.29,614.0,5,0.0
2024-04-03,112.84,115.52,110.72,111.08,521.0,4,0.0
2024-04-04,110.22,112.33,110.22,111.52,638.0,3,0.0
2024-04-05,110.16,116.49,110.16,115.97,963.0,3,0.0
2024-04-08,115.66,117.41,114.83,115.98,734.0,2,0.0
2024-04-09,114.63,116.01,113.37,114.59,549.0,5,0.0
2024-04-10,112.03,114.17,111.57,112.97,665.0,7,0.0
2024-04-11,113.16,114.04,111.85,111.92,456.0,3,0.0
2024-04-12,110.48,112.1,107.97,108.54,490.0,5,0.0
2024-04-15,109.05,109.41,105.13,105.66,597.0,3,0.0
2024-04-16,104.31,105.67,104.01,105.32,526.0,1,0.0
2024-04-17,105.64,106.13,104.3,104.9,409.0,9,0.0
2024-04-18,103.52,105.28,103.25,103.54,615.0,3,0.0
2024-04-19,103.71,105.68,102.64,104.33,618.0,7,0.0
2024-04-22,103.72,105.23,103.04,104.62,615.0,4,0.0
2024-04-23,103.54,106.41,103.54,105.01,442.0,2,0.0
2024-04-24,102.87,104.96,102.87,104.16,513.0,1,0.0
2024-04-25,102.54,105.49,102.54,104.59,688.0,2,0.0
2024-04-26,103.21,107.63,102.72,106.22,618.0,3,0.0
2024-04-29,105.52,107.87,105.34,107.28,1174.0,5,0.0
2024-04-30,106.29,107.4,104.78,105.82,590.0,3,0.0
2024-05-01,104.27,108.1,104.03,105.39,658.0,3,0.0
