time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,20.1,20.87,19.93,20.84,2563.0,0,0.0
2024-01-03,20.51,20.54,19.98,20.2,3069.0,0,0.0
2024-01-04,20.14,20.34,19.97,20.11,2359.0,0,0.0
2024-01-05,20.24,21.08,20.17,20.75,2504.0,0,0.0
2024-01-08,20.8,21.84,20.8,21.59,3593.0,0,0.0
2024-01-09,21.68,21.89,21.29,21.3,3333.0,0,0.0
2024-01-10,21.26,21.61,21.16,21.27,2421.0,0,0.0
2024-01-11,21.12,21.29,20.64,20.96,3605.0,0,0.0
2024-01-12,20.84,20.9,20.25,20.25,3228.0,0,0.0
2024-01-16,19.91,20.02,19.62,19.81,3703.0,0,0.0
2024-01-17,19.53,19.79,19.4,19.42,2842.0,0,0.0
2024-01-18,19.6,19.72,18.31,18.48,4615.0,0,0.0
2024-01-19,18.4,19.11,18.37,18.92,2770.0,0,0.0
2024-01-22,18.87,19.3,18.72,18.93,3024.0,0,0.0
2024-01-23,19.11,19.34,18.8,18.98,3036.0,0,0.0
2024-01-24,19.17,19.31,18.9,18.93,3100.0,0,0.0
2024-01-25,19.05,19.72,19.05,19.52,3658.0,0,0.0
2024-01-26,19.48,19.9,19.28,19.73,3511.0,0,0.0
2024-01-29,19.46,19.51,19.17,19.42,2657.0,0,0.0
2024-01-30,19.29,19.52,19.18,19.33,2027.0,0,0.0
2024-01-31,19.14,19.29,18.61,18.67,4159.0,0,0.0
2024-02-01,18.89,19.45,18.83,19.31,3895.0,0,0.0
2024-02-02,19.01,19.88,19.0,19.82,3876.0,0,0.0
2024-02-05,19.41,20.06,19.26,19.99,3626.0,0,0.0
2024-02-06,19.88,20.05,19.58,19.73,3390.0,0,0.0
2024-02-07,19.62,19.92,19.45,19.85,2620.0,0,0.0
2024-02-08,19.88,20.45,19.81,20.05,2807.0,0,0.0
2024-02-09,20.06,20.26,19.71,20.0,2591.0,0,0.0
2024-02-12,20.24,21.26,20.1,20.55,4101.0,0,0.0
2024-02-13,19.52,20.0,19.4,19.8,3716.0,0,0.0
2024-02-14,20.14,20.24,19.67,20.08,3434.0,0,0.0
2024-02-15,20.15,20.42,19.85,20.02,3489.0,0,0.0
2024-02-16,19.69,20.2,19.53,19.76,3153.0,0,0.0
2024-02-20,19.27,19.45,18.96,19.03,2975.0,0,0.0
2024-02-21,18.87,19.18,18.75,19.17,2585.0,0,0.0
2024-02-22,19.44,19.53,19.05,19.13,2951.0,0,0.0
2024-02-23,19.02,19.58,18.82,19.44,2543.0,0,0.0
2024-02-26,20.02,20.05,19.15,19.37,3373.0,0,0.0
2024-02-27,19.55,19.77,19.3,19.67,3002.0,0,0.0
2024-02-28,19.27,19.44,19.1,19.27,3151.0,0,0.0
2024-02-29,19.32,19.4,18.72,18.94,2428.0,0,0.0
2024-03-01,18.91,19.39,18.77,19.07,2353.0,0,0.0
2024-03-04,19.39,19.47,19.06,19.21,2956.0,0,0.0
2024-03-05,19.03,20.16,18.94,20.02,3948.0,0,0.0
2024-03-06,20.18,20.19,18.99,19.03,3845.0,0,0.0
2024-03-07,19.58,19.82,19.01,19.35,4347.0,0,0.0
2024-03-08,20.6,20.88,19.47,20.88,6577.0,0,0.0
2024-03-11,20.84,21.94,20.46,21.62,4604.0,0,0.0
2024-03-12,21.77,23.1,21.62,22.67,4928.0,0,0.0
2024-03-13,22.73,23.29,22.6,22.9,4182.0,0,0.0
2024-03-14,22.68,22.94,22.26,22.94,4458.0,0,0.0
2024-03-15,22.86,23.87,22.86,23.57,4133.0,0,0.0
2024-03-18,23.79,24.79,23.68,24.61,4491.0,0,0.0
2024-03-19,24.61,25.4,24.09,25.38,4276.0,0,0.0
2024-03-20,25.32,26.97,25.25,26.97,5482.0,0,0.0
2024-03-21,27.24,28.58,27.08,28.53,5018.0,0,0.0
2024-03-22,28.28,28.51,27.74,28.03,4169.0,0,0.0
2024-03-25,28.11,28.34,27.57,27.84,5482.0,0,0.0
2024-03-26,27.93,28.33,27.6,27.71,3007.0,0,0.0
2024-03-27,27.64,27.73,27.12,27.31,3663.0,0,0.0
2024-03-28,27.37,27.76,27.2,27.54,3642.0,0,0.0
2024-04-01,27.35,27.85,27.23,27.25,4095.0,0,0.0
2024-04-02,26.58,26.75,26.03,26.68,3770.0,0,0.0
2024-04-03,26.1,26.58,25.83,25.86,4596.0,0,0.0
2024-04-04,26.15,26.15,24.64,24.69,4558.0,0,0.0
2024-04-05,24.73,24.92,24.15,24.2,4605.0,0,0.0
2024-04-08,24.4,24.46,23.47,23.48,3863.0,0,0.0
2024-04-09,23.64,23.71,23.05,23.21,3860.0,0,0.0
2024-04-10,22.78,23.31,22.63,23.14,5158.0,0,0.0
2024-04-11,22.95,23.72,22.86,23.43,4144.0,0,0.0
2024-04-12,23.18,23.38,22.37,22.42,3824.0,0,0.0
2024-04-15,22.72,22.79,21.76,21.82,4474.0,0,0.0
2024-04-16,21.54,21.6,20.32,20.94,5244.0,0,0.0
2024-04-17,21.23,21.33,20.65,21.19,4383.0,0,0.0
2024-04-18,21.44,21.67,20.88,21.03,4030.0,0,0.0
2024-04-19,20.95,21.05,20.56,20.76,4186.0,0,0.0
2024-04-22,20.87,21.21,20.45,20.76,3382.0,0,0.0
2024-04-23,20.99,21.22,20.65,20.94,2786.0,0,0.0
2024-04-24,20.91,20.95,20.03,20.15,2806.0,0,0.0
2024-04-25,19.96,20.32,19.65,20.27,2980.0,0,0.0
2024-04-26,20.1,21.35,20.05,21.32,3379.0,0,0.0
2024-04-29,21.19,21.51,20.92,21.2,3652.0,0,0.0
2024-04-30,21.18,21.39,20.41,20.44,3260.0,0,0.0
2024-05-01,20.3,20.43,19.83,19.85,4854.0,0,0.0
2024-05-02,20.25,20.84,19.89,20.76,3241.0,0,0.0
2024-05-03,20.91,21.65,20.91,21.56,3574.0,0,0.0
2024-05-06,21.76,22.3,21.61,22.18,2893.0,0,0.0
2024-05-07,23.02,23.06,22.05,22.11,3233.0,0,0.0
2024-05-08,22.03,22.44,22.0,22.37,2920.0,0,0.0
2024-05-09,22.31,23.05,22.22,23.02,2343.0,0,0.0
2024-05-10,23.31,23.71,22.73,22.75,3771.0,0,0.0
2024-05-13,22.91,23.04,22.03,22.2,3481.0,0,0.0
2024-05-14,22.69,22.69,21.52,21.54,3687.0,0,0.0
2024-05-15,21.86,22.14,21.59,21.94,2858.0,0,0.0
2024-05-16,21.85,21.91,21.46,21.87,2283.0,0,0.0
2024-05-17,21.85,21.94,21.56,21.62,2339.0,0,0.0
2024-05-20,21.56,21.62,21.2,21.21,1841.0,0,0.0
2024-05-21,21.59,21.59,21.18,21.44,1974.0,0,0.0
2024-05-22,21.29,21.31,20.46,20.58,3010.0,0,0.0
2024-05-23,20.62,21.29,20.62,20.86,4049.0,0,0.0
2024-05-24,21.1,21.43,20.95,20.99,2227.0,0,0.0
2024-05-28,21.01,21.02,20.25,20.32,2827.0,0,0.0
2024-05-29,20.67,21.78,20.47,21.7,4129.0,0,0.0
2024-05-30,21.88,22.7,21.87,22.35,5338.0,0,0.0
2024-05-31,26.43,29.07,24.93,28.87,11168.0,0,0.0
2024-06-03,28.86,30.72,28.86,28.94,7561.0,0,0.0
2024-06-04,28.69,28.76,26.77,26.88,4212.0,0,0.0
2024-06-05,26.62,26.91,26.22,26.56,4102.0,0,0.0
2024-06-06,26.55,26.61,25.76,25.82,2967.0,0,0.0
2024-06-07,25.86,26.08,25.47,25.49,3100.0,0,0.0
2024-06-10,25.38,26.19,25.16,26.06,3261.0,0,0.0
2024-06-11,25.56,26.82,25.33,26.8,3820.0,0,0.0
2024-06-12,26.75,26.92,26.27,26.42,4734.0,0,0.0
2024-06-13,26.41,26.61,25.41,25.84,4167.0,0,0.0
2024-06-14,25.45,25.71,24.42,24.9,4114.0,0,0.0
2024-06-17,25.03,26.34,24.96,25.96,3182.0,0,0.0
2024-06-18,25.72,26.04,25.56,25.76,2376.0,0,0.0
2024-06-20,25.75,25.94,24.96,25.18,3174.0,0,0.0
2024-06-21,25.16,25.2,24.3,24.64,3308.0,0,0.0
2024-06-24,24.85,25.15,24.49,24.79,2582.0,0,0.0
2024-06-25,25.25,25.72,24.52,24.59,3310.0,0,0.0
2024-06-26,24.7,24.86,24.24,24.41,2771.0,0,0.0
2024-06-27,23.81,24.13,23.69,23.99,2405.0,0,0.0
2024-06-28,23.71,24.11,23.61,23.85,4067.0,0,0.0
2024-07-01,23.85,23.86,23.17,23.24,2881.0,0,0.0
2024-07-02,23.11,23.26,22.85,22.96,2259.0,0,0.0
2024-07-03,23.09,23.96,23.05,23.86,1579.0,0,0.0
2024-07-05,23.74,24.35,23.21,23.26,2946.0,0,0.0
2024-07-08,23.59,23.87,23.2,23.4,2104.0,0,0.0
2024-07-09,23.43,23.83,23.25,23.26,2167.0,0,0.0
2024-07-10,23.18,23.51,22.57,22.67,2294.0,0,0.0
2024-07-11,23.11,24.36,23.03,24.3,4241.0,0,0.0
2024-07-12,24.3,24.6,23.96,23.98,2972.0,0,0.0
2024-07-15,23.54,23.64,22.79,22.96,3659.0,0,0.0
2024-07-16,23.13,24.17,23.13,24.12,3308.0,0,0.0
2024-07-17,23.58,23.96,22.91,22.96,3862.0,0,0.0
2024-07-18,23.81,23.88,22.61,22.82,4337.0,0,0.0
2024-07-19,22.64,22.93,22.51,22.69,2746.0,0,0.0
2024-07-22,23.0,23.0,21.67,21.92,3551.0,0,0.0
2024-07-23,21.85,22.24,21.67,22.07,2707.0,0,0.0
2024-07-24,21.45,21.64,21.2,21.32,3031.0,0,0.0
2024-07-25,21.1,21.69,21.02,21.12,3657.0,0,0.0
2024-07-26,21.24,21.46,21.03,21.4,2985.0,0,0.0
2024-07-29,21.46,22.48,21.37,22.23,3213.0,0,0.0
2024-07-30,22.23,22.82,21.92,22.77,3812.0,0,0.0
2024-07-31,23.28,24.1,22.87,23.44,5760.0,0,0.0
2024-08-01,23.75,24.25,22.76,23.2,4542.0,0,0.0
2024-08-02,21.81,22.17,21.3,21.64,5077.0,0,0.0
2024-08-05,19.96,21.46,19.71,21.06,7369.0,0,0.0
2024-08-06,20.74,21.91,20.58,21.4,5915.0,0,0.0
2024-08-07,21.51,21.95,20.55,20.6,3407.0,0,0.0
2024-08-08,21.08,21.94,20.99,21.83,4700.0,0,0.0
2024-08-09,21.65,22.61,21.5,22.61,3842.0,0,0.0
2024-08-12,22.47,22.56,21.97,22.14,4607.0,0,0.0
2024-08-13,22.22,23.07,22.16,23.07,3348.0,0,0.0
2024-08-14,22.96,23.0,22.04,22.71,3678.0,0,0.0
2024-08-15,23.93,24.33,23.74,24.18,3497.0,0,0.0
2024-08-16,24.06,24.48,23.96,24.2,3072.0,0,0.0
2024-08-19,24.15,24.35,23.51,23.66,2756.0,0,0.0
2024-08-20,23.63,24.09,23.31,23.54,3096.0,0,0.0
2024-08-21,24.41,24.64,23.75,24.6,4581.0,0,0.0
2024-08-22,23.3,24.5,23.3,24.47,2025.0,1,0.0
2024-08-23,24.7,25.3,24.33,24.57,2842.0,1,0.0
2024-08-26,24.65,24.79,23.31,23.35,2070.0,1,0.0
2024-08-27,23.05,23.71,23.0,23.29,1759.0,1,0.0
2024-08-28,23.1,23.1,22.14,22.42,2265.0,1,0.0
2024-08-29,23.69,24.22,21.71,22.8,3576.0,1,0.0
2024-08-30,22.1,22.61,21.61,22.4,2707.0,1,0.0
2024-09-03,22.04,23.05,22.02,22.81,2449.0,1,0.0
2024-09-04,22.85,23.1,22.01,22.34,2345.0,1,0.0
2024-09-05,22.2,22.27,21.25,21.35,1616.0,1,0.0
2024-09-06,21.31,21.37,19.91,20.01,2218.0,1,0.0
2024-09-09,19.96,20.31,19.68,19.72,2496.0,1,0.0
2024-09-10,19.61,19.62,19.22,19.42,2327.0,1,0.0
2024-09-11,19.55,19.94,19.37,19.91,2251.0,1,0.0
2024-09-12,20.26,20.74,19.99,20.56,1901.0,1,0.0
2024-09-13,20.99,21.42,20.83,21.19,2579.0,1,0.0
2024-09-16,20.94,21.23,20.31,20.46,1848.0,1,0.0
2024-09-17,20.69,20.78,19.96,20.04,2221.0,1,0.0
2024-09-18,20.11,20.9,20.02,20.13,3206.0,1,0.0
2024-09-19,20.6,20.84,20.17,20.47,2721.0,1,0.0
2024-09-20,20.52,20.59,20.06,20.32,1796.0,1,0.0
2024-09-23,20.18,20.44,19.77,20.27,1807.0,1,0.0
2024-09-24,20.38,20.89,20.23,20.71,2316.0,1,0.0
2024-09-25,20.43,20.71,20.18,20.38,1448.0,1,0.0
2024-09-26,21.03,21.12,20.53,21.02,1411.0,1,0.0
2024-09-27,20.96,21.51,20.68,21.41,3796.0,1,0.0
2024-09-30,21.12,22.13,21.12,22.06,2734.0,1,0.0
2024-10-01,21.56,21.6,20.77,21.0,1882.0,1,0.0
2024-10-02,20.85,20.93,20.41,20.71,2390.0,1,0.0
2024-10-03,20.51,20.97,20.3,20.96,1399.0,0,0.0
2024-10-04,21.52,21.81,21.03,21.25,1555.0,1,0.0
2024-10-07,21.1,21.15,20.22,20.59,1380.0,1,0.0
2024-10-08,20.4,21.1,20.35,20.71,1861.0,1,0.0
2024-10-09,20.45,20.74,19.95,20.69,1390.0,1,0.0
2024-10-10,20.25,20.79,20.2,20.69,1184.0,1,0.0
2024-10-11,20.6,21.82,20.6,21.8,1215.0,1,0.0
2024-10-14,21.65,22.02,21.43,21.77,1160.0,1,0.0
2024-10-15,21.86,22.25,21.54,21.62,2804.0,1,0.0
2024-10-16,21.81,22.34,21.81,22.13,1896.0,1,0.0
2024-10-17,22.18,22.49,22.0,22.2,1257.0,1,0.0
2024-10-18,22.14,22.82,22.14,22.46,1360.0,1,0.0
2024-10-21,22.37,22.62,22.1,22.45,2688.0,1,0.0
2024-10-22,22.2,22.32,21.52,21.77,1313.0,1,0.0
2024-10-23,21.4,21.77,21.29,21.47,1637.0,1,0.0
2024-10-24,21.5,21.74,21.4,21.45,999.0,1,0.0
2024-10-25,21.57,21.85,21.43,21.61,1166.0,1,0.0
2024-10-28,21.84,22.24,21.63,21.75,1065.0,1,0.0
2024-10-29,21.26,21.67,21.13,21.41,1116.0,1,0.0
2024-10-30,21.28,21.69,21.26,21.43,1390.0,0,0.0
2024-10-31,21.22,21.28,20.6,20.77,1396.0,1,0.0
2024-11-01,20.6,21.09,20.59,20.74,1404.0,1,0.0
2024-11-04,20.76,21.78,20.72,21.59,1734.0,1,0.0
2024-11-05,21.39,21.74,21.07,21.68,2972.0,1,0.0
2024-11-06,21.73,21.76,20.64,21.51,5053.0,1,0.0
2024-11-07,21.36,21.91,21.25,21.86,1738.0,1,0.0
2024-11-08,21.35,21.77,21.35,21.66,1202.0,1,0.0
2024-11-11,21.99,22.4,21.81,22.35,2872.0,1,0.0
2024-11-12,22.61,22.92,21.88,21.89,3318.0,1,0.0
2024-11-13,22.16,22.65,22.01,22.34,1859.0,1,0.0
2024-11-14,22.25,22.55,22.0,22.05,2510.0,1,0.0
2024-11-15,22.0,22.07,21.27,21.54,3169.0,1,0.0
2024-11-18,21.6,21.91,21.31,21.34,1732.0,1,0.0
2024-11-19,21.15,21.17,20.64,20.97,2131.0,1,0.0
2024-11-20,20.68,20.69,20.12,20.64,1688.0,1,0.0
2024-11-21,20.76,22.12,20.42,22.05,2670.0,1,0.0
2024-11-22,24.94,25.2,23.25,24.86,4660.0,1,0.0
2024-11-25,25.12,25.46,24.62,24.8,3527.0,1,0.0
2024-11-26,24.76,25.01,23.95,24.13,2532.0,1,0.0
2024-11-27,24.23,24.41,23.7,24.23,2125.0,1,0.0
2024-11-29,24.57,24.57,23.7,24.14,1126.0,1,0.0
2024-12-02,25.25,26.22,24.81,25.71,4225.0,1,0.0
2024-12-03,25.58,26.03,25.12,25.75,3103.0,1,0.0
2024-12-04,25.47,26.02,25.47,25.96,3741.0,1,0.0
2024-12-05,25.51,25.96,25.41,25.46,3479.0,1,0.0
2024-12-06,25.72,26.15,25.6,25.95,3784.0,1,0.0
2024-12-09,25.92,26.39,25.39,25.43,3379.0,1,0.0
2024-12-10,25.54,25.75,25.1,25.28,3049.0,1,0.0
2024-12-11,25.4,25.52,24.97,25.21,3089.0,1,0.0
2024-12-12,24.68,24.83,24.11,24.15,2970.0,1,0.0
2024-12-13,24.13,24.26,23.83,24.24,2368.0,1,0.0
