time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,104.3,105.01,102.27,102.85,1149.0,1,0.0
2024-01-03,101.0,103.38,101.0,102.34,1027.0,1,0.0
2024-01-04,102.0,102.54,100.21,100.77,1313.0,1,0.0
2024-01-05,100.0,101.43,99.63,100.04,1191.0,2,0.0
2024-01-08,100.5,101.91,100.0,101.73,931.0,1,0.0
2024-01-09,103.2,103.65,102.23,103.46,1413.0,1,0.0
2024-01-10,103.5,104.94,103.5,104.75,1191.0,1,0.0
2024-01-11,104.23,104.74,102.9,104.37,1836.0,1,0.0
2024-01-12,104.38,106.65,104.05,104.39,1389.0,1,0.0
2024-01-16,104.04,105.01,103.48,104.77,2015.0,1,0.0
2024-01-17,103.26,107.42,103.26,106.86,1360.0,1,0.0
2024-01-18,107.81,108.2,106.14,107.09,1452.0,1,0.0
2024-01-19,107.29,108.11,106.89,107.9,1331.0,1,0.0
2024-01-22,109.05,109.53,108.01,108.11,1107.0,1,0.0
2024-01-23,108.0,108.54,107.25,107.78,1490.0,1,0.0
2024-01-24,107.92,109.33,107.92,108.24,1220.0,1,0.0
2024-01-25,108.75,109.04,106.92,107.47,1270.0,1,0.0
2024-01-26,106.75,107.77,106.75,107.57,1186.0,1,0.0
2024-01-29,107.75,108.16,106.91,107.94,1177.0,1,0.0
2024-01-30,108.29,109.3,107.38,109.04,1149.0,1,0.0
2024-01-31,108.46,108.75,106.24,106.69,1188.0,2,0.0
2024-02-01,106.89,108.34,106.73,108.24,850.0,1,0.0
2024-02-02,108.25,108.25,107.0,107.44,1176.0,2,0.0
2024-02-05,107.56,109.83,107.34,109.48,1443.0,1,0.0
2024-02-06,109.7,110.28,108.45,109.58,1262.0,1,0.0
2024-02-07,109.5,112.43,109.5,112.13,1467.0,1,0.0
2024-02-08,112.55,112.94,111.19,112.54,1262.0,1,0.0
2024-02-09,112.8,113.67,111.67,112.85,1071.0,0,0.0
2024-02-12,112.51,113.48,111.8,112.02,1176.0,2,0.0
2024-02-13,110.0,113.06,108.4,113.06,2107.0,1,0.0
2024-02-14,107.31,111.41,107.04,111.31,2289.0,1,0.0
2024-02-15,112.01,112.11,109.78,111.12,1643.0,1,0.0
2024-02-16,110.9,110.9,109.5,109.86,1526.0,1,0.0
2024-02-20,110.18,110.62,108.2,108.66,1148.0,1,0.0
2024-02-21,108.81,109.47,108.06,109.3,1202.0,1,0.0
2024-02-22,111.34,113.38,109.88,113.02,1378.0,1,0.0
2024-02-23,114.37,114.96,113.8,114.95,1361.0,1,0.0
2024-02-26,114.45,115.22,113.51,114.24,1292.0,1,0.0
2024-02-27,113.5,114.13,113.0,113.21,1002.0,1,0.0
2024-02-28,112.5,113.69,112.5,112.85,975.0,1,0.0
2024-02-29,113.87,116.19,112.22,114.01,1428.0,2,0.0
2024-03-01,114.1,114.92,113.14,113.83,1745.0,1,0.0
2024-03-04,110.25,111.49,108.33,111.2,1191.0,1,0.0
2024-03-05,109.44,110.16,108.23,108.64,1652.0,1,0.0
2024-03-06,109.68,113.74,109.0,109.2,1429.0,2,0.0
2024-03-07,110.31,114.44,110.31,113.72,1555.0,1,0.0
2024-03-08,114.02,114.69,112.33,113.3,1089.0,1,0.0
2024-03-11,112.85,114.83,112.75,114.22,1039.0,1,0.0
2024-03-12,115.08,118.26,115.08,117.31,1318.0,0,0.0
2024-03-13,116.62,118.38,115.99,117.5,1222.0,1,0.0
2024-03-14,117.81,118.0,116.09,116.93,952.0,1,0.0
2024-03-15,116.13,118.09,115.28,116.99,1109.0,1,0.0
2024-03-18,117.61,119.73,117.3,119.32,1683.0,1,0.0
2024-03-19,119.0,119.35,118.1,119.07,1022.0,1,0.0
2024-03-20,119.21,119.3,118.32,119.0,998.0,1,0.0
2024-03-21,119.7,121.53,119.43,120.49,1141.0,1,0.0
2024-03-22,120.27,121.74,120.27,121.41,1204.0,1,0.0
2024-03-25,121.2,122.6,120.5,120.73,1200.0,1,0.0
2024-03-26,121.0,121.67,120.1,120.74,982.0,2,0.0
2024-03-27,122.05,122.15,120.76,121.8,988.0,1,0.0
2024-03-28,121.96,122.01,118.68,118.69,1372.0,1,0.0
2024-04-01,118.11,121.18,118.11,120.93,1160.0,1,0.0
2024-04-02,120.05,122.34,119.99,122.04,1409.0,1,0.0
2024-04-03,121.72,123.87,121.49,123.67,1158.0,1,0.0
2024-04-04,123.82,125.48,123.13,123.65,1340.0,1,0.0
2024-04-05,123.46,126.07,123.21,125.83,1166.0,1,0.0
2024-04-08,124.85,127.11,124.76,126.64,1083.0,1,0.0
2024-04-09,126.44,126.48,124.0,125.57,1252.0,1,0.0
2024-04-10,123.72,126.63,123.72,125.28,1097.0,2,0.0
2024-04-11,125.48,126.96,125.0,126.64,916.0,2,0.0
2024-04-12,125.51,126.12,122.96,122.96,1352.0,1,0.0
2024-04-15,124.61,124.95,120.97,121.46,1236.0,1,0.0
2024-04-16,121.5,124.17,121.39,123.31,1324.0,1,0.0
2024-04-17,123.58,124.43,122.0,122.64,1139.0,1,0.0
2024-04-18,122.0,123.55,120.99,121.33,1110.0,1,0.0
2024-04-19,120.21,122.51,119.6,120.11,1240.0,1,0.0
2024-04-22,120.25,122.39,120.01,121.24,1121.0,2,0.0
2024-04-23,121.68,123.87,121.23,123.16,906.0,1,0.0
2024-04-24,123.84,124.48,122.46,123.7,1277.0,1,0.0
2024-04-25,122.06,124.36,121.62,123.95,1097.0,2,0.0
2024-04-26,123.33,126.61,123.33,125.17,1055.0,2,0.0
2024-04-29,124.79,126.25,123.9,124.88,1005.0,2,0.0
2024-04-30,123.75,124.98,122.25,122.59,974.0,1,0.0
2024-05-01,122.0,125.28,121.75,122.43,1760.0,1,0.0
2024-05-02,122.53,124.25,120.5,124.21,1692.0,1,0.0
2024-05-03,125.86,126.53,122.0,123.7,1495.0,2,0.0
2024-05-06,125.06,128.51,125.06,128.28,1405.0,2,0.0
2024-05-07,128.35,131.87,128.35,131.42,1191.0,1,0.0
2024-05-08,130.99,131.89,130.05,131.38,928.0,1,0.0
2024-05-09,130.5,132.76,130.5,131.68,812.0,2,0.0
2024-05-10,132.27,133.95,132.0,133.89,877.0,1,0.0
2024-05-13,133.9,135.03,133.02,133.33,1087.0,2,0.0
2024-05-14,132.71,133.51,131.54,132.51,1077.0,2,0.0
2024-05-15,134.2,136.67,133.52,136.42,1179.0,2,0.0
2024-05-16,135.75,136.25,134.86,134.87,872.0,2,0.0
2024-05-17,135.6,135.77,134.57,135.53,754.0,2,0.0
2024-05-20,135.12,137.84,134.78,137.61,943.0,2,0.0
2024-05-21,136.89,139.18,136.87,138.8,842.0,1,0.0
2024-05-22,139.2,139.59,137.75,138.78,951.0,1,0.0
2024-05-23,139.52,139.83,138.0,138.45,1088.0,2,0.0
2024-05-24,138.88,141.18,138.47,139.99,1060.0,1,0.0
2024-05-28,139.7,140.87,137.65,138.51,1131.0,1,0.0
2024-05-29,138.93,140.63,138.81,139.49,1210.0,1,0.0
2024-05-30,138.0,139.09,137.6,138.35,1255.0,1,0.0
2024-05-31,138.32,139.63,136.79,139.45,1542.0,1,0.0
2024-06-03,139.25,140.59,138.0,139.9,1068.0,1,0.0
2024-06-04,138.96,139.36,137.0,138.71,1247.0,2,0.0
2024-06-05,139.13,140.48,138.32,139.58,807.0,3,0.0
2024-06-06,139.3,140.54,138.38,138.87,1015.0,1,0.0
2024-06-07,138.34,139.83,137.73,139.28,1356.0,1,0.0
2024-06-10,141.2,142.92,141.0,141.83,1464.0,1,0.0
2024-06-11,140.78,141.01,138.5,140.15,1041.0,1,0.0
2024-06-12,141.42,141.65,137.0,137.79,1280.0,1,0.0
2024-06-13,137.82,140.09,137.06,138.11,1227.0,2,0.0
2024-06-14,137.06,137.66,136.0,137.33,1128.0,1,0.0
2024-06-17,137.25,139.22,136.8,138.0,939.0,2,0.0
2024-06-18,138.02,139.62,136.84,136.84,728.0,1,0.0
2024-06-20,137.0,138.0,135.5,137.68,1045.0,1,0.0
2024-06-21,137.35,137.89,135.88,137.01,1074.0,1,0.0
2024-06-24,136.86,139.46,136.5,138.38,1628.0,1,0.0
2024-06-25,139.02,141.15,138.16,141.05,1793.0,1,0.0
2024-06-26,140.49,140.91,138.72,139.79,1376.0,1,0.0
2024-06-27,138.27,140.86,138.27,140.29,1607.0,1,0.0
2024-06-28,140.2,140.87,138.55,139.8,2320.0,1,0.0
2024-07-01,140.0,142.2,138.28,141.54,2065.0,1,0.0
2024-07-02,141.18,143.3,141.01,142.77,1878.0,1,0.0
2024-07-03,142.93,145.31,142.93,144.01,1222.0,1,0.0
2024-07-05,143.62,144.31,142.95,143.89,1790.0,1,0.0
2024-07-08,143.97,145.06,142.8,143.73,1904.0,1,0.0
2024-07-09,144.03,144.97,143.28,144.32,1928.0,1,0.0
2024-07-10,142.37,142.92,140.27,142.49,2116.0,1,0.0
2024-07-11,142.2,143.31,141.0,142.1,2557.0,1,0.0
2024-07-12,142.96,146.05,141.38,145.23,1610.0,2,0.0
2024-07-15,146.36,147.67,146.0,146.61,1492.0,1,0.0
2024-07-16,147.32,148.49,146.53,147.69,1359.0,2,0.0
2024-07-17,146.0,146.56,144.28,144.28,1818.0,2,0.0
2024-07-18,144.69,145.18,142.91,144.3,2380.0,1,0.0
2024-07-19,144.04,145.96,144.04,144.89,1831.0,1,0.0
2024-07-22,145.83,147.5,144.91,146.88,1490.0,1,0.0
2024-07-23,147.7,148.6,147.03,147.67,1188.0,2,0.0
2024-07-24,145.48,147.52,142.78,143.12,1460.0,1,0.0
2024-07-25,142.19,144.58,140.0,143.39,2040.0,1,0.0
2024-07-26,144.0,145.13,142.78,143.35,1651.0,2,0.0
2024-07-29,143.65,145.07,143.65,143.76,1350.0,1,0.0
2024-07-30,144.11,145.32,143.01,143.71,1497.0,2,0.0
2024-07-31,143.8,146.08,143.8,145.28,1535.0,3,0.0
2024-08-01,145.42,146.67,140.46,141.14,1945.0,3,0.0
2024-08-02,144.88,152.0,144.88,150.93,1921.0,1,0.0
2024-08-05,145.16,148.87,144.48,146.64,1825.0,2,0.0
2024-08-06,146.91,154.75,146.91,151.64,1772.0,4,0.0
2024-08-07,152.05,156.03,152.05,153.15,1688.0,3,0.0
2024-08-08,153.0,156.68,152.85,156.61,1611.0,1,0.0
2024-08-09,157.04,158.01,155.44,157.41,1116.0,1,0.0
2024-08-12,157.82,159.01,156.5,158.19,1555.0,2,0.0
2024-08-13,158.59,160.68,158.0,159.85,1253.0,1,0.0
2024-08-14,161.53,162.66,159.88,160.39,1240.0,2,0.0
2024-08-15,161.18,162.91,160.29,162.19,1065.0,2,0.0
2024-08-16,162.0,164.25,161.08,163.48,1121.0,2,0.0
2024-08-19,163.4,164.0,162.07,163.45,968.0,1,0.0
2024-08-20,164.4,164.42,162.38,162.77,1073.0,3,0.0
2024-08-21,162.99,165.43,162.99,164.63,1301.0,1,0.0
2024-08-22,163.75,165.78,162.15,162.15,1064.0,1,0.0
2024-08-23,162.45,163.43,160.58,162.36,1309.0,1,0.0
2024-08-26,162.12,165.0,162.12,163.91,1277.0,1,0.0
2024-08-27,162.81,165.6,162.81,164.52,802.0,3,0.0
2024-08-28,164.29,164.76,163.24,164.05,855.0,5,0.0
2024-08-29,164.0,165.39,163.92,164.73,990.0,6,0.0
2024-08-30,165.0,167.49,164.27,167.46,1104.0,1,0.0
2024-09-03,166.35,166.48,158.51,159.39,1615.0,2,0.0
2024-09-04,158.08,158.76,155.74,157.25,1287.0,2,0.0
2024-09-05,152.66,156.15,152.19,152.78,1404.0,1,0.0
2024-09-06,154.16,154.48,149.57,150.07,1433.0,2,0.0
2024-09-09,151.29,153.36,150.5,152.4,1182.0,2,0.0
2024-09-10,153.46,153.46,149.1,149.51,1147.0,2,0.0
2024-09-11,149.16,151.66,148.37,151.58,1695.0,2,0.0
2024-09-12,150.76,153.02,150.12,152.52,1158.0,3,0.0
2024-09-13,152.87,153.5,152.05,152.24,1135.0,2,0.0
2024-09-16,151.5,152.63,150.3,150.34,951.0,3,0.0
2024-09-17,150.35,153.83,150.35,153.81,1187.0,2,0.0
2024-09-18,153.39,155.6,153.39,154.12,1674.0,1,0.0
2024-09-19,157.38,160.08,157.04,159.92,1528.0,1,0.0
2024-09-20,160.4,160.54,158.1,160.27,1026.0,2,0.0
2024-09-23,159.09,161.25,158.02,158.53,1000.0,1,0.0
2024-09-24,158.56,159.18,156.17,157.76,1039.0,1,0.0
2024-09-25,157.01,159.38,156.52,158.4,985.0,3,0.0
2024-09-26,158.95,159.34,155.13,155.7,1251.0,1,0.0
2024-09-27,155.5,156.48,154.68,155.96,903.0,4,0.0
2024-09-30,155.5,156.79,154.46,156.68,994.0,1,0.0
2024-10-01,155.05,155.43,152.47,152.96,980.0,4,0.0
2024-10-02,152.64,155.15,152.54,154.53,751.0,6,0.0
2024-10-03,153.51,154.34,152.1,154.25,681.0,3,0.0
2024-10-04,155.12,156.18,153.68,155.88,910.0,4,0.0
2024-10-07,156.0,156.74,154.67,154.97,848.0,3,0.0
2024-10-08,155.26,160.27,155.26,160.01,1089.0,3,0.0
2024-10-09,159.1,161.4,158.58,161.27,1111.0,1,0.0
2024-10-10,161.35,162.08,160.12,161.95,822.0,3,0.0
2024-10-11,162.39,163.7,161.52,162.74,1080.0,4,0.0
2024-10-14,163.15,164.51,163.14,163.85,894.0,4,0.0
2024-10-15,164.07,164.62,162.0,162.78,820.0,3,0.0
2024-10-16,161.84,164.6,160.96,163.93,775.0,2,0.0
2024-10-17,164.71,165.1,162.47,164.36,846.0,4,0.0
2024-10-18,164.45,165.52,164.0,164.5,812.0,5,0.0
2024-10-21,164.74,165.78,163.19,163.62,934.0,2,0.0
2024-10-22,162.5,164.39,161.99,163.5,1003.0,5,0.0
2024-10-23,163.23,164.32,160.21,161.47,826.0,5,0.0
2024-10-24,162.0,163.16,160.75,161.3,781.0,2,0.0
2024-10-25,161.06,162.47,159.95,160.5,789.0,6,0.0
2024-10-28,160.57,161.86,159.71,159.71,889.0,3,0.0
2024-10-29,159.85,161.48,159.36,160.98,1075.0,4,0.0
2024-10-30,161.09,162.67,160.13,161.34,1099.0,3,0.0
2024-10-31,165.43,171.69,164.84,167.14,1450.0,1,0.0
2024-11-01,166.47,167.0,162.22,163.14,1405.0,2,0.0
2024-11-04,162.36,165.68,161.18,165.25,1060.0,3,0.0
2024-11-05,165.29,168.01,165.2,167.39,1026.0,4,0.0
2024-11-06,171.1,175.93,171.09,175.43,1023.0,5,0.0
2024-11-07,175.0,177.8,175.0,177.15,848.0,3,0.0
2024-11-08,176.02,178.24,175.04,177.6,947.0,3,0.0
2024-11-11,178.77,184.28,178.47,182.96,1037.0,2,0.0
2024-11-12,183.82,187.15,183.2,186.86,1169.0,2,0.0
2024-11-13,185.76,190.09,184.36,188.44,1173.0,2,0.0
2024-11-14,187.0,187.0,183.95,185.17,964.0,4,0.0
2024-11-15,183.7,184.62,182.46,183.01,1168.0,3,0.0
2024-11-18,181.74,185.97,181.37,184.76,1080.0,2,0.0
2024-11-19,183.53,187.95,183.53,187.3,1130.0,3,0.0
2024-11-20,187.91,190.41,185.98,189.82,1118.0,4,0.0
2024-11-21,191.7,193.2,190.0,193.07,954.0,3,0.0
2024-11-22,192.0,196.67,191.55,196.37,1258.0,3,0.0
