time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,85.48,86.44,84.66,85.09,874.0,1,0.0
2024-01-03,83.87,84.13,82.8,82.97,806.0,1,0.0
2024-01-04,82.46,83.84,82.46,83.37,794.0,1,0.0
2024-01-05,82.29,83.44,81.93,83.07,760.0,2,0.0
2024-01-08,82.94,83.76,82.45,83.64,590.0,2,0.0
2024-01-09,82.8,83.6,82.31,83.19,711.0,1,0.0
2024-01-10,83.23,83.52,82.77,83.19,624.0,1,0.0
2024-01-11,83.06,84.18,82.8,84.1,963.0,1,0.0
2024-01-12,84.59,84.71,83.86,84.54,743.0,1,0.0
2024-01-16,83.61,84.47,83.01,84.36,844.0,1,0.0
2024-01-17,83.08,84.13,83.08,83.29,833.0,1,0.0
2024-01-18,83.6,84.98,83.6,84.85,914.0,1,0.0
2024-01-19,84.44,85.03,83.58,84.94,878.0,2,0.0
2024-01-22,85.13,85.92,84.99,85.48,622.0,1,0.0
2024-01-23,85.25,85.75,84.62,85.01,717.0,1,0.0
2024-01-24,84.74,85.18,83.75,84.03,832.0,1,0.0
2024-01-25,84.23,84.97,83.98,84.46,979.0,1,0.0
2024-01-26,84.5,84.8,84.03,84.59,822.0,1,0.0
2024-01-29,84.07,85.26,84.0,85.04,849.0,1,0.0
2024-01-30,84.6,86.92,83.69,86.67,1040.0,1,0.0
2024-01-31,86.52,86.52,84.73,85.16,1519.0,2,0.0
2024-02-01,85.2,86.69,85.0,86.49,863.0,1,0.0
2024-02-02,85.98,86.98,85.09,86.86,1076.0,1,0.0
2024-02-05,85.39,86.35,85.11,85.98,841.0,1,0.0
2024-02-06,85.6,86.96,85.23,86.89,836.0,1,0.0
2024-02-07,86.85,87.88,86.85,87.24,857.0,1,0.0
2024-02-08,87.3,87.85,86.36,87.73,712.0,2,0.0
2024-02-09,87.58,88.3,87.41,88.07,779.0,1,0.0
2024-02-12,87.72,88.23,87.46,88.03,1106.0,1,0.0
2024-02-13,86.16,88.05,86.01,87.36,1032.0,1,0.0
2024-02-14,87.55,88.4,86.99,88.25,1160.0,1,0.0
2024-02-15,88.63,88.97,87.99,88.5,916.0,1,0.0
2024-02-16,88.44,89.31,88.01,88.07,735.0,1,0.0
2024-02-20,86.99,88.23,86.49,87.82,654.0,2,0.0
2024-02-21,87.35,88.74,87.2,88.69,1083.0,1,0.0
2024-02-22,88.63,89.76,88.33,89.54,623.0,2,0.0
2024-02-23,90.06,90.35,89.22,90.26,652.0,1,0.0
2024-02-26,89.39,90.3,89.2,90.01,947.0,1,0.0
2024-02-27,89.8,89.8,88.77,89.46,605.0,1,0.0
2024-02-28,88.87,90.25,88.32,89.83,633.0,2,0.0
2024-02-29,90.04,91.41,89.3,91.29,1059.0,1,0.0
2024-03-01,90.74,91.32,90.35,91.14,851.0,1,0.0
2024-03-04,91.68,92.57,91.29,91.47,657.0,1,0.0
2024-03-05,90.84,91.47,90.33,90.77,786.0,2,0.0
2024-03-06,91.07,92.33,90.96,92.04,683.0,1,0.0
2024-03-07,92.38,93.67,91.96,93.39,742.0,1,0.0
2024-03-08,93.37,93.65,92.21,92.59,995.0,1,0.0
2024-03-11,92.29,92.72,91.8,92.45,573.0,1,0.0
2024-03-12,92.14,93.31,91.49,92.94,732.0,1,0.0
2024-03-13,92.55,94.23,92.55,93.74,930.0,1,0.0
2024-03-14,93.12,94.31,92.9,93.32,958.0,1,0.0
2024-03-15,93.12,94.47,92.81,93.34,870.0,2,0.0
2024-03-18,93.25,93.6,91.82,91.84,961.0,1,0.0
2024-03-19,92.01,92.59,91.72,92.44,839.0,1,0.0
2024-03-20,92.34,93.36,92.2,93.2,1026.0,2,0.0
2024-03-21,93.09,94.72,92.52,94.49,697.0,2,0.0
2024-03-22,93.99,94.55,93.6,94.23,714.0,1,0.0
2024-03-25,94.21,94.21,93.28,93.47,499.0,2,0.0
2024-03-26,92.96,93.78,92.77,93.1,504.0,0,0.0
2024-03-27,93.51,94.14,93.03,93.99,657.0,2,0.0
2024-03-28,93.9,94.32,93.5,93.59,598.0,2,0.0
2024-04-01,92.55,92.76,91.42,92.19,850.0,1,0.0
2024-04-02,91.6,91.97,91.11,91.65,798.0,1,0.0
2024-04-03,91.27,92.43,91.24,92.17,566.0,1,0.0
2024-04-04,92.23,92.59,90.66,91.01,649.0,2,0.0
