time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,81.03,83.75,80.91,83.26,11518.0,1,0.0
2024-01-03,83.48,84.2,82.8,83.52,11688.0,1,0.0
2024-01-04,83.51,84.94,83.13,84.47,9454.0,1,0.0
2024-01-05,83.85,84.51,83.19,83.29,8906.0,1,0.0
2024-01-08,82.34,83.98,82.34,83.97,9510.0,1,0.0
2024-01-09,82.95,86.28,82.95,86.05,9125.0,1,0.0
2024-01-10,83.66,84.9,83.25,84.47,10137.0,1,0.0
2024-01-11,83.88,85.43,83.71,85.43,11601.0,1,0.0
2024-01-12,85.92,86.44,85.6,86.38,11155.0,1,0.0
2024-01-16,85.36,86.08,85.3,85.97,9660.0,1,0.0
2024-01-17,85.6,86.57,85.54,86.48,9463.0,1,0.0
2024-01-18,85.6,86.54,85.26,86.43,7878.0,1,0.0
2024-01-19,86.15,87.85,86.09,87.24,11717.0,1,0.0
2024-01-22,80.43,80.43,77.36,78.39,10368.0,1,0.0
2024-01-23,78.42,79.88,78.31,79.52,5791.0,1,0.0
2024-01-24,79.1,79.87,78.46,79.45,10007.0,1,0.0
2024-01-25,79.83,81.03,79.54,80.24,7380.0,1,0.0
2024-01-26,80.22,80.46,79.37,79.53,6473.0,1,0.0
2024-01-29,79.69,79.98,78.9,79.09,5494.0,1,0.0
2024-01-30,78.67,78.87,77.95,78.68,5549.0,1,0.0
2024-01-31,78.77,78.99,78.0,78.32,6591.0,1,0.0
2024-02-01,77.37,78.58,77.37,78.1,8277.0,1,0.0
2024-02-02,77.79,77.89,76.92,76.96,8316.0,1,0.0
2024-02-05,76.5,77.03,76.0,76.79,6443.0,1,0.0
2024-02-06,76.7,77.86,76.5,77.69,8709.0,1,0.0
2024-02-07,75.51,75.94,73.9,74.46,9939.0,1,0.0
2024-02-08,74.29,74.53,73.03,73.77,7528.0,1,0.0
2024-02-09,73.74,74.1,72.81,73.6,8751.0,0,0.0
2024-02-12,73.5,75.13,73.42,74.42,8587.0,1,0.0
2024-02-13,74.0,74.17,72.96,73.57,9834.0,0,0.0
2024-02-14,73.44,73.78,72.83,73.06,7197.0,1,0.0
2024-02-15,72.85,73.56,72.85,73.38,7341.0,1,0.0
2024-02-16,71.78,72.33,71.36,71.57,7994.0,1,0.0
2024-02-20,71.56,72.69,71.52,72.03,7479.0,1,0.0
2024-02-21,72.83,73.27,72.55,73.2,7265.0,1,0.0
2024-02-22,72.18,72.88,71.81,72.78,6871.0,1,0.0
