time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,30.1,30.72,30.1,30.49,2900.0,1,0.0
2024-01-03,30.29,30.34,29.97,30.15,3487.0,1,0.0
2024-01-04,30.01,30.37,29.84,30.29,2355.0,1,0.0
2024-01-05,30.17,30.61,30.1,30.59,2390.0,1,0.0
2024-01-08,30.67,31.4,30.64,31.3,2345.0,1,0.0
2024-01-09,31.02,31.13,30.5,30.56,2386.0,1,0.0
2024-01-10,30.46,30.82,30.32,30.67,2386.0,0,0.0
2024-01-11,30.56,30.75,30.33,30.75,3695.0,1,0.0
2024-01-12,30.98,31.0,30.59,30.59,3100.0,1,0.0
2024-01-16,30.36,30.4,29.96,30.19,3014.0,0,0.0
2024-01-17,29.9,30.07,29.71,29.84,2316.0,1,0.0
2024-01-18,30.1,30.32,29.92,30.17,2459.0,1,0.0
2024-01-19,30.01,30.55,29.81,30.45,2680.0,1,0.0
2024-01-22,30.56,30.76,30.49,30.62,2505.0,1,0.0
2024-01-23,30.69,30.81,30.31,30.32,2357.0,1,0.0
2024-01-24,30.47,30.67,30.31,30.35,3290.0,1,0.0
2024-01-25,30.56,31.06,30.49,30.8,2713.0,1,0.0
2024-01-26,30.89,31.08,30.79,30.86,2070.0,1,0.0
2024-01-29,30.83,31.17,30.7,31.04,1838.0,1,0.0
2024-01-30,32.7,33.86,32.4,33.26,5410.0,1,0.0
2024-01-31,33.25,33.3,32.33,32.52,5029.0,1,0.0
2024-02-01,32.25,32.36,31.71,32.05,4605.0,1,0.0
2024-02-02,31.82,32.4,31.77,32.26,3677.0,1,0.0
2024-02-05,31.92,32.14,31.71,31.99,3269.0,1,0.0
2024-02-06,32.01,32.19,31.93,32.06,2891.0,1,0.0
2024-02-07,32.08,32.1,31.56,31.79,3046.0,1,0.0
2024-02-08,31.63,31.8,31.51,31.71,2305.0,1,0.0
2024-02-09,31.6,32.03,31.58,32.01,2804.0,1,0.0
2024-02-12,32.08,32.37,31.9,32.18,2886.0,1,0.0
2024-02-13,31.58,31.82,30.96,31.32,3665.0,1,0.0
2024-02-14,31.48,31.8,31.4,31.74,2900.0,1,0.0
2024-02-15,31.82,32.21,31.82,32.06,3291.0,1,0.0
2024-02-16,31.75,32.2,31.63,31.91,3490.0,1,0.0
2024-02-20,31.57,32.29,31.57,32.28,3094.0,1,0.0
2024-02-21,32.12,32.45,32.0,32.26,2763.0,1,0.0
2024-02-22,32.21,32.7,32.03,32.7,2945.0,1,0.0
2024-02-23,32.67,32.72,32.43,32.69,2947.0,1,0.0
2024-02-26,32.52,32.76,32.5,32.56,2256.0,1,0.0
2024-02-27,32.63,32.74,32.32,32.46,2226.0,1,0.0
2024-02-28,32.0,32.21,31.75,32.06,1564.0,1,0.0
2024-02-29,32.24,32.39,32.1,32.27,2106.0,1,0.0
2024-03-01,32.27,32.61,32.02,32.44,2396.0,1,0.0
2024-03-04,32.35,33.55,32.3,33.34,2653.0,1,0.0
2024-03-05,33.16,33.18,32.27,32.5,3173.0,1,0.0
2024-03-06,32.71,33.15,32.65,32.79,3515.0,1,0.0
2024-03-07,32.65,32.88,32.25,32.58,2505.0,1,0.0
2024-03-08,32.74,32.88,32.49,32.7,3812.0,1,0.0
2024-03-11,32.69,32.93,32.45,32.88,2226.0,1,0.0
2024-03-12,32.88,32.99,32.64,32.9,2445.0,1,0.0
2024-03-13,32.93,33.03,32.6,32.72,2577.0,1,0.0
2024-03-14,32.62,32.73,32.2,32.51,2542.0,0,0.0
2024-03-15,32.43,32.59,32.35,32.46,2739.0,1,0.0
2024-03-18,32.63,32.63,32.26,32.31,2451.0,1,0.0
2024-03-19,32.12,32.54,32.1,32.51,2263.0,1,0.0
2024-03-20,32.4,32.79,32.39,32.65,2740.0,1,0.0
2024-03-21,33.0,33.32,32.9,33.15,2448.0,1,0.0
2024-03-22,32.81,32.95,32.51,32.64,2111.0,1,0.0
2024-03-25,32.62,32.7,32.43,32.49,2005.0,1,0.0
2024-03-26,32.58,32.63,32.29,32.32,1824.0,1,0.0
2024-03-27,32.37,33.01,32.37,33.01,1339.0,0,0.0
2024-03-28,33.08,33.32,32.87,32.95,1744.0,1,0.0
2024-04-01,32.91,33.0,32.63,32.65,2192.0,1,0.0
2024-04-02,32.57,32.69,32.44,32.49,1423.0,1,0.0
2024-04-03,32.57,32.72,32.45,32.55,1466.0,1,0.0
2024-04-04,32.86,32.97,32.26,32.33,3796.0,1,0.0
2024-04-05,32.35,32.64,32.27,32.62,1767.0,1,0.0
2024-04-08,32.69,32.78,32.2,32.21,1327.0,1,0.0
2024-04-09,32.39,32.54,32.08,32.51,1833.0,1,0.0
2024-04-10,32.07,32.15,31.73,31.97,4372.0,1,0.0
2024-04-11,32.3,32.52,32.01,32.25,3411.0,1,0.0
2024-04-12,31.93,32.02,31.37,31.49,2102.0,1,0.0
2024-04-15,31.84,32.02,31.25,31.31,2145.0,1,0.0
2024-04-16,31.37,31.42,30.88,30.94,4037.0,1,0.0
2024-04-17,30.95,31.43,30.95,31.03,2079.0,1,0.0
2024-04-18,31.05,31.13,30.72,30.87,1612.0,1,0.0
2024-04-19,30.86,31.39,30.86,31.26,1820.0,1,0.0
2024-04-22,31.49,31.77,31.28,31.56,1647.0,1,0.0
2024-04-23,31.5,31.85,31.47,31.49,1176.0,0,0.0
2024-04-24,31.33,31.69,31.3,31.48,1271.0,1,0.0
2024-04-25,31.38,31.64,31.17,31.38,1306.0,1,0.0
2024-04-26,31.31,31.72,31.2,31.36,1233.0,1,0.0
2024-04-29,31.41,31.77,31.39,31.72,1375.0,1,0.0
2024-04-30,33.05,34.43,32.9,33.3,3194.0,1,0.0
2024-05-01,33.33,34.03,32.8,33.45,2463.0,1,0.0
2024-05-02,33.59,33.66,33.0,33.53,1414.0,1,0.0
2024-05-03,33.72,33.82,33.41,33.71,1620.0,1,0.0
2024-05-06,33.58,33.59,32.92,33.44,1424.0,1,0.0
2024-05-07,33.44,33.65,33.31,33.49,1312.0,1,0.0
2024-05-08,33.28,33.94,33.25,33.94,1021.0,1,0.0
2024-05-09,34.02,34.19,33.92,34.19,1019.0,1,0.0
2024-05-10,34.19,34.28,34.07,34.19,831.0,1,0.0
2024-05-13,34.2,34.42,34.15,34.26,716.0,1,0.0
2024-05-14,34.29,35.02,34.25,34.93,1164.0,1,0.0
2024-05-15,35.01,35.13,34.83,35.08,1156.0,1,0.0
2024-05-16,35.0,35.31,35.0,35.25,1119.0,1,0.0
2024-05-17,35.05,35.38,35.05,35.36,818.0,1,0.0
2024-05-20,35.38,35.59,35.33,35.51,1620.0,1,0.0
2024-05-21,35.54,36.79,35.54,36.51,2618.0,1,0.0
2024-05-22,36.45,36.73,36.3,36.56,1924.0,1,0.0
2024-05-23,36.55,36.55,36.05,36.1,1604.0,1,0.0
2024-05-24,36.34,36.53,36.21,36.25,1308.0,1,0.0
2024-05-28,36.05,36.23,35.73,35.81,1355.0,1,0.0
2024-05-29,35.49,35.79,35.43,35.57,1237.0,0,0.0
2024-05-30,36.6,37.27,36.2,36.96,3150.0,1,0.0
2024-05-31,36.67,37.23,36.65,37.2,2279.0,1,0.0
2024-06-03,37.3,37.51,37.01,37.3,2534.0,1,0.0
2024-06-04,37.15,37.21,36.9,37.01,2049.0,1,0.0
2024-06-05,37.12,37.51,36.95,37.46,1630.0,1,0.0
2024-06-06,37.4,37.48,37.25,37.37,2557.0,1,0.0
2024-06-07,37.21,37.24,36.8,36.9,2405.0,1,0.0
2024-06-10,36.67,36.89,36.63,36.86,1767.0,1,0.0
2024-06-11,36.61,37.56,36.61,37.32,2166.0,1,0.0
2024-06-12,37.68,38.3,37.5,38.02,3294.0,1,0.0
2024-06-13,37.09,38.13,37.09,38.13,3094.0,0,0.0
2024-06-14,37.91,37.94,37.05,37.21,1787.0,1,0.0
2024-06-17,38.33,39.14,37.91,38.73,3252.0,1,0.0
2024-06-18,38.74,40.24,38.68,40.24,4169.0,1,0.0
2024-06-20,40.19,40.43,39.6,39.85,3901.0,1,0.0
2024-06-21,39.89,40.45,39.67,40.13,3606.0,1,0.0
