time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,139.13,139.44,136.47,138.26,21114.0,1,0.0
2024-01-03,137.2,139.62,137.06,138.9,26603.0,1,0.0
2024-01-04,138.78,139.15,136.38,136.42,21678.0,1,0.0
2024-01-05,136.96,137.14,135.16,135.78,20780.0,1,0.0
2024-01-08,136.57,138.97,136.43,138.89,17799.0,1,0.0
2024-01-09,138.2,141.48,138.19,140.94,21189.0,1,0.0
2024-01-10,141.41,142.99,140.99,142.33,19491.0,1,0.0
2024-01-11,143.75,145.21,140.62,142.1,28547.0,1,0.0
2024-01-12,142.01,143.19,141.83,142.68,21794.0,1,0.0
2024-01-16,142.49,144.33,141.45,142.42,23588.0,1,0.0
2024-01-17,141.65,141.73,138.89,141.58,23477.0,1,0.0
2024-01-18,142.55,144.2,141.98,143.46,22818.0,1,0.0
2024-01-19,144.59,146.44,144.4,146.28,22942.0,1,0.0
2024-01-22,147.7,148.38,145.88,145.93,20002.0,1,0.0
2024-01-23,146.06,147.17,145.76,147.09,16897.0,1,0.0
2024-01-24,148.67,149.84,148.1,148.65,22714.0,1,0.0
2024-01-25,149.7,153.03,149.61,151.78,28091.0,1,0.0
2024-01-26,151.68,152.53,151.25,152.23,20946.0,1,0.0
2024-01-29,151.67,153.77,151.42,153.59,16556.0,1,0.0
2024-01-30,152.97,153.6,151.18,151.32,16192.0,1,0.0
2024-01-31,142.81,143.87,139.86,140.2,30469.0,1,0.0
2024-02-01,142.59,142.77,140.79,141.13,22003.0,1,0.0
2024-02-02,138.62,142.49,136.51,142.37,29130.0,1,0.0
2024-02-05,143.49,145.45,143.22,143.78,23923.0,1,0.0
2024-02-06,145.22,145.22,143.19,144.1,21660.0,1,0.0
2024-02-07,144.61,145.61,143.91,145.43,18936.0,1,0.0
2024-02-08,146.03,146.31,145.1,145.82,15229.0,1,0.0
2024-02-09,146.39,149.43,146.27,148.98,19774.0,1,0.0
2024-02-12,148.38,149.33,147.39,147.51,19292.0,1,0.0
2024-02-13,144.82,146.66,143.69,145.15,23949.0,1,0.0
2024-02-14,145.97,146.13,144.09,145.95,22063.0,1,0.0
2024-02-15,142.76,143.19,140.45,142.76,22395.0,1,0.0
2024-02-16,143.06,143.16,140.14,140.46,21197.0,1,0.0
2024-02-20,140.68,142.07,139.99,141.02,20851.0,1,0.0
2024-02-21,141.13,142.68,140.67,142.59,21488.0,1,0.0
2024-02-22,143.84,144.62,142.8,143.99,19065.0,0,0.0
2024-02-23,144.32,144.66,143.41,144.1,19082.0,1,0.0
2024-02-26,142.14,142.19,137.39,137.56,18669.0,1,0.0
2024-02-27,137.7,139.24,137.08,138.92,18594.0,1,0.0
