time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,138.0,140.68,137.71,137.86,1222.0,1,0.0
2024-01-03,137.0,138.78,135.77,135.77,1524.0,2,0.0
2024-01-04,135.0,136.95,135.0,136.3,1156.0,2,0.0
2024-01-05,135.14,137.57,135.0,136.49,1540.0,1,0.0
2024-01-08,136.66,138.36,136.0,138.34,1253.0,1,0.0
2024-01-09,136.5,138.73,136.13,137.04,1377.0,1,0.0
2024-01-10,136.79,138.42,136.79,137.37,1216.0,1,0.0
2024-01-11,137.65,138.53,136.25,138.3,987.0,1,0.0
2024-01-12,138.84,139.82,138.09,138.65,1258.0,1,0.0
2024-01-16,138.08,139.79,138.08,139.54,1470.0,2,0.0
2024-01-17,138.52,139.76,137.0,137.81,1403.0,1,0.0
2024-01-18,137.5,139.75,137.5,139.4,1388.0,2,0.0
2024-01-19,139.1,143.24,138.83,141.85,1648.0,1,0.0
2024-01-22,141.98,144.04,141.88,143.48,1472.0,1,0.0
2024-01-23,144.09,144.78,142.0,142.78,1054.0,1,0.0
2024-01-24,142.94,143.47,141.05,141.44,1481.0,2,0.0
2024-01-25,141.67,142.58,141.38,142.57,1313.0,1,0.0
2024-01-26,142.89,143.31,142.4,142.62,1023.0,1,0.0
2024-01-29,142.64,143.42,141.6,142.59,903.0,1,0.0
2024-01-30,141.6,143.43,141.25,142.83,992.0,1,0.0
2024-01-31,143.49,143.49,139.5,140.13,1288.0,2,0.0
2024-02-01,140.23,142.51,139.18,142.23,1297.0,1,0.0
2024-02-02,141.21,143.61,140.77,142.28,1338.0,1,0.0
2024-02-05,140.32,141.81,139.23,140.16,1269.0,1,0.0
2024-02-06,138.88,141.24,138.84,141.2,1028.0,1,0.0
2024-02-07,141.35,142.91,140.85,142.54,1375.0,1,0.0
2024-02-08,141.0,142.31,140.0,142.08,1184.0,2,0.0
2024-02-09,141.03,143.15,140.92,143.15,1229.0,1,0.0
2024-02-12,143.18,145.84,143.18,144.98,1313.0,2,0.0
2024-02-13,142.65,143.53,141.71,142.48,1612.0,1,0.0
2024-02-14,143.09,143.95,142.0,143.59,1323.0,1,0.0
2024-02-15,136.0,143.78,136.0,143.51,1826.0,1,0.0
2024-02-16,143.21,144.48,142.0,142.7,1183.0,2,0.0
2024-02-20,141.11,144.92,141.11,144.12,971.0,1,0.0
2024-02-21,142.64,145.83,142.37,144.46,1271.0,1,0.0
2024-02-22,144.34,146.61,143.14,145.99,1189.0,2,0.0
2024-02-23,146.73,148.07,146.0,147.66,1843.0,2,0.0
2024-02-26,147.39,149.52,147.39,148.4,1779.0,1,0.0
2024-02-27,148.94,150.82,148.44,150.61,1767.0,1,0.0
2024-02-28,150.9,152.57,150.22,151.71,1909.0,2,0.0
2024-02-29,150.88,151.6,148.54,149.19,2460.0,1,0.0
