time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,382.83,388.88,382.13,388.06,2276,2,0
2024-01-03,383.0,383.64,376.12,381.38,2223,3,0
2024-01-04,381.79,386.98,381.79,382.41,1707,4,0
2024-01-05,381.1,389.35,381.1,386.52,1905,2,0
2024-01-08,385.0,389.04,382.0,388.93,2164,3,0
2024-01-09,384.0,385.9,381.75,383.23,1872,3,0
2024-01-10,380.74,382.97,378.1,381.91,2099,4,0
2024-01-11,380.0,380.02,374.59,379.85,2722,4,0
2024-01-12,382.51,385.74,376.49,377.01,3993,1,0
2024-01-16,381.04,384.89,374.25,380.17,3196,3,0
2024-01-17,375.01,379.77,374.1,377.03,3070,1,0
2024-01-18,379.5,381.43,374.51,376.94,2782,4,0
2024-01-19,375.91,383.25,372.02,382.07,3212,2,0
2024-01-22,387.64,392.55,384.56,385.77,2685,1,0
2024-01-23,381.81,383.09,378.6,380.72,2763,2,0
2024-01-24,381.09,384.39,378.89,379.08,2865,2,0
2024-01-25,382.78,386.48,382.0,382.54,3237,2,0
2024-01-26,376.65,380.75,376.65,377.47,2816,2,0
2024-01-29,375.24,380.79,374.06,380.21,2353,1,0
2024-01-30,383.5,387.83,381.56,386.17,2818,1,0
2024-01-31,385.83,393.52,383.26,383.71,3774,3,0
2024-02-01,386.73,389.15,378.68,383.29,2863,3,0
2024-02-02,381.51,388.66,380.66,386.91,2858,3,0
2024-02-05,384.07,385.17,380.88,383.02,3065,2,0
2024-02-06,383.29,386.42,382.89,384.82,3550,4,0
2024-02-07,385.94,386.95,382.3,385.91,3679,2,0
2024-02-08,385.4,387.86,381.03,383.99,2931,2,0
2024-02-09,384.0,386.0,382.55,383.9,2689,1,0
2024-02-12,384.34,396.33,384.26,391.68,4298,2,0
2024-02-13,387.79,388.02,375.1,378.58,4796,2,0
2024-02-14,378.0,380.79,375.36,377.39,4203,1,0
2024-02-15,379.75,387.15,379.75,385.31,3693,2,0
2024-02-16,381.53,387.5,380.57,383.95,4074,3,0
2024-02-20,380.55,385.39,380.55,383.65,3515,2,0
2024-02-21,381.5,388.54,381.2,387.32,4371,2,0
2024-02-22,389.8,395.43,389.0,390.08,4165,3,0
2024-02-23,390.7,396.55,390.0,391.28,3912,2,0
2024-02-26,390.5,395.83,388.6,389.68,3407,2,0
2024-02-27,392.89,395.65,389.25,390.55,3265,2,0
2024-02-28,387.02,393.2,386.5,392.79,3169,1,0
2024-02-29,393.8,395.65,385.66,388.53,3145,2,0
2024-03-01,388.02,390.3,385.05,387.87,3215,1,0
2024-03-04,387.0,396.45,386.2,392.12,3062,2,0
2024-03-05,390.57,397.28,390.3,390.85,2872,4,0
2024-03-06,393.0,394.78,384.51,389.35,4401,4,0
2024-03-07,391.39,394.32,387.0,388.26,2369,2,0
2024-03-08,389.56,395.33,386.28,386.28,2742,4,0
2024-03-11,385.0,386.3,381.5,385.87,2070,2,0
2024-03-12,386.73,388.93,383.0,387.98,2691,2,0
2024-03-13,388.2,395.15,388.18,391.82,2826,5,0
2024-03-14,393.55,393.6,385.38,388.06,2953,0,0
2024-03-15,389.39,390.63,386.2,386.2,2787,2,0
2024-03-18,387.2,388.72,383.11,384.1,2466,2,0
2024-03-19,383.74,390.65,383.12,388.77,2447,4,0
2024-03-20,386.03,396.14,385.6,395.93,3069,3,0
2024-03-21,401.56,413.92,401.56,413.0,4936,1,0
2024-03-22,414.5,414.5,405.69,406.42,2352,2,0
2024-03-25,407.41,409.95,403.8,404.75,2000,4,0
2024-03-26,405.5,409.26,404.0,405.87,2295,4,0
2024-03-27,409.0,415.14,408.51,414.51,2268,2,0
2024-03-28,416.76,418.5,414.76,417.93,2527,3,0
2024-04-01,416.74,416.77,412.0,413.29,2621,3,0
2024-04-02,409.16,412.68,407.51,409.96,2521,4,0
2024-04-03,412.01,416.46,411.0,413.76,3056,4,0
2024-04-04,418.0,418.48,405.58,405.81,2458,3,0
2024-04-05,405.19,409.04,401.06,407.82,3212,5,0
2024-04-08,411.0,412.47,407.4,410.45,2166,4,0
2024-04-09,412.81,412.81,407.0,410.41,2353,0,0
2024-04-10,400.8,405.24,397.25,401.29,3144,1,0
2024-04-11,400.0,400.52,394.72,397.6,3198,3,0
2024-04-12,392.94,393.39,387.1,389.16,3968,3,0
2024-04-15,410.85,411.51,398.6,400.29,4536,3,0
2024-04-16,402.5,403.65,395.05,396.57,4299,2,0
2024-04-17,400.89,406.95,400.89,403.91,5610,1,0
2024-04-18,405.45,407.58,402.22,403.06,3756,3,0
2024-04-19,403.47,407.8,403.0,403.82,3783,4,0
2024-04-22,406.04,417.88,404.01,417.22,4064,1,0
2024-04-23,417.45,425.19,416.03,423.0,3087,2,0
2024-04-24,420.26,424.24,419.5,422.65,3729,2,0
2024-04-25,422.53,422.69,414.68,418.95,3744,4,0
2024-04-26,419.05,428.5,419.05,427.78,3944,1,0
2024-04-29,427.2,433.27,427.2,430.55,4034,3,0
2024-04-30,429.21,431.09,426.0,426.48,3800,2,0
2024-05-01,427.41,433.25,425.19,426.28,3778,5,0
2024-05-02,430.7,433.59,428.22,432.02,3351,3,0
2024-05-03,438.02,441.48,436.14,437.87,2866,4,0
