time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,14.12,14.41,14.08,14.2,2438.0,1,0.0
2024-01-03,13.89,13.9,13.61,13.61,2222.0,1,0.0
2024-01-04,13.49,13.66,13.45,13.5,1952.0,1,0.0
2024-01-05,13.43,13.94,13.36,13.49,2280.0,1,0.0
2024-01-08,13.47,13.81,13.42,13.8,1397.0,1,0.0
2024-01-09,13.54,13.65,13.38,13.39,1424.0,1,0.0
2024-01-10,13.3,13.44,13.19,13.29,1463.0,1,0.0
2024-01-11,13.1,13.34,12.97,13.2,1709.0,1,0.0
2024-01-12,13.28,13.4,13.11,13.2,1443.0,1,0.0
2024-01-16,13.12,13.37,13.02,13.32,1671.0,1,0.0
2024-01-17,13.04,13.92,13.01,13.88,1808.0,1,0.0
2024-01-18,13.99,14.47,13.7,13.93,2378.0,1,0.0
2024-01-19,13.8,13.86,13.5,13.64,2135.0,1,0.0
2024-01-22,13.76,14.1,13.75,14.1,1549.0,1,0.0
2024-01-23,14.27,14.4,14.0,14.03,1739.0,1,0.0
2024-01-24,14.04,14.15,13.77,13.98,1764.0,1,0.0
2024-01-25,14.0,14.42,13.95,14.41,1807.0,1,0.0
2024-01-26,14.4,14.96,14.4,14.66,2154.0,1,0.0
2024-01-29,14.59,14.69,14.38,14.69,1344.0,1,0.0
2024-01-30,14.32,14.55,14.02,14.21,1891.0,1,0.0
2024-01-31,14.06,14.43,13.9,13.94,3270.0,1,0.0
2024-02-01,14.05,14.16,13.8,14.02,2577.0,1,0.0
2024-02-02,13.75,14.12,13.66,14.01,2622.0,1,0.0
2024-02-05,13.75,13.86,13.48,13.49,1596.0,1,0.0
2024-02-06,13.35,13.98,13.33,13.85,2485.0,0,0.0
2024-02-07,13.95,13.95,13.66,13.75,2253.0,1,0.0
2024-02-08,13.8,13.8,13.53,13.59,1937.0,1,0.0
2024-02-09,13.37,13.53,13.32,13.45,1778.0,1,0.0
2024-02-12,13.41,13.77,13.22,13.62,2496.0,1,0.0
2024-02-13,12.02,12.33,11.36,11.57,3239.0,1,0.0
2024-02-14,11.55,11.78,11.26,11.71,3114.0,1,0.0
2024-02-15,11.71,12.27,11.71,12.25,2130.0,1,0.0
2024-02-16,12.08,12.47,11.85,12.3,2438.0,1,0.0
2024-02-20,12.2,12.47,12.2,12.37,2435.0,1,0.0
2024-02-21,12.31,12.64,12.25,12.49,1647.0,1,0.0
2024-02-22,12.41,12.59,12.32,12.42,1836.0,0,0.0
2024-02-23,12.3,12.44,12.22,12.23,1692.0,1,0.0
2024-02-26,12.11,12.23,11.7,11.79,1132.0,1,0.0
2024-02-27,11.87,11.97,11.72,11.87,1378.0,1,0.0
2024-02-28,11.72,11.99,11.72,11.77,1361.0,1,0.0
2024-02-29,11.86,12.02,11.82,11.89,1269.0,1,0.0
2024-03-01,11.87,11.89,11.65,11.73,1019.0,1,0.0
2024-03-04,11.63,11.82,11.52,11.77,1306.0,1,0.0
2024-03-05,11.71,11.97,11.7,11.85,1404.0,1,0.0
2024-03-06,11.86,12.08,11.8,12.04,1713.0,1,0.0
2024-03-07,12.16,12.49,12.14,12.37,995.0,1,0.0
2024-03-08,12.48,12.54,12.06,12.26,1793.0,1,0.0
