time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,821.49,824.62,808.0,812.8,692.0,33,0.0
2024-01-03,811.0,816.34,800.0,808.06,490.0,19,0.0
2024-01-04,805.0,818.53,805.0,815.73,729.0,26,0.0
2024-01-05,810.0,821.8,810.0,817.3,649.0,21,0.0
2024-01-08,817.46,821.86,810.0,820.37,701.0,21,0.0
2024-01-09,805.0,823.87,805.0,822.63,709.0,14,0.0
2024-01-10,825.0,831.55,820.95,830.18,638.0,27,0.0
2024-01-11,830.8,837.68,824.28,836.88,601.0,32,0.0
2024-01-12,837.07,843.02,833.18,841.53,509.0,35,0.0
2024-01-16,835.53,840.89,830.0,839.84,630.0,36,0.0
2024-01-17,830.14,842.0,830.14,837.72,507.0,35,0.0
2024-01-18,859.96,875.57,859.96,871.69,672.0,27,0.0
2024-01-19,875.0,878.46,859.22,862.48,583.0,31,0.0
2024-01-22,862.57,876.62,862.57,875.38,484.0,23,0.0
2024-01-23,873.66,877.98,865.1,872.51,651.0,27,0.0
2024-01-24,877.34,881.49,867.0,870.04,672.0,10,0.0
2024-01-25,870.0,882.26,870.0,880.42,779.0,21,0.0
2024-01-26,878.02,883.02,870.41,882.12,501.0,25,0.0
2024-01-29,878.02,897.32,875.0,895.42,722.0,25,0.0
2024-01-30,888.79,917.98,888.79,914.32,719.0,10,0.0
2024-01-31,910.0,920.0,889.62,895.4,1355.0,19,0.0
2024-02-01,898.38,922.98,895.8,921.53,681.0,21,0.0
2024-02-02,923.79,978.56,909.81,972.46,795.0,27,0.0
2024-02-05,958.98,961.18,940.0,945.14,650.0,20,0.0
2024-02-06,945.0,945.06,933.01,940.27,954.0,19,0.0
2024-02-07,941.0,951.94,941.0,944.29,623.0,44,0.0
2024-02-08,943.09,952.07,940.0,948.5,708.0,31,0.0
2024-02-09,943.1,961.87,940.42,957.29,825.0,25,0.0
2024-02-12,954.24,955.76,946.92,946.92,588.0,25,0.0
2024-02-13,926.32,942.71,926.17,933.67,1065.0,33,0.0
2024-02-14,936.27,948.23,936.0,944.02,659.0,39,0.0
2024-02-15,945.0,947.38,934.86,943.91,366.0,30,0.0
2024-02-16,943.69,947.23,930.75,935.76,503.0,27,0.0
2024-02-20,926.85,940.42,926.85,934.3,793.0,31,0.0
2024-02-21,929.04,941.32,926.55,939.55,847.0,25,0.0
2024-02-22,943.73,966.77,943.73,956.56,515.0,44,0.0
2024-02-23,952.93,964.56,948.18,956.71,457.0,37,0.0
2024-02-26,953.52,969.26,950.23,963.45,431.0,47,0.0
2024-02-27,957.22,971.11,952.85,968.56,377.0,68,0.0
2024-02-28,969.54,974.89,965.0,973.11,354.0,71,0.0
2024-02-29,969.77,978.71,956.95,976.93,821.0,48,0.0
