time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,36.45,36.77,36.02,36.16,6984.0,1,0.0
2024-01-03,36.08,36.83,36.05,36.5,7770.0,1,0.0
2024-01-04,36.71,36.96,35.72,35.74,6556.0,1,0.0
2024-01-05,36.12,36.3,35.79,35.97,7507.0,1,0.0
2024-01-08,34.88,35.2,34.16,35.2,5578.0,1,0.0
2024-01-09,34.9,34.9,34.25,34.49,5849.0,1,0.0
2024-01-10,34.21,34.51,33.84,34.05,4899.0,1,0.0
2024-01-11,34.27,34.47,33.95,34.17,6168.0,1,0.0
2024-01-12,34.77,34.81,34.13,34.46,5901.0,1,0.0
2024-01-16,34.32,34.43,33.45,33.5,5170.0,1,0.0
2024-01-17,32.86,33.75,32.83,33.25,5333.0,1,0.0
2024-01-18,33.09,33.46,32.98,33.36,4117.0,0,0.0
2024-01-19,33.36,33.97,33.31,33.95,5454.0,1,0.0
2024-01-22,33.86,34.64,33.76,34.45,4882.0,1,0.0
2024-01-23,33.91,35.68,33.91,35.23,6816.0,1,0.0
2024-01-24,35.69,36.94,35.68,36.81,7124.0,1,0.0
2024-01-25,37.1,37.18,35.99,36.97,6059.0,1,0.0
2024-01-26,36.89,37.85,36.87,37.48,5445.0,1,0.0
2024-01-29,37.25,37.35,36.76,37.21,4896.0,1,0.0
2024-01-30,35.83,37.0,35.14,36.73,7745.0,1,0.0
2024-01-31,36.82,36.83,35.67,35.72,7363.0,1,0.0
2024-02-01,36.03,36.12,34.9,35.42,8464.0,1,0.0
2024-02-02,35.31,35.46,34.81,34.81,8250.0,1,0.0
2024-02-05,34.42,34.79,34.07,34.5,5585.0,1,0.0
2024-02-06,34.53,35.08,34.53,34.75,3693.0,1,0.0
2024-02-07,35.01,35.13,34.33,34.69,5840.0,1,0.0
2024-02-08,34.82,35.23,34.69,34.99,5089.0,1,0.0
2024-02-09,35.02,35.15,34.43,34.49,5259.0,0,0.0
2024-02-12,34.92,35.15,34.43,34.49,6533.0,1,0.0
2024-02-13,34.45,34.61,33.79,34.08,6935.0,0,0.0
2024-02-14,34.23,34.6,34.03,34.16,6080.0,1,0.0
2024-02-15,34.4,35.59,34.28,35.34,7338.0,1,0.0
2024-02-16,35.53,35.61,34.91,35.32,5722.0,1,0.0
2024-02-20,34.96,35.58,34.94,35.15,6960.0,1,0.0
2024-02-21,35.13,35.56,34.76,35.1,6688.0,1,0.0
2024-02-22,35.05,35.58,34.84,35.28,5715.0,1,0.0
2024-02-23,34.88,35.29,34.5,35.23,5817.0,1,0.0
2024-02-26,34.81,35.3,34.65,34.94,5367.0,1,0.0
2024-02-27,35.26,35.43,34.8,34.97,5603.0,1,0.0
2024-02-28,34.81,35.32,34.61,34.93,5311.0,1,0.0
2024-02-29,35.17,35.33,34.66,35.04,4042.0,1,0.0
2024-03-01,35.72,36.23,35.52,35.66,5046.0,1,0.0
2024-03-04,35.65,35.68,35.15,35.21,4851.0,1,0.0
2024-03-05,34.95,35.41,34.86,35.24,6292.0,1,0.0
2024-03-06,35.7,35.85,35.11,35.33,6587.0,1,0.0
2024-03-07,35.49,36.35,35.49,36.16,5087.0,1,0.0
2024-03-08,36.1,36.44,35.78,36.17,6985.0,1,0.0
2024-03-11,36.38,36.76,35.61,36.65,5142.0,1,0.0
2024-03-12,36.87,37.01,36.5,36.86,4780.0,1,0.0
2024-03-13,37.21,37.68,35.64,36.51,8154.0,1,0.0
2024-03-14,36.96,37.58,36.76,37.53,5524.0,1,0.0
2024-03-15,37.64,38.14,37.55,37.72,5841.0,1,0.0
2024-03-18,37.8,38.1,37.59,37.67,4679.0,1,0.0
2024-03-19,37.7,38.45,37.7,38.42,4476.0,1,0.0
2024-03-20,38.24,38.43,37.78,38.28,6135.0,0,0.0
2024-03-21,38.23,38.64,38.2,38.49,4409.0,1,0.0
2024-03-22,38.75,38.85,38.12,38.45,4392.0,1,0.0
2024-03-25,38.8,39.22,38.75,38.77,3971.0,1,0.0
2024-03-26,38.87,39.03,38.27,38.32,3930.0,1,0.0
2024-03-27,38.37,38.82,38.33,38.82,4343.0,0,0.0
2024-03-28,39.33,39.59,39.15,39.5,4178.0,1,0.0
2024-04-01,39.5,40.05,39.09,39.94,4157.0,1,0.0
2024-04-02,40.31,40.31,39.5,39.87,5455.0,1,0.0
2024-04-03,40.29,40.93,40.15,40.82,6519.0,0,0.0
2024-04-04,40.89,41.21,40.5,40.64,5939.0,1,0.0
2024-04-05,40.73,41.43,40.62,41.23,5504.0,1,0.0
2024-04-08,41.25,41.55,40.99,41.02,3963.0,1,0.0
2024-04-09,41.22,41.34,40.59,40.95,5494.0,1,0.0
2024-04-10,40.6,41.37,40.53,41.1,8592.0,1,0.0
2024-04-11,41.21,41.21,40.27,40.87,3817.0,1,0.0
2024-04-12,41.21,41.52,39.55,39.68,7507.0,1,0.0
2024-04-15,39.97,40.13,39.07,39.14,7679.0,1,0.0
2024-04-16,38.9,39.04,38.1,38.39,6518.0,1,0.0
2024-04-17,38.21,38.82,37.86,38.08,5483.0,1,0.0
2024-04-18,38.56,39.28,38.41,38.64,7516.0,0,0.0
2024-04-19,38.35,39.21,38.35,39.06,7523.0,1,0.0
2024-04-22,38.5,39.24,38.11,38.7,4709.0,1,0.0
2024-04-23,38.4,38.94,38.0,38.51,4831.0,1,0.0
2024-04-24,38.06,39.25,38.01,38.78,6026.0,0,0.0
2024-04-25,38.74,38.91,38.18,38.7,6008.0,1,0.0
2024-04-26,38.4,38.87,38.3,38.56,5324.0,1,0.0
2024-04-29,38.4,38.87,38.31,38.87,4255.0,1,0.0
2024-04-30,38.61,38.69,37.45,37.46,5029.0,1,0.0
2024-05-01,37.42,37.52,36.09,36.32,5148.0,1,0.0
2024-05-02,36.9,36.97,36.45,36.69,5568.0,1,0.0
2024-05-03,36.65,36.85,36.21,36.7,4909.0,1,0.0
2024-05-06,37.09,37.47,36.81,36.85,3174.0,1,0.0
2024-05-07,36.93,37.55,36.88,37.26,4379.0,1,0.0
2024-05-08,36.86,37.42,36.75,37.06,2750.0,1,0.0
2024-05-09,37.06,37.55,36.91,37.45,2052.0,1,0.0
2024-05-10,37.6,37.67,36.96,37.12,2939.0,1,0.0
2024-05-13,37.19,37.35,36.97,37.34,2282.0,1,0.0
2024-05-14,37.34,37.77,37.16,37.57,3684.0,1,0.0
2024-05-15,37.16,37.45,36.4,37.39,3600.0,1,0.0
2024-05-16,37.15,37.56,37.08,37.52,2729.0,1,0.0
2024-05-17,37.36,37.85,37.34,37.85,2620.0,1,0.0
2024-05-20,37.84,38.03,37.52,37.93,2938.0,1,0.0
2024-05-21,37.77,38.33,37.62,37.66,2529.0,1,0.0
2024-05-22,37.33,37.39,36.22,36.36,3367.0,1,0.0
2024-05-23,36.58,36.81,35.82,36.01,3551.0,1,0.0
2024-05-24,36.35,36.35,35.9,36.05,2241.0,1,0.0
2024-05-28,36.19,37.05,36.19,36.55,2625.0,1,0.0
2024-05-29,36.35,36.44,35.77,35.87,3271.0,1,0.0
2024-05-30,35.83,36.14,35.71,35.93,3288.0,1,0.0
2024-05-31,35.88,36.78,35.84,36.73,3123.0,0,0.0
2024-06-03,36.48,36.48,34.44,34.74,3646.0,1,0.0
2024-06-04,34.23,34.39,33.64,33.86,3744.0,1,0.0
2024-06-05,33.76,33.94,33.26,33.48,2467.0,1,0.0
2024-06-06,33.3,33.89,33.29,33.73,3639.0,1,0.0
2024-06-07,33.67,34.35,33.45,34.08,2820.0,1,0.0
2024-06-10,34.0,34.8,33.75,34.49,3578.0,1,0.0
2024-06-11,34.14,34.5,33.85,34.46,2930.0,1,0.0
2024-06-12,34.82,35.03,34.33,34.56,4554.0,1,0.0
2024-06-13,34.24,34.45,33.31,33.84,3962.0,0,0.0
2024-06-14,33.44,33.51,32.6,32.9,2521.0,1,0.0
2024-06-17,32.8,33.58,32.8,33.41,3260.0,1,0.0
2024-06-18,33.5,33.9,32.91,32.92,2811.0,1,0.0
2024-06-20,32.85,33.51,32.84,33.3,3781.0,1,0.0
2024-06-21,33.35,33.6,33.05,33.6,2617.0,1,0.0
2024-06-24,33.72,34.61,33.7,34.33,4128.0,1,0.0
2024-06-25,34.17,34.71,34.07,34.64,2887.0,1,0.0
2024-06-26,34.35,34.51,33.89,34.04,3392.0,1,0.0
2024-06-27,33.94,34.19,33.48,33.56,3280.0,1,0.0
2024-06-28,33.98,34.11,33.69,33.73,4007.0,1,0.0
2024-07-01,33.85,34.0,33.28,33.42,3334.0,1,0.0
2024-07-02,33.54,33.93,33.38,33.56,3794.0,1,0.0
2024-07-03,33.71,34.11,33.6,33.68,2702.0,1,0.0
2024-07-05,33.62,33.8,32.86,33.11,2420.0,1,0.0
2024-07-08,33.08,33.31,32.92,33.18,3192.0,1,0.0
2024-07-09,32.84,33.3,32.62,32.86,2950.0,1,0.0
2024-07-10,32.67,33.21,32.62,33.0,2878.0,1,0.0
2024-07-11,32.96,33.74,32.87,33.63,3593.0,1,0.0
2024-07-12,33.83,33.93,33.54,33.92,2909.0,1,0.0
2024-07-15,34.09,35.68,33.97,35.25,5833.0,1,0.0
2024-07-16,34.55,36.28,34.55,36.01,6130.0,1,0.0
2024-07-17,36.01,36.72,36.01,36.4,5546.0,1,0.0
2024-07-18,36.37,37.07,36.31,36.51,5428.0,1,0.0
2024-07-19,34.25,35.2,33.68,34.42,5034.0,1,0.0
2024-07-22,34.12,34.12,33.37,33.38,4872.0,1,0.0
2024-07-23,33.4,33.58,33.02,33.45,4537.0,1,0.0
2024-07-24,33.5,33.6,32.89,33.02,5261.0,1,0.0
2024-07-25,32.85,34.41,32.72,34.13,6129.0,1,0.0
2024-07-26,34.21,34.52,33.78,34.36,5728.0,1,0.0
2024-07-29,34.27,34.32,33.7,33.87,5196.0,1,0.0
2024-07-30,33.79,34.47,33.79,34.32,4744.0,1,0.0
2024-07-31,34.64,34.97,34.53,34.68,6911.0,1,0.0
2024-08-01,34.42,34.61,33.05,33.26,6075.0,1,0.0
2024-08-02,32.4,32.49,31.42,31.79,6609.0,1,0.0
2024-08-05,30.63,31.08,30.3,30.87,10653.0,1,0.0
2024-08-06,30.81,31.31,30.7,30.91,8301.0,1,0.0
2024-08-07,31.24,31.46,30.64,30.72,4634.0,1,0.0
2024-08-08,30.95,31.25,30.86,31.19,2465.0,1,0.0
2024-08-09,31.25,31.39,30.98,30.99,4679.0,1,0.0
2024-08-12,31.22,31.68,31.17,31.32,4328.0,1,0.0
2024-08-13,30.93,31.26,30.85,31.09,3744.0,1,0.0
2024-08-14,31.27,31.32,30.84,30.88,3495.0,1,0.0
2024-08-15,31.29,31.7,31.15,31.2,3171.0,1,0.0
2024-08-16,30.92,31.46,30.92,31.38,3463.0,1,0.0
2024-08-19,31.53,32.17,31.52,31.83,3455.0,1,0.0
2024-08-20,31.66,31.72,31.06,31.11,4291.0,1,0.0
2024-08-21,31.45,31.58,30.97,31.18,5018.0,1,0.0
2024-08-22,31.21,31.31,31.01,31.09,3145.0,1,0.0
2024-08-23,31.44,31.94,31.34,31.73,4049.0,1,0.0
2024-08-26,32.29,32.43,31.66,31.85,4094.0,1,0.0
2024-08-27,31.79,31.94,31.26,31.56,3033.0,1,0.0
2024-08-28,31.03,31.27,30.82,31.01,2920.0,1,0.0
2024-08-29,31.29,31.54,30.82,31.37,3594.0,1,0.0
2024-08-30,31.03,31.25,30.76,31.09,3265.0,1,0.0
2024-09-03,30.44,30.5,29.78,29.86,3681.0,1,0.0
