time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,269.0,275.2,269.0,275.13,1663.0,3,0.0
2024-01-03,274.1,275.4,270.28,272.29,1555.0,3,0.0
2024-01-04,270.95,276.68,270.95,272.81,1341.0,5,0.0
2024-01-05,272.0,278.69,272.0,275.31,1525.0,3,0.0
2024-01-08,275.84,281.48,275.84,280.94,1369.0,4,0.0
2024-01-09,280.0,281.58,277.89,278.86,1353.0,4,0.0
2024-01-10,277.5,282.92,277.5,282.03,1294.0,6,0.0
2024-01-11,281.64,283.85,281.01,282.7,1197.0,3,0.0
2024-01-12,286.15,286.6,280.3,281.32,1735.0,4,0.0
2024-01-16,280.0,281.73,278.35,280.05,1441.0,4,0.0
2024-01-17,278.31,281.36,276.28,277.62,1135.0,6,0.0
2024-01-18,277.98,285.42,277.98,284.32,1375.0,1,0.0
2024-01-19,285.0,288.02,283.18,287.76,1331.0,2,0.0
2024-01-22,288.11,290.81,287.0,288.53,1652.0,3,0.0
2024-01-23,289.16,290.91,283.35,284.05,1981.0,3,0.0
2024-01-24,284.91,286.2,278.46,278.81,1807.0,1,0.0
2024-01-25,279.24,286.14,279.24,285.86,1948.0,2,0.0
2024-01-26,287.5,287.57,281.44,283.23,1611.0,4,0.0
2024-01-29,281.93,287.1,281.28,287.09,1958.0,2,0.0
2024-01-30,299.25,304.62,296.0,301.0,2458.0,3,0.0
2024-01-31,301.6,308.94,301.6,304.87,2345.0,3,0.0
2024-02-01,304.76,314.67,304.76,314.02,2056.0,2,0.0
2024-02-02,311.5,312.22,307.0,309.5,1945.0,3,0.0
2024-02-05,308.0,312.39,308.0,310.72,1709.0,2,0.0
2024-02-06,309.39,309.39,304.93,306.69,1395.0,2,0.0
2024-02-07,306.85,309.97,306.0,306.69,1579.0,4,0.0
2024-02-08,306.11,307.65,301.91,305.62,1618.0,4,0.0
2024-02-09,304.33,307.35,303.65,306.33,1439.0,3,0.0
2024-02-12,305.63,311.26,303.0,309.48,1664.0,4,0.0
2024-02-13,304.06,307.7,301.51,304.5,1971.0,2,0.0
2024-02-14,304.5,307.23,304.01,304.84,1607.0,4,0.0
2024-02-15,307.07,308.56,305.54,307.34,1593.0,7,0.0
2024-02-16,307.83,311.12,306.0,308.82,1416.0,3,0.0
2024-02-20,308.12,309.69,306.0,308.37,1943.0,5,0.0
2024-02-21,307.82,311.6,307.35,311.07,1481.0,4,0.0
2024-02-22,309.82,318.07,309.82,312.99,1849.0,4,0.0
2024-02-23,313.0,316.86,312.58,315.56,1329.0,4,0.0
2024-02-26,315.5,315.78,313.0,313.0,1440.0,5,0.0
2024-02-27,312.09,314.7,311.06,313.77,1278.0,3,0.0
2024-02-28,314.18,316.37,309.5,311.51,1763.0,7,0.0
2024-02-29,313.67,313.67,309.41,310.97,1309.0,3,0.0
