time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,101.96,103.83,101.91,103.53,9403,2,0
2024-01-03,103.69,104.18,103.17,103.71,10487,2,0
2024-01-04,103.96,104.32,103.58,103.61,9427,2,0
2024-01-05,103.66,104.25,103.34,103.77,9508,2,0
2024-01-08,103.43,104.06,102.82,104.01,8632,2,0
2024-01-09,103.43,103.61,103.15,103.38,7822,2,0
2024-01-10,103.06,103.36,102.66,103.09,6498,2,0
2024-01-11,103.0,103.04,102.36,102.69,8230,2,0
2024-01-12,103.31,103.5,102.87,103.16,7835,2,0
2024-01-16,102.95,102.95,102.14,102.31,9919,2,0
2024-01-17,101.76,102.46,101.47,101.87,9126,2,0
2024-01-18,101.48,101.96,101.04,101.89,11405,2,0
2024-01-19,101.81,102.56,101.54,102.35,8183,2,0
2024-01-22,102.14,102.62,102.01,102.39,8165,2,0
2024-01-23,102.39,103.03,102.28,102.98,6804,2,0
2024-01-24,102.94,103.18,102.37,102.37,9607,2,0
2024-01-25,103.06,103.9,103.02,103.9,10387,2,0
2024-01-26,104.07,104.3,103.67,104.0,5815,2,0
2024-01-29,104.06,104.31,103.68,104.21,9181,2,0
2024-01-30,104.02,104.67,103.82,104.65,7912,2,0
2024-01-31,104.79,104.81,103.61,103.64,14027,2,0
2024-02-01,103.83,104.47,103.5,104.45,12478,2,0
2024-02-02,104.62,104.78,103.77,104.26,13819,2,0
2024-02-05,103.6,103.86,103.2,103.41,8579,2,0
2024-02-06,103.42,104.15,103.31,103.87,10170,2,0
2024-02-07,104.12,104.17,103.5,103.73,9908,2,0
2024-02-08,103.32,103.7,103.25,103.65,7439,2,0
2024-02-09,103.52,103.77,102.88,103.12,9032,2,0
2024-02-12,103.4,104.18,103.18,104.01,8858,2,0
2024-02-13,103.87,104.11,102.29,102.96,12173,2,0
2024-02-14,103.19,103.42,102.57,103.05,10513,2,0
2024-02-15,103.33,104.76,103.33,104.63,7836,2,0
2024-02-16,104.26,105.12,104.12,104.6,7332,2,0
2024-02-20,104.37,105.34,104.3,104.54,11414,2,0
2024-02-21,104.56,105.5,104.53,105.48,9203,2,0
2024-02-22,105.08,105.99,104.86,105.79,9181,1,0
