time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,343.28,347.2,343.09,344.5,10908,1,0
2024-01-03,341.02,342.46,336.5,338.37,11979,1,0
2024-01-04,339.01,342.8,338.5,338.59,12077,1,0
2024-01-05,337.51,343.67,337.51,342.84,10017,1,0
2024-01-08,343.06,348.42,343.06,347.77,8205,1,0
2024-01-09,346.16,348.98,345.12,345.81,9269,1,0
2024-01-10,351.76,356.63,350.75,356.43,8851,1,0
2024-01-11,359.47,359.49,353.2,356.64,11849,1,0
2024-01-12,357.2,358.14,353.41,355.92,9056,1,0
2024-01-16,358.78,359.33,356.06,358.37,12021,1,0
2024-01-17,357.85,359.41,354.0,355.5,10959,1,0
2024-01-18,356.05,358.65,354.0,357.73,8979,1,0
2024-01-19,357.52,362.89,356.1,361.99,10186,1,0
2024-01-22,358.31,361.3,355.59,356.85,10235,1,0
2024-01-23,355.01,355.41,349.03,350.8,8252,1,0
2024-01-24,350.61,350.61,346.88,346.88,9360,1,0
2024-01-25,351.36,352.31,348.23,350.77,10651,1,0
2024-01-26,350.54,356.97,350.54,355.19,8494,1,0
2024-01-29,354.5,356.17,353.05,355.55,3735,1,0
2024-01-30,354.59,358.9,353.5,356.41,3791,1,0
2024-01-31,357.38,358.92,352.0,352.58,4721,2,0
2024-02-01,353.04,359.94,352.25,359.79,3612,1,0
2024-02-02,353.36,359.37,350.0,356.75,3901,3,0
2024-02-05,353.75,355.97,350.75,355.38,3282,2,0
2024-02-06,354.92,357.99,354.0,356.02,2908,3,0
2024-02-07,358.19,363.68,357.59,362.5,3385,2,0
2024-02-08,363.0,365.52,361.6,363.34,2420,2,0
2024-02-09,363.37,363.9,360.8,363.17,3053,2,0
2024-02-12,365.5,368.6,364.14,365.34,3904,2,0
2024-02-13,355.5,359.31,353.84,357.22,4185,2,0
2024-02-14,357.63,358.55,353.9,357.86,3621,1,0
2024-02-15,360.34,361.6,356.6,360.99,3780,1,0
2024-02-16,360.33,363.9,358.54,361.75,4167,1,0
2024-02-20,358.01,365.12,356.01,361.96,5677,1,0
2024-02-21,360.01,365.02,358.98,363.65,4846,1,0
2024-02-22,368.12,372.91,367.01,370.65,5308,2,0
2024-02-23,372.43,373.95,370.23,372.03,5063,1,0
2024-02-26,373.21,374.53,370.53,371.18,4418,2,0
2024-02-27,372.16,375.75,370.38,375.11,4510,2,0
2024-02-28,375.26,379.69,374.92,377.48,4938,2,0
2024-02-29,379.07,381.74,378.01,380.81,4697,1,0
2024-03-01,380.04,385.02,379.71,384.45,5421,1,0
2024-03-04,382.8,384.35,380.05,380.15,4618,2,0
2024-03-05,379.49,380.96,377.0,378.8,5355,1,0
2024-03-06,377.03,379.44,375.8,377.24,5968,2,0
2024-03-07,379.07,380.08,375.55,376.16,3986,2,0
2024-03-08,375.12,376.55,372.06,373.42,5330,2,0
2024-03-11,372.02,372.78,368.76,371.71,5280,1,0
2024-03-12,373.48,375.86,372.06,374.81,4449,1,0
2024-03-13,376.76,382.66,376.12,379.04,5006,1,0
2024-03-14,379.34,380.11,372.04,375.05,5944,1,0
2024-03-15,374.65,378.29,372.56,372.76,5673,1,0
2024-03-18,376.46,377.25,371.11,371.71,4849,1,0
2024-03-19,372.75,379.43,372.75,379.38,4931,1,0
2024-03-20,377.01,384.85,376.01,383.76,5408,1,0
2024-03-21,389.0,396.72,388.3,395.57,6725,2,0
2024-03-22,394.34,396.09,390.73,391.05,4225,2,0
2024-03-25,388.3,389.53,382.86,382.92,4235,1,0
2024-03-26,382.01,384.1,379.51,380.2,3994,1,0
2024-03-27,382.08,386.3,380.79,385.67,4363,1,0
2024-03-28,386.38,386.38,379.53,383.59,4596,2,0
2024-04-01,382.33,382.72,367.8,367.95,5051,1,0
2024-04-02,364.39,366.69,363.01,363.01,5271,1,0
2024-04-03,361.19,362.3,359.78,359.78,5268,1,0
2024-04-04,361.97,363.55,356.67,356.96,4867,1,0
