time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,117.94,123.28,117.28,121.98,1418.0,10,0.0
2024-01-03,118.97,119.28,114.61,115.22,456.0,4,0.0
2024-01-04,113.78,116.72,113.39,116.25,502.0,7,0.0
2024-01-05,115.0,117.55,115.0,116.22,539.0,7,0.0
2024-01-08,116.76,121.89,115.28,120.67,729.0,1,0.0
2024-01-09,119.5,125.52,118.29,125.26,533.0,9,0.0
2024-01-10,124.22,126.57,122.91,124.39,549.0,9,0.0
2024-01-11,123.5,126.0,122.35,123.93,418.0,13,0.0
2024-01-12,126.25,126.25,120.75,121.26,428.0,7,0.0
2024-01-16,119.24,119.24,115.28,116.95,576.0,6,0.0
2024-01-17,115.0,116.9,113.72,114.49,473.0,5,0.0
2024-01-18,114.56,115.77,112.28,115.48,498.0,4,0.0
2024-01-19,116.63,117.81,113.35,116.96,474.0,9,0.0
2024-01-22,116.95,122.33,116.89,121.1,378.0,5,0.0
2024-01-23,120.59,122.65,119.57,120.97,372.0,1,0.0
2024-01-24,120.01,120.69,117.25,118.07,410.0,7,0.0
2024-01-25,118.0,121.15,118.0,120.7,432.0,5,0.0
2024-01-26,119.86,124.47,119.86,123.08,380.0,8,0.0
2024-01-29,120.92,122.62,118.28,121.35,494.0,7,0.0
2024-01-30,118.5,119.41,117.0,117.71,526.0,4,0.0
2024-01-31,116.82,117.52,112.97,113.97,661.0,9,0.0
2024-02-01,114.85,116.06,113.28,115.22,485.0,11,0.0
2024-02-02,112.55,118.13,111.67,116.98,601.0,9,0.0
2024-02-05,113.36,115.19,110.41,111.45,466.0,5,0.0
2024-02-06,110.88,114.84,110.88,114.35,357.0,8,0.0
2024-02-07,114.23,114.54,112.29,112.69,445.0,9,0.0
2024-02-08,112.34,116.12,112.23,116.05,419.0,7,0.0
2024-02-09,113.75,116.63,113.45,116.44,439.0,3,0.0
2024-02-12,116.35,122.96,116.35,121.81,607.0,1,0.0
2024-02-13,116.1,120.06,115.38,118.81,589.0,8,0.0
2024-02-14,119.4,121.45,118.07,121.18,640.0,7,0.0
2024-02-15,120.37,125.67,120.37,124.71,416.0,11,0.0
2024-02-16,121.25,123.58,121.0,121.4,374.0,11,0.0
2024-02-20,120.0,122.71,120.0,122.04,375.0,8,0.0
2024-02-21,121.71,124.08,121.28,124.01,492.0,6,0.0
2024-02-22,122.54,126.55,121.49,125.59,460.0,5,0.0
2024-02-23,124.98,126.67,124.6,125.48,320.0,4,0.0
2024-02-26,123.0,126.51,122.8,124.0,360.0,7,0.0
2024-02-27,123.0,126.72,123.0,125.66,389.0,4,0.0
2024-02-28,125.0,127.4,124.83,125.05,415.0,7,0.0
2024-02-29,126.02,127.12,123.48,124.55,495.0,10,0.0
2024-03-01,123.48,125.32,122.6,123.9,336.0,11,0.0
2024-03-04,123.03,124.87,122.83,123.24,292.0,11,0.0
2024-03-05,122.0,124.3,120.97,120.97,449.0,11,0.0
2024-03-06,121.1,122.78,120.77,120.87,375.0,14,0.0
2024-03-07,121.66,122.95,120.77,121.79,302.0,9,0.0
2024-03-08,122.44,125.29,121.48,124.36,344.0,9,0.0
2024-03-11,123.47,124.98,119.62,120.16,356.0,9,0.0
2024-03-12,119.51,120.9,118.31,119.11,407.0,0,0.0
2024-03-13,118.18,120.6,118.18,119.34,309.0,5,0.0
2024-03-14,118.54,118.54,116.0,116.88,285.0,7,0.0
2024-03-15,116.0,118.35,116.0,116.13,512.0,9,0.0
2024-03-18,116.0,116.9,113.61,113.8,380.0,5,0.0
2024-03-19,112.99,115.57,112.99,115.24,313.0,11,0.0
2024-03-20,113.88,116.37,113.88,115.06,437.0,13,0.0
2024-03-21,115.09,117.58,114.75,115.15,330.0,11,0.0
2024-03-22,114.56,115.21,111.99,112.04,287.0,8,0.0
2024-03-25,113.36,115.01,112.43,113.63,260.0,7,0.0
2024-03-26,114.75,114.75,112.45,112.45,292.0,8,0.0
2024-03-27,113.48,115.03,112.7,114.54,390.0,5,0.0
2024-03-28,114.7,116.0,114.0,114.54,347.0,9,0.0
2024-04-01,115.0,115.27,113.3,114.37,362.0,4,0.0
2024-04-02,112.0,112.73,108.5,110.81,354.0,5,0.0
2024-04-03,109.49,110.42,108.25,108.25,320.0,11,0.0
2024-04-04,109.28,110.06,107.09,107.8,412.0,8,0.0
2024-04-05,107.0,107.31,104.2,105.64,404.0,5,0.0
2024-04-08,105.83,107.02,104.54,104.88,393.0,6,0.0
2024-04-09,105.16,108.51,105.16,108.03,674.0,2,0.0
2024-04-10,102.82,105.29,102.04,103.98,541.0,9,0.0
2024-04-11,103.6,103.82,101.19,101.78,456.0,6,0.0
2024-04-12,100.0,102.03,98.99,99.37,331.0,3,0.0
2024-04-15,98.85,99.33,96.16,97.44,370.0,10,0.0
2024-04-16,96.0,98.89,95.0,98.18,831.0,8,0.0
2024-04-17,97.5,98.56,95.0,95.46,341.0,12,0.0
2024-04-18,96.0,99.63,95.5,97.95,567.0,6,0.0
2024-04-19,96.87,100.05,96.2,99.81,546.0,5,0.0
2024-04-22,99.03,100.59,98.0,99.67,386.0,7,0.0
2024-04-23,98.69,100.98,98.69,99.67,559.0,0,0.0
2024-04-24,98.18,98.6,87.19,90.1,967.0,1,0.0
2024-04-25,88.5,91.3,88.5,90.93,633.0,1,0.0
2024-04-26,89.9,92.8,89.9,90.74,650.0,4,0.0
2024-04-29,91.21,94.42,91.21,92.08,743.0,1,0.0
2024-04-30,90.48,93.39,90.21,92.51,579.0,5,0.0
2024-05-01,91.87,95.31,91.72,92.87,812.0,7,0.0
2024-05-02,93.53,96.0,92.31,94.39,506.0,4,0.0
2024-05-03,96.18,96.64,94.11,95.97,540.0,5,0.0
2024-05-06,96.59,99.08,96.17,98.61,494.0,2,0.0
2024-05-07,98.61,99.54,97.63,97.84,464.0,4,0.0
2024-05-08,96.2,98.69,95.86,98.66,402.0,4,0.0
2024-05-09,98.44,102.48,97.79,101.72,401.0,4,0.0
2024-05-10,101.46,102.61,101.28,101.88,452.0,2,0.0
2024-05-13,102.49,107.79,101.38,105.91,421.0,3,0.0
2024-05-14,107.88,110.12,107.88,108.74,644.0,2,0.0
2024-05-15,109.78,109.78,107.23,108.47,414.0,3,0.0
2024-05-16,107.43,108.98,107.28,107.77,376.0,3,0.0
2024-05-17,107.24,109.49,106.27,108.86,443.0,4,0.0
2024-05-20,107.55,108.41,105.99,105.99,401.0,3,0.0
2024-05-21,105.28,106.63,104.96,106.31,431.0,3,0.0
2024-05-22,105.01,106.46,105.01,105.2,268.0,10,0.0
2024-05-23,105.01,105.01,102.81,103.27,388.0,5,0.0
2024-05-24,103.11,104.65,103.01,104.12,276.0,4,0.0
2024-05-28,104.75,105.11,103.0,103.73,361.0,6,0.0
2024-05-29,102.03,102.9,101.07,101.96,370.0,6,0.0
2024-05-30,102.55,104.92,101.82,104.31,438.0,6,0.0
2024-05-31,102.76,106.77,102.76,106.27,367.0,7,0.0
2024-06-03,106.8,108.03,105.66,105.68,427.0,8,0.0
2024-06-04,104.58,106.53,104.58,105.37,355.0,5,0.0
2024-06-05,104.26,104.7,102.23,104.51,419.0,7,0.0
2024-06-06,103.11,104.66,102.16,102.61,289.0,7,0.0
2024-06-07,100.69,102.49,100.07,100.21,357.0,9,0.0
2024-06-10,100.05,101.1,98.83,99.32,575.0,6,0.0
2024-06-11,99.0,100.46,97.72,100.25,438.0,7,0.0
2024-06-12,102.83,104.0,100.06,100.65,373.0,10,0.0
2024-06-13,99.51,100.59,98.74,99.13,307.0,3,0.0
2024-06-14,97.52,98.76,96.1,97.62,401.0,7,0.0
2024-06-17,96.95,100.36,96.95,99.48,300.0,9,0.0
2024-06-18,98.04,100.72,98.04,98.71,352.0,5,0.0
2024-06-20,98.21,99.76,97.24,98.47,360.0,7,0.0
2024-06-21,97.97,99.49,97.44,98.08,436.0,5,0.0
2024-06-24,98.09,100.5,97.27,98.97,380.0,6,0.0
2024-06-25,97.05,97.95,95.26,95.26,268.0,8,0.0
2024-06-26,95.14,96.37,94.6,94.77,272.0,1,0.0
2024-06-27,94.5,94.6,92.01,94.17,396.0,5,0.0
2024-06-28,94.01,94.84,91.0,91.92,352.0,4,0.0
2024-07-01,92.25,92.25,88.15,88.88,475.0,3,0.0
2024-07-02,89.1,91.33,88.13,91.3,449.0,4,0.0
2024-07-03,90.77,92.81,90.0,91.09,284.0,9,0.0
2024-07-05,90.14,91.27,87.06,88.02,394.0,6,0.0
2024-07-08,88.4,89.96,88.08,88.8,520.0,7,0.0
2024-07-09,61.96,65.59,60.0,63.85,1485.0,1,0.0
2024-07-10,63.01,64.31,61.02,61.32,852.0,1,0.0
2024-07-11,62.96,65.39,62.14,64.35,723.0,3,0.0
2024-07-12,64.67,66.44,63.93,63.99,732.0,2,0.0
2024-07-15,63.5,63.65,61.05,61.32,696.0,1,0.0
2024-07-16,61.51,61.87,59.61,60.95,849.0,1,0.0
2024-07-17,60.89,62.38,60.75,61.39,739.0,2,0.0
2024-07-18,61.59,62.71,59.18,59.24,653.0,3,0.0
2024-07-19,58.9,58.9,56.5,56.69,704.0,2,0.0
2024-07-22,57.0,57.24,56.0,56.62,706.0,2,0.0
2024-07-23,56.5,57.67,55.55,57.08,744.0,2,0.0
2024-07-24,55.9,56.91,54.82,54.82,696.0,1,0.0
2024-07-25,55.18,56.45,54.8,55.14,709.0,2,0.0
2024-07-26,55.52,59.19,55.52,58.54,762.0,3,0.0
2024-07-29,58.85,60.87,58.0,60.23,577.0,1,0.0
2024-07-30,60.0,62.24,58.88,61.74,439.0,2,0.0
2024-07-31,61.87,62.8,58.69,58.69,553.0,3,0.0
2024-08-01,59.25,59.84,55.54,56.32,673.0,3,0.0
2024-08-02,54.06,56.36,53.0,56.08,791.0,2,0.0
2024-08-05,52.52,56.25,52.52,55.87,959.0,1,0.0
2024-08-06,55.0,55.81,54.12,54.93,472.0,3,0.0
2024-08-07,54.9,56.26,54.04,54.2,627.0,1,0.0
2024-08-08,54.19,55.5,54.19,55.01,485.0,3,0.0
2024-08-09,54.19,54.95,53.03,53.29,531.0,3,0.0
2024-08-12,52.98,53.01,49.55,49.58,666.0,2,0.0
2024-08-13,49.77,51.11,49.6,50.32,820.0,3,0.0
2024-08-14,50.38,50.38,48.0,48.15,661.0,1,0.0
2024-08-15,49.63,52.35,49.12,51.15,711.0,2,0.0
2024-08-16,50.95,52.31,50.77,51.57,510.0,1,0.0
2024-08-19,51.71,52.31,50.51,50.62,524.0,1,0.0
2024-08-20,50.75,51.3,50.18,50.5,368.0,3,0.0
2024-08-21,51.17,53.43,51.17,52.38,638.0,2,0.0
2024-08-22,52.5,52.5,50.76,51.03,533.0,1,0.0
2024-08-23,51.22,54.14,51.22,52.97,513.0,2,0.0
2024-08-26,53.36,54.35,53.15,54.06,331.0,5,0.0
2024-08-27,53.5,53.54,52.51,52.99,468.0,2,0.0
2024-08-28,52.43,53.18,52.0,52.84,410.0,3,0.0
2024-08-29,53.0,53.43,52.0,52.86,466.0,3,0.0
2024-08-30,52.5,53.39,52.25,52.98,372.0,1,0.0
2024-09-03,52.9,54.58,52.81,53.6,510.0,2,0.0
2024-09-04,52.96,54.48,52.56,53.8,479.0,2,0.0
2024-09-05,53.05,53.76,52.54,52.59,437.0,2,0.0
2024-09-06,55.0,55.08,52.24,54.3,764.0,3,0.0
2024-09-09,54.1,57.93,52.58,55.09,831.0,2,0.0
2024-09-10,54.75,54.75,52.64,54.07,607.0,2,0.0
2024-09-11,53.95,55.11,53.0,54.73,576.0,2,0.0
2024-09-12,55.2,55.89,54.02,55.0,526.0,2,0.0
2024-09-13,56.06,58.13,55.79,58.04,487.0,4,0.0
2024-09-16,58.6,59.72,57.89,59.14,510.0,3,0.0
2024-09-17,59.27,60.52,58.61,59.31,1052.0,1,0.0
2024-09-18,59.17,60.94,58.39,58.87,768.0,4,0.0
2024-09-19,60.29,60.5,58.82,59.73,559.0,3,0.0
2024-09-20,58.43,61.35,57.4,59.23,1345.0,1,0.0
2024-09-23,59.29,60.84,58.79,59.14,908.0,2,0.0
2024-09-24,59.75,60.65,59.17,59.96,580.0,2,0.0
2024-09-25,59.1,59.17,56.58,57.16,665.0,3,0.0
2024-09-26,58.25,59.55,58.06,59.07,625.0,4,0.0
2024-09-27,60.73,62.76,60.0,61.39,591.0,5,0.0
2024-09-30,61.47,63.27,60.78,61.37,536.0,2,0.0
2024-10-01,60.45,62.2,60.13,60.99,594.0,3,0.0
2024-10-02,60.13,61.49,60.13,60.61,586.0,2,0.0
2024-10-03,60.3,61.7,59.3,61.07,602.0,2,0.0
2024-10-04,62.13,63.09,61.36,62.33,638.0,3,0.0
2024-10-07,62.05,63.1,61.01,61.49,673.0,2,0.0
2024-10-08,60.78,62.46,60.5,61.88,847.0,1,0.0
2024-10-09,76.71,77.69,71.82,73.42,2000.0,1,0.0
2024-10-10,72.45,75.11,71.85,71.92,1092.0,2,0.0
2024-10-11,72.12,72.73,71.0,71.0,607.0,5,0.0
2024-10-14,70.23,70.61,67.92,68.57,606.0,3,0.0
2024-10-15,68.0,70.1,68.0,68.31,621.0,3,0.0
2024-10-16,68.22,69.09,66.04,67.24,571.0,3,0.0
2024-10-17,66.2,67.05,65.5,66.54,529.0,7,0.0
2024-10-18,66.55,68.56,66.44,67.87,577.0,3,0.0
