time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,80.34,81.41,80.26,81.22,1145.0,1,0.0
2024-01-03,81.55,82.32,81.1,81.37,1381.0,1,0.0
2024-01-04,81.55,82.95,81.49,81.99,1290.0,1,0.0
2024-01-05,82.05,83.01,81.85,82.64,1720.0,1,0.0
2024-01-08,82.61,82.83,81.14,81.91,1294.0,1,0.0
2024-01-09,81.38,81.98,81.0,81.8,1246.0,1,0.0
2024-01-10,81.54,82.39,81.54,82.28,1310.0,1,0.0
2024-01-11,82.06,82.92,81.83,82.92,1427.0,1,0.0
2024-01-12,82.86,83.17,81.54,82.12,1227.0,1,0.0
2024-01-16,81.72,82.57,81.67,82.31,1281.0,1,0.0
2024-01-17,82.15,83.1,82.04,82.31,1527.0,1,0.0
2024-01-18,81.86,83.01,81.78,82.99,5603.0,1,0.0
2024-01-19,83.86,85.11,83.86,84.99,1786.0,1,0.0
2024-01-22,85.27,85.98,85.03,85.58,1480.0,1,0.0
2024-01-23,85.56,86.0,85.38,85.7,1036.0,1,0.0
2024-01-24,86.31,86.89,85.94,86.31,1511.0,1,0.0
2024-01-25,87.06,87.23,85.95,87.08,999.0,1,0.0
2024-01-26,86.71,87.19,86.45,86.74,1472.0,1,0.0
2024-01-29,86.32,86.82,86.26,86.72,1225.0,1,0.0
2024-01-30,86.74,87.65,86.55,87.62,1581.0,1,0.0
2024-01-31,88.03,88.34,86.7,87.08,1282.0,1,0.0
2024-02-01,86.5,87.0,85.12,87.0,1884.0,1,0.0
2024-02-02,87.89,91.75,87.66,90.33,2788.0,1,0.0
2024-02-05,89.97,90.61,88.81,90.09,5999.0,1,0.0
2024-02-06,90.05,90.1,89.36,89.73,943.0,1,0.0
2024-02-07,89.73,90.25,89.51,89.61,2244.0,1,0.0
2024-02-08,89.48,89.95,89.0,89.61,1674.0,1,0.0
2024-02-09,89.43,90.9,89.22,90.77,3432.0,1,0.0
2024-02-12,91.0,91.88,90.75,91.01,3577.0,1,0.0
2024-02-13,91.37,91.57,89.75,90.49,3153.0,1,0.0
2024-02-14,90.55,91.62,90.55,91.3,2562.0,1,0.0
2024-02-15,91.54,93.24,91.53,92.96,2790.0,1,0.0
2024-02-16,92.68,93.66,92.45,93.04,2627.0,1,0.0
2024-02-20,92.5,94.08,92.5,93.46,2741.0,1,0.0
2024-02-21,93.43,94.09,93.38,93.97,3124.0,1,0.0
2024-02-22,93.95,94.87,93.43,94.54,2502.0,1,0.0
2024-02-23,94.49,96.07,94.49,96.02,3059.0,1,0.0
2024-02-26,95.84,96.55,95.37,95.37,2706.0,1,0.0
2024-02-27,95.12,95.8,94.81,95.77,2317.0,1,0.0
2024-02-28,95.36,96.19,95.32,95.57,2575.0,1,0.0
2024-02-29,95.57,96.04,95.03,95.84,3085.0,1,0.0
2024-03-01,95.0,95.32,94.3,94.41,2813.0,1,0.0
2024-03-04,94.46,95.08,94.03,94.78,2454.0,1,0.0
2024-03-05,94.49,96.09,94.46,95.95,3785.0,1,0.0
2024-03-06,95.78,97.81,95.36,97.49,3780.0,1,0.0
2024-03-07,97.55,98.16,96.58,97.03,2578.0,1,0.0
2024-03-08,96.74,97.84,96.25,96.89,3659.0,1,0.0
2024-03-11,97.31,98.26,97.04,97.99,3460.0,1,0.0
2024-03-12,98.11,99.02,97.59,98.93,2975.0,1,0.0
2024-03-13,99.1,99.28,98.54,99.17,3218.0,1,0.0
2024-03-14,99.1,99.36,98.3,98.82,3709.0,1,0.0
2024-03-15,99.06,99.54,98.56,99.03,3674.0,1,0.0
2024-03-18,98.99,99.88,98.9,99.5,3184.0,1,0.0
2024-03-19,99.68,100.49,99.5,100.39,2908.0,1,0.0
2024-03-20,99.83,101.3,99.5,100.94,3755.0,0,0.0
2024-03-21,101.12,101.31,100.39,100.47,2814.0,1,0.0
2024-03-22,100.84,101.13,100.14,100.14,2152.0,1,0.0
2024-03-25,100.15,101.19,100.15,100.67,1857.0,1,0.0
2024-03-26,100.16,101.45,100.16,100.85,2235.0,1,0.0
2024-03-27,101.31,102.49,101.03,102.29,2559.0,1,0.0
2024-03-28,102.5,103.23,102.25,103.22,2404.0,1,0.0
2024-04-01,102.53,103.09,102.01,102.57,3030.0,1,0.0
2024-04-02,102.54,102.86,101.72,101.72,2967.0,1,0.0
2024-04-03,101.97,102.99,101.69,102.09,3509.0,1,0.0
2024-04-04,102.39,103.36,101.23,101.64,4308.0,1,0.0
2024-04-05,101.82,103.25,101.82,103.05,4009.0,1,0.0
2024-04-08,103.0,103.54,102.5,102.85,2851.0,1,0.0
2024-04-09,102.59,102.81,98.73,98.77,4280.0,1,0.0
2024-04-10,98.05,99.56,98.05,99.4,5293.0,1,0.0
2024-04-11,98.53,98.53,97.13,97.4,4627.0,1,0.0
2024-04-12,97.75,98.45,97.02,97.65,3910.0,1,0.0
2024-04-15,98.79,99.25,96.74,97.33,5185.0,1,0.0
2024-04-16,97.47,98.15,97.0,97.62,5358.0,1,0.0
2024-04-17,96.28,97.44,95.55,95.95,3708.0,1,0.0
2024-04-18,97.04,97.69,96.16,96.88,2909.0,1,0.0
2024-04-19,96.83,99.05,96.21,98.97,3040.0,1,0.0
2024-04-22,99.23,100.57,98.52,99.69,2307.0,1,0.0
