time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,181.42,183.24,179.07,180.17,4847.0,1,0.0
2024-01-03,178.26,180.18,178.0,179.07,4143.0,1,0.0
2024-01-04,178.92,180.63,178.26,178.89,4356.0,1,0.0
2024-01-05,178.03,181.56,178.03,180.4,4382.0,1,0.0
2024-01-08,180.5,182.5,179.55,181.98,4131.0,1,0.0
2024-01-09,179.62,181.6,179.62,181.5,4657.0,1,0.0
2024-01-10,181.22,183.17,181.22,182.51,3576.0,1,0.0
2024-01-11,182.28,183.34,181.51,182.49,5064.0,1,0.0
2024-01-12,182.01,182.46,180.38,182.18,4761.0,1,0.0
2024-01-16,181.28,182.62,180.5,182.13,4687.0,1,0.0
2024-01-17,180.5,183.73,180.5,183.47,4143.0,2,0.0
2024-01-18,183.8,185.99,182.72,185.51,4049.0,1,0.0
2024-01-19,185.48,187.59,184.47,187.19,4307.0,1,0.0
2024-01-22,188.28,189.56,187.5,188.24,4498.0,1,0.0
2024-01-23,188.04,189.01,187.01,187.2,4114.0,1,0.0
2024-01-24,187.55,188.97,186.72,187.24,4402.0,1,0.0
2024-01-25,190.05,192.0,189.0,191.54,5210.0,1,0.0
2024-01-26,191.0,193.13,190.46,192.43,4331.0,1,0.0
2024-01-29,192.0,193.0,191.1,192.97,3102.0,2,0.0
2024-01-30,192.0,195.06,192.0,194.06,3076.0,1,0.0
2024-01-31,193.37,193.73,190.54,190.96,3204.0,1,0.0
2024-02-01,191.25,193.49,190.06,193.43,3176.0,1,0.0
2024-02-02,192.29,196.12,192.1,194.76,3066.0,1,0.0
2024-02-05,193.31,194.22,192.0,193.64,3176.0,1,0.0
2024-02-06,192.41,194.75,191.2,194.63,3109.0,1,0.0
2024-02-07,192.96,198.04,192.96,195.99,2527.0,1,0.0
2024-02-08,197.57,197.6,191.8,194.25,2966.0,1,0.0
2024-02-09,193.4,193.88,191.58,191.97,2658.0,1,0.0
2024-02-12,191.96,193.8,191.5,193.56,2722.0,1,0.0
