time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,16.8,17.0,16.71,16.91,1050.0,1,0.0
2024-01-03,16.81,17.19,16.72,17.04,1213.0,1,0.0
2024-01-04,16.97,17.24,16.97,17.02,1209.0,1,0.0
2024-01-05,16.97,17.38,16.97,17.12,1151.0,1,0.0
2024-01-08,17.18,17.79,17.18,17.71,1076.0,1,0.0
2024-01-09,16.71,16.78,16.12,16.15,2339.0,1,0.0
2024-01-10,16.05,16.46,16.0,16.43,1591.0,0,0.0
2024-01-11,16.42,16.49,16.22,16.37,1365.0,1,0.0
2024-01-12,16.37,16.46,15.84,15.87,1015.0,1,0.0
2024-01-16,15.59,15.6,15.16,15.28,1343.0,1,0.0
2024-01-17,15.11,15.18,14.91,15.06,994.0,1,0.0
2024-01-18,15.06,15.1,14.7,14.94,1123.0,0,0.0
2024-01-19,14.95,15.42,14.9,15.35,1137.0,1,0.0
2024-01-22,15.51,15.61,15.4,15.48,968.0,1,0.0
2024-01-23,15.6,15.69,15.46,15.53,1025.0,1,0.0
2024-01-24,15.62,15.98,15.57,15.75,939.0,1,0.0
2024-01-25,15.9,16.03,15.8,15.93,1050.0,1,0.0
2024-01-26,15.87,15.94,15.71,15.82,888.0,1,0.0
2024-01-29,15.74,15.82,15.63,15.8,747.0,1,0.0
2024-01-30,15.96,15.99,15.75,15.86,892.0,1,0.0
2024-01-31,15.51,15.54,15.09,15.32,1841.0,1,0.0
2024-02-01,15.29,15.37,15.11,15.34,1136.0,1,0.0
2024-02-02,15.2,15.52,15.13,15.43,1285.0,1,0.0
2024-02-05,15.28,15.36,15.21,15.26,868.0,1,0.0
2024-02-06,15.27,15.49,15.25,15.27,979.0,1,0.0
2024-02-07,15.32,15.36,15.08,15.26,950.0,1,0.0
2024-02-08,15.26,15.51,15.21,15.46,830.0,1,0.0
2024-02-09,15.45,15.54,15.36,15.48,721.0,0,0.0
2024-02-12,15.6,15.74,15.45,15.59,837.0,1,0.0
2024-02-13,15.19,15.31,15.09,15.22,1018.0,1,0.0
2024-02-14,15.33,15.39,15.12,15.21,1223.0,1,0.0
2024-02-15,15.24,15.28,15.06,15.24,969.0,1,0.0
2024-02-16,15.08,15.11,14.91,14.94,980.0,0,0.0
2024-02-20,14.87,15.08,14.81,15.01,1006.0,1,0.0
2024-02-21,14.81,14.94,14.75,14.93,1058.0,1,0.0
2024-02-22,15.03,15.17,14.93,15.08,944.0,1,0.0
2024-02-23,15.19,15.22,15.04,15.1,981.0,1,0.0
2024-02-26,15.05,15.13,14.87,14.92,867.0,1,0.0
2024-02-27,15.04,15.06,14.83,14.91,823.0,1,0.0
2024-02-28,14.82,15.05,14.82,14.85,708.0,1,0.0
2024-02-29,15.07,15.25,15.01,15.25,1277.0,1,0.0
2024-03-01,14.58,15.69,14.58,15.55,2322.0,0,0.0
2024-03-04,16.02,17.3,15.88,17.19,2719.0,1,0.0
2024-03-05,17.31,18.16,17.23,18.15,3249.0,1,0.0
2024-03-06,18.82,20.06,18.64,18.83,6434.0,1,0.0
2024-03-07,18.4,18.71,17.71,18.17,3278.0,0,0.0
2024-03-08,18.46,18.68,17.95,17.99,2755.0,1,0.0
2024-03-11,17.65,18.26,17.63,18.08,1580.0,1,0.0
