time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,65.52,67.13,65.52,66.09,672.0,2,0.0
2024-01-03,65.1,68.9,65.1,67.58,809.0,2,0.0
2024-01-04,67.67,69.6,67.67,68.5,877.0,1,0.0
2024-01-05,67.7,68.1,66.8,67.71,678.0,3,0.0
2024-01-08,67.88,71.85,67.28,71.59,901.0,1,0.0
2024-01-09,70.38,71.95,69.49,69.68,876.0,1,0.0
2024-01-10,69.27,71.6,69.25,71.41,959.0,2,0.0
2024-01-11,71.47,72.92,70.86,72.55,983.0,1,0.0
2024-01-12,72.71,73.09,71.47,72.46,1078.0,2,0.0
2024-01-16,72.43,73.57,71.96,73.1,1263.0,1,0.0
2024-01-17,71.88,74.04,71.88,72.64,836.0,1,0.0
2024-01-18,71.28,74.46,71.13,74.42,804.0,2,0.0
2024-01-19,73.34,75.22,72.65,73.16,927.0,2,0.0
2024-01-22,72.33,74.99,72.08,74.78,745.0,2,0.0
2024-01-23,73.93,75.26,73.93,74.49,1014.0,1,0.0
2024-01-24,74.28,76.6,74.28,76.6,990.0,1,0.0
2024-01-25,75.45,78.02,75.45,77.15,903.0,1,0.0
2024-01-26,75.8,78.11,75.8,76.86,765.0,1,0.0
2024-01-29,75.04,77.5,75.04,77.02,570.0,1,0.0
2024-01-30,76.66,77.75,76.66,77.08,914.0,1,0.0
2024-01-31,76.1,77.26,74.79,75.45,950.0,2,0.0
2024-02-01,75.01,76.22,74.51,75.57,800.0,1,0.0
2024-02-02,75.77,78.1,75.01,77.04,924.0,2,0.0
2024-02-05,75.66,77.92,75.47,76.83,759.0,2,0.0
2024-02-06,75.99,77.73,75.99,76.7,537.0,2,0.0
2024-02-07,76.9,78.17,76.55,77.45,646.0,1,0.0
2024-02-08,76.57,78.74,76.55,77.8,619.0,1,0.0
2024-02-09,76.98,80.2,76.98,79.51,700.0,1,0.0
2024-02-12,78.48,80.62,77.87,80.16,570.0,1,0.0
2024-02-13,81.0,81.9,79.0,79.52,988.0,2,0.0
2024-02-14,79.15,80.62,78.72,80.16,644.0,1,0.0
2024-02-15,79.87,81.65,79.41,81.59,685.0,3,0.0
2024-02-16,80.48,83.56,80.39,81.37,658.0,2,0.0
2024-02-20,80.06,81.75,79.78,81.13,733.0,1,0.0
2024-02-21,80.1,81.11,79.12,79.87,733.0,1,0.0
2024-02-22,80.63,83.36,79.96,82.05,790.0,3,0.0
2024-02-23,81.75,83.18,81.49,81.94,702.0,2,0.0
2024-02-26,81.14,84.01,80.81,83.0,887.0,3,0.0
2024-02-27,82.6,83.97,82.5,83.33,554.0,1,0.0
2024-02-28,82.04,83.22,81.09,82.62,548.0,2,0.0
2024-02-29,82.6,83.41,80.54,82.64,846.0,1,0.0
2024-03-01,81.46,82.51,80.84,81.0,679.0,2,0.0
2024-03-04,80.26,82.66,79.04,82.34,652.0,2,0.0
2024-03-05,81.79,83.14,80.63,80.84,730.0,3,0.0
2024-03-06,80.21,81.28,79.82,80.63,935.0,2,0.0
2024-03-07,80.32,81.21,79.89,80.18,625.0,2,0.0
2024-03-08,79.95,81.47,79.71,80.82,607.0,2,0.0
2024-03-11,80.63,82.28,79.87,81.8,450.0,1,0.0
2024-03-12,80.6,82.25,80.6,82.11,468.0,0,0.0
2024-03-13,81.83,83.35,81.51,82.68,521.0,1,0.0
2024-03-14,82.07,83.0,80.98,81.81,634.0,2,0.0
2024-03-15,80.79,82.58,80.79,81.18,576.0,3,0.0
2024-03-18,81.62,83.66,80.7,82.85,886.0,1,0.0
2024-03-19,83.27,83.59,82.0,83.5,727.0,1,0.0
2024-03-20,82.25,82.87,79.56,80.91,992.0,1,0.0
2024-03-21,80.41,82.92,79.3,82.18,828.0,3,0.0
2024-03-22,81.7,81.95,79.17,79.39,628.0,2,0.0
2024-03-25,79.0,80.06,78.66,79.03,587.0,2,0.0
2024-03-26,78.66,79.78,78.59,79.42,595.0,2,0.0
2024-03-27,79.22,79.75,78.41,79.33,512.0,1,0.0
2024-03-28,79.91,82.46,79.32,81.5,627.0,1,0.0
2024-04-01,80.21,81.73,79.59,81.35,563.0,1,0.0
2024-04-02,81.05,83.25,80.62,82.6,862.0,2,0.0
2024-04-03,81.46,82.35,79.19,79.93,837.0,3,0.0
2024-04-04,79.51,80.34,78.05,78.47,595.0,1,0.0
2024-04-05,78.0,79.91,78.0,79.39,909.0,2,0.0
2024-04-08,77.99,79.65,77.99,79.04,570.0,2,0.0
2024-04-09,78.18,79.49,77.98,78.51,519.0,1,0.0
2024-04-10,77.86,81.93,77.86,81.27,895.0,2,0.0
2024-04-11,80.25,80.72,79.3,80.28,619.0,2,0.0
2024-04-12,79.04,80.05,78.7,79.75,632.0,1,0.0
2024-04-15,79.85,81.24,79.61,80.1,699.0,1,0.0
2024-04-16,79.82,81.48,79.74,80.13,702.0,2,0.0
2024-04-17,80.22,81.64,79.68,79.96,700.0,1,0.0
2024-04-18,79.44,81.66,79.44,79.56,824.0,1,0.0
2024-04-19,79.13,81.2,79.13,80.92,690.0,3,0.0
2024-04-22,80.03,81.84,79.43,80.93,631.0,3,0.0
2024-04-23,80.6,81.29,79.6,79.69,651.0,1,0.0
2024-04-24,78.79,79.26,77.92,79.17,760.0,3,0.0
2024-04-25,77.86,79.16,77.86,78.99,749.0,1,0.0
2024-04-26,78.39,80.62,78.18,79.95,581.0,1,0.0
2024-04-29,80.26,80.69,79.42,80.23,523.0,3,0.0
2024-04-30,79.98,80.35,78.68,78.68,481.0,3,0.0
2024-05-01,77.97,80.77,77.97,79.58,684.0,1,0.0
2024-05-02,79.32,80.59,79.32,79.68,586.0,3,0.0
2024-05-03,78.67,78.99,77.62,78.48,748.0,2,0.0
2024-05-06,79.15,79.62,78.5,79.22,632.0,2,0.0
2024-05-07,79.2,80.73,78.61,80.24,625.0,2,0.0
2024-05-08,79.26,80.65,77.0,77.86,914.0,1,0.0
2024-05-09,77.81,78.37,77.0,77.14,720.0,2,0.0
2024-05-10,77.1,77.96,75.59,77.02,704.0,2,0.0
2024-05-13,76.51,78.15,76.51,77.0,551.0,1,0.0
2024-05-14,76.92,77.5,76.02,76.61,478.0,1,0.0
2024-05-15,75.64,76.79,74.43,75.57,644.0,1,0.0
2024-05-16,76.47,78.63,75.85,78.02,567.0,2,0.0
2024-05-17,77.57,79.13,77.57,78.8,512.0,2,0.0
2024-05-20,79.0,79.46,78.12,79.14,452.0,1,0.0
2024-05-21,79.08,80.04,78.53,79.04,604.0,3,0.0
2024-05-22,78.98,79.6,78.84,78.92,603.0,4,0.0
2024-05-23,78.99,80.57,78.58,79.82,511.0,4,0.0
2024-05-24,78.91,80.1,78.84,79.18,509.0,1,0.0
