time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,324.39,327.84,324.0,325.69,565.0,12,0.0
2024-01-03,322.15,322.15,315.28,316.66,720.0,19,0.0
2024-01-04,317.04,320.42,315.0,319.14,576.0,6,0.0
2024-01-05,318.44,318.59,314.24,317.75,561.0,28,0.0
2024-01-08,318.0,323.32,316.78,322.53,2191.0,13,0.0
2024-01-09,318.0,329.16,316.05,327.39,847.0,8,0.0
2024-01-10,323.66,328.49,323.53,325.47,707.0,8,0.0
2024-01-11,323.47,327.44,318.5,326.87,813.0,11,0.0
2024-01-12,326.29,328.08,321.44,327.56,573.0,12,0.0
2024-01-16,322.8,326.76,322.8,326.33,531.0,9,0.0
2024-01-17,322.0,327.97,318.82,320.85,633.0,12,0.0
2024-01-18,320.51,326.27,320.51,325.88,503.0,11,0.0
2024-01-19,323.65,331.65,321.01,328.7,700.0,11,0.0
2024-01-22,332.0,336.18,331.54,334.44,723.0,7,0.0
2024-01-23,332.02,336.05,328.8,330.53,681.0,3,0.0
2024-01-24,332.5,333.46,327.27,327.4,753.0,6,0.0
2024-01-25,329.19,335.8,328.51,333.3,833.0,6,0.0
2024-01-26,332.0,335.02,328.4,328.4,664.0,5,0.0
2024-01-29,326.32,332.9,323.8,332.0,926.0,8,0.0
2024-01-30,329.36,346.86,328.26,344.07,710.0,2,0.0
2024-01-31,340.95,342.11,333.09,334.41,683.0,19,0.0
2024-02-01,335.95,344.18,334.04,343.44,657.0,10,0.0
2024-02-02,341.94,355.78,341.94,353.51,1096.0,10,0.0
2024-02-05,352.2,355.6,348.0,351.12,810.0,11,0.0
2024-02-06,348.98,354.79,345.25,349.52,684.0,9,0.0
2024-02-07,349.74,357.76,347.45,354.8,618.0,7,0.0
2024-02-08,356.02,358.52,351.78,357.05,500.0,12,0.0
2024-02-09,356.0,363.16,352.3,363.07,660.0,11,0.0
2024-02-12,359.87,364.38,357.88,359.71,554.0,9,0.0
2024-02-13,350.0,354.46,346.55,352.31,806.0,12,0.0
2024-02-14,354.47,359.54,352.82,359.4,609.0,12,0.0
2024-02-15,358.65,360.27,354.08,358.56,857.0,4,0.0
2024-02-16,357.6,363.04,353.77,358.43,617.0,21,0.0
2024-02-20,355.0,358.24,353.01,354.52,613.0,7,0.0
2024-02-21,351.51,355.12,351.07,354.19,670.0,13,0.0
2024-02-22,357.46,365.2,356.0,364.47,1316.0,13,0.0
2024-02-23,365.43,366.96,360.99,365.26,690.0,0,0.0
2024-02-26,366.2,370.92,366.15,369.1,601.0,8,0.0
2024-02-27,368.6,370.42,363.57,367.57,749.0,10,0.0
2024-02-28,363.44,372.1,360.11,370.34,530.0,4,0.0
2024-02-29,370.86,382.26,370.86,381.54,1069.0,8,0.0
2024-03-01,379.36,385.28,376.87,384.11,1044.0,9,0.0
2024-03-04,386.98,391.91,385.93,387.61,762.0,15,0.0
2024-03-05,382.19,384.6,376.53,380.32,1051.0,3,0.0
2024-03-06,383.79,388.41,380.91,387.08,695.0,10,0.0
2024-03-07,389.45,393.03,388.58,392.03,507.0,13,0.0
2024-03-08,392.97,395.81,387.33,392.13,652.0,10,0.0
