time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,565.31,569.92,540.15,548.09,950.0,13,0.0
2024-01-03,534.59,543.16,528.0,531.57,918.0,12,0.0
2024-01-04,530.5,541.18,528.92,529.66,599.0,24,0.0
2024-01-05,528.82,543.38,528.5,536.91,531.0,27,0.0
2024-01-08,540.81,560.14,540.81,555.33,535.0,21,0.0
2024-01-09,554.44,570.0,554.44,563.72,838.0,19,0.0
2024-01-10,569.66,576.0,564.52,568.82,748.0,15,0.0
2024-01-11,569.21,574.73,558.4,568.57,695.0,29,0.0
2024-01-12,571.13,574.57,560.48,560.48,606.0,22,0.0
2024-01-16,552.2,563.99,552.01,563.29,761.0,24,0.0
2024-01-17,556.0,564.88,546.0,564.88,558.0,36,0.0
2024-01-18,570.79,574.53,559.21,572.87,741.0,23,0.0
2024-01-19,574.05,581.95,570.76,579.4,717.0,8,0.0
2024-01-22,588.88,595.92,583.0,589.71,887.0,25,0.0
2024-01-23,590.0,594.54,580.4,589.75,712.0,17,0.0
2024-01-24,591.73,596.46,585.0,585.22,571.0,29,0.0
2024-01-25,585.0,596.13,578.25,584.65,831.0,19,0.0
2024-01-26,579.5,594.49,577.95,586.61,409.0,16,0.0
2024-01-29,588.74,610.0,588.74,610.0,541.0,11,0.0
2024-01-30,607.0,633.1,607.0,622.52,1257.0,17,0.0
2024-01-31,614.98,619.71,602.2,610.35,819.0,28,0.0
2024-02-01,610.79,620.45,603.0,612.02,523.0,25,0.0
2024-02-02,608.0,614.72,598.76,611.46,835.0,25,0.0
2024-02-05,604.64,610.54,592.13,603.96,690.0,15,0.0
2024-02-06,607.38,607.86,595.22,605.26,734.0,31,0.0
2024-02-07,605.12,614.52,597.0,608.52,721.0,34,0.0
2024-02-08,612.11,628.57,612.11,626.83,1372.0,24,0.0
2024-02-09,638.88,658.53,631.33,646.02,1023.0,20,0.0
2024-02-12,629.0,633.56,611.0,615.76,847.0,26,0.0
2024-02-13,586.8,612.54,586.8,603.0,743.0,22,0.0
2024-02-14,610.21,631.09,604.4,629.59,1342.0,16,0.0
2024-02-15,633.0,634.0,601.29,605.67,1260.0,22,0.0
2024-02-16,600.32,618.19,597.0,612.13,957.0,9,0.0
2024-02-20,602.0,602.65,589.6,594.38,945.0,23,0.0
2024-02-21,586.33,590.17,578.0,586.98,884.0,16,0.0
2024-02-22,602.9,608.89,598.53,600.89,614.0,35,0.0
