time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,25.0,25.5,25.0,25.15,2941.0,1,0.0
2024-01-03,24.7,24.94,24.19,24.54,3224.0,1,0.0
2024-01-04,24.5,24.7,24.3,24.47,2777.0,1,0.0
2024-01-05,24.31,25.07,24.2,24.75,3573.0,1,0.0
2024-01-08,24.51,24.92,24.29,24.88,2634.0,1,0.0
2024-01-09,24.47,24.55,24.24,24.31,2521.0,1,0.0
2024-01-10,24.17,24.23,23.9,24.04,2439.0,0,0.0
2024-01-11,23.86,24.0,23.65,23.87,3138.0,1,0.0
2024-01-12,24.14,24.22,23.63,23.79,2697.0,1,0.0
2024-01-16,23.4,23.48,23.19,23.39,2888.0,1,0.0
2024-01-17,22.92,23.24,22.82,23.11,2357.0,1,0.0
2024-01-18,23.17,23.35,23.0,23.31,2182.0,1,0.0
2024-01-19,23.2,23.45,23.01,23.37,2444.0,1,0.0
2024-01-22,23.24,23.64,23.13,23.59,2827.0,1,0.0
2024-01-23,23.84,24.22,23.75,24.08,2980.0,1,0.0
2024-01-24,23.98,24.33,23.91,24.01,3654.0,1,0.0
2024-01-25,24.2,24.73,24.08,24.45,3761.0,1,0.0
2024-01-26,24.59,24.98,24.43,24.73,3300.0,1,0.0
2024-01-29,24.54,24.7,24.3,24.68,2140.0,1,0.0
2024-01-30,24.55,25.18,24.48,25.03,2836.0,1,0.0
2024-01-31,24.88,25.26,24.55,24.59,5627.0,1,0.0
2024-02-01,24.81,24.87,24.07,24.66,4674.0,1,0.0
2024-02-02,24.13,24.29,23.81,24.15,5372.0,1,0.0
2024-02-05,23.43,24.09,23.14,23.79,5253.0,1,0.0
2024-02-06,23.12,24.19,23.12,24.02,2145.0,1,0.0
2024-02-07,23.94,24.05,23.69,23.91,3914.0,1,0.0
2024-02-08,23.75,24.04,23.71,23.96,2477.0,1,0.0
2024-02-09,23.88,24.02,23.69,24.0,2378.0,0,0.0
2024-02-12,24.1,24.64,23.96,24.25,2802.0,1,0.0
2024-02-13,23.55,23.63,23.1,23.37,3975.0,1,0.0
2024-02-14,23.39,23.65,23.27,23.4,3838.0,1,0.0
2024-02-15,23.61,24.03,23.52,23.91,2999.0,1,0.0
2024-02-16,23.86,24.57,23.73,24.45,2918.0,1,0.0
2024-02-20,23.63,24.46,23.53,24.3,3756.0,1,0.0
2024-02-21,24.06,24.68,23.95,24.68,3792.0,1,0.0
2024-02-22,24.81,26.52,24.53,26.25,5079.0,1,0.0
2024-02-23,26.54,26.85,26.01,26.18,3498.0,1,0.0
2024-02-26,25.75,25.93,25.4,25.71,3196.0,1,0.0
2024-02-27,25.78,25.78,25.43,25.59,2937.0,1,0.0
2024-02-28,25.31,25.76,25.31,25.32,2246.0,1,0.0
2024-02-29,25.14,25.77,25.0,25.62,2789.0,1,0.0
2024-03-01,25.4,25.58,25.1,25.26,2667.0,1,0.0
2024-03-04,25.36,26.18,25.29,25.84,3232.0,1,0.0
2024-03-05,25.79,26.13,25.59,25.78,2736.0,1,0.0
2024-03-06,25.86,26.13,25.72,25.98,3537.0,1,0.0
2024-03-07,26.42,26.99,26.25,26.55,3358.0,1,0.0
2024-03-08,26.73,26.85,26.33,26.53,3572.0,1,0.0
2024-03-11,26.55,26.72,26.15,26.2,2473.0,1,0.0
2024-03-12,26.14,26.2,25.85,26.03,2570.0,1,0.0
2024-03-13,26.05,26.28,25.76,25.78,3046.0,1,0.0
2024-03-14,25.18,25.5,25.02,25.19,3113.0,1,0.0
2024-03-15,25.16,25.63,25.16,25.24,1543.0,1,0.0
2024-03-18,25.19,25.31,24.97,25.0,2413.0,1,0.0
2024-03-19,25.0,25.15,24.79,24.85,2389.0,1,0.0
2024-03-20,24.77,25.91,24.77,25.71,2738.0,0,0.0
2024-03-21,25.73,25.91,25.5,25.61,2788.0,1,0.0
2024-03-22,25.53,25.69,25.21,25.48,1605.0,1,0.0
2024-03-25,25.49,25.57,25.26,25.41,1122.0,1,0.0
2024-03-26,25.47,25.56,25.33,25.36,1627.0,1,0.0
2024-03-27,25.42,25.82,25.41,25.82,1351.0,1,0.0
2024-03-28,25.97,26.46,25.84,26.02,2739.0,1,0.0
2024-04-01,25.74,26.2,25.55,26.01,2262.0,1,0.0
2024-04-02,25.82,26.04,25.71,25.76,1421.0,1,0.0
2024-04-03,25.7,26.26,25.68,26.21,4095.0,1,0.0
2024-04-04,26.17,26.39,25.64,25.76,1878.0,1,0.0
