time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,20.65,21.14,20.57,21.13,1222.0,0,0.0
2024-01-03,21.08,21.87,21.06,21.66,1483.0,0,0.0
2024-01-04,21.7,22.19,21.65,21.81,1806.0,0,0.0
2024-01-05,21.71,22.41,21.71,21.96,1384.0,1,0.0
2024-01-08,21.96,22.02,21.38,21.92,1104.0,0,0.0
2024-01-09,22.12,22.12,21.67,21.9,1034.0,0,0.0
2024-01-10,21.63,21.8,21.63,21.74,825.0,0,0.0
2024-01-11,21.93,22.19,21.69,21.96,1154.0,0,0.0
2024-01-12,22.01,22.23,21.92,22.1,1401.0,0,0.0
2024-01-16,22.13,22.13,21.67,21.79,1586.0,0,0.0
2024-01-17,21.07,22.55,21.07,22.29,1785.0,0,0.0
2024-01-18,22.19,22.3,22.06,22.18,1404.0,0,0.0
2024-01-19,22.19,22.47,22.06,22.45,1106.0,0,0.0
2024-01-22,22.45,22.83,22.39,22.79,1600.0,0,0.0
2024-01-23,22.79,23.15,22.7,22.86,1210.0,0,0.0
2024-01-24,22.9,22.99,22.63,22.89,1179.0,0,0.0
2024-01-25,22.78,22.89,22.53,22.59,1001.0,0,0.0
2024-01-26,22.51,22.98,22.51,22.92,1590.0,0,0.0
2024-01-29,22.79,22.87,22.51,22.55,1088.0,0,0.0
2024-01-30,22.67,22.68,22.33,22.42,1313.0,0,0.0
2024-01-31,22.29,22.43,22.03,22.19,1170.0,0,0.0
2024-02-01,22.07,22.74,22.0,22.68,1838.0,0,0.0
2024-02-02,22.82,24.25,22.82,24.05,2433.0,0,0.0
2024-02-05,24.04,24.18,23.73,23.77,1360.0,0,0.0
2024-02-06,23.69,23.75,23.17,23.26,1130.0,0,0.0
2024-02-07,23.27,23.67,23.13,23.59,1063.0,0,0.0
2024-02-08,23.61,23.88,23.61,23.8,743.0,0,0.0
2024-02-09,23.71,24.61,23.71,24.46,1315.0,0,0.0
2024-02-12,24.5,24.55,24.4,24.48,892.0,0,0.0
2024-02-13,24.78,25.41,24.78,25.19,1523.0,0,0.0
2024-02-14,25.25,25.55,25.15,25.23,1380.0,0,0.0
2024-02-15,25.35,26.28,25.26,26.09,1950.0,0,0.0
2024-02-16,25.95,26.6,25.94,26.1,1089.0,1,0.0
2024-02-20,25.97,26.13,25.54,25.79,1095.0,1,0.0
2024-02-21,25.71,26.31,25.59,26.24,1176.0,0,0.0
2024-02-22,26.53,26.81,26.27,26.67,1012.0,1,0.0
2024-02-23,26.42,26.89,26.42,26.64,974.0,1,0.0
2024-02-26,26.45,27.12,26.38,26.9,731.0,1,0.0
2024-02-27,26.79,26.98,26.6,26.73,844.0,1,0.0
2024-02-28,26.68,27.26,26.68,27.08,847.0,0,0.0
2024-02-29,27.23,27.25,26.75,27.22,854.0,1,0.0
2024-03-01,27.15,27.65,27.1,27.57,1089.0,0,0.0
2024-03-04,27.8,28.1,27.62,27.75,898.0,1,0.0
2024-03-05,27.74,28.0,27.16,27.37,1000.0,1,0.0
2024-03-06,27.25,27.63,26.88,27.48,1093.0,1,0.0
2024-03-07,27.39,27.52,27.23,27.25,837.0,0,0.0
2024-03-08,27.25,27.35,26.88,26.96,1102.0,1,0.0
2024-03-11,26.75,27.0,26.61,26.93,844.0,1,0.0
2024-03-12,27.03,27.43,26.84,27.22,907.0,0,0.0
2024-03-13,27.28,27.36,26.96,27.11,618.0,1,0.0
2024-03-14,26.99,27.11,26.68,26.88,771.0,1,0.0
2024-03-15,26.64,27.07,26.64,26.86,936.0,1,0.0
2024-03-18,26.81,27.21,26.68,27.0,700.0,0,0.0
2024-03-19,26.97,27.06,26.77,26.82,702.0,0,0.0
2024-03-20,26.72,27.18,26.59,27.14,1150.0,1,0.0
2024-03-21,27.29,27.59,27.23,27.45,760.0,1,0.0
2024-03-22,27.0,27.33,27.0,27.08,669.0,1,0.0
2024-03-25,26.92,27.29,26.92,27.28,584.0,1,0.0
2024-03-26,27.31,27.6,27.27,27.55,656.0,0,0.0
2024-03-27,27.48,27.84,27.48,27.84,718.0,1,0.0
2024-03-28,27.81,28.11,27.69,27.92,748.0,0,0.0
2024-04-01,27.9,28.15,27.69,27.97,866.0,1,0.0
2024-04-02,27.9,28.63,27.9,28.61,900.0,0,0.0
2024-04-03,28.82,29.2,28.52,28.68,968.0,0,0.0
2024-04-04,28.74,28.81,27.67,27.72,846.0,1,0.0
2024-04-05,27.78,28.31,27.78,28.13,1049.0,1,0.0
2024-04-08,28.2,28.63,28.18,28.55,577.0,0,0.0
2024-04-09,28.25,28.34,27.6,27.76,800.0,0,0.0
2024-04-10,27.83,28.59,27.83,28.3,849.0,1,0.0
2024-04-11,27.9,28.24,27.9,28.05,808.0,1,0.0
2024-04-12,27.92,27.94,27.48,27.57,617.0,0,0.0
2024-04-15,27.93,27.95,27.09,27.3,1028.0,1,0.0
2024-04-16,27.13,27.26,26.65,26.75,1168.0,1,0.0
2024-04-17,27.13,28.5,26.99,27.33,1513.0,1,0.0
2024-04-18,27.45,27.92,27.18,27.59,913.0,0,0.0
2024-04-19,27.68,28.08,27.67,27.84,827.0,1,0.0
2024-04-22,28.01,28.44,27.94,28.25,933.0,0,0.0
2024-04-23,28.14,29.0,28.03,28.59,932.0,0,0.0
2024-04-24,28.58,29.07,28.52,28.87,858.0,0,0.0
2024-04-25,28.73,29.46,28.7,29.36,887.0,1,0.0
2024-04-26,29.16,29.38,28.88,28.98,471.0,1,0.0
2024-04-29,28.88,29.41,28.75,29.18,699.0,1,0.0
2024-04-30,29.05,29.27,28.71,28.78,681.0,1,0.0
2024-05-01,28.92,29.46,28.72,29.23,939.0,1,0.0
2024-05-02,29.18,30.08,29.18,29.94,718.0,0,0.0
2024-05-03,29.75,30.06,29.18,29.97,1186.0,1,0.0
2024-05-06,30.25,30.47,30.06,30.4,733.0,1,0.0
2024-05-07,30.32,30.66,30.06,30.1,726.0,1,0.0
2024-05-08,30.15,30.32,29.7,29.85,634.0,1,0.0
2024-05-09,29.75,30.01,29.63,29.77,782.0,1,0.0
2024-05-10,29.8,30.15,29.72,30.03,563.0,1,0.0
2024-05-13,30.0,30.17,29.88,29.99,463.0,1,0.0
2024-05-14,29.83,30.43,29.72,30.35,542.0,1,0.0
2024-05-15,30.32,30.52,30.06,30.45,730.0,1,0.0
2024-05-16,30.38,30.64,30.28,30.48,844.0,1,0.0
2024-05-17,30.38,30.97,30.38,30.92,530.0,1,0.0
2024-05-20,31.0,31.43,30.97,31.33,702.0,1,0.0
2024-05-21,31.02,31.69,31.02,31.62,536.0,1,0.0
2024-05-22,31.5,31.59,31.22,31.22,1163.0,1,0.0
2024-05-23,31.2,31.69,30.78,31.11,811.0,1,0.0
2024-05-24,31.22,32.03,31.13,32.02,735.0,1,0.0
2024-05-28,32.03,32.2,31.72,32.09,740.0,0,0.0
2024-05-29,31.88,32.24,31.73,31.9,917.0,0,0.0
2024-05-30,31.99,32.11,31.61,31.8,723.0,1,0.0
2024-05-31,31.68,31.73,30.52,31.31,1139.0,1,0.0
2024-06-03,31.44,31.73,31.03,31.56,853.0,1,0.0
2024-06-04,31.51,31.8,31.0,31.13,665.0,1,0.0
2024-06-05,31.08,31.48,31.03,31.37,571.0,0,0.0
2024-06-06,31.26,31.37,30.57,30.64,680.0,1,0.0
2024-06-07,30.76,31.36,30.75,30.91,779.0,1,0.0
2024-06-10,30.65,31.45,30.55,31.27,871.0,1,0.0
2024-06-11,30.75,31.04,30.4,30.79,688.0,1,0.0
2024-06-12,30.47,30.56,29.89,30.37,866.0,1,0.0
2024-06-13,30.25,30.44,30.0,30.3,662.0,1,0.0
2024-06-14,29.88,30.24,29.73,29.99,649.0,0,0.0
2024-06-17,29.73,30.29,29.73,30.26,694.0,1,0.0
2024-06-18,30.13,30.21,29.87,29.9,573.0,1,0.0
2024-06-20,29.94,30.13,29.9,30.05,610.0,1,0.0
2024-06-21,29.75,30.16,29.51,29.98,716.0,1,0.0
2024-06-24,30.21,30.75,29.9,30.25,695.0,1,0.0
2024-06-25,30.18,30.58,30.15,30.48,525.0,1,0.0
2024-06-26,30.25,30.73,30.25,30.65,588.0,1,0.0
2024-06-27,30.69,31.0,30.65,30.65,473.0,1,0.0
2024-06-28,30.63,30.7,30.38,30.55,531.0,1,0.0
2024-07-01,31.02,31.77,30.54,31.6,733.0,1,0.0
2024-07-02,31.71,31.95,31.61,31.9,620.0,1,0.0
2024-07-03,31.72,32.13,31.03,31.32,546.0,1,0.0
2024-07-05,30.38,31.11,30.38,30.97,701.0,1,0.0
2024-07-08,31.18,31.3,30.71,30.82,486.0,1,0.0
2024-07-09,30.85,31.57,30.85,31.24,603.0,1,0.0
2024-07-10,31.34,31.58,31.08,31.19,693.0,1,0.0
2024-07-11,29.94,30.72,29.75,30.25,893.0,1,0.0
2024-07-12,30.4,30.59,30.19,30.3,797.0,1,0.0
