time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,127.4,128.04,125.55,126.28,4320.0,1,0.0
2024-01-03,125.14,125.94,124.61,125.03,4723.0,1,0.0
2024-01-04,124.36,126.5,123.8,125.73,3486.0,1,0.0
2024-01-05,125.5,126.17,125.0,125.58,3827.0,1,0.0
2024-01-08,126.57,128.48,126.57,128.08,3402.0,1,0.0
2024-01-09,126.79,128.42,126.59,126.8,3674.0,1,0.0
2024-01-10,126.82,127.53,126.16,127.3,2814.0,1,0.0
2024-01-11,127.65,127.96,126.1,126.88,3790.0,1,0.0
2024-01-12,127.0,127.78,126.61,126.96,4756.0,1,0.0
2024-01-16,126.12,126.81,125.83,125.9,5129.0,1,0.0
2024-01-17,124.56,126.24,124.56,125.85,4048.0,1,0.0
2024-01-18,125.62,126.73,125.22,126.7,4336.0,1,0.0
2024-01-19,126.78,127.03,125.65,126.3,4600.0,1,0.0
2024-01-22,126.71,127.69,126.71,127.23,3957.0,1,0.0
2024-01-23,126.8,127.67,126.5,127.03,3364.0,1,0.0
2024-01-24,127.0,127.29,126.3,126.94,4523.0,1,0.0
2024-01-25,127.05,127.45,126.05,127.19,4761.0,1,0.0
2024-01-26,127.09,127.64,126.22,127.17,3776.0,1,0.0
2024-01-29,126.73,128.16,126.59,128.14,3310.0,1,0.0
2024-01-30,128.04,129.37,127.5,128.95,3405.0,1,0.0
2024-01-31,129.0,129.84,126.92,127.33,5351.0,1,0.0
2024-02-01,127.24,129.84,127.0,129.74,4815.0,1,0.0
2024-02-02,129.25,129.69,127.53,128.75,9192.0,1,0.0
2024-02-05,127.38,127.76,126.29,126.94,4775.0,1,0.0
2024-02-06,125.8,126.54,125.68,126.48,3391.0,1,0.0
2024-02-07,126.51,128.19,126.5,127.9,5237.0,1,0.0
2024-02-08,133.18,135.94,131.0,133.77,3688.0,1,0.0
2024-02-09,135.11,135.68,133.23,135.53,4662.0,1,0.0
2024-02-12,135.34,136.17,134.52,135.51,4452.0,1,0.0
2024-02-13,134.48,135.32,133.87,134.42,5021.0,1,0.0
2024-02-14,134.76,136.71,134.54,136.43,4728.0,1,0.0
2024-02-15,137.06,137.81,136.68,136.77,4449.0,1,0.0
2024-02-16,137.49,138.19,136.9,137.08,4031.0,1,0.0
2024-02-20,136.07,137.15,135.74,136.44,4556.0,1,0.0
2024-02-21,135.79,137.11,135.47,136.67,4203.0,1,0.0
2024-02-22,137.76,139.97,137.41,139.43,4463.0,1,0.0
2024-02-23,139.38,139.73,138.04,138.44,3124.0,1,0.0
2024-02-26,138.15,138.73,137.81,137.81,3659.0,1,0.0
2024-02-27,137.58,138.94,137.58,138.72,3363.0,1,0.0
2024-02-28,138.55,139.65,138.07,138.87,2283.0,1,0.0
2024-02-29,138.92,139.6,138.16,138.35,2703.0,1,0.0
2024-03-01,137.41,138.72,137.0,138.45,2532.0,1,0.0
2024-03-04,138.31,138.52,137.5,138.01,2349.0,1,0.0
2024-03-05,137.33,139.78,137.33,139.4,3603.0,1,0.0
2024-03-06,138.01,139.75,137.02,139.3,2950.0,1,0.0
2024-03-07,139.31,140.4,138.32,138.86,2609.0,1,0.0
2024-03-08,138.66,139.79,138.43,138.54,3250.0,1,0.0
2024-03-11,136.56,137.5,136.2,136.93,3128.0,1,0.0
2024-03-12,137.12,138.17,136.45,137.05,3513.0,1,0.0
2024-03-13,136.32,137.57,136.32,137.18,2535.0,1,0.0
2024-03-14,136.57,136.57,134.58,135.33,3826.0,1,0.0
2024-03-15,134.66,135.85,134.16,134.54,4164.0,1,0.0
2024-03-18,135.24,135.33,134.15,134.2,3263.0,1,0.0
2024-03-19,134.4,136.49,134.4,135.79,3504.0,1,0.0
2024-03-20,134.31,136.39,134.1,136.04,3750.0,1,0.0
2024-03-21,135.5,138.6,135.34,138.09,3529.0,1,0.0
2024-03-22,137.41,138.18,135.97,136.3,2919.0,1,0.0
2024-03-25,135.89,136.3,135.25,135.81,2653.0,1,0.0
2024-03-26,135.53,137.93,135.53,137.1,3301.0,1,0.0
2024-03-27,137.87,138.29,136.02,137.03,3883.0,1,0.0
2024-03-28,136.81,137.92,136.05,137.54,3688.0,1,0.0
2024-04-01,137.34,137.36,136.09,136.98,3462.0,1,0.0
2024-04-02,136.05,137.47,136.0,137.37,3635.0,1,0.0
2024-04-03,137.05,138.12,136.52,137.05,3607.0,1,0.0
2024-04-04,138.24,138.75,136.1,136.31,4151.0,1,0.0
2024-04-05,136.16,137.97,136.0,137.57,4776.0,1,0.0
2024-04-08,137.45,137.84,136.67,136.89,4017.0,1,0.0
2024-04-09,137.28,137.43,134.5,135.0,4485.0,1,0.0
2024-04-10,133.21,134.73,132.8,133.2,4985.0,1,0.0
2024-04-11,132.27,134.3,132.18,133.64,4101.0,1,0.0
2024-04-12,133.27,134.13,132.56,133.21,5653.0,1,0.0
2024-04-15,134.38,134.38,130.08,130.45,7196.0,1,0.0
2024-04-16,130.0,131.28,129.45,129.93,5965.0,1,0.0
2024-04-17,130.68,131.85,129.8,130.6,6713.0,1,0.0
2024-04-18,130.52,131.48,130.0,130.65,5875.0,1,0.0
2024-04-19,130.65,131.72,130.19,130.94,6286.0,1,0.0
2024-04-22,131.18,132.31,131.0,131.29,4845.0,1,0.0
2024-04-23,131.75,132.28,131.14,132.28,3444.0,1,0.0
2024-04-24,131.04,132.63,130.91,132.52,3830.0,1,0.0
2024-04-25,131.18,132.03,130.15,131.69,4414.0,1,0.0
2024-04-26,130.99,132.24,130.51,131.74,3443.0,1,0.0
2024-04-29,131.65,132.85,130.41,130.68,3295.0,1,0.0
2024-04-30,129.59,130.68,128.77,128.77,6938.0,1,0.0
2024-05-01,129.07,130.4,128.27,128.53,3863.0,1,0.0
2024-05-02,127.65,128.47,124.16,126.39,3629.0,1,0.0
2024-05-03,129.14,131.6,128.55,130.33,3778.0,1,0.0
2024-05-06,130.42,131.7,130.24,131.1,2615.0,1,0.0
2024-05-07,131.6,133.78,131.6,133.73,3218.0,1,0.0
2024-05-08,133.16,133.63,132.0,133.5,2478.0,1,0.0
2024-05-09,132.78,135.03,132.78,135.02,2256.0,1,0.0
2024-05-10,134.71,135.83,133.42,134.02,3116.0,1,0.0
2024-05-13,133.74,134.95,133.53,133.69,1988.0,2,0.0
2024-05-14,133.5,134.57,133.0,134.53,2964.0,1,0.0
2024-05-15,134.45,138.06,134.45,137.95,3409.0,1,0.0
2024-05-16,137.78,138.47,136.89,137.19,3430.0,1,0.0
2024-05-17,137.18,138.28,136.67,138.28,2127.0,1,0.0
2024-05-20,137.33,137.89,136.81,136.83,1934.0,1,0.0
2024-05-21,136.52,137.49,136.52,137.09,1850.0,1,0.0
2024-05-22,136.23,137.44,136.0,136.87,2408.0,1,0.0
2024-05-23,136.84,136.84,134.74,135.41,3125.0,1,0.0
2024-05-24,135.92,136.5,135.59,136.15,1684.0,1,0.0
2024-05-28,136.01,136.02,133.53,133.62,2193.0,1,0.0
2024-05-29,132.23,132.93,131.8,131.9,1851.0,1,0.0
2024-05-30,132.05,133.58,131.58,133.34,2183.0,1,0.0
2024-05-31,133.1,134.13,132.31,133.65,2040.0,1,0.0
2024-06-03,134.3,134.3,132.31,133.51,1474.0,1,0.0
2024-06-04,133.0,135.29,133.0,134.63,2614.0,1,0.0
2024-06-05,134.3,135.72,133.04,135.17,2596.0,1,0.0
2024-06-06,135.0,135.47,134.28,134.73,2311.0,1,0.0
2024-06-07,133.99,134.71,133.3,133.78,2757.0,1,0.0
2024-06-10,133.11,134.37,133.01,133.63,2337.0,1,0.0
2024-06-11,133.0,134.67,132.51,134.34,2538.0,1,0.0
2024-06-12,136.18,137.08,135.91,136.16,5276.0,1,0.0
2024-06-13,135.0,135.63,134.55,135.22,3045.0,1,0.0
2024-06-14,134.34,135.81,133.75,135.61,2093.0,1,0.0
2024-06-17,134.62,136.39,133.4,136.07,2889.0,1,0.0
2024-06-18,135.43,136.9,135.4,136.38,2177.0,2,0.0
2024-06-20,135.03,137.35,134.58,136.77,2522.0,1,0.0
2024-06-21,136.35,137.92,136.08,137.79,2495.0,1,0.0
2024-06-24,137.5,139.51,137.07,138.82,2225.0,2,0.0
2024-06-25,138.17,138.54,136.56,137.46,1886.0,1,0.0
2024-06-26,136.28,137.69,136.28,137.32,1901.0,1,0.0
2024-06-27,136.66,137.58,136.52,137.4,1686.0,1,0.0
2024-06-28,137.05,137.93,136.08,136.5,2882.0,1,0.0
2024-07-01,137.7,138.41,136.06,136.79,2275.0,1,0.0
2024-07-02,137.02,140.97,136.93,140.86,2889.0,1,0.0
2024-07-03,140.38,141.52,140.06,141.39,1675.0,1,0.0
2024-07-05,140.45,141.03,139.5,140.91,1979.0,1,0.0
2024-07-08,140.89,142.15,140.27,141.08,2282.0,1,0.0
2024-07-09,140.95,142.42,140.02,142.41,2068.0,1,0.0
2024-07-10,142.72,144.46,142.59,144.37,1955.0,1,0.0
2024-07-11,145.3,147.27,144.91,147.23,3051.0,1,0.0
2024-07-12,147.88,149.42,147.74,148.29,2920.0,1,0.0
2024-07-15,148.38,148.86,147.31,147.93,2903.0,1,0.0
2024-07-16,147.78,149.28,147.37,148.88,2437.0,1,0.0
2024-07-17,148.69,149.51,148.06,149.35,3068.0,1,0.0
2024-07-18,148.89,149.48,147.42,147.43,3445.0,1,0.0
2024-07-19,147.85,148.26,146.68,147.47,2527.0,1,0.0
2024-07-22,147.91,149.42,147.72,149.06,2139.0,1,0.0
2024-07-23,149.0,149.83,148.48,148.52,2264.0,1,0.0
2024-07-24,147.9,148.93,147.07,147.25,2686.0,1,0.0
2024-07-25,147.5,150.35,147.5,148.81,2736.0,1,0.0
2024-07-26,149.02,151.67,149.02,150.95,2691.0,1,0.0
2024-07-29,150.42,151.33,150.03,151.11,2180.0,1,0.0
2024-07-30,151.78,152.27,150.75,151.39,2599.0,1,0.0
2024-07-31,151.17,152.79,151.02,151.49,3360.0,1,0.0
2024-08-01,148.98,153.13,148.98,150.81,3003.0,1,0.0
2024-08-02,149.62,151.83,148.45,149.44,3830.0,1,0.0
2024-08-05,147.5,150.52,146.69,148.91,3860.0,1,0.0
2024-08-06,148.4,152.09,147.7,150.54,3626.0,1,0.0
2024-08-07,151.0,152.6,150.22,151.08,3390.0,1,0.0
2024-08-08,150.86,153.99,150.0,153.42,2549.0,1,0.0
2024-08-09,153.54,154.32,152.73,153.92,2369.0,1,0.0
2024-08-12,153.11,154.59,153.0,153.58,2299.0,1,0.0
2024-08-13,153.75,155.11,152.76,154.63,2233.0,1,0.0
2024-08-14,154.0,156.48,153.66,156.17,2805.0,1,0.0
2024-08-15,156.69,156.69,154.49,155.09,2181.0,1,0.0
2024-08-16,155.3,156.64,154.71,156.45,2097.0,1,0.0
2024-08-19,156.62,157.43,156.08,157.07,1681.0,1,0.0
2024-08-20,157.42,157.72,156.43,157.68,1649.0,1,0.0
2024-08-21,157.5,158.18,156.89,157.96,2508.0,1,0.0
2024-08-22,157.5,158.62,157.49,158.21,2286.0,1,0.0
2024-08-23,158.81,160.2,158.59,160.04,3010.0,2,0.0
2024-08-26,160.34,161.02,159.34,160.07,1947.0,1,0.0
2024-08-27,160.09,161.32,159.68,160.53,2137.0,1,0.0
2024-08-28,160.69,161.9,160.06,160.6,3084.0,1,0.0
2024-08-29,160.5,161.24,159.8,160.2,3060.0,1,0.0
2024-08-30,160.45,161.68,159.89,161.38,3029.0,2,0.0
2024-09-03,161.33,162.36,160.01,161.06,3866.0,1,0.0
2024-09-04,161.47,162.57,161.0,162.39,3579.0,1,0.0
2024-09-05,161.42,162.87,160.73,162.54,3296.0,1,0.0
2024-09-06,163.33,163.33,159.63,160.24,3776.0,1,0.0
2024-09-09,161.14,162.77,160.66,161.62,3237.0,1,0.0
2024-09-10,161.45,162.6,160.91,162.04,2732.0,1,0.0
2024-09-11,160.19,160.49,157.81,159.94,3805.0,1,0.0
2024-09-12,160.12,161.51,159.17,160.97,3683.0,1,0.0
2024-09-13,160.98,161.57,160.23,161.22,2597.0,1,0.0
2024-09-16,161.88,162.63,161.53,161.91,2284.0,1,0.0
2024-09-17,161.74,163.24,161.38,162.69,4111.0,1,0.0
2024-09-18,162.0,163.18,161.02,161.25,3497.0,2,0.0
2024-09-19,161.42,161.56,157.94,158.65,3839.0,1,0.0
2024-09-20,157.76,159.75,157.76,159.67,3259.0,1,0.0
2024-09-23,159.34,160.8,159.22,159.95,2511.0,1,0.0
2024-09-24,158.17,158.84,157.39,158.69,2498.0,1,0.0
