time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,214.13,216.87,214.13,215.21,731.0,2,0.0
2024-01-03,212.07,213.98,210.65,211.91,647.0,4,0.0
2024-01-04,211.36,213.69,210.23,211.2,610.0,5,0.0
2024-01-05,210.65,212.41,209.91,210.47,739.0,14,0.0
2024-01-08,210.04,210.71,207.37,210.41,647.0,5,0.0
2024-01-09,207.24,210.01,205.25,209.75,589.0,5,0.0
2024-01-10,208.34,209.97,208.34,209.33,659.0,5,0.0
2024-01-11,208.34,208.94,205.28,208.59,639.0,8,0.0
2024-01-12,208.58,209.11,206.03,206.64,460.0,5,0.0
2024-01-16,203.93,205.98,202.17,205.09,930.0,3,0.0
2024-01-17,203.08,206.13,203.03,204.77,603.0,4,0.0
2024-01-18,201.58,205.73,201.58,205.17,997.0,4,0.0
2024-01-19,204.08,207.48,202.65,206.51,871.0,9,0.0
2024-01-22,206.64,209.11,206.49,207.31,546.0,6,0.0
2024-01-23,206.91,209.29,205.99,208.67,668.0,3,0.0
2024-01-24,209.14,209.69,204.99,205.59,686.0,4,0.0
2024-01-25,205.75,207.82,204.4,207.48,676.0,4,0.0
2024-01-26,207.49,209.37,207.49,209.23,778.0,4,0.0
2024-01-29,207.55,211.93,207.04,211.83,771.0,1,0.0
2024-01-30,210.23,214.23,210.23,213.47,669.0,1,0.0
2024-01-31,213.86,214.27,210.93,211.6,1183.0,4,0.0
2024-02-01,211.81,222.4,210.31,219.87,1282.0,2,0.0
2024-02-02,218.31,222.01,217.59,220.62,896.0,4,0.0
2024-02-05,217.84,219.75,215.73,218.04,850.0,3,0.0
2024-02-06,217.18,219.98,215.43,218.79,707.0,5,0.0
2024-02-07,217.77,227.25,212.68,221.36,1133.0,4,0.0
2024-02-08,224.0,226.06,221.35,225.13,952.0,4,0.0
2024-02-09,225.03,228.1,222.62,227.67,864.0,7,0.0
2024-02-12,226.93,229.34,225.56,227.04,1082.0,4,0.0
2024-02-13,224.19,225.35,221.9,224.2,1012.0,6,0.0
2024-02-14,223.77,226.98,222.83,226.53,798.0,6,0.0
2024-02-15,227.43,228.22,224.7,227.34,663.0,2,0.0
2024-02-16,226.26,229.36,225.2,227.07,542.0,5,0.0
2024-02-20,226.41,229.93,226.21,229.86,621.0,7,0.0
2024-02-21,229.5,234.49,228.47,233.55,773.0,5,0.0
2024-02-22,232.21,235.56,232.1,234.94,642.0,8,0.0
2024-02-23,234.28,236.93,234.17,236.31,540.0,8,0.0
2024-02-26,235.0,236.76,235.0,236.31,542.0,8,0.0
2024-02-27,235.21,236.86,234.32,236.24,523.0,10,0.0
2024-02-28,234.85,237.49,234.85,236.66,518.0,4,0.0
2024-02-29,236.21,237.35,234.58,235.97,555.0,5,0.0
2024-03-01,235.51,239.86,233.81,239.72,729.0,6,0.0
2024-03-04,238.19,239.81,237.17,237.53,555.0,1,0.0
2024-03-05,236.25,238.45,234.33,235.19,631.0,10,0.0
2024-03-06,235.63,237.85,233.4,236.89,672.0,9,0.0
2024-03-07,236.92,239.61,236.47,238.45,368.0,9,0.0
2024-03-08,238.3,239.81,237.56,238.05,524.0,11,0.0
2024-03-11,236.86,239.14,234.75,238.61,485.0,6,0.0
2024-03-12,235.55,240.78,235.55,240.16,564.0,7,0.0
2024-03-13,239.42,241.09,237.86,240.33,418.0,9,0.0
2024-03-14,239.62,241.22,237.41,241.05,760.0,4,0.0
2024-03-15,238.51,241.97,238.51,239.76,680.0,3,0.0
2024-03-18,240.05,242.1,239.97,240.38,608.0,1,0.0
2024-03-19,239.1,241.48,237.58,239.81,595.0,5,0.0
2024-03-20,238.05,241.42,238.05,240.57,632.0,4,0.0
2024-03-21,239.52,245.68,238.58,245.12,693.0,6,0.0
2024-03-22,244.65,244.94,242.58,243.68,401.0,6,0.0
2024-03-25,243.18,243.46,241.45,241.79,381.0,6,0.0
2024-03-26,240.74,243.46,238.88,242.43,521.0,8,0.0
2024-03-27,241.92,245.02,241.15,244.71,557.0,7,0.0
2024-03-28,245.09,245.42,242.25,244.16,543.0,15,0.0
2024-04-01,242.25,243.44,240.73,240.74,431.0,6,0.0
2024-04-02,239.28,240.2,237.71,238.83,567.0,3,0.0
2024-04-03,239.46,240.5,238.07,239.11,594.0,5,0.0
2024-04-04,239.76,241.93,235.11,236.5,665.0,4,0.0
2024-04-05,236.04,240.52,236.04,239.13,625.0,7,0.0
2024-04-08,238.76,240.66,238.15,238.8,471.0,5,0.0
2024-04-09,238.26,241.76,237.33,241.25,627.0,11,0.0
2024-04-10,237.03,239.99,235.9,236.45,827.0,5,0.0
2024-04-11,235.43,237.75,234.35,235.95,520.0,10,0.0
2024-04-12,233.05,235.27,230.72,231.78,726.0,3,0.0
2024-04-15,233.82,236.08,229.27,230.19,875.0,5,0.0
2024-04-16,228.9,230.75,227.56,228.92,855.0,7,0.0
2024-04-17,228.6,229.44,225.61,226.55,681.0,9,0.0
2024-04-18,225.68,228.86,225.0,225.55,691.0,3,0.0
2024-04-19,223.75,227.24,223.75,226.45,650.0,12,0.0
2024-04-22,226.14,231.38,225.61,229.32,674.0,4,0.0
2024-04-23,229.3,233.29,228.19,231.51,687.0,6,0.0
2024-04-24,227.45,231.28,221.12,223.95,797.0,1,0.0
2024-04-25,222.3,225.12,220.0,223.57,692.0,7,0.0
2024-04-26,222.0,224.04,220.15,220.48,562.0,5,0.0
2024-04-29,220.43,224.06,219.18,223.47,634.0,9,0.0
2024-04-30,222.24,224.87,219.78,220.12,659.0,7,0.0
2024-05-01,219.15,223.85,219.0,220.94,696.0,10,0.0
2024-05-02,221.35,221.35,218.47,219.94,672.0,6,0.0
2024-05-03,220.92,221.43,219.0,219.87,633.0,12,0.0
2024-05-06,220.46,223.17,220.41,221.78,543.0,5,0.0
2024-05-07,220.77,222.78,220.44,221.74,575.0,5,0.0
2024-05-08,220.44,222.7,220.44,221.49,592.0,4,0.0
2024-05-09,220.69,223.48,220.68,222.52,658.0,2,0.0
2024-05-10,223.9,227.0,222.13,226.1,674.0,1,0.0
2024-05-13,226.4,226.83,224.27,225.25,460.0,6,0.0
2024-05-14,225.42,226.24,223.28,224.33,553.0,8,0.0
2024-05-15,224.34,225.25,223.03,223.64,538.0,1,0.0
2024-05-16,222.89,223.14,220.82,222.17,573.0,8,0.0
2024-05-17,221.52,223.11,220.16,222.06,539.0,7,0.0
2024-05-20,221.37,222.63,218.87,219.29,663.0,4,0.0
2024-05-21,218.0,218.11,216.12,216.93,425.0,7,0.0
2024-05-22,216.5,219.21,216.5,218.12,811.0,7,0.0
2024-05-23,216.89,216.89,215.0,215.42,466.0,6,0.0
2024-05-24,215.31,215.39,213.04,214.94,552.0,5,0.0
2024-05-28,214.49,214.75,210.32,210.9,624.0,6,0.0
2024-05-29,208.51,209.29,206.88,207.29,691.0,7,0.0
2024-05-30,206.19,207.7,204.3,204.84,862.0,5,0.0
2024-05-31,205.47,208.81,204.46,208.53,854.0,4,0.0
2024-06-03,208.21,208.35,203.4,205.89,567.0,13,0.0
2024-06-04,204.55,207.48,204.55,205.59,537.0,9,0.0
2024-06-05,205.15,207.85,203.46,206.92,465.0,5,0.0
2024-06-06,205.85,206.47,203.19,203.58,616.0,6,0.0
2024-06-07,201.89,204.78,200.83,201.53,581.0,8,0.0
2024-06-10,201.01,203.65,201.01,202.45,511.0,5,0.0
2024-06-11,200.84,203.66,200.2,203.12,496.0,5,0.0
2024-06-12,204.26,207.04,204.0,205.34,685.0,2,0.0
2024-06-13,204.0,204.54,201.0,202.17,508.0,2,0.0
2024-06-14,199.51,199.59,193.62,197.94,583.0,5,0.0
2024-06-17,196.66,200.19,196.66,200.1,454.0,10,0.0
2024-06-18,200.29,202.25,197.51,201.88,499.0,3,0.0
2024-06-20,200.66,204.68,200.66,202.6,752.0,6,0.0
2024-06-21,202.37,202.92,200.0,202.36,685.0,5,0.0
2024-06-24,202.03,206.24,202.03,204.18,711.0,7,0.0
2024-06-25,202.0,202.0,198.57,199.68,582.0,5,0.0
2024-06-26,197.71,200.5,197.71,199.07,654.0,6,0.0
