time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,80.02,80.19,78.29,78.93,12145,0,0
2024-01-03,77.84,78.31,77.47,77.59,11063,1,0
2024-01-04,77.4,77.99,77.21,77.38,9783,1,0
2024-01-05,77.37,77.98,77.1,77.38,4289,1,0
2024-01-08,77.73,79.46,77.73,79.44,7230,1,0
2024-01-09,78.7,80.11,78.7,79.78,8933,1,0
2024-01-10,80.24,81.04,79.79,80.84,12582,1,0
2024-01-11,81.45,81.83,80.26,81.51,11573,2,0
2024-01-12,81.77,82.07,81.28,81.76,13592,1,0
2024-01-16,81.5,82.06,81.04,81.67,17387,1,0
2024-01-17,81.26,81.42,80.0,81.4,15076,1,0
2024-01-18,82.03,82.25,81.27,82.2,11067,2,0
2024-01-19,82.45,83.64,82.22,83.59,4993,1,0
2024-01-22,84.75,85.02,84.23,84.48,9775,0,0
2024-01-23,84.4,84.63,83.87,84.59,7476,1,0
2024-01-24,85.3,85.74,84.53,84.57,8049,0,0
2024-01-25,85.23,85.41,84.24,84.79,7772,0,0
2024-01-26,84.59,85.29,84.34,84.62,7489,1,0
2024-01-29,84.86,86.31,84.86,86.31,5952,0,0
2024-01-30,86.15,86.28,85.65,86.03,6089,1,0
2024-01-31,84.88,85.42,84.0,84.17,11893,1,0
2024-02-01,84.51,85.38,84.16,85.16,9780,1,0
2024-02-02,84.92,86.07,84.6,85.88,12147,1,0
2024-02-05,85.59,85.89,84.4,85.41,11883,1,0
2024-02-06,85.6,85.76,84.21,85.18,16949,1,0
2024-02-07,85.63,86.81,85.46,86.55,11303,1,0
2024-02-08,86.53,87.53,86.53,87.39,8048,1,0
2024-02-09,88.0,88.8,87.77,88.44,9144,1,0
2024-02-12,88.06,88.35,87.19,87.42,14135,1,0
2024-02-13,84.67,86.21,84.66,85.49,6470,1,0
2024-02-14,86.55,87.28,86.04,87.24,14466,1,0
2024-02-15,87.48,87.53,86.52,87.05,11706,1,0
2024-02-16,86.8,86.8,85.48,85.55,13794,1,0
2024-02-20,85.03,85.07,83.4,84.45,18769,1,0
2024-02-21,81.78,82.14,81.2,82.12,11724,1,0
2024-02-22,84.32,84.65,83.8,84.25,9806,1,0
2024-02-23,84.89,85.09,84.15,84.73,11874,1,0
2024-02-26,84.98,86.2,84.8,85.47,9981,1,0
2024-02-27,85.56,85.81,84.87,85.56,8469,1,0
2024-02-28,85.0,85.61,84.72,85.36,9842,1,0
2024-02-29,85.82,86.28,85.2,86.21,6783,1,0
2024-03-01,86.12,86.93,85.46,86.9,9452,0,0
2024-03-04,86.59,86.87,86.31,86.56,9167,1,0
2024-03-05,85.41,85.44,82.65,83.25,14886,0,0
2024-03-06,84.72,84.87,83.6,84.34,13107,1,0
2024-03-07,84.87,85.64,84.2,85.43,4602,2,0
2024-03-08,85.61,86.3,84.64,84.98,6653,2,0
2024-03-11,84.37,85.48,84.27,85.1,6789,2,0
2024-03-12,86.26,87.16,85.53,86.97,10157,0,0
2024-03-13,86.75,87.08,86.26,86.43,10742,2,0
2024-03-14,86.54,86.83,85.38,85.88,14068,0,0
2024-03-15,84.36,84.43,83.25,83.53,10230,2,0
2024-03-18,84.24,84.88,84.04,84.46,10875,2,0
2024-03-19,83.91,85.15,83.63,85.1,9024,2,0
2024-03-20,85.32,86.14,84.91,85.99,11699,2,0
2024-03-21,86.64,87.29,86.47,86.58,11684,2,0
2024-03-22,86.53,86.53,85.62,86.02,8699,2,0
2024-03-25,85.36,85.97,85.15,85.66,10355,2,0
2024-03-26,86.0,86.34,85.72,85.85,7817,2,0
2024-03-27,86.58,86.61,84.93,85.39,10772,2,0
2024-03-28,85.35,85.89,85.21,85.38,7691,2,0
2024-04-01,85.26,85.71,84.53,85.02,9292,2,0
2024-04-02,83.53,84.18,83.16,84.14,9084,2,0
2024-04-03,83.92,84.86,83.78,84.27,9405,2,0
2024-04-04,85.36,85.75,83.2,83.21,13361,2,0
2024-04-05,83.49,84.77,83.37,84.2,18538,2,0
2024-04-08,84.39,84.64,83.69,84.43,6726,2,0
2024-04-09,84.85,84.97,83.86,84.64,10831,0,0
2024-04-10,83.54,83.86,83.22,83.67,14950,0,0
2024-04-11,83.77,84.43,83.19,84.2,9818,2,0
2024-04-12,83.25,83.41,82.43,82.7,13508,2,0
2024-04-15,82.8,82.97,80.26,80.46,15086,2,0
2024-04-16,80.38,81.26,80.1,80.68,11370,2,0
2024-04-17,80.94,81.18,80.0,80.11,13633,2,0
2024-04-18,80.04,80.47,79.3,79.43,13314,0,0
2024-04-19,79.2,79.72,78.22,78.55,17295,2,0
2024-04-22,79.27,79.75,78.38,79.32,9914,2,0
2024-04-23,79.86,81.11,79.64,80.81,8911,2,0
2024-04-24,80.97,81.53,80.35,80.95,10771,2,0
2024-04-25,79.27,80.4,78.97,80.21,12420,2,0
2024-04-26,80.75,81.83,80.6,81.11,12221,2,0
2024-04-29,81.43,81.67,80.45,80.96,10151,2,0
2024-04-30,80.48,80.57,78.97,78.98,11629,2,0
2024-05-01,78.92,80.76,78.36,79.08,19747,2,0
2024-05-02,79.63,80.06,78.64,79.79,14433,2,0
2024-05-03,80.63,81.07,80.41,80.79,12091,2,0
2024-05-06,81.21,82.0,81.14,81.99,7791,2,0
2024-05-07,81.57,82.02,81.04,81.58,9042,2,0
2024-05-08,81.3,81.51,81.0,81.28,8061,2,0
2024-05-09,81.1,81.46,80.84,81.13,8696,2,0
2024-05-10,81.59,82.07,81.31,81.46,8386,2,0
2024-05-13,81.83,81.86,81.31,81.46,6156,2,0
2024-05-14,81.28,82.1,81.26,82.04,7211,2,0
2024-05-15,82.7,84.15,82.69,84.06,7692,2,0
2024-05-16,84.06,84.24,83.64,83.88,8908,2,0
2024-05-17,84.07,84.26,83.75,84.2,6285,2,0
2024-05-20,84.3,85.07,84.14,85.03,6181,2,0
2024-05-21,84.42,84.8,84.19,84.49,6017,2,0
2024-05-22,84.83,84.91,83.99,84.38,7672,2,0
2024-05-23,85.04,85.04,83.38,83.7,13585,2,0
2024-05-24,82.66,83.26,82.23,82.89,9272,2,0
2024-05-28,82.58,82.59,81.9,82.27,8217,2,0
2024-05-29,81.76,82.38,81.71,82.08,9618,0,0
2024-05-30,79.41,79.56,77.24,77.39,9136,2,0
2024-05-31,77.7,78.03,76.1,77.99,10717,2,0
2024-06-03,78.71,78.88,77.07,77.87,10467,2,0
2024-06-04,77.85,78.41,77.74,78.27,10753,2,0
2024-06-05,79.0,80.03,78.5,80.0,7684,2,0
2024-06-06,80.19,80.85,80.19,80.23,7872,2,0
2024-06-07,80.11,80.66,79.72,80.38,9407,2,0
2024-06-10,80.27,80.77,80.22,80.57,6147,2,0
2024-06-11,80.17,80.97,79.77,80.86,7052,2,0
2024-06-12,82.52,83.15,82.44,82.79,12457,2,0
2024-06-13,82.73,82.84,81.68,81.92,9553,2,0
2024-06-14,82.83,83.12,82.51,82.97,9529,2,0
2024-06-17,82.75,83.98,82.32,83.76,7332,2,0
2024-06-18,83.75,84.12,83.62,84.03,7491,2,0
2024-06-20,84.09,84.26,83.68,83.97,10169,2,0
2024-06-21,84.03,84.8,83.59,84.72,9280,2,0
2024-06-24,84.27,84.68,83.89,83.9,9213,2,0
2024-06-25,84.14,84.57,83.86,84.55,7979,2,0
2024-06-26,84.21,84.97,84.1,84.66,8241,2,0
2024-06-27,85.26,86.9,85.08,86.4,7640,2,0
2024-06-28,86.73,87.5,86.67,86.9,10374,1,0
2024-07-01,86.69,87.41,86.13,87.32,10891,2,0
2024-07-02,87.44,87.86,87.15,87.78,8044,2,0
2024-07-03,87.81,88.11,87.77,87.95,4494,2,0
2024-07-05,87.75,88.96,87.74,88.94,6970,2,0
2024-07-08,88.41,88.55,87.78,88.09,7338,2,0
2024-07-09,87.89,88.01,86.48,86.72,8182,2,0
2024-07-10,86.22,86.72,85.65,86.67,7016,2,0
2024-07-11,86.82,87.72,86.16,86.45,13610,2,0
2024-07-12,86.25,87.63,86.17,87.3,8253,2,0
2024-07-15,87.48,88.49,87.26,87.86,13240,2,0
2024-07-16,88.19,88.36,87.56,88.28,9742,2,0
2024-07-17,87.01,87.25,86.01,86.4,13498,2,0
2024-07-18,86.18,86.44,84.5,85.01,16750,2,0
2024-07-19,84.43,85.22,84.41,84.77,15966,2,0
2024-07-22,85.08,85.82,84.83,85.64,14574,2,0
2024-07-23,85.69,86.53,85.65,85.77,13768,2,0
2024-07-24,85.13,85.21,82.76,82.87,12641,2,0
2024-07-25,83.75,85.4,82.7,83.7,21221,2,0
2024-07-26,84.12,85.28,84.09,84.71,15544,2,0
2024-07-29,84.91,85.23,84.21,84.29,16588,2,0
2024-07-30,84.44,84.95,82.64,83.58,18203,2,0
2024-07-31,84.4,85.24,84.28,84.62,19797,2,0
2024-08-01,84.53,85.49,82.24,83.0,21570,2,0
2024-08-02,80.43,80.6,79.16,80.19,25600,2,0
2024-08-05,76.67,79.1,76.44,78.02,26504,2,0
2024-08-06,79.0,80.19,78.49,79.13,21430,2,0
2024-08-07,81.09,81.55,78.9,78.93,23364,2,0
2024-08-08,80.26,81.71,79.61,81.38,20999,2,0
2024-08-09,81.65,82.62,81.34,82.48,18346,2,0
2024-08-12,82.5,82.69,81.58,81.85,14800,2,0
2024-08-13,82.4,83.6,82.32,83.41,10587,2,0
2024-08-14,83.81,84.26,83.11,83.96,12566,2,0
2024-08-15,84.93,85.49,84.8,85.29,9136,2,0
2024-08-16,84.91,85.71,84.91,85.5,11379,2,0
2024-08-19,85.5,86.47,85.45,86.44,7676,2,0
2024-08-20,86.78,87.08,86.43,86.69,11857,2,0
2024-08-21,86.42,87.26,86.4,87.2,10693,2,0
2024-08-22,87.37,87.72,85.76,85.8,15368,2,0
2024-08-23,86.48,86.74,85.44,86.4,14780,2,0
2024-08-26,86.42,86.72,85.9,86.01,11170,2,0
2024-08-27,85.61,86.46,85.51,86.33,9053,2,0
2024-08-28,86.23,86.27,84.77,85.26,14560,2,0
2024-08-29,86.74,87.58,86.18,86.28,21368,2,0
2024-08-30,86.68,86.98,85.9,86.81,15844,2,0
2024-09-03,86.5,87.14,84.45,84.85,19789,2,0
2024-09-04,83.9,85.15,83.8,84.76,21343,2,0
2024-09-05,84.11,84.88,83.69,84.24,19894,0,0
2024-09-06,85.02,85.11,82.82,83.31,26329,2,0
2024-09-09,84.06,84.89,83.83,84.4,17912,2,0
2024-09-10,85.6,85.81,84.67,85.71,19691,2,0
2024-09-11,85.31,86.79,84.18,86.74,26130,2,0
2024-09-12,86.8,87.75,86.65,87.48,22600,0,0
2024-09-13,87.42,87.71,86.89,87.43,20648,2,0
2024-09-16,87.58,88.34,87.52,88.08,16315,2,0
2024-09-17,88.45,88.62,87.32,87.6,19056,2,0
2024-09-18,87.41,88.03,86.63,86.88,25523,2,0
2024-09-19,88.86,89.57,88.49,89.12,18448,0,0
2024-09-20,89.16,89.31,88.32,89.19,16238,2,0
2024-09-23,89.22,89.52,89.0,89.2,14780,2,0
2024-09-24,89.21,89.39,88.44,89.27,15803,2,0
2024-09-25,89.01,89.45,88.71,88.84,15392,2,0
2024-09-26,89.55,89.65,88.54,89.3,17216,2,0
2024-09-27,89.36,89.5,88.88,89.25,15735,2,0
2024-09-30,89.04,89.45,88.46,89.39,17321,2,0
2024-10-01,89.21,89.23,87.21,87.47,23658,2,0
2024-10-02,87.52,88.59,87.29,88.26,15454,2,0
2024-10-03,87.85,88.63,87.8,88.31,19271,2,0
2024-10-04,89.11,89.88,88.68,89.88,17603,2,0
2024-10-07,89.52,89.81,88.49,88.67,16414,2,0
2024-10-08,89.29,90.69,89.22,90.64,14284,2,0
2024-10-09,90.58,91.88,90.58,91.81,12342,2,0
2024-10-10,91.44,92.41,91.22,92.37,13912,2,0
2024-10-11,92.49,92.98,92.41,92.79,10398,2,0
2024-10-14,93.26,93.69,92.82,93.28,10340,2,0
2024-10-15,93.28,93.55,92.22,92.36,18455,2,0
2024-10-16,92.12,92.24,91.11,92.0,13077,2,0
2024-10-17,92.66,92.77,91.73,92.06,18911,2,0
2024-10-18,92.07,92.67,91.97,92.31,10697,2,0
2024-10-21,92.08,92.67,91.56,92.22,11601,2,0
2024-10-22,91.86,92.38,91.71,92.17,10930,2,0
2024-10-23,91.64,91.8,90.3,90.74,10739,2,0
2024-10-24,91.37,92.27,91.35,91.82,12884,2,0
2024-10-25,92.48,93.28,91.88,92.11,14488,2,0
2024-10-28,92.64,92.82,92.27,92.34,10673,2,0
2024-10-29,92.58,94.04,92.34,93.86,14153,2,0
2024-10-30,93.91,94.54,93.5,93.57,17071,0,0
2024-10-31,92.7,92.76,91.26,91.41,20449,2,0
2024-11-01,91.55,92.92,91.43,92.2,22002,2,0
2024-11-04,91.84,92.64,91.51,92.23,17825,2,0
2024-11-05,93.22,94.04,93.11,93.85,15783,2,0
2024-11-06,96.41,97.73,96.19,97.6,20046,2,0
2024-11-07,98.58,100.33,98.55,100.1,15147,2,0
2024-11-08,100.0,101.4,99.9,101.33,15584,2,0
2024-11-11,102.29,103.67,101.97,103.52,15488,2,0
2024-11-12,103.03,104.29,103.03,104.11,22939,2,0
2024-11-13,104.47,105.89,104.26,104.38,20786,2,0
2024-11-14,104.23,104.24,102.91,102.97,19262,2,0
2024-11-15,102.19,102.32,100.63,101.19,25134,2,0
2024-11-18,101.12,101.76,100.56,101.12,18812,2,0
2024-11-19,100.27,102.66,100.08,102.51,20951,2,0
2024-11-20,103.15,103.53,101.82,103.29,19273,2,0
2024-11-21,104.81,105.74,103.68,104.55,29273,2,0
2024-11-22,104.63,106.15,104.51,106.11,26593,2,0
2024-11-25,107.07,107.42,105.61,105.82,19392,2,0
2024-11-26,105.77,106.57,105.64,106.25,18624,2,0
2024-11-27,105.24,105.37,103.53,104.21,16705,2,0
2024-11-29,104.51,105.26,104.51,104.87,8208,2,0
2024-12-02,104.53,105.23,104.51,104.86,15015,2,0
2024-12-03,104.02,105.82,103.98,105.81,12897,2,0
2024-12-04,107.78,109.86,107.68,109.8,15241,2,0
2024-12-05,109.11,109.27,108.43,108.5,15470,2,0
2024-12-06,109.4,110.55,109.28,110.06,15731,2,0
2024-12-09,110.54,110.54,107.5,107.74,16648,2,0
2024-12-10,106.84,107.91,105.67,106.07,14128,2,0
2024-12-11,107.15,108.21,106.58,107.92,12686,2,0
2024-12-12,107.13,107.6,106.5,106.87,12179,2,0
2024-12-13,106.96,107.07,105.11,105.82,13683,2,0
2024-12-16,105.74,107.1,105.61,106.93,12872,2,0
2024-12-17,106.24,106.89,105.6,105.91,14896,2,0
2024-12-18,105.64,105.81,100.87,101.55,22888,2,0
2024-12-19,103.14,103.45,101.51,101.59,24436,2,0
2024-12-20,100.63,104.2,100.49,103.45,22287,2,0
2024-12-23,103.18,103.24,101.91,102.95,16759,2,0
2024-12-24,103.09,104.04,103.05,104.01,6678,2,0
2024-12-26,103.58,104.39,103.22,103.93,11523,2,0
2024-12-27,103.05,103.14,101.13,102.21,19831,1,0
2024-12-30,100.89,101.66,99.72,100.97,20173,2,0
2024-12-31,101.06,101.25,99.65,100.04,17632,2,0
2025-01-02,101.03,101.34,98.96,99.8,20465,2,0
2025-01-03,100.37,101.57,99.96,101.46,13769,2,0
2025-01-06,101.7,102.74,101.01,101.58,16714,2,0
2025-01-07,101.63,101.63,98.6,99.09,16411,2,0
2025-01-08,98.87,99.56,98.03,99.21,17437,2,0
2025-01-10,97.83,98.1,96.68,97.21,18021,2,0
2025-01-13,95.93,96.58,95.48,96.36,15398,2,0
2025-01-14,97.16,98.06,96.62,97.34,17041,2,0
2025-01-15,99.28,99.75,98.77,99.17,9489,2,0
2025-01-16,99.43,100.36,98.94,99.44,16439,2,0
2025-01-17,100.93,101.12,99.98,100.21,10376,2,0
2025-01-21,101.34,102.26,100.3,101.99,11347,2,0
2025-01-22,103.6,104.33,103.0,104.16,15183,2,0
2025-01-23,103.3,104.35,103.2,104.33,13333,2,0
2025-01-24,104.43,104.92,103.56,103.79,15266,2,0
2025-01-27,101.67,103.73,100.73,101.97,34415,2,0
2025-01-28,102.34,105.55,101.66,105.07,22699,2,0
2025-01-29,104.11,104.19,102.79,103.47,22774,2,0
2025-01-30,102.53,103.41,102.02,102.75,21220,2,0
2025-01-31,104.15,104.42,102.53,102.85,17610,2,0
2025-02-03,100.97,103.01,100.16,102.54,24915,2,0
2025-02-04,104.16,104.82,103.5,104.36,12162,2,0
2025-02-05,104.08,105.0,103.57,104.99,11922,2,0
2025-02-06,104.63,105.75,104.47,105.16,11102,2,0
2025-02-07,106.3,106.79,104.51,104.58,19539,2,0
2025-02-10,105.64,106.77,105.32,106.39,8317,2,0
2025-02-11,106.0,106.37,104.75,105.24,10026,2,0
2025-02-12,103.75,105.22,103.48,104.92,10768,2,0
2025-02-13,105.98,106.74,105.32,106.72,11854,2,0
2025-02-14,106.2,106.83,105.64,106.75,7890,2,0
2025-02-18,106.89,107.8,106.27,107.79,7956,2,0
2025-02-19,107.1,107.23,105.55,105.94,10404,2,0
2025-02-20,105.12,105.15,102.48,104.02,12564,2,0
2025-02-21,103.76,104.08,100.28,100.47,12376,2,0
2025-02-24,100.26,100.8,97.55,99.2,16200,2,0
2025-02-25,98.47,98.74,96.15,97.61,17079,2,0
2025-02-26,98.81,99.94,98.26,98.86,14095,2,0
2025-02-27,99.74,99.93,96.32,96.34,16438,2,0
2025-02-28,95.61,97.4,95.01,97.4,17209,2,0
