time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,54.97,55.6,54.95,55.26,25225,0,0
2024-01-03,54.69,54.7,53.96,53.99,27348,0,0
2024-01-04,53.92,54.24,53.86,53.91,28388,0,0
2024-01-05,53.68,54.45,53.6,54.05,30289,0,0
2024-01-08,54.06,54.76,53.84,54.76,20170,0,0
2024-01-09,54.29,54.62,54.1,54.42,22803,0,0
2024-01-10,54.41,54.65,54.14,54.56,17011,0,0
2024-01-11,54.43,54.53,53.88,54.46,31577,0,0
2024-01-12,54.89,55.07,54.23,54.42,30691,0,0
2024-01-16,54.09,54.25,53.74,54.03,32049,0,0
2024-01-17,53.33,53.85,53.26,53.69,28269,0,0
2024-01-18,53.99,54.16,53.55,54.12,26929,0,0
2024-01-19,54.15,54.72,53.86,54.62,27872,0,0
2024-01-22,54.97,55.41,54.92,55.29,26526,0,0
2024-01-23,55.6,55.69,54.87,55.08,24311,0,0
2024-01-24,55.39,55.58,54.67,54.71,26880,0,0
2024-01-25,55.17,55.36,54.72,55.05,25714,0,0
2024-01-26,55.21,55.43,54.97,55.11,24268,0,0
2024-01-29,55.07,55.61,54.9,55.61,20656,0,0
2024-01-30,55.39,55.66,55.28,55.54,21561,0,0
2024-01-31,55.35,55.62,54.44,54.53,32409,0,0
2024-02-01,54.83,55.22,54.16,55.18,32442,0,0
2024-02-02,54.62,55.44,54.46,55.21,33531,0,0
2024-02-05,54.65,54.81,54.13,54.62,25716,0,0
2024-02-06,54.48,54.92,54.44,54.83,29151,0,0
2024-02-07,55.02,55.34,54.65,55.11,29243,0,0
2024-02-08,55.11,55.65,55.05,55.6,23098,0,0
2024-02-09,55.6,56.07,55.55,56.03,19315,0,0
2024-02-12,56.28,56.77,56.13,56.56,28606,0,0
2024-02-13,55.18,55.65,54.76,55.18,30411,0,0
2024-02-14,55.71,56.08,55.32,55.97,27793,0,0
2024-02-15,56.48,57.05,56.48,56.96,19112,0,0
2024-02-16,56.68,57.03,56.46,56.48,18071,0,0
2024-02-20,55.9,56.11,55.79,56.03,19703,0,0
2024-02-21,55.85,56.19,55.76,56.15,16116,0,0
2024-02-22,56.53,57.06,56.45,56.98,6662,2,0
2024-02-23,56.98,57.24,56.81,57.09,8503,2,0
2024-02-26,56.83,57.3,56.83,57.02,2786,2,0
2024-02-27,57.26,57.29,57.06,57.25,2716,2,0
2024-02-28,56.93,57.42,56.83,57.24,2510,2,0
2024-02-29,57.67,57.87,57.29,57.77,3686,2,0
2024-03-01,57.73,58.16,57.48,58.13,4495,2,0
2024-03-04,58.64,58.83,58.46,58.52,3296,2,0
2024-03-05,58.3,58.67,58.1,58.35,4365,2,0
2024-03-06,58.8,58.95,58.5,58.73,7154,2,0
2024-03-07,59.17,59.39,59.13,59.33,5210,2,0
2024-03-08,59.66,59.86,58.84,59.0,6116,1,0
2024-03-11,58.91,58.97,58.38,58.72,5740,2,0
2024-03-12,58.85,59.16,58.56,59.04,5270,2,0
2024-03-13,59.16,59.43,59.05,59.24,4759,2,0
2024-03-14,59.21,59.28,58.11,58.5,5925,2,0
2024-03-15,58.56,58.79,58.41,58.46,5750,2,0
2024-03-18,58.6,58.73,58.33,58.33,4427,2,0
2024-03-19,58.33,58.86,58.29,58.8,4061,2,0
2024-03-20,58.68,59.73,58.66,59.58,6672,2,0
2024-03-21,59.77,60.22,59.75,60.1,4134,2,0
2024-03-22,60.12,60.16,59.57,59.62,3138,2,0
2024-03-25,59.9,59.97,59.64,59.65,2635,2,0
2024-03-26,59.84,59.95,59.53,59.53,2847,2,0
2024-03-27,59.97,60.54,59.9,60.54,3468,1,0
2024-03-28,60.69,61.01,60.63,60.83,3282,2,0
2024-04-01,60.7,60.7,60.31,60.39,4342,2,0
2024-04-02,59.8,59.8,59.34,59.59,3548,2,0
2024-04-03,59.53,59.92,59.47,59.81,4243,0,0
2024-04-04,60.36,60.4,59.03,59.16,6037,2,0
2024-04-05,59.26,59.83,59.18,59.66,5446,2,0
2024-04-08,59.96,60.1,59.72,59.92,4119,2,0
2024-04-09,60.17,60.24,59.51,59.95,4753,2,0
2024-04-10,58.65,59.27,58.56,58.84,8691,2,0
2024-04-11,58.96,59.0,58.41,58.84,4663,2,0
2024-04-12,58.54,58.66,57.7,57.87,5012,2,0
2024-04-15,58.39,58.54,57.08,57.3,6209,2,0
2024-04-16,57.04,57.29,56.61,56.98,8289,2,0
2024-04-17,57.22,57.34,56.5,56.58,7274,1,0
2024-04-18,56.75,57.04,56.24,56.4,6245,2,0
2024-04-19,56.44,56.82,56.26,56.63,6941,2,0
2024-04-22,56.86,57.5,56.54,57.15,4532,2,0
2024-04-23,57.28,58.07,57.22,57.84,4256,2,0
2024-04-24,57.66,58.14,57.5,57.94,5286,2,0
2024-04-25,57.51,57.79,56.98,57.67,5435,2,0
2024-04-26,57.6,58.06,57.58,57.83,3549,2,0
2024-04-29,58.12,58.28,57.91,58.15,3507,2,0
2024-04-30,57.77,57.98,57.14,57.15,4452,2,0
2024-05-01,57.2,58.13,56.93,57.19,9968,2,0
2024-05-02,57.61,58.02,57.08,57.89,4536,2,0
2024-05-03,58.87,59.04,58.3,58.49,5180,0,0
2024-05-06,59.17,59.33,58.95,59.29,2620,2,0
2024-05-07,59.43,59.77,59.42,59.48,2888,2,0
2024-05-08,59.17,59.32,59.04,59.29,2389,2,0
2024-05-09,59.31,59.87,59.21,59.84,2079,2,0
2024-05-10,60.05,60.08,59.67,59.83,2536,2,0
2024-05-13,60.19,60.31,59.74,59.75,2193,2,0
2024-05-14,60.5,60.51,60.04,60.36,2844,2,0
2024-05-15,60.81,60.88,60.45,60.78,2694,2,0
2024-05-16,60.78,60.79,60.26,60.28,2370,2,0
2024-05-17,60.22,60.31,60.08,60.27,1816,2,0
2024-05-20,60.38,60.55,60.2,60.33,1635,2,0
2024-05-21,60.21,60.29,60.09,60.26,1881,2,0
2024-05-22,60.11,60.27,59.57,59.74,3048,2,0
2024-05-23,59.9,59.93,58.89,59.0,5161,2,0
2024-05-24,59.36,59.55,59.18,59.49,2683,2,0
2024-05-28,59.68,59.69,58.96,59.11,3449,2,0
2024-05-29,58.53,58.61,58.29,58.39,3089,2,0
2024-05-30,58.71,59.09,58.59,58.94,2860,2,0
2024-05-31,59.06,59.66,58.8,59.64,4321,2,0
2024-06-03,59.97,59.98,58.8,59.15,5461,2,0
2024-06-04,58.89,59.0,58.35,58.41,4735,2,0
2024-06-05,58.64,59.07,58.26,59.03,3582,2,0
2024-06-06,58.95,59.09,58.61,58.85,3125,2,0
2024-06-07,58.4,58.8,58.26,58.44,4056,2,0
2024-06-10,57.9,58.62,57.86,58.52,2799,2,0
2024-06-11,57.84,58.21,57.58,58.14,2867,2,0
2024-06-12,59.17,59.59,58.71,58.93,7467,2,0
2024-06-13,58.75,58.82,58.18,58.59,2529,2,0
2024-06-14,57.98,58.07,57.45,57.79,2459,2,0
2024-06-17,57.69,58.37,57.59,58.32,2772,2,0
2024-06-18,58.33,58.63,58.24,58.49,2643,2,0
2024-06-20,58.32,58.67,58.17,58.32,3820,2,0
2024-06-21,58.37,58.54,57.98,58.52,3579,2,0
2024-06-24,58.68,59.26,58.55,58.92,3636,2,0
2024-06-25,58.53,58.68,58.11,58.34,3410,2,0
2024-06-26,57.97,58.27,57.93,58.16,2787,2,0
2024-06-27,58.04,58.36,58.04,58.33,3103,2,0
2024-06-28,58.66,58.95,58.16,58.49,4293,2,0
2024-07-01,58.67,58.79,57.89,57.96,4499,2,0
2024-07-02,57.89,58.19,57.87,58.18,4065,2,0
2024-07-03,58.27,58.59,58.15,58.34,2630,2,0
2024-07-05,58.08,58.28,57.69,57.9,3277,2,0
2024-07-08,58.28,58.52,57.97,58.08,2692,2,0
2024-07-09,57.84,58.14,57.69,57.71,3259,2,0
2024-07-10,57.99,58.43,57.88,58.41,3318,2,0
2024-07-11,59.14,59.93,59.06,59.87,6415,2,0
2024-07-12,60.21,60.72,60.11,60.39,3947,2,0
2024-07-15,60.51,61.19,60.42,60.71,4926,2,0
2024-07-16,61.11,62.31,61.01,62.29,5233,2,0
2024-07-17,61.79,62.4,61.39,61.4,8208,1,0
2024-07-18,61.37,62.07,60.52,60.7,8127,2,0
2024-07-19,60.46,60.65,60.06,60.22,6674,2,0
2024-07-22,60.51,61.05,59.98,61.0,6869,2,0
2024-07-23,60.8,61.33,60.73,61.11,5820,2,0
2024-07-24,60.96,61.23,59.9,59.94,8091,2,0
2024-07-25,59.98,61.35,59.94,60.48,10340,2,0
2024-07-26,60.89,61.6,60.89,61.44,9066,2,0
2024-07-29,61.55,61.79,61.17,61.33,7620,2,0
2024-07-30,61.6,61.88,61.24,61.6,7011,2,0
2024-07-31,61.96,62.85,61.57,61.96,11150,2,0
