time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,49.25,49.37,47.45,47.79,8287,1,0
2024-01-03,47.02,47.8,46.83,47.03,7999,1,0
2024-01-04,45.44,47.15,45.4,46.85,9584,1,0
2024-01-05,46.92,47.82,46.63,46.86,7779,1,0
2024-01-08,46.98,48.74,46.98,48.43,6262,1,0
2024-01-09,48.31,48.55,47.79,48.03,5876,1,0
2024-01-10,48.08,48.09,46.93,47.47,6394,1,0
2024-01-11,47.68,47.83,46.72,47.66,8894,1,0
2024-01-12,47.33,47.59,46.61,47.11,8076,1,0
2024-01-16,46.85,47.21,46.38,47.06,8294,1,0
2024-01-17,46.04,46.21,45.65,46.08,6576,1,0
2024-01-18,46.99,47.56,46.17,46.77,8483,1,0
2024-01-19,46.79,48.75,46.44,48.12,7792,1,0
2024-01-22,48.95,49.16,47.64,48.24,8038,1,0
2024-01-23,47.88,48.92,47.32,48.88,6540,1,0
2024-01-24,48.96,49.76,48.26,49.06,9126,1,0
2024-01-25,49.71,50.29,48.97,49.56,10732,1,0
2024-01-26,44.73,44.86,43.35,43.65,8129,1,0
2024-01-29,43.78,43.92,42.81,43.81,4590,1,0
2024-01-30,43.73,43.76,42.89,42.95,4730,1,0
2024-01-31,42.59,43.78,42.35,43.12,11323,1,0
2024-02-01,43.23,43.56,42.49,43.36,6274,1,0
2024-02-02,42.98,43.04,41.6,42.63,8372,1,0
2024-02-05,42.57,43.14,42.42,42.8,6824,1,0
2024-02-06,42.64,42.75,42.14,42.73,5774,1,0
2024-02-07,42.78,43.09,42.55,42.77,5752,1,0
2024-02-08,42.87,42.88,42.33,42.49,4734,1,0
2024-02-09,42.47,43.51,42.39,43.29,5753,1,0
2024-02-12,43.72,45.01,43.68,44.03,6297,1,0
2024-02-13,43.2,43.61,42.76,43.15,7982,1,0
2024-02-14,43.95,44.28,43.39,44.19,6443,1,0
2024-02-15,44.94,45.26,44.06,44.06,6151,1,0
2024-02-16,43.9,44.21,43.11,43.52,6565,1,0
2024-02-20,44.76,45.16,43.42,44.51,6607,1,0
2024-02-21,44.12,44.62,43.07,43.42,9826,1,0
2024-02-22,44.1,44.1,42.53,42.96,8076,1,0
2024-02-23,43.13,43.5,42.66,43.05,4775,1,0
2024-02-26,43.31,43.67,42.82,42.97,4531,1,0
2024-02-27,43.13,43.21,42.51,42.74,4117,1,0
2024-02-28,42.09,42.39,41.92,42.01,3603,1,0
2024-02-29,42.54,43.14,42.5,43.08,5475,1,0
2024-03-01,43.49,44.26,43.13,43.82,4911,1,0
2024-03-04,44.12,46.6,43.84,45.65,8614,1,0
2024-03-05,44.64,44.64,42.69,43.19,8526,1,0
2024-03-06,43.81,45.49,43.55,44.5,12531,1,0
2024-03-07,46.0,46.41,45.18,46.18,8485,1,0
2024-03-08,46.35,46.51,44.01,44.06,11613,1,0
2024-03-11,43.93,44.92,43.81,44.81,9458,1,0
2024-03-12,45.18,45.25,44.45,45.25,6849,1,0
2024-03-13,44.75,44.97,43.2,43.23,6792,1,0
2024-03-14,42.98,43.21,42.5,42.75,7497,0,0
2024-03-15,42.37,43.14,42.34,42.65,7326,1,0
2024-03-18,43.34,43.34,42.59,42.69,5521,1,0
2024-03-19,42.01,42.28,41.44,42.03,6162,1,0
