time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,227.34,232.5,227.31,230.43,1288.0,4,0.0
2024-01-03,228.5,228.5,219.72,219.72,1738.0,3,0.0
2024-01-04,216.85,221.32,216.85,220.18,1401.0,3,0.0
2024-01-05,216.85,221.68,216.0,220.56,1251.0,4,0.0
2024-01-08,218.46,224.32,217.0,224.18,1301.0,4,0.0
2024-01-09,221.11,227.71,220.0,221.55,1160.0,4,0.0
2024-01-10,220.0,220.0,213.01,216.28,1620.0,3,0.0
2024-01-11,214.0,214.16,208.22,213.64,1637.0,2,0.0
2024-01-12,213.19,215.45,211.22,213.27,1276.0,2,0.0
2024-01-16,211.06,212.73,208.0,212.46,1308.0,4,0.0
2024-01-17,208.95,211.03,208.46,210.31,983.0,2,0.0
2024-01-18,208.5,213.62,208.0,212.9,1762.0,4,0.0
2024-01-19,211.51,215.51,209.82,214.87,1456.0,3,0.0
2024-01-22,215.43,218.96,215.43,217.57,900.0,2,0.0
2024-01-23,216.91,216.92,211.51,213.52,1092.0,4,0.0
2024-01-24,213.95,216.86,212.41,212.49,1241.0,3,0.0
2024-01-25,213.15,215.4,211.85,215.33,1320.0,2,0.0
2024-01-26,217.58,219.13,214.84,215.64,1197.0,3,0.0
2024-01-29,215.0,218.13,213.54,217.56,1166.0,3,0.0
2024-01-30,216.77,220.27,215.38,216.7,1302.0,3,0.0
2024-01-31,214.19,214.19,207.36,208.06,1676.0,4,0.0
2024-02-01,207.34,211.29,205.0,210.79,1398.0,4,0.0
2024-02-02,209.13,211.95,207.62,210.52,1393.0,4,0.0
2024-02-05,207.87,212.27,207.1,211.02,1131.0,3,0.0
2024-02-06,208.7,215.54,208.4,215.39,1511.0,2,0.0
2024-02-07,214.44,215.79,211.82,213.88,1582.0,3,0.0
2024-02-08,211.63,216.78,211.08,216.44,1283.0,2,0.0
2024-02-09,215.47,221.68,214.93,217.59,1658.0,3,0.0
2024-02-12,217.0,219.87,217.0,217.61,1861.0,3,0.0
2024-02-13,215.15,217.06,212.56,215.34,2693.0,2,0.0
