time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,104.52,104.85,104.07,104.53,7214,2,0
2024-01-03,103.93,104.05,103.33,103.43,7397,2,0
2024-01-04,103.28,103.95,103.1,103.16,6582,2,0
2024-01-05,103.11,103.88,103.0,103.3,8887,2,0
2024-01-08,103.36,104.82,103.34,104.8,5001,2,0
2024-01-09,104.1,104.86,104.01,104.58,6221,2,0
2024-01-10,104.71,105.34,104.5,105.14,4940,2,0
2024-01-11,105.27,105.43,104.11,105.09,10688,2,0
2024-01-12,105.46,105.65,104.77,105.08,9972,2,0
2024-01-16,104.76,105.0,104.2,104.59,11314,2,0
2024-01-17,103.82,104.1,103.44,104.05,8602,2,0
2024-01-18,104.46,105.01,103.97,104.93,7022,2,0
2024-01-19,105.04,106.25,104.92,106.14,6678,2,0
2024-01-22,106.63,107.01,106.4,106.64,9695,2,0
2024-01-23,106.86,106.9,106.41,106.85,5712,2,0
2024-01-24,107.36,107.66,106.76,106.8,8086,2,0
2024-01-25,107.16,107.51,106.82,107.33,8142,2,0
2024-01-26,107.3,107.71,107.15,107.32,8415,2,0
2024-01-29,107.37,108.31,107.31,108.29,4980,1,0
2024-01-30,108.16,108.3,107.96,108.14,5928,2,0
2024-01-31,107.56,107.81,106.3,106.44,17198,2,0
2024-02-01,106.85,107.67,106.39,107.63,9887,2,0
2024-02-02,107.62,109.04,107.54,108.73,10686,2,0
2024-02-05,108.31,108.52,107.59,108.28,7331,2,0
2024-02-06,108.41,108.59,108.1,108.5,6993,2,0
2024-02-07,109.01,109.52,108.73,109.34,5987,2,0
2024-02-08,109.34,109.68,109.28,109.57,6863,2,0
2024-02-09,109.69,110.44,109.68,110.3,4476,0,0
2024-02-12,110.42,110.99,110.27,110.4,4031,2,0
2024-02-13,108.72,109.18,107.94,108.68,10839,2,0
2024-02-14,109.45,109.88,108.85,109.86,11100,2,0
2024-02-15,110.16,110.8,109.97,110.7,7652,2,0
2024-02-16,110.54,110.92,109.92,110.12,8298,2,0
2024-02-20,109.7,109.8,108.93,109.34,7704,2,0
2024-02-21,109.02,109.47,108.64,109.44,7077,2,0
2024-02-22,110.67,111.8,110.61,111.62,6202,2,0
2024-02-23,112.04,112.13,111.5,111.81,6010,2,0
2024-02-26,111.82,111.91,111.36,111.43,4959,2,0
2024-02-27,111.58,111.76,111.24,111.73,4660,2,0
2024-02-28,111.3,111.71,111.23,111.47,4217,2,0
2024-02-29,112.03,112.29,111.33,112.24,6250,2,0
2024-03-01,112.26,113.07,112.01,113.03,6659,2,0
2024-03-04,112.89,113.32,112.83,112.88,3205,2,0
2024-03-05,112.4,112.55,111.23,111.74,9802,2,0
2024-03-06,112.55,112.85,112.01,112.37,11997,2,0
2024-03-07,113.04,113.69,112.9,113.52,6365,2,0
2024-03-08,113.76,114.29,112.63,112.86,17293,2,0
2024-03-11,112.57,112.79,112.05,112.61,9968,2,0
2024-03-12,113.05,113.85,112.47,113.77,8323,0,0
2024-03-13,113.73,113.93,113.27,113.62,7191,2,0
2024-03-14,113.72,113.8,112.48,113.07,11210,2,0
2024-03-15,112.59,112.91,112.18,112.39,8482,2,0
2024-03-18,113.4,113.59,112.94,112.94,5320,2,0
2024-03-19,112.7,113.72,112.66,113.68,5759,2,0
2024-03-20,113.62,114.91,113.55,114.77,8330,2,0
2024-03-21,115.13,115.42,114.98,115.06,6658,2,0
2024-03-22,115.04,115.06,114.61,114.82,4539,2,0
2024-03-25,114.52,114.7,114.39,114.42,3786,2,0
2024-03-26,114.75,114.84,114.16,114.18,4213,2,0
2024-03-27,114.89,115.24,114.45,115.22,6022,0,0
2024-03-28,115.25,115.61,115.24,115.49,4116,2,0
2024-04-01,115.32,115.52,114.76,115.04,5850,2,0
2024-04-02,114.05,114.17,113.65,114.13,6058,2,0
2024-04-03,113.95,114.66,113.94,114.32,8217,2,0
2024-04-04,115.21,115.34,112.87,112.93,12776,2,0
2024-04-05,113.27,114.56,113.11,114.16,15649,2,0
2024-04-08,114.38,114.54,114.06,114.2,9168,2,0
2024-04-09,114.6,114.7,113.31,114.29,13215,2,0
2024-04-10,112.78,113.61,112.65,113.27,19061,1,0
2024-04-11,113.34,114.21,112.63,113.98,12815,2,0
2024-04-12,113.21,113.42,111.88,112.18,14260,2,0
2024-04-15,113.07,113.23,110.57,110.84,16741,2,0
2024-04-16,110.75,111.2,110.25,110.55,19199,2,0
2024-04-17,111.07,111.16,109.57,109.99,17261,2,0
