time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,117.15,118.47,116.03,116.67,618.0,4,0.0
2024-01-03,115.0,115.66,113.2,113.61,829.0,2,0.0
2024-01-04,112.91,115.25,112.0,114.41,1306.0,1,0.0
2024-01-05,113.15,115.88,113.15,115.54,767.0,1,0.0
2024-01-08,115.24,116.13,114.88,115.84,499.0,3,0.0
2024-01-09,114.58,116.04,114.0,115.77,354.0,2,0.0
2024-01-10,115.35,116.55,115.05,116.29,401.0,3,0.0
2024-01-11,116.13,117.46,115.5,117.23,460.0,4,0.0
2024-01-12,117.31,117.82,116.22,117.44,336.0,5,0.0
2024-01-16,116.07,118.09,115.49,117.84,532.0,2,0.0
2024-01-17,115.14,117.63,115.14,117.36,652.0,3,0.0
2024-01-18,117.47,118.88,116.76,118.35,523.0,3,0.0
2024-01-19,117.71,119.39,117.01,118.88,457.0,2,0.0
2024-01-22,119.15,121.78,119.06,121.36,467.0,5,0.0
2024-01-23,121.25,121.34,120.2,121.09,336.0,4,0.0
2024-01-24,120.96,120.99,118.97,118.97,514.0,2,0.0
2024-01-25,119.25,120.53,119.25,119.63,451.0,2,0.0
2024-01-26,120.09,120.7,119.18,119.59,304.0,2,0.0
2024-01-29,119.2,122.16,118.03,121.97,320.0,4,0.0
2024-01-30,121.07,123.56,120.41,123.16,695.0,1,0.0
2024-01-31,121.9,123.01,120.31,120.58,806.0,1,0.0
2024-02-01,121.02,124.25,120.71,123.94,654.0,2,0.0
2024-02-02,123.0,126.7,123.0,126.3,604.0,2,0.0
2024-02-05,124.63,125.59,123.26,125.01,623.0,3,0.0
2024-02-06,124.4,125.34,123.31,124.75,1109.0,3,0.0
2024-02-07,124.93,126.9,124.9,125.75,815.0,2,0.0
2024-02-08,123.31,123.31,118.03,119.54,1114.0,1,0.0
2024-02-09,120.05,123.29,120.05,122.49,869.0,3,0.0
2024-02-12,121.47,123.65,121.0,122.78,459.0,5,0.0
2024-02-13,119.94,120.88,118.61,119.44,715.0,2,0.0
2024-02-14,119.87,123.3,119.66,122.99,558.0,2,0.0
2024-02-15,123.21,125.03,122.19,124.63,786.0,2,0.0
2024-02-16,123.9,125.24,123.19,123.53,402.0,2,0.0
2024-02-20,122.19,123.08,121.49,121.99,592.0,3,0.0
2024-02-21,121.92,123.12,121.33,122.81,329.0,8,0.0
2024-02-22,123.14,125.34,122.16,124.96,428.0,3,0.0
2024-02-23,124.66,125.9,123.69,125.76,454.0,2,0.0
2024-02-26,124.47,126.06,123.93,125.57,535.0,3,0.0
2024-02-27,125.25,125.5,123.56,124.66,545.0,2,0.0
2024-02-28,124.07,126.47,123.26,125.45,341.0,5,0.0
2024-02-29,125.61,126.94,124.68,125.84,501.0,5,0.0
2024-03-01,125.69,126.81,125.25,126.49,424.0,4,0.0
2024-03-04,126.76,129.33,126.76,127.9,611.0,3,0.0
2024-03-05,126.88,127.71,125.97,126.22,521.0,1,0.0
2024-03-06,126.33,127.7,126.33,127.08,462.0,3,0.0
2024-03-07,126.92,127.82,126.56,127.75,422.0,3,0.0
2024-03-08,127.19,128.95,126.59,127.2,589.0,5,0.0
2024-03-11,125.26,126.55,125.0,126.29,401.0,3,0.0
2024-03-12,126.0,127.36,126.0,126.98,344.0,5,0.0
2024-03-13,126.54,127.91,126.25,127.25,344.0,3,0.0
2024-03-14,127.18,127.41,125.61,126.4,544.0,5,0.0
2024-03-15,125.54,127.38,125.54,126.72,522.0,3,0.0
2024-03-18,127.01,127.61,126.14,126.38,483.0,2,0.0
2024-03-19,125.64,130.68,124.95,129.32,546.0,4,0.0
2024-03-20,128.82,131.21,128.1,131.06,590.0,3,0.0
2024-03-21,130.92,135.03,130.6,134.27,516.0,4,0.0
2024-03-22,133.94,133.94,131.9,132.98,531.0,3,0.0
2024-03-25,133.43,134.52,132.94,133.61,504.0,3,0.0
2024-03-26,133.62,138.15,133.62,136.66,546.0,2,0.0
2024-03-27,137.22,137.7,135.32,136.85,696.0,2,0.0
2024-03-28,135.77,137.33,135.16,136.02,442.0,3,0.0
2024-04-01,134.45,135.24,133.4,133.88,462.0,2,0.0
2024-04-02,132.58,132.69,130.01,130.01,578.0,2,0.0
2024-04-03,130.44,133.1,130.4,132.15,552.0,4,0.0
2024-04-04,133.54,134.65,130.89,131.25,609.0,3,0.0
2024-04-05,131.25,133.39,130.71,132.38,417.0,3,0.0
2024-04-08,132.75,133.52,132.06,132.74,347.0,5,0.0
2024-04-09,132.62,132.96,130.15,131.73,599.0,2,0.0
2024-04-10,127.41,131.17,127.41,129.67,501.0,3,0.0
