time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,258.23,261.88,257.89,260.13,1950.0,3,0.0
2024-01-03,258.0,259.33,256.35,258.41,1799.0,4,0.0
2024-01-04,258.3,261.54,258.3,259.15,1538.0,1,0.0
2024-01-05,257.13,260.41,256.82,257.63,1721.0,7,0.0
2024-01-08,256.75,257.9,254.54,256.79,1845.0,1,0.0
2024-01-09,254.2,256.76,254.0,256.46,1576.0,4,0.0
2024-01-10,253.06,255.42,252.54,253.71,1803.0,2,0.0
2024-01-11,253.24,254.24,251.44,253.84,2580.0,2,0.0
2024-01-12,254.44,255.72,252.7,253.76,2167.0,2,0.0
2024-01-16,252.38,253.84,250.2,253.6,1696.0,2,0.0
2024-01-17,251.77,253.61,250.0,250.07,1652.0,3,0.0
2024-01-18,249.56,253.48,249.56,252.77,2891.0,2,0.0
2024-01-19,252.82,255.37,250.05,254.92,2635.0,3,0.0
2024-01-22,255.52,258.35,255.52,257.35,1953.0,3,0.0
2024-01-23,257.29,260.94,256.69,260.44,2028.0,2,0.0
2024-01-24,261.64,261.66,258.34,258.7,2675.0,2,0.0
2024-01-25,259.76,262.62,259.65,262.14,2403.0,1,0.0
2024-01-26,261.82,264.06,261.13,262.04,2375.0,2,0.0
2024-01-29,261.88,263.97,261.28,263.89,2294.0,2,0.0
2024-01-30,261.57,266.32,261.26,265.64,2693.0,2,0.0
2024-01-31,266.29,266.63,260.4,260.76,3015.0,2,0.0
2024-02-01,253.0,256.15,249.0,255.07,4363.0,2,0.0
2024-02-02,254.0,256.42,252.0,255.77,4217.0,2,0.0
2024-02-05,252.95,255.12,252.13,254.08,3723.0,2,0.0
2024-02-06,252.0,255.44,250.62,255.32,3289.0,2,0.0
2024-02-07,256.66,257.41,253.04,253.88,3000.0,2,0.0
2024-02-08,253.0,254.53,251.27,254.18,2224.0,1,0.0
2024-02-09,253.56,255.55,253.08,255.2,3101.0,2,0.0
2024-02-12,254.7,257.19,254.28,256.23,3331.0,1,0.0
2024-02-13,253.71,254.51,249.48,251.44,3648.0,1,0.0
2024-02-14,253.19,253.81,251.47,253.36,3327.0,1,0.0
2024-02-15,254.43,256.85,253.29,256.76,4173.0,1,0.0
2024-02-16,256.08,256.91,252.63,253.39,3007.0,2,0.0
2024-02-20,253.68,256.61,253.01,255.46,3125.0,1,0.0
2024-02-21,254.54,257.84,253.94,257.8,2635.0,2,0.0
2024-02-22,258.05,259.33,257.05,258.52,2413.0,2,0.0
2024-02-23,259.19,260.94,258.55,260.49,3168.0,1,0.0
2024-02-26,257.85,260.42,257.85,259.53,2860.0,2,0.0
2024-02-27,259.9,261.7,258.53,261.36,2881.0,1,0.0
2024-02-28,261.66,263.65,261.53,262.15,3291.0,2,0.0
2024-02-29,261.34,262.96,261.15,262.32,2946.0,1,0.0
2024-03-01,260.84,261.29,258.21,260.03,3507.0,1,0.0
2024-03-04,255.97,260.43,255.97,258.63,3507.0,2,0.0
2024-03-05,258.32,260.79,257.1,257.99,3882.0,1,0.0
2024-03-06,258.91,261.68,258.05,260.0,3453.0,1,0.0
2024-03-07,260.83,263.23,260.36,261.44,3055.0,2,0.0
2024-03-08,262.35,262.86,260.0,261.11,2941.0,1,0.0
2024-03-11,261.0,261.74,259.36,261.34,2654.0,2,0.0
2024-03-12,262.08,263.53,260.25,263.11,2023.0,1,0.0
2024-03-13,262.88,264.11,261.34,262.13,2344.0,2,0.0
2024-03-14,264.66,266.67,262.44,264.11,2753.0,2,0.0
2024-03-15,262.93,266.92,262.89,264.95,3253.0,1,0.0
2024-03-18,268.31,268.31,264.39,264.39,2629.0,2,0.0
2024-03-19,263.34,266.57,263.34,266.18,2345.0,2,0.0
2024-03-20,264.67,268.72,263.77,268.66,2618.0,4,0.0
2024-03-21,268.31,270.5,268.0,270.08,2458.0,3,0.0
2024-03-22,270.28,270.81,268.34,268.7,2064.0,1,0.0
2024-03-25,267.65,268.93,265.45,265.82,2297.0,3,0.0
2024-03-26,265.24,266.88,265.24,265.7,2141.0,1,0.0
2024-03-27,265.49,268.22,265.12,267.94,2221.0,3,0.0
2024-03-28,269.11,269.41,267.23,268.51,2203.0,2,0.0
2024-04-01,268.21,268.44,265.25,265.54,2293.0,2,0.0
2024-04-02,265.89,266.48,263.49,263.8,2270.0,3,0.0
2024-04-03,263.82,264.89,263.0,264.03,2054.0,2,0.0
2024-04-04,266.0,267.76,261.2,261.96,2373.0,1,0.0
2024-04-05,262.02,264.08,261.78,262.57,2561.0,3,0.0
2024-04-08,263.91,264.3,261.58,262.11,2305.0,2,0.0
2024-04-09,261.85,263.27,259.68,262.28,1998.0,3,0.0
2024-04-10,258.6,261.16,257.46,259.34,2619.0,3,0.0
2024-04-11,258.16,260.57,256.85,258.0,2688.0,3,0.0
2024-04-12,255.68,256.0,251.83,252.95,2589.0,3,0.0
2024-04-15,255.43,257.22,253.17,253.54,2724.0,2,0.0
2024-04-16,253.0,254.08,250.83,250.85,2923.0,3,0.0
2024-04-17,251.25,252.22,248.83,249.57,2542.0,4,0.0
2024-04-18,249.25,250.74,248.0,248.26,2254.0,3,0.0
2024-04-19,248.24,250.85,248.24,250.19,2750.0,3,0.0
2024-04-22,250.5,252.56,249.24,249.46,3046.0,3,0.0
2024-04-23,250.61,252.22,249.92,250.23,1795.0,3,0.0
2024-04-24,249.5,251.89,249.15,251.27,2105.0,2,0.0
2024-04-25,250.0,251.35,247.01,248.06,2578.0,3,0.0
2024-04-26,247.68,249.8,247.68,248.24,1914.0,2,0.0
2024-04-29,248.81,250.66,248.47,248.69,5043.0,2,0.0
2024-04-30,248.75,248.78,242.33,244.25,2257.0,7,0.0
2024-05-01,245.18,245.74,241.71,241.71,1971.0,3,0.0
2024-05-02,242.0,242.78,239.45,241.45,2376.0,3,0.0
2024-05-03,242.18,244.3,241.01,243.75,1828.0,4,0.0
2024-05-06,245.0,245.51,243.33,244.95,1442.0,4,0.0
2024-05-07,245.19,247.93,245.19,247.12,1520.0,3,0.0
2024-05-08,246.78,247.8,244.92,247.2,1341.0,4,0.0
2024-05-09,246.18,249.5,246.18,249.31,1326.0,3,0.0
2024-05-10,249.18,250.64,248.87,250.06,1436.0,3,0.0
2024-05-13,249.98,251.84,249.43,249.98,1167.0,4,0.0
2024-05-14,251.47,251.86,249.11,249.48,1396.0,2,0.0
2024-05-15,249.45,251.13,248.36,249.07,1508.0,2,0.0
2024-05-16,247.44,250.03,246.26,250.01,1482.0,3,0.0
2024-05-17,249.31,250.41,247.98,250.24,1352.0,3,0.0
2024-05-20,249.21,251.02,248.47,250.34,1404.0,2,0.0
2024-05-21,249.07,250.44,248.22,248.72,1488.0,2,0.0
2024-05-22,247.16,249.79,247.0,248.04,1822.0,2,0.0
2024-05-23,241.59,243.48,240.01,241.45,2371.0,3,0.0
2024-05-24,241.45,241.91,238.83,239.75,1430.0,2,0.0
2024-05-28,239.21,240.79,236.77,237.0,1555.0,1,0.0
2024-05-29,235.48,236.02,234.5,234.94,1348.0,1,0.0
2024-05-30,235.32,237.62,234.72,237.19,1432.0,1,0.0
2024-05-31,237.81,243.0,236.74,242.73,1979.0,3,0.0
2024-06-03,242.8,243.05,237.65,239.5,2182.0,4,0.0
2024-06-04,238.73,242.06,238.73,240.26,1535.0,2,0.0
2024-06-05,240.87,241.67,239.1,241.22,1342.0,3,0.0
2024-06-06,240.66,241.66,239.0,240.66,1399.0,2,0.0
2024-06-07,239.27,242.06,238.5,240.32,1589.0,4,0.0
2024-06-10,239.0,239.97,238.5,238.9,1213.0,2,0.0
2024-06-11,236.52,238.15,235.45,237.97,1143.0,2,0.0
2024-06-12,239.19,242.15,237.23,239.47,1659.0,5,0.0
2024-06-13,237.65,240.71,237.0,240.15,1127.0,2,0.0
2024-06-14,237.21,237.98,232.74,235.0,1502.0,4,0.0
2024-06-17,234.37,239.52,234.37,238.8,1315.0,6,0.0
2024-06-18,239.45,241.34,238.94,240.54,1024.0,2,0.0
2024-06-20,238.42,243.78,238.42,242.99,1595.0,4,0.0
2024-06-21,242.75,242.75,239.5,240.17,1482.0,5,0.0
2024-06-24,240.4,244.05,240.4,242.43,1167.0,2,0.0
2024-06-25,240.4,240.78,237.0,237.75,1262.0,4,0.0
2024-06-26,235.21,239.26,235.0,238.8,1065.0,2,0.0
2024-06-27,238.2,239.05,235.85,237.03,1390.0,3,0.0
2024-06-28,235.94,238.32,235.25,236.41,1424.0,7,0.0
2024-07-01,237.91,238.31,232.7,233.08,1170.0,5,0.0
2024-07-02,232.7,235.64,232.7,235.37,1125.0,3,0.0
2024-07-03,235.47,237.34,235.0,236.06,747.0,10,0.0
2024-07-05,235.06,235.37,232.7,233.36,1290.0,3,0.0
2024-07-08,233.33,235.0,232.8,233.57,1490.0,2,0.0
2024-07-09,232.72,235.34,232.72,233.92,1474.0,4,0.0
2024-07-10,233.29,235.69,233.09,235.65,1716.0,2,0.0
2024-07-11,237.27,241.55,236.58,240.34,2627.0,3,0.0
2024-07-12,241.35,246.94,241.05,245.58,2044.0,3,0.0
2024-07-15,245.45,247.86,244.51,246.67,1134.0,2,0.0
2024-07-16,247.63,253.53,247.55,253.48,1463.0,3,0.0
