time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,441.58,445.01,434.24,436.92,964.0,4,0.0
2024-01-03,433.83,435.28,426.67,427.17,643.0,7,0.0
2024-01-04,425.83,430.14,424.03,426.84,683.0,12,0.0
2024-01-05,422.69,429.42,422.18,425.36,793.0,14,0.0
2024-01-08,425.37,435.58,425.37,434.94,873.0,15,0.0
2024-01-09,431.0,436.9,429.78,435.92,650.0,11,0.0
2024-01-10,434.74,441.94,434.74,441.3,755.0,10,0.0
2024-01-11,441.19,444.64,435.4,444.64,1386.0,8,0.0
2024-01-12,442.32,454.35,439.79,454.24,904.0,4,0.0
2024-01-16,450.0,456.04,450.0,452.53,721.0,8,0.0
2024-01-17,450.0,455.42,450.0,454.23,1099.0,14,0.0
2024-01-18,455.73,462.81,454.38,461.82,1034.0,5,0.0
2024-01-19,463.09,465.98,459.36,463.83,838.0,16,0.0
2024-01-22,468.98,469.02,464.88,467.95,640.0,12,0.0
2024-01-23,468.0,468.0,463.35,465.53,1164.0,11,0.0
2024-01-24,467.01,468.96,462.58,463.16,744.0,25,0.0
2024-01-25,463.48,466.63,455.58,460.18,1134.0,19,0.0
2024-01-26,460.32,463.3,455.95,460.7,507.0,24,0.0
2024-01-29,459.16,465.3,458.09,463.21,780.0,5,0.0
2024-01-30,460.56,468.03,460.56,465.09,758.0,10,0.0
2024-01-31,460.72,463.98,455.75,457.05,932.0,13,0.0
2024-02-01,455.29,466.43,454.0,466.28,920.0,9,0.0
2024-02-02,463.28,471.55,461.05,470.61,681.0,15,0.0
2024-02-05,466.25,469.82,464.0,468.99,1178.0,7,0.0
2024-02-06,430.0,463.33,430.0,459.02,1185.0,13,0.0
2024-02-07,444.01,456.7,444.01,449.49,1012.0,11,0.0
2024-02-08,449.95,455.33,448.3,454.33,973.0,6,0.0
2024-02-09,451.42,464.75,451.42,462.74,850.0,14,0.0
2024-02-12,459.2,461.39,449.0,450.2,929.0,14,0.0
2024-02-13,441.41,446.95,434.93,444.28,962.0,13,0.0
2024-02-14,449.94,450.65,445.69,449.09,960.0,13,0.0
2024-02-15,448.84,455.43,448.84,453.16,1362.0,8,0.0
2024-02-16,451.47,456.16,448.64,448.64,1247.0,14,0.0
2024-02-20,447.25,449.43,439.7,445.15,901.0,10,0.0
2024-02-21,440.75,441.47,436.36,440.81,812.0,9,0.0
2024-02-22,439.78,455.18,439.78,453.28,919.0,10,0.0
2024-02-23,450.33,461.63,450.33,460.9,691.0,10,0.0
2024-02-26,460.08,462.48,457.45,459.82,771.0,8,0.0
2024-02-27,458.3,461.05,457.45,459.91,520.0,7,0.0
2024-02-28,457.45,465.61,457.45,465.5,779.0,15,0.0
2024-02-29,465.55,466.14,457.5,464.74,702.0,21,0.0
2024-03-01,463.46,471.16,459.55,470.48,586.0,15,0.0
2024-03-04,470.02,474.29,466.19,468.38,705.0,14,0.0
2024-03-05,464.32,465.78,455.96,459.3,788.0,9,0.0
2024-03-06,462.0,469.27,458.77,468.39,735.0,21,0.0
2024-03-07,468.68,474.63,467.11,469.36,662.0,3,0.0
2024-03-08,467.0,469.85,462.36,463.81,872.0,16,0.0
2024-03-11,460.95,467.65,460.95,465.07,591.0,16,0.0
2024-03-12,465.62,476.83,462.65,475.45,699.0,15,0.0
2024-03-13,474.57,476.88,469.22,475.67,665.0,21,0.0
2024-03-14,477.79,477.82,467.12,468.6,949.0,13,0.0
2024-03-15,455.43,470.73,455.43,470.64,687.0,12,0.0
2024-03-18,471.56,476.87,470.37,474.37,921.0,6,0.0
2024-03-19,471.23,477.07,470.74,476.25,978.0,19,0.0
2024-03-20,477.83,481.38,473.15,479.49,868.0,18,0.0
2024-03-21,479.28,486.42,473.17,483.6,730.0,12,0.0
2024-03-22,480.58,484.58,475.94,480.34,845.0,13,0.0
2024-03-25,476.09,477.45,471.63,473.0,632.0,8,0.0
2024-03-26,470.83,481.91,470.83,475.88,711.0,7,0.0
2024-03-27,475.9,481.52,475.73,479.9,688.0,10,0.0
2024-03-28,480.9,484.3,475.59,476.55,877.0,18,0.0
2024-04-01,475.48,477.7,473.44,477.3,698.0,6,0.0
2024-04-02,473.13,473.79,465.09,468.86,745.0,19,0.0
2024-04-03,464.98,473.66,464.98,471.52,635.0,11,0.0
2024-04-04,471.38,476.52,462.79,463.42,798.0,9,0.0
2024-04-05,464.34,472.28,464.34,469.58,771.0,12,0.0
2024-04-08,469.84,472.7,466.55,471.77,834.0,13,0.0
2024-04-09,471.0,471.99,465.26,469.26,581.0,12,0.0
2024-04-10,462.5,467.55,462.5,465.12,676.0,16,0.0
2024-04-11,461.79,478.59,461.79,474.95,825.0,16,0.0
2024-04-12,469.32,470.65,462.28,464.84,606.0,16,0.0
2024-04-15,465.37,473.99,462.63,463.93,1680.0,5,0.0
2024-04-16,459.85,460.73,455.0,457.72,1094.0,8,0.0
2024-04-17,458.71,459.28,449.24,449.82,762.0,20,0.0
2024-04-18,448.51,451.09,442.72,449.52,1022.0,12,0.0
2024-04-19,445.64,449.38,437.25,440.15,790.0,20,0.0
2024-04-22,440.94,447.24,440.02,442.25,1267.0,10,0.0
2024-04-23,443.72,451.81,442.46,449.04,1094.0,14,0.0
2024-04-24,449.35,452.83,446.48,449.75,1092.0,9,0.0
2024-04-25,447.06,450.3,445.29,446.91,979.0,9,0.0
2024-04-26,444.0,452.5,444.0,449.02,492.0,17,0.0
