time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,164.46,166.34,164.39,165.79,17420,2,0
2024-01-03,164.96,165.3,164.04,164.35,17925,2,0
2024-01-04,164.34,165.23,164.05,164.11,16386,2,0
2024-01-05,163.91,165.38,163.7,164.55,19120,2,0
2024-01-08,164.21,165.83,163.7,165.8,15760,2,0
2024-01-09,164.65,165.15,164.37,164.76,16082,2,0
2024-01-10,164.44,165.03,164.12,164.73,15265,2,0
2024-01-11,164.54,164.54,163.11,164.19,19848,2,0
2024-01-12,164.95,165.27,163.67,164.11,16594,2,0
2024-01-16,163.34,163.47,162.45,162.89,18102,2,0
2024-01-17,161.57,162.73,161.15,161.85,17753,2,0
2024-01-18,161.78,162.52,160.96,162.39,17924,2,0
2024-01-19,162.36,164.04,161.85,163.73,17931,2,0
2024-01-22,164.06,164.94,163.97,164.4,15210,2,0
2024-01-23,164.72,164.95,164.1,164.7,13961,2,0
2024-01-24,165.12,165.5,163.98,163.99,15295,2,0
2024-01-25,164.95,165.67,164.5,165.66,16584,2,0
2024-01-26,165.71,166.23,165.3,165.77,14436,2,0
2024-01-29,165.62,166.66,165.33,166.6,9249,1,0
2024-01-30,166.43,167.33,165.96,167.12,11081,2,0
2024-01-31,166.98,167.34,165.34,165.47,14584,2,0
2024-02-01,165.68,166.87,164.66,166.87,11607,2,0
2024-02-02,166.25,167.52,165.5,166.81,16423,2,0
2024-02-05,165.57,165.89,164.63,165.32,8771,2,0
2024-02-06,165.28,166.36,165.13,166.15,15330,2,0
2024-02-07,166.76,166.97,166.01,166.58,17112,2,0
2024-02-08,166.5,166.9,166.03,166.79,12623,2,0
2024-02-09,166.56,167.02,166.12,166.89,11641,2,0
2024-02-12,167.28,168.48,166.95,167.99,11661,2,0
2024-02-13,166.38,166.72,164.32,165.47,18373,2,0
2024-02-14,166.4,166.95,165.69,166.78,17845,2,0
2024-02-15,167.59,169.3,167.59,168.97,15540,2,0
2024-02-16,168.56,169.47,167.88,168.52,14649,0,0
2024-02-20,167.94,168.9,167.94,168.25,16397,2,0
2024-02-21,168.06,169.16,167.93,169.09,15444,2,0
2024-02-22,169.48,170.82,169.19,170.49,12512,0,0
2024-02-23,170.7,171.31,170.42,171.06,10710,2,0
2024-02-26,170.49,171.38,170.02,170.22,10546,2,0
2024-02-27,170.49,170.74,170.13,170.69,9705,2,0
2024-02-28,170.16,171.28,170.03,170.76,10951,2,0
2024-02-29,171.49,171.74,170.66,171.57,8236,2,0
2024-03-01,171.27,172.23,170.51,172.18,12548,2,0
2024-03-04,172.12,173.07,172.01,172.66,7509,2,0
2024-03-05,172.28,173.33,171.5,172.15,14983,2,0
2024-03-06,173.11,173.79,172.61,173.18,14225,2,0
2024-03-07,174.13,174.45,173.71,174.1,10778,1,0
2024-03-08,174.31,175.0,173.85,174.09,17295,2,0
2024-03-11,174.02,174.62,173.3,174.57,13731,2,0
2024-03-12,174.81,175.24,174.02,175.08,8480,2,0
2024-03-13,175.17,175.89,174.77,175.33,8165,2,0
2024-03-14,175.2,175.22,172.9,173.81,11057,2,0
2024-03-15,173.52,174.36,173.33,173.72,11308,2,0
2024-03-18,174.36,174.74,173.57,174.11,7421,2,0
2024-03-19,174.0,175.15,173.93,175.08,9664,2,0
2024-03-20,174.47,176.65,174.45,176.45,6535,2,0
2024-03-21,176.33,177.48,176.3,177.04,10608,2,0
2024-03-22,177.12,177.21,175.93,176.11,9492,2,0
2024-03-25,176.11,176.55,175.72,175.76,8042,2,0
2024-03-26,176.06,176.26,175.67,175.69,8389,2,0
2024-03-27,176.73,178.41,176.73,178.35,9979,0,0
2024-03-28,178.94,179.55,178.4,179.31,9496,2,0
2024-04-01,179.18,179.18,178.05,178.32,10442,2,0
2024-04-02,177.47,177.49,176.67,177.11,10790,2,0
2024-04-03,177.05,177.71,176.75,177.26,11384,0,0
2024-04-04,178.54,178.61,175.18,175.5,16111,2,0
2024-04-05,175.63,177.22,175.39,176.77,18594,2,0
2024-04-08,177.09,177.43,176.63,176.94,11311,2,0
2024-04-09,177.42,177.72,175.83,177.13,18076,2,0
