time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,153.91,156.47,153.36,154.62,5411,2,0
2024-01-03,152.56,153.25,150.55,150.82,5811,3,0
2024-01-04,150.8,151.84,150.36,150.51,4664,2,0
2024-01-05,148.12,151.95,147.81,150.16,4444,2,0
2024-01-08,149.51,152.26,149.11,152.18,3604,2,0
2024-01-09,149.98,151.06,149.11,150.33,4395,2,0
2024-01-10,150.15,150.86,149.1,150.59,3156,2,0
2024-01-11,149.69,150.04,147.48,149.48,19665,2,0
2024-01-12,151.24,152.13,148.49,149.21,11646,2,0
2024-01-16,148.13,148.23,146.4,146.83,12600,2,0
2024-01-17,144.31,146.43,144.0,145.71,14664,2,0
2024-01-18,146.7,146.81,144.88,146.61,13797,2,0
2024-01-19,146.38,148.45,145.44,148.22,18787,2,0
2024-01-22,149.35,151.51,149.15,151.41,15167,2,0
2024-01-23,152.54,152.92,149.73,150.6,15339,2,0
2024-01-24,151.8,152.61,149.27,149.52,11087,2,0
2024-01-25,150.93,152.02,149.32,150.9,6589,3,0
2024-01-26,151.42,152.42,150.18,151.17,5599,3,0
2024-01-29,151.12,153.25,150.15,153.07,11636,0,0
2024-01-30,152.0,153.09,151.56,152.28,4454,2,0
2024-01-31,151.39,152.93,147.98,148.26,7266,2,0
2024-02-01,148.84,149.82,146.05,149.31,6575,2,0
2024-02-02,146.79,149.08,146.29,148.27,6047,3,0
2024-02-05,145.95,146.97,144.55,146.19,4243,2,0
2024-02-06,145.01,147.56,145.01,147.09,3672,2,0
2024-02-07,146.93,147.28,145.49,146.53,4272,2,0
2024-02-08,146.35,148.61,145.86,148.44,3025,2,0
2024-02-09,148.5,150.39,147.46,150.15,3047,3,0
2024-02-12,150.9,153.91,150.6,153.42,2462,2,0
2024-02-13,147.55,148.97,145.62,146.83,6122,2,0
2024-02-14,149.12,150.33,147.64,149.91,3311,2,0
2024-02-15,151.49,154.3,151.01,153.9,4418,2,0
2024-02-16,152.09,153.8,151.39,152.36,4678,2,0
2024-02-20,150.27,151.51,149.73,150.4,3877,2,0
2024-02-21,149.73,150.51,149.23,150.21,3774,2,0
2024-02-22,150.3,150.85,149.49,150.4,3614,2,0
2024-02-23,150.17,151.84,149.49,150.84,13574,2,0
2024-02-26,150.02,152.03,149.73,151.09,5028,2,0
2024-02-27,152.5,153.08,151.84,152.79,13543,2,0
2024-02-28,151.36,152.83,151.15,151.61,12378,2,0
2024-02-29,153.76,154.48,151.84,153.2,4836,2,0
2024-03-01,152.84,154.33,151.3,153.99,16840,2,0
2024-03-04,154.64,154.9,152.91,153.1,14468,2,0
