time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,249.33,253.01,248.02,249.34,10167,3,0
2024-01-03,246.29,247.42,242.03,242.57,13529,2,0
2024-01-04,242.76,244.13,241.41,242.66,10764,2,0
2024-01-05,240.87,244.03,240.01,241.62,9715,2,0
2024-01-08,241.85,247.44,240.01,247.31,7454,2,0
2024-01-09,243.88,246.5,242.95,245.44,8125,2,0
2024-01-10,244.67,245.91,242.46,245.44,7678,2,0
2024-01-11,244.55,245.46,240.75,243.75,12715,2,0
2024-01-12,246.11,247.73,242.45,243.22,9728,2,0
2024-01-16,241.33,242.58,239.9,241.02,12744,0,0
2024-01-17,236.81,239.82,236.33,239.59,9939,2,0
2024-01-18,241.35,241.56,237.56,240.59,9005,4,0
2024-01-19,240.56,243.31,238.62,242.86,12008,2,0
2024-01-22,245.3,248.41,244.9,247.97,10386,2,0
2024-01-23,250.27,250.39,246.0,247.72,12073,2,0
2024-01-24,250.02,250.59,245.18,245.42,10131,2,0
2024-01-25,248.41,249.42,245.24,246.89,16482,2,0
2024-01-26,247.65,249.3,246.37,246.94,7907,2,0
2024-01-29,246.74,252.06,245.81,252.06,7641,2,0
2024-01-30,250.44,251.09,248.43,249.64,10119,2,0
2024-01-31,248.44,251.25,243.88,244.45,13114,3,0
2024-02-01,246.08,248.96,243.58,248.71,12183,2,0
2024-02-02,244.85,249.09,244.53,248.09,16826,3,0
2024-02-05,245.32,246.58,242.21,245.45,10565,2,0
2024-02-06,243.84,247.78,243.55,247.57,13805,2,0
2024-02-07,247.99,248.89,245.68,247.74,12914,2,0
2024-02-08,247.75,252.18,246.81,251.75,7942,2,0
2024-02-09,253.21,257.26,252.86,256.91,10728,2,0
2024-02-12,258.93,261.99,258.1,261.03,14506,2,0
2024-02-13,252.21,254.8,248.9,250.6,12512,0,0
2024-02-14,254.86,257.96,253.28,257.56,11057,4,0
2024-02-15,260.57,263.99,259.19,263.35,14047,2,0
2024-02-16,260.85,262.23,259.0,259.33,12993,0,0
2024-02-20,255.98,256.63,253.52,255.01,12085,2,0
2024-02-21,252.98,254.08,251.09,252.91,9385,2,0
2024-02-22,255.33,258.09,254.29,257.24,9808,2,0
2024-02-23,257.0,259.07,255.36,257.88,12254,2,0
2024-02-26,257.1,260.92,256.81,260.52,7698,2,0
2024-02-27,264.01,264.99,261.85,264.63,8397,2,0
2024-02-28,262.3,264.41,261.67,262.54,7739,2,0
2024-02-29,266.43,267.16,262.06,264.26,12203,2,0
2024-03-01,265.04,268.13,263.27,267.52,8406,2,0
2024-03-04,270.13,270.92,268.19,268.62,6632,2,0
2024-03-05,266.2,267.53,263.07,264.22,10236,2,0
2024-03-06,267.37,268.45,265.01,266.72,11215,2,0
2024-03-07,268.36,270.1,267.78,269.18,10756,2,0
2024-03-08,271.66,273.76,267.01,268.47,10162,2,0
2024-03-11,267.78,268.14,265.01,265.59,8460,2,0
2024-03-12,265.62,267.15,263.41,266.33,6036,2,0
