time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,115.32,116.62,115.21,116.05,3917,2,0
2024-01-03,114.8,114.99,113.92,114.08,9033,2,0
2024-01-04,113.62,114.69,113.62,113.91,7915,2,0
2024-01-05,113.27,115.01,113.26,114.34,6077,2,0
2024-01-08,114.09,115.66,113.91,115.64,4265,2,0
2024-01-09,114.54,115.27,114.3,114.86,4175,2,0
2024-01-10,114.59,115.33,114.31,115.05,4059,2,0
2024-01-11,114.64,114.92,113.67,114.6,6233,2,0
2024-01-12,115.05,115.47,114.03,114.35,5218,2,0
2024-01-16,113.53,113.84,112.99,113.46,9690,2,0
2024-01-17,112.1,113.17,111.89,112.47,3497,3,0
2024-01-18,112.56,113.04,111.88,112.96,4393,2,0
2024-01-19,112.85,114.08,112.4,113.85,4382,2,0
2024-01-22,114.23,115.28,114.2,114.83,7193,2,0
2024-01-23,115.06,115.44,114.25,114.63,4618,2,0
2024-01-24,115.01,115.45,113.77,113.81,6578,2,0
2024-01-25,114.61,115.1,114.16,114.99,7225,2,0
2024-01-26,114.95,115.59,114.88,115.09,3464,2,0
2024-01-29,114.9,115.98,114.69,115.92,5328,2,0
2024-01-30,115.51,116.18,115.28,115.87,5437,2,0
2024-01-31,115.5,116.09,114.11,114.27,14027,2,0
2024-02-01,114.67,115.54,113.51,115.53,10450,2,0
2024-02-02,114.53,115.95,114.09,115.46,10365,2,0
2024-02-05,114.23,114.64,113.49,114.18,7026,2,0
2024-02-06,113.9,114.97,113.8,114.86,7112,2,0
2024-02-07,115.23,115.68,114.44,115.25,6466,2,0
2024-02-08,115.2,115.83,115.03,115.72,5643,2,0
2024-02-09,115.45,116.14,115.27,116.02,5188,2,0
2024-02-12,116.42,117.45,116.09,117.02,3753,2,0
2024-02-13,114.72,115.13,113.78,114.64,8779,2,0
2024-02-14,115.48,116.31,115.1,116.1,6429,2,0
2024-02-15,116.83,117.89,116.83,117.74,3647,2,0
2024-02-16,117.2,117.94,116.95,117.09,4563,2,0
2024-02-20,116.13,116.85,116.1,116.62,4492,2,0
2024-02-21,116.11,117.06,116.02,117.03,5638,2,0
2024-02-22,117.31,118.37,117.2,118.14,4210,2,0
2024-02-23,118.21,118.76,118.07,118.54,4514,2,0
2024-02-26,117.89,118.87,117.88,118.18,3980,2,0
2024-02-27,118.49,118.83,118.36,118.81,3664,2,0
2024-02-28,118.24,119.27,118.13,118.82,4053,2,0
2024-02-29,119.5,119.83,118.85,119.76,8374,2,0
2024-03-01,119.47,120.41,118.84,120.37,7599,2,0
2024-03-04,120.63,121.15,120.42,120.77,5769,2,0
2024-03-05,120.3,121.09,119.71,120.16,5711,2,0
2024-03-06,120.87,121.31,120.47,120.95,12331,2,0
2024-03-07,121.62,122.1,121.49,121.96,8137,2,0
2024-03-08,122.38,122.86,121.46,121.74,13763,2,0
2024-03-11,121.63,121.85,120.91,121.72,9036,2,0
2024-03-12,121.79,122.19,121.19,122.0,9106,2,0
2024-03-13,122.14,122.62,121.78,122.09,7177,2,0
2024-03-14,121.91,121.97,119.95,120.68,10568,2,0
2024-03-15,120.74,121.32,120.41,120.79,9608,2,0
2024-03-18,121.09,121.42,120.56,120.9,6132,2,0
2024-03-19,120.78,121.75,120.67,121.71,7141,2,0
2024-03-20,121.38,123.28,121.35,123.02,5356,2,0
2024-03-21,123.14,124.19,123.14,123.9,7572,2,0
2024-03-22,123.89,124.04,122.88,123.02,6022,2,0
2024-03-25,123.11,123.42,122.86,122.86,2405,2,0
2024-03-26,123.07,123.42,122.74,122.74,2830,2,0
2024-03-27,123.55,124.76,123.54,124.76,3206,2,0
2024-03-28,124.96,125.63,124.96,125.51,3276,2,0
2024-04-01,125.15,125.24,124.35,124.47,3988,2,0
2024-04-02,123.54,123.54,122.91,123.24,3696,2,0
2024-04-03,123.06,123.94,123.0,123.76,3935,1,0
2024-04-04,124.89,124.95,122.18,122.46,5143,2,0
2024-04-05,122.31,123.69,122.31,123.42,5219,2,0
2024-04-08,123.89,124.34,123.53,123.89,5007,2,0
2024-04-09,124.42,124.55,123.06,124.08,5167,2,0
2024-04-10,121.61,122.81,121.38,121.98,7625,2,0
2024-04-11,121.91,122.22,120.89,121.82,5504,2,0
2024-04-12,120.85,121.34,119.52,119.84,6165,2,0
2024-04-15,120.99,121.26,118.11,118.58,7518,2,0
2024-04-16,118.04,118.29,117.09,117.68,7335,3,0
2024-04-17,117.96,118.49,116.99,117.45,6439,3,0
2024-04-18,117.62,118.43,116.95,117.25,6775,2,0
2024-04-19,117.46,118.2,117.21,117.66,6715,3,0
2024-04-22,117.82,119.38,117.35,118.65,3789,2,0
2024-04-23,118.72,120.19,118.52,119.83,4248,2,0
2024-04-24,119.36,120.34,119.26,120.06,5310,2,0
2024-04-25,119.36,120.05,118.15,119.81,5807,3,0
2024-04-26,119.33,120.41,119.29,120.05,4275,2,0
2024-04-29,120.45,120.96,120.24,120.76,3386,2,0
2024-04-30,119.79,120.39,118.85,118.85,5098,2,0
2024-05-01,118.86,120.47,118.2,118.69,8703,2,0
2024-05-02,119.26,120.04,118.34,119.66,5768,2,0
2024-05-03,121.15,121.39,120.27,120.68,4808,2,0
2024-05-06,121.72,122.01,121.12,121.98,2047,2,0
2024-05-07,122.08,122.74,122.08,122.26,2398,3,0
2024-05-08,121.61,122.31,121.39,122.25,2204,2,0
2024-05-09,122.07,123.41,122.07,123.4,1644,3,0
2024-05-10,123.6,123.83,123.08,123.46,2404,3,0
2024-05-13,123.98,124.34,123.23,123.25,2086,2,0
2024-05-14,124.16,124.33,123.47,124.07,2585,3,0
2024-05-15,124.74,125.16,124.38,125.11,2008,2,0
2024-05-16,124.92,124.92,124.35,124.37,2560,2,0
2024-05-17,124.27,124.48,124.06,124.43,1520,2,0
2024-05-20,124.52,124.95,124.23,124.47,2027,3,0
2024-05-21,124.23,124.55,124.12,124.52,1575,2,0
2024-05-22,123.99,124.41,123.38,123.7,3102,2,0
2024-05-23,123.74,123.78,121.91,122.03,5056,2,0
2024-05-24,122.61,123.23,122.35,123.07,2713,2,0
2024-05-28,123.18,123.22,121.88,122.12,2816,3,0
2024-05-29,120.89,120.98,120.52,120.64,2433,3,0
2024-05-30,120.88,121.81,120.74,121.64,2861,3,0
2024-05-31,121.63,123.04,121.25,123.03,2690,3,0
