time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,90.82,92.31,90.69,92.22,12456,2,0
2024-01-03,91.15,91.24,89.81,89.99,13593,2,0
2024-01-04,89.54,90.43,89.36,89.78,11178,2,0
2024-01-05,88.8,90.35,88.66,89.62,13187,2,0
2024-01-08,89.52,90.97,89.36,90.87,10324,2,0
2024-01-09,89.94,90.68,89.63,90.27,9993,2,0
2024-01-10,90.27,90.82,90.08,90.36,10787,2,0
2024-01-11,89.64,90.18,89.09,89.6,12987,2,0
2024-01-12,90.47,90.74,89.68,90.18,11646,2,0
2024-01-16,89.83,90.08,89.2,89.5,11015,1,0
2024-01-17,88.29,89.41,86.99,87.91,12634,2,0
2024-01-18,88.25,88.29,86.77,87.4,11461,0,0
2024-01-19,87.4,88.62,86.91,88.26,10859,2,0
2024-01-22,88.83,89.67,88.38,88.78,11824,2,0
2024-01-23,89.19,89.35,87.89,88.29,9280,2,0
2024-01-24,88.84,89.16,86.91,86.95,12048,2,0
2024-01-25,88.18,88.48,87.6,88.04,11584,2,0
2024-01-26,88.08,88.44,87.55,87.74,9601,2,0
2024-01-29,87.71,88.5,87.5,88.37,9797,2,0
2024-01-30,87.98,88.26,87.35,87.53,10618,2,0
2024-01-31,87.85,88.46,86.53,86.89,16613,2,0
2024-02-01,86.45,88.3,86.22,88.29,13882,2,0
2024-02-02,87.18,87.77,85.78,87.22,17969,2,0
2024-02-05,85.98,86.08,85.13,85.52,12313,2,0
2024-02-06,85.3,86.71,85.21,86.62,13030,2,0
2024-02-07,86.74,86.93,85.92,86.45,11546,2,0
2024-02-08,86.5,87.29,86.23,87.03,9726,2,0
2024-02-09,86.79,87.32,86.18,87.15,11061,2,0
2024-02-12,87.7,87.7,86.91,87.06,11639,2,0
2024-02-13,84.43,85.42,84.23,85.37,17290,2,0
2024-02-14,86.03,86.55,85.4,85.98,13553,2,0
2024-02-15,87.14,88.14,87.1,87.98,12744,2,0
2024-02-16,86.78,87.63,86.75,87.14,13106,0,0
2024-02-20,86.28,87.37,86.25,86.91,12152,2,0
2024-02-21,87.12,87.63,86.86,87.59,12209,2,0
2024-02-22,87.88,88.17,87.48,87.72,11685,2,0
2024-02-23,87.66,88.2,87.46,87.77,9430,2,0
2024-02-26,87.12,87.95,86.61,86.77,9639,2,0
2024-02-27,87.26,87.63,86.63,86.92,10975,2,0
2024-02-28,86.57,88.23,86.39,87.77,9662,2,0
2024-02-29,88.67,88.98,88.12,88.67,9213,2,0
2024-03-01,88.02,89.53,87.44,89.53,10199,2,0
2024-03-04,89.34,90.47,88.67,90.36,8597,2,0
2024-03-05,90.22,90.59,88.91,89.36,11370,2,0
2024-03-06,89.94,90.07,89.26,89.73,12791,2,0
2024-03-07,90.19,90.35,89.32,89.82,9407,0,0
2024-03-08,90.48,91.07,90.35,90.78,14674,2,0
2024-03-11,90.84,91.17,90.0,90.45,9093,2,0
2024-03-12,90.34,90.54,89.41,90.26,10551,2,0
2024-03-13,90.12,90.63,89.44,89.7,9161,2,0
2024-03-14,89.29,89.4,87.62,88.41,12142,2,0
2024-03-15,88.11,88.53,87.76,88.22,12361,2,0
2024-03-18,88.43,88.7,88.06,88.08,9081,2,0
2024-03-19,88.11,88.52,87.66,88.24,8987,2,0
2024-03-20,87.41,89.01,87.33,88.8,11089,0,0
2024-03-21,88.73,89.4,88.46,89.02,8022,2,0
2024-03-22,89.12,89.13,87.82,87.95,6890,2,0
2024-03-25,88.18,88.35,87.49,87.54,6696,2,0
2024-03-26,87.45,87.73,87.13,87.13,6041,2,0
2024-03-27,87.87,89.2,87.87,89.2,7691,0,0
2024-03-28,89.68,90.13,89.53,89.94,7514,2,0
2024-04-01,89.79,89.8,88.21,88.35,7728,2,0
2024-04-02,87.49,87.72,87.03,87.28,7018,2,0
2024-04-03,87.03,87.53,86.76,87.37,8653,0,0
2024-04-04,88.32,88.54,86.53,86.78,10777,2,0
2024-04-05,86.69,87.48,86.31,87.24,10791,2,0
2024-04-08,87.67,88.22,87.45,88.1,7366,2,0
2024-04-09,88.68,89.22,88.32,89.19,8953,2,0
2024-04-10,86.5,86.73,85.09,85.73,14631,2,0
2024-04-11,86.25,86.34,85.0,85.74,9574,2,0
2024-04-12,85.44,85.49,84.51,84.76,10839,2,0
2024-04-15,85.25,85.34,82.89,83.41,12940,2,0
2024-04-16,82.93,83.02,81.95,82.21,15534,2,0
2024-04-17,82.07,82.43,81.61,81.69,12372,2,0
2024-04-18,81.96,82.12,81.24,81.62,10855,2,0
2024-04-19,81.87,82.37,81.63,81.98,11666,2,0
2024-04-22,82.15,82.85,81.73,82.62,9001,2,0
2024-04-23,82.77,83.71,82.65,83.33,7587,2,0
2024-04-24,82.69,83.72,82.53,83.62,9671,1,0
2024-04-25,82.93,83.3,82.24,83.14,9419,2,0
2024-04-26,83.17,84.05,83.05,83.26,7881,2,0
2024-04-29,84.04,84.32,83.64,84.07,6355,2,0
2024-04-30,83.23,83.9,82.6,82.62,8445,2,0
2024-05-01,82.63,84.24,82.39,82.72,15594,2,0
2024-05-02,83.18,84.09,82.6,83.84,7496,2,0
2024-05-03,85.79,85.81,84.34,84.44,10079,2,0
2024-05-06,85.17,85.19,84.3,84.66,6145,2,0
2024-05-07,85.16,85.66,85.02,85.44,5900,2,0
2024-05-08,84.78,84.96,84.45,84.82,5555,2,0
2024-05-09,85.68,86.46,85.38,86.45,5632,2,0
2024-05-10,86.35,86.62,85.93,86.27,5498,2,0
2024-05-13,86.69,86.96,86.04,86.41,4973,2,0
2024-05-14,87.29,87.48,86.63,87.1,6281,2,0
2024-05-15,88.63,88.72,88.08,88.41,6051,2,0
2024-05-16,88.53,88.72,88.14,88.37,5590,2,0
2024-05-17,88.05,88.38,87.96,88.28,4273,2,0
2024-05-20,88.06,88.39,87.68,87.74,4076,2,0
2024-05-21,87.52,87.91,87.41,87.76,5064,2,0
2024-05-22,87.5,87.8,86.73,86.91,7038,2,0
2024-05-23,86.7,86.72,85.04,85.07,8140,2,0
2024-05-24,85.55,85.55,85.0,85.07,5836,0,0
