time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,121.09,121.18,118.67,119.55,9723,2,0
2024-01-03,118.26,119.03,118.07,118.26,11514,2,0
2024-01-04,117.81,118.5,117.38,117.49,9078,2,0
2024-01-05,117.64,118.54,117.16,117.65,8146,2,0
2024-01-08,118.27,120.78,118.27,120.78,6545,2,0
2024-01-09,120.0,121.53,119.75,121.11,8781,2,0
2024-01-10,121.46,122.58,121.0,122.3,8391,2,0
2024-01-11,123.11,123.52,121.05,122.83,13447,2,0
2024-01-12,123.03,123.47,122.55,123.19,9907,2,0
2024-01-16,122.91,123.87,122.33,123.34,12644,2,0
2024-01-17,122.33,122.83,121.02,122.79,10405,2,0
2024-01-18,124.38,125.18,123.74,125.09,10413,2,0
2024-01-19,125.84,128.01,125.67,127.93,10058,2,0
2024-01-22,129.05,129.54,128.22,128.53,9106,2,0
2024-01-23,128.45,129.15,127.9,129.11,7194,2,0
2024-01-24,130.07,131.37,129.65,129.94,9849,3,0
2024-01-25,131.08,131.92,129.93,130.55,10944,2,0
2024-01-26,129.76,130.42,129.11,129.32,19018,2,0
2024-01-29,129.4,130.89,129.34,130.82,12148,2,0
2024-01-30,130.67,130.96,129.35,129.72,7180,2,0
2024-01-31,127.73,128.28,126.3,126.48,21666,2,0
2024-02-01,127.06,128.08,126.84,127.78,27329,2,0
2024-02-02,127.76,130.61,127.54,130.33,14658,2,0
2024-02-05,130.55,130.9,129.19,130.51,10918,2,0
2024-02-06,130.88,130.94,129.0,129.89,10115,2,0
2024-02-07,130.68,131.91,130.45,131.83,11572,2,0
2024-02-08,131.91,132.74,131.89,132.38,7992,2,0
2024-02-09,133.05,134.61,132.89,134.35,9622,2,0
2024-02-12,133.96,134.97,133.16,133.31,12692,2,0
2024-02-13,130.09,132.09,130.05,131.04,13578,2,0
2024-02-14,132.19,132.76,131.26,132.74,11720,2,0
2024-02-15,132.65,132.67,131.53,132.35,14877,2,0
2024-02-16,132.42,132.75,130.74,130.91,14568,2,0
2024-02-20,130.44,130.57,128.23,129.51,13560,2,0
2024-02-21,128.13,128.64,127.28,128.62,13739,2,0
2024-02-22,131.86,133.27,131.66,132.96,13420,2,0
2024-02-23,133.99,134.16,132.14,132.78,11713,1,0
2024-02-26,133.22,133.27,132.32,132.37,16546,2,0
2024-02-27,132.49,132.79,131.62,132.68,13888,2,0
2024-02-28,131.81,132.17,131.33,131.75,14115,2,0
2024-02-29,132.53,133.61,131.65,133.58,14312,2,0
2024-03-01,134.1,135.67,133.72,135.42,12546,2,0
2024-03-04,134.87,135.78,134.62,135.01,12789,2,0
2024-03-05,133.53,133.53,131.0,131.86,14125,2,0
2024-03-06,133.4,133.98,132.14,133.0,16554,2,0
2024-03-07,134.02,135.75,133.43,135.45,16874,2,0
2024-03-08,135.72,136.97,133.24,133.57,25421,2,0
2024-03-11,132.48,133.42,132.08,132.93,23313,2,0
2024-03-12,134.16,135.68,132.96,135.6,23760,2,0
2024-03-13,134.84,134.99,133.89,134.34,17289,2,0
2024-03-14,134.75,135.39,133.6,134.33,29873,2,0
2024-03-15,132.71,133.21,131.93,132.34,20263,2,0
2024-03-18,134.48,135.12,133.3,133.45,23455,2,0
2024-03-19,132.39,134.29,131.69,134.17,25051,2,0
2024-03-20,134.45,135.86,133.71,135.7,17023,2,0
2024-03-21,137.15,137.41,135.88,136.18,15277,2,0
2024-03-22,136.09,137.1,135.79,136.76,16218,2,0
2024-03-25,135.42,136.61,134.94,135.89,13936,2,0
