time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,197.13,200.15,194.34,195.23,1123.0,4,0.0
2024-01-03,192.43,193.32,190.28,191.86,977.0,3,0.0
2024-01-04,188.51,191.01,187.0,188.54,872.0,5,0.0
2024-01-05,188.0,191.55,188.0,189.83,794.0,5,0.0
2024-01-08,189.95,193.62,188.0,193.62,900.0,3,0.0
2024-01-09,190.87,192.66,189.5,191.45,691.0,6,0.0
2024-01-10,189.41,192.91,188.88,192.88,845.0,2,0.0
2024-01-11,189.62,191.99,188.76,190.77,1045.0,2,0.0
2024-01-12,190.4,192.93,189.66,191.87,914.0,5,0.0
2024-01-16,189.67,191.46,188.0,190.56,1179.0,3,0.0
2024-01-17,187.12,193.03,187.0,191.63,1541.0,1,0.0
2024-01-18,192.51,197.52,191.53,196.95,1466.0,1,0.0
2024-01-19,201.64,203.0,195.6,198.39,1432.0,3,0.0
2024-01-22,200.33,207.85,200.33,207.54,1236.0,4,0.0
2024-01-23,207.5,207.5,204.21,205.44,878.0,4,0.0
2024-01-24,204.71,207.4,202.55,203.44,751.0,3,0.0
2024-01-25,203.77,206.65,203.54,205.58,826.0,6,0.0
2024-01-26,206.21,207.0,203.74,206.12,1467.0,3,0.0
2024-01-29,203.97,205.91,203.2,205.87,821.0,3,0.0
2024-01-30,201.8,207.11,201.42,204.36,865.0,2,0.0
2024-01-31,205.01,205.61,200.37,200.67,884.0,9,0.0
2024-02-01,200.11,201.87,196.5,200.96,1549.0,3,0.0
2024-02-02,198.45,209.45,197.75,208.01,1519.0,3,0.0
2024-02-05,206.43,207.8,204.72,206.91,1221.0,4,0.0
2024-02-06,204.54,212.22,204.54,210.92,987.0,2,0.0
2024-02-07,211.13,214.57,210.13,213.9,1203.0,4,0.0
2024-02-08,211.29,214.02,211.06,212.91,1326.0,1,0.0
2024-02-09,211.74,215.85,210.36,215.3,1078.0,7,0.0
2024-02-12,215.63,216.97,213.63,216.4,1149.0,5,0.0
2024-02-13,211.62,216.13,210.48,215.6,1543.0,6,0.0
2024-02-14,215.02,219.01,213.21,217.47,1595.0,3,0.0
2024-02-15,217.29,219.25,215.83,218.19,1428.0,5,0.0
2024-02-16,217.51,218.47,211.17,211.5,1681.0,4,0.0
2024-02-20,198.15,203.86,193.74,199.51,1762.0,3,0.0
2024-02-21,199.0,204.59,199.0,203.19,1942.0,7,0.0
2024-02-22,205.31,211.59,203.6,210.83,1318.0,6,0.0
2024-02-23,211.88,214.13,211.07,212.86,1146.0,4,0.0
2024-02-26,209.79,211.99,207.08,207.92,1359.0,4,0.0
2024-02-27,205.92,209.23,205.71,207.24,1344.0,4,0.0
2024-02-28,204.25,206.59,204.0,204.56,1483.0,2,0.0
2024-02-29,204.75,208.15,203.18,205.95,1368.0,4,0.0
2024-03-01,204.41,204.71,200.1,203.38,1052.0,3,0.0
2024-03-04,202.81,204.34,200.56,201.17,1119.0,5,0.0
2024-03-05,199.9,202.17,196.63,199.76,1215.0,2,0.0
2024-03-06,198.9,201.98,198.1,199.17,957.0,4,0.0
2024-03-07,202.39,202.67,199.78,201.62,909.0,4,0.0
2024-03-08,201.67,204.26,200.04,200.62,820.0,5,0.0
2024-03-11,200.63,202.53,199.07,200.58,703.0,7,0.0
2024-03-12,199.26,202.37,198.64,201.3,718.0,6,0.0
2024-03-13,200.53,202.63,200.04,200.97,1091.0,5,0.0
2024-03-14,199.0,199.3,194.28,197.8,932.0,7,0.0
2024-03-15,195.76,197.97,193.01,193.54,950.0,5,0.0
2024-03-18,192.98,193.54,190.36,191.08,1094.0,2,0.0
2024-03-19,190.26,194.17,190.26,190.86,1014.0,5,0.0
