time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,33.34,33.63,33.23,33.36,2159.0,1,0.0
2024-01-03,32.52,32.79,32.39,32.58,2502.0,1,0.0
2024-01-04,32.24,32.6,32.21,32.37,1775.0,1,0.0
2024-01-05,32.19,32.28,31.65,31.95,1793.0,1,0.0
2024-01-08,31.92,32.0,31.54,31.78,1769.0,1,0.0
2024-01-09,31.53,31.97,31.45,31.97,1741.0,1,0.0
2024-01-10,31.89,32.05,31.64,31.75,1540.0,0,0.0
2024-01-11,31.68,31.97,31.55,31.96,2154.0,1,0.0
2024-01-12,32.11,32.14,31.82,31.9,1552.0,1,0.0
2024-01-16,31.84,31.93,31.62,31.8,1938.0,1,0.0
2024-01-17,31.78,32.01,31.69,31.75,1762.0,1,0.0
2024-01-18,31.45,31.83,31.4,31.8,1598.0,1,0.0
2024-01-19,31.72,31.95,31.41,31.87,1922.0,1,0.0
2024-01-22,31.67,31.9,31.53,31.56,1511.0,1,0.0
2024-01-23,31.46,31.79,31.28,31.72,1258.0,1,0.0
2024-01-24,31.65,31.73,31.07,31.11,1567.0,1,0.0
2024-01-25,31.28,31.57,31.19,31.57,1491.0,1,0.0
2024-01-26,31.73,31.99,31.73,31.99,1283.0,1,0.0
2024-01-29,31.98,32.01,31.89,32.01,1114.0,0,0.0
2024-01-30,32.03,32.04,31.73,31.87,1288.0,1,0.0
2024-01-31,31.75,31.83,31.32,31.45,2332.0,1,0.0
2024-02-01,31.39,31.97,31.21,31.96,1652.0,1,0.0
2024-02-02,31.84,31.9,31.38,31.67,1994.0,1,0.0
2024-02-05,31.31,31.41,31.0,31.06,1760.0,1,0.0
2024-02-06,31.05,31.23,30.92,31.08,1581.0,1,0.0
2024-02-07,31.54,31.55,31.15,31.25,1664.0,1,0.0
2024-02-08,31.15,31.51,31.12,31.48,1073.0,1,0.0
2024-02-09,31.34,31.34,30.93,31.15,1436.0,1,0.0
2024-02-12,31.06,31.35,30.95,31.31,1348.0,1,0.0
2024-02-13,31.27,31.33,30.71,30.98,2384.0,1,0.0
2024-02-14,30.87,31.13,30.73,31.07,1629.0,1,0.0
2024-02-15,31.23,31.42,31.04,31.07,1567.0,1,0.0
2024-02-16,30.89,31.09,30.66,30.94,1829.0,1,0.0
2024-02-20,30.88,31.54,30.72,31.19,2298.0,1,0.0
2024-02-21,31.41,31.63,31.35,31.63,1823.0,1,0.0
2024-02-22,30.47,30.95,29.97,30.44,2677.0,1,0.0
2024-02-23,30.35,30.36,29.91,30.19,1950.0,1,0.0
2024-02-26,29.96,30.0,29.17,29.48,1872.0,1,0.0
2024-02-27,29.38,29.72,29.3,29.49,1517.0,1,0.0
2024-02-28,29.38,30.09,29.3,30.02,1457.0,1,0.0
2024-02-29,30.2,30.46,29.76,29.95,1616.0,1,0.0
2024-03-01,28.92,29.44,28.92,29.28,2377.0,1,0.0
2024-03-04,29.23,29.32,29.06,29.09,1389.0,1,0.0
2024-03-05,29.17,29.35,29.02,29.07,1630.0,1,0.0
2024-03-06,29.32,29.35,29.17,29.2,1461.0,1,0.0
2024-03-07,29.17,29.19,28.91,28.94,1132.0,1,0.0
2024-03-08,28.99,29.19,28.9,29.12,2254.0,1,0.0
2024-03-11,29.4,29.46,29.21,29.28,1245.0,1,0.0
2024-03-12,29.27,29.42,29.25,29.3,1177.0,1,0.0
2024-03-13,29.35,29.49,28.88,28.89,1718.0,1,0.0
2024-03-14,29.1,29.28,28.8,29.0,1737.0,1,0.0
2024-03-15,28.95,29.06,28.61,28.89,1850.0,1,0.0
2024-03-18,28.86,29.55,28.78,29.5,1431.0,1,0.0
2024-03-19,29.57,29.9,29.25,29.34,1926.0,1,0.0
2024-03-20,29.36,29.72,29.34,29.71,1347.0,1,0.0
2024-03-21,29.63,29.85,29.55,29.57,1203.0,1,0.0
2024-03-22,29.56,29.85,29.53,29.81,1104.0,1,0.0
2024-03-25,29.94,30.51,29.85,30.5,1266.0,1,0.0
2024-03-26,30.47,31.01,30.47,30.74,1699.0,1,0.0
2024-03-27,30.65,30.94,30.41,30.58,1667.0,0,0.0
2024-03-28,30.81,31.04,30.61,30.7,1063.0,1,0.0
2024-04-01,30.83,31.29,30.73,31.2,1457.0,1,0.0
2024-04-02,31.26,31.32,30.65,30.94,1293.0,1,0.0
2024-04-03,30.78,31.15,30.68,31.02,1688.0,1,0.0
2024-04-04,31.16,31.2,30.67,30.7,1293.0,1,0.0
2024-04-05,30.62,30.85,30.45,30.77,1628.0,1,0.0
2024-04-08,30.75,30.99,30.71,30.8,1293.0,1,0.0
2024-04-09,30.91,31.14,30.83,31.02,1462.0,0,0.0
2024-04-10,30.68,30.72,30.27,30.68,1907.0,1,0.0
2024-04-11,31.08,31.14,30.67,30.85,1935.0,1,0.0
2024-04-12,30.66,30.79,30.18,30.22,1449.0,1,0.0
2024-04-15,30.38,30.52,30.22,30.46,1511.0,1,0.0
2024-04-16,30.5,30.55,30.21,30.45,1741.0,0,0.0
2024-04-17,30.71,30.88,30.51,30.88,1709.0,1,0.0
2024-04-18,31.04,31.14,30.79,31.14,1887.0,1,0.0
2024-04-19,31.21,31.59,31.02,31.52,1694.0,1,0.0
2024-04-22,31.58,31.76,31.42,31.73,1244.0,1,0.0
2024-04-23,31.54,31.81,31.54,31.76,1741.0,1,0.0
2024-04-24,31.27,32.34,31.26,32.34,1918.0,0,0.0
2024-04-25,33.64,34.2,33.29,33.84,3915.0,1,0.0
2024-04-26,33.65,33.98,33.52,33.74,2357.0,1,0.0
2024-04-29,33.85,33.88,33.58,33.69,1470.0,1,0.0
2024-04-30,33.63,33.75,33.36,33.72,1730.0,1,0.0
2024-05-01,33.43,33.53,33.2,33.36,2283.0,1,0.0
2024-05-02,33.39,33.75,33.24,33.55,1766.0,1,0.0
2024-05-03,33.45,33.87,33.39,33.83,1813.0,1,0.0
2024-05-06,33.9,33.91,33.45,33.55,1482.0,1,0.0
2024-05-07,33.7,33.86,33.51,33.79,1723.0,1,0.0
2024-05-08,33.81,33.92,33.63,33.69,1443.0,1,0.0
2024-05-09,33.78,34.01,33.73,33.96,1198.0,1,0.0
2024-05-10,33.9,34.06,33.78,34.03,1665.0,1,0.0
2024-05-13,33.91,34.22,33.85,34.1,1893.0,1,0.0
2024-05-14,34.02,34.24,33.89,34.22,1598.0,1,0.0
2024-05-15,34.02,34.1,33.77,33.8,2425.0,1,0.0
2024-05-16,33.83,34.36,33.82,34.16,1872.0,1,0.0
2024-05-17,33.91,34.01,33.7,33.72,1593.0,1,0.0
2024-05-20,33.7,33.81,33.59,33.68,1263.0,1,0.0
2024-05-21,33.77,33.97,33.71,33.95,1117.0,1,0.0
2024-05-22,33.77,34.31,33.77,34.27,1442.0,1,0.0
2024-05-23,34.02,34.31,33.95,33.99,2048.0,1,0.0
2024-05-24,34.09,34.4,34.09,34.16,1540.0,0,0.0
2024-05-28,33.87,34.14,33.61,33.73,1793.0,1,0.0
2024-05-29,33.54,33.76,33.32,33.65,1613.0,1,0.0
2024-05-30,33.74,33.99,33.68,33.88,2085.0,1,0.0
2024-05-31,33.96,34.24,33.88,34.21,2069.0,1,0.0
2024-06-03,34.14,34.52,34.0,34.35,1790.0,1,0.0
2024-06-04,34.23,34.99,34.15,34.87,2029.0,1,0.0
2024-06-05,34.89,34.98,34.51,34.8,1967.0,1,0.0
2024-06-06,34.72,34.98,34.46,34.49,2278.0,1,0.0
2024-06-07,34.44,34.85,34.43,34.64,1555.0,1,0.0
2024-06-10,34.4,34.52,34.0,34.16,2350.0,1,0.0
2024-06-11,34.07,34.14,33.65,33.82,1986.0,1,0.0
2024-06-12,33.81,33.99,33.56,33.64,2256.0,1,0.0
2024-06-13,33.42,34.08,33.41,34.05,2005.0,1,0.0
2024-06-14,33.97,34.25,33.88,34.03,1720.0,1,0.0
2024-06-17,34.14,34.72,33.92,34.7,2370.0,1,0.0
2024-06-18,34.66,34.74,34.28,34.46,1701.0,1,0.0
2024-06-20,34.47,34.5,33.93,34.21,2155.0,1,0.0
2024-06-21,34.36,34.67,34.1,34.38,2549.0,1,0.0
2024-06-24,34.3,34.66,34.23,34.65,1987.0,1,0.0
2024-06-25,34.73,34.79,34.27,34.4,1602.0,1,0.0
2024-06-26,34.05,34.44,33.97,34.37,1975.0,1,0.0
2024-06-27,34.55,34.58,33.99,34.13,2338.0,1,0.0
2024-06-28,33.79,33.79,33.23,33.32,2043.0,1,0.0
2024-07-01,33.44,33.6,32.84,32.84,1963.0,1,0.0
2024-07-02,32.79,32.95,32.56,32.82,1782.0,1,0.0
2024-07-03,32.67,32.92,32.52,32.72,1131.0,1,0.0
2024-07-05,32.68,32.77,32.47,32.67,1305.0,1,0.0
2024-07-08,32.41,32.59,32.17,32.24,1783.0,1,0.0
2024-07-09,32.27,32.39,31.95,31.96,2142.0,1,0.0
2024-07-10,31.97,32.31,31.84,31.94,3047.0,1,0.0
2024-07-11,31.87,32.57,31.85,32.42,3874.0,1,0.0
2024-07-12,32.52,32.78,32.34,32.6,2506.0,1,0.0
2024-07-15,32.57,32.84,32.4,32.65,2613.0,1,0.0
2024-07-16,32.62,32.97,32.54,32.64,2732.0,1,0.0
2024-07-17,32.81,33.17,32.78,33.08,2988.0,1,0.0
2024-07-18,33.01,33.6,32.99,33.12,3582.0,1,0.0
2024-07-19,33.21,33.31,32.72,32.96,2555.0,1,0.0
2024-07-22,32.8,33.11,32.72,32.78,2036.0,1,0.0
2024-07-23,32.51,32.94,32.51,32.57,2285.0,1,0.0
2024-07-24,32.52,32.76,32.24,32.72,2725.0,1,0.0
2024-07-25,33.53,34.6,33.02,33.22,3186.0,1,0.0
2024-07-26,33.4,33.86,33.32,33.74,2302.0,1,0.0
2024-07-29,33.87,34.17,33.65,34.16,1779.0,1,0.0
2024-07-30,33.93,34.23,33.64,34.15,2435.0,1,0.0
2024-07-31,33.93,34.51,33.83,34.28,2962.0,1,0.0
2024-08-01,34.39,34.68,34.0,34.57,3352.0,1,0.0
2024-08-02,34.81,35.24,34.41,35.06,3983.0,1,0.0
2024-08-05,35.09,35.23,33.96,34.31,4812.0,1,0.0
2024-08-06,34.46,34.94,34.38,34.49,3737.0,1,0.0
2024-08-07,34.25,34.92,34.24,34.6,3143.0,1,0.0
2024-08-08,34.06,34.73,34.06,34.51,2767.0,1,0.0
2024-08-09,34.26,34.57,34.03,34.54,2772.0,1,0.0
2024-08-12,34.59,34.86,34.38,34.79,2660.0,1,0.0
2024-08-13,34.67,35.21,34.67,35.15,2649.0,1,0.0
2024-08-14,35.03,35.49,35.0,35.32,2446.0,1,0.0
2024-08-15,35.36,35.45,35.2,35.29,2426.0,1,0.0
2024-08-16,35.28,35.45,35.23,35.36,2844.0,1,0.0
2024-08-19,35.44,35.62,35.3,35.61,2569.0,1,0.0
2024-08-20,35.59,35.75,35.45,35.68,2907.0,1,0.0
2024-08-21,35.82,35.94,35.41,35.43,2658.0,1,0.0
2024-08-22,35.56,35.78,35.46,35.65,3053.0,1,0.0
2024-08-23,35.79,35.85,35.51,35.7,3814.0,1,0.0
2024-08-26,35.76,36.23,35.75,36.11,2857.0,1,0.0
2024-08-27,36.21,36.44,36.17,36.34,2565.0,1,0.0
2024-08-28,36.37,36.38,35.95,36.22,2412.0,1,0.0
2024-08-29,36.26,36.28,35.89,36.16,2843.0,1,0.0
2024-08-30,36.24,36.79,36.22,36.59,3195.0,1,0.0
2024-09-03,36.49,37.22,36.48,37.11,3760.0,1,0.0
2024-09-04,37.23,37.38,36.84,37.23,2805.0,1,0.0
2024-09-05,37.24,37.24,36.74,36.9,2634.0,1,0.0
2024-09-06,37.03,37.29,36.8,36.85,2969.0,1,0.0
2024-09-09,36.69,37.48,36.63,37.27,2338.0,1,0.0
2024-09-10,37.21,37.39,37.01,37.2,3002.0,1,0.0
2024-09-11,37.0,37.08,36.65,37.08,3200.0,1,0.0
2024-09-12,37.12,37.12,36.77,37.04,2980.0,1,0.0
2024-09-13,37.16,37.68,37.13,37.62,2434.0,1,0.0
2024-09-16,37.64,37.77,37.26,37.36,3096.0,1,0.0
2024-09-17,37.35,37.6,37.3,37.4,2176.0,1,0.0
2024-09-18,37.49,37.66,37.3,37.4,3873.0,1,0.0
2024-09-19,37.66,37.69,37.33,37.44,2673.0,1,0.0
2024-09-20,37.43,37.62,37.29,37.47,3173.0,1,0.0
2024-09-23,37.57,38.05,37.46,38.01,3225.0,1,0.0
2024-09-24,37.75,38.27,37.7,37.81,3324.0,1,0.0
2024-09-25,37.79,37.79,37.55,37.55,2622.0,1,0.0
2024-09-26,37.59,37.71,37.37,37.53,2931.0,1,0.0
2024-09-27,37.55,37.81,37.34,37.4,2762.0,1,0.0
2024-09-30,37.62,37.69,37.35,37.48,3030.0,1,0.0
2024-10-01,37.56,37.68,37.14,37.19,3772.0,1,0.0
2024-10-02,37.07,37.15,36.77,37.01,2356.0,1,0.0
2024-10-03,36.84,36.84,36.51,36.65,2724.0,1,0.0
2024-10-04,36.52,36.57,36.23,36.39,2955.0,1,0.0
2024-10-07,36.32,36.5,36.11,36.14,2566.0,1,0.0
2024-10-08,36.15,36.26,35.94,36.19,2378.0,1,0.0
2024-10-09,36.25,36.34,36.02,36.19,1570.0,1,0.0
2024-10-10,36.13,36.53,36.04,36.48,1565.0,1,0.0
2024-10-11,36.46,36.63,36.18,36.36,2667.0,1,0.0
2024-10-14,36.38,36.71,36.35,36.64,1988.0,1,0.0
2024-10-15,36.65,37.19,36.48,36.93,3230.0,1,0.0
2024-10-16,36.8,37.01,36.59,36.6,2156.0,1,0.0
2024-10-17,36.6,36.68,36.44,36.49,1291.0,1,0.0
2024-10-18,36.38,36.91,36.22,36.91,2540.0,1,0.0
2024-10-21,36.79,37.26,36.68,36.91,2232.0,1,0.0
2024-10-22,36.7,36.98,36.62,36.9,2341.0,1,0.0
2024-10-23,36.68,36.94,36.53,36.75,2938.0,1,0.0
2024-10-24,35.67,35.67,34.55,34.92,3295.0,1,0.0
2024-10-25,34.95,35.16,34.56,34.59,2379.0,1,0.0
2024-10-28,34.79,34.84,33.8,33.84,2325.0,1,0.0
2024-10-29,32.57,33.13,32.34,32.88,2258.0,1,0.0
2024-10-30,32.91,33.08,32.76,32.98,1666.0,1,0.0
2024-10-31,32.88,33.11,32.82,32.96,2684.0,1,0.0
2024-11-01,32.86,32.94,32.6,32.82,2143.0,1,0.0
2024-11-04,33.06,33.18,32.56,32.67,2128.0,1,0.0
2024-11-05,32.57,32.64,32.4,32.58,1923.0,1,0.0
2024-11-06,32.71,33.07,32.4,32.96,3886.0,1,0.0
2024-11-07,33.01,33.19,32.89,32.9,2057.0,1,0.0
2024-11-08,32.99,33.08,32.8,32.89,2403.0,1,0.0
2024-11-11,32.76,33.21,32.71,33.19,3610.0,1,0.0
2024-11-12,33.03,33.5,32.97,33.34,2326.0,1,0.0
2024-11-13,33.13,33.7,33.0,33.54,1983.0,1,0.0
2024-11-14,33.53,33.67,33.34,33.34,2990.0,1,0.0
2024-11-15,33.12,33.12,31.48,31.67,3378.0,1,0.0
2024-11-18,31.75,31.8,31.15,31.24,2692.0,1,0.0
2024-11-19,31.19,31.54,30.9,31.51,2291.0,1,0.0
2024-11-20,31.61,32.05,31.57,32.04,1665.0,1,0.0
2024-11-21,32.03,32.29,31.85,32.21,2170.0,1,0.0
2024-11-22,32.24,32.74,32.21,32.67,2036.0,1,0.0
2024-11-25,32.58,32.89,32.49,32.82,1915.0,1,0.0
2024-11-26,32.87,33.04,32.61,32.65,1995.0,1,0.0
2024-11-27,32.64,32.69,32.28,32.55,2099.0,1,0.0
2024-11-29,32.58,32.74,32.44,32.62,1146.0,1,0.0
2024-12-02,32.64,32.64,32.12,32.54,1651.0,1,0.0
2024-12-03,32.33,32.51,32.05,32.36,1516.0,1,0.0
2024-12-04,32.39,32.92,32.17,32.59,1992.0,1,0.0
2024-12-05,32.69,32.99,32.45,32.98,1752.0,1,0.0
2024-12-06,33.2,33.32,32.69,32.71,2021.0,1,0.0
2024-12-09,32.89,33.77,32.83,33.61,2307.0,1,0.0
2024-12-10,33.5,33.6,33.0,33.5,2954.0,1,0.0
2024-12-11,33.73,33.83,33.1,33.25,2242.0,1,0.0
2024-12-12,33.75,33.96,33.6,33.8,2618.0,1,0.0
2024-12-13,33.41,33.91,33.36,33.55,2368.0,1,0.0
2024-12-16,33.58,33.77,33.06,33.11,2338.0,1,0.0
2024-12-17,33.17,33.47,33.0,33.05,2878.0,1,0.0
2024-12-18,32.91,33.1,32.48,32.52,3881.0,1,0.0
2024-12-19,32.46,32.71,32.11,32.37,4178.0,1,0.0
2024-12-20,32.28,32.61,31.92,32.37,4234.0,1,0.0
2024-12-23,32.42,32.42,31.87,32.27,3363.0,1,0.0
2024-12-24,32.14,32.45,32.08,32.45,1008.0,1,0.0
2024-12-26,32.29,32.47,32.26,32.32,2407.0,1,0.0
2024-12-27,32.16,32.46,32.09,32.25,3142.0,1,0.0
2024-12-30,32.12,32.15,31.68,31.96,2970.0,1,0.0
2024-12-31,32.06,32.17,31.85,32.09,2828.0,1,0.0
2025-01-02,32.28,32.37,31.7,31.76,2122.0,1,0.0
2025-01-03,31.55,31.71,31.28,31.53,2462.0,1,0.0
2025-01-06,31.47,31.71,31.04,31.07,2867.0,1,0.0
2025-01-07,31.1,31.22,30.56,30.66,2825.0,1,0.0
2025-01-08,30.56,31.16,30.36,31.12,2437.0,0,0.0
2025-01-10,30.7,31.18,30.32,30.39,3599.0,1,0.0
2025-01-13,30.34,30.84,30.1,30.8,2914.0,1,0.0
2025-01-14,30.78,31.15,30.78,31.13,2899.0,1,0.0
2025-01-15,31.32,31.36,30.71,30.96,3123.0,1,0.0
2025-01-16,30.81,31.31,30.76,31.28,2485.0,1,0.0
2025-01-17,31.52,31.77,31.51,31.61,2250.0,1,0.0
2025-01-21,31.74,31.84,31.52,31.72,2213.0,1,0.0
2025-01-22,31.58,31.74,31.46,31.53,2805.0,1,0.0
2025-01-23,31.56,31.56,30.78,31.04,2483.0,1,0.0
2025-01-24,31.18,31.25,30.86,31.14,2506.0,1,0.0
2025-01-27,31.58,31.94,31.33,31.81,4354.0,1,0.0
2025-01-28,31.72,31.87,31.21,31.33,3061.0,1,0.0
2025-01-29,31.48,32.0,31.42,31.86,2557.0,1,0.0
2025-01-30,32.09,32.35,31.77,32.25,3087.0,1,0.0
2025-01-31,31.98,32.39,31.97,32.11,2573.0,1,0.0
2025-02-03,32.01,32.8,31.94,32.56,4951.0,0,0.0
2025-02-04,31.95,32.26,31.24,31.29,4112.0,1,0.0
2025-02-05,31.18,31.63,31.05,31.12,3646.0,1,0.0
2025-02-06,31.2,31.26,30.8,30.99,2573.0,1,0.0
2025-02-07,31.0,31.19,30.91,31.02,3126.0,1,0.0
2025-02-10,30.97,31.03,30.67,30.9,2399.0,1,0.0
2025-02-11,30.86,31.6,30.84,31.58,2567.0,1,0.0
2025-02-12,31.42,31.79,31.26,31.69,3100.0,1,0.0
2025-02-13,31.77,32.01,31.68,31.91,2866.0,1,0.0
2025-02-14,31.89,32.19,31.61,31.65,2160.0,1,0.0
2025-02-18,31.52,32.54,31.5,32.44,3106.0,1,0.0
2025-02-19,32.55,32.94,32.37,32.77,3145.0,1,0.0
2025-02-20,32.59,33.21,32.49,33.13,2861.0,1,0.0
2025-02-21,33.37,34.13,33.15,34.06,3696.0,1,0.0
2025-02-24,33.88,34.42,33.85,34.17,4603.0,1,0.0
2025-02-25,34.69,35.95,34.42,34.93,5075.0,1,0.0
2025-02-26,34.53,34.75,33.55,33.7,5457.0,1,0.0
2025-02-27,32.77,33.87,32.72,33.59,5635.0,1,0.0
2025-02-28,34.02,34.22,33.27,33.51,4950.0,1,0.0
2025-03-03,33.52,34.34,33.37,34.13,4543.0,1,0.0
2025-03-04,34.18,34.57,33.56,33.58,6764.0,1,0.0
2025-03-05,33.38,33.79,33.25,33.29,4245.0,1,0.0
2025-03-06,33.43,33.65,33.03,33.53,4764.0,1,0.0
2025-03-07,33.41,34.06,33.19,33.35,6105.0,1,0.0
2025-03-10,33.68,34.04,32.3,32.52,8742.0,1,0.0
2025-03-11,32.46,33.42,32.37,33.27,8040.0,1,0.0
2025-03-12,32.62,33.04,32.47,32.82,4741.0,1,0.0
2025-03-13,32.82,33.11,32.36,33.08,3853.0,1,0.0
2025-03-14,32.95,33.68,32.89,33.64,3646.0,1,0.0
2025-03-17,33.64,33.98,33.55,33.85,4421.0,1,0.0
2025-03-18,33.76,33.88,33.55,33.56,3674.0,1,0.0
2025-03-19,33.51,33.66,33.12,33.46,4072.0,1,0.0
2025-03-20,33.44,33.49,33.24,33.42,2135.0,1,0.0
2025-03-21,33.4,33.67,33.06,33.54,2993.0,1,0.0
2025-03-24,33.49,33.95,33.4,33.86,2522.0,0,0.0
2025-03-25,33.74,33.9,33.54,33.82,2651.0,0,0.0
2025-03-26,33.82,34.23,33.8,34.06,2869.0,1,0.0
2025-03-27,34.16,34.36,34.11,34.25,2173.0,1,0.0
2025-03-28,34.21,34.26,33.44,33.75,3048.0,1,0.0
2025-03-31,33.93,34.36,33.75,34.21,2694.0,1,0.0
2025-04-01,34.75,35.14,34.38,34.96,3824.0,1,0.0
2025-04-02,34.96,35.2,34.58,35.2,2943.0,1,0.0
2025-04-03,35.45,35.77,34.95,35.64,6680.0,1,0.0
2025-04-04,35.24,35.71,33.77,33.83,10957.0,1,0.0
2025-04-07,32.91,34.07,32.65,33.59,11067.0,1,0.0
2025-04-08,33.76,34.31,33.24,33.56,12498.0,1,0.0
2025-04-09,33.25,34.86,33.08,34.72,13908.0,0,0.0
2025-04-10,34.81,35.25,34.17,34.76,18187.0,1,0.0
2025-04-11,34.54,35.41,34.44,35.15,9678.0,1,0.0
2025-04-14,35.21,35.83,35.01,35.7,7825.0,1,0.0
2025-04-15,35.46,35.89,35.31,35.39,6771.0,1,0.0
2025-04-16,35.57,35.63,35.0,35.11,5850.0,1,0.0
2025-04-17,35.18,35.77,35.03,35.41,6563.0,1,0.0
