time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,567.0,570.0,552.4,559.92,1048.0,14,0.0
2024-01-03,549.27,556.97,549.27,551.19,1043.0,19,0.0
2024-01-04,545.26,554.63,544.0,545.52,1891.0,12,0.0
2024-01-05,547.0,550.45,541.88,543.19,1195.0,10,0.0
2024-01-08,546.69,565.58,545.16,560.77,1588.0,7,0.0
2024-01-09,554.96,561.16,552.5,554.68,1756.0,13,0.0
2024-01-10,558.0,558.0,549.49,555.97,1258.0,8,0.0
2024-01-11,557.3,564.42,549.3,562.5,1721.0,9,0.0
2024-01-12,563.48,563.76,555.63,559.86,1421.0,13,0.0
2024-01-16,558.69,569.0,556.37,565.24,1620.0,12,0.0
2024-01-17,558.47,563.52,551.7,561.45,1191.0,17,0.0
2024-01-18,582.95,591.38,577.25,589.71,1962.0,8,0.0
2024-01-19,595.47,616.55,591.9,612.91,1902.0,9,0.0
2024-01-22,619.16,627.76,617.5,622.46,2362.0,13,0.0
2024-01-23,614.16,622.69,609.59,620.58,2156.0,12,0.0
2024-01-24,630.68,645.91,627.0,638.47,2344.0,9,0.0
2024-01-25,657.3,657.3,638.82,642.01,2783.0,4,0.0
2024-01-26,621.09,621.09,596.21,598.61,2760.0,13,0.0
2024-01-29,597.6,602.14,594.5,599.84,1605.0,9,0.0
2024-01-30,598.0,601.35,594.0,594.39,1999.0,8,0.0
2024-01-31,585.0,600.94,581.8,592.65,2409.0,11,0.0
2024-02-01,599.71,601.88,594.04,597.85,2016.0,12,0.0
2024-02-02,596.0,607.36,596.0,604.82,1921.0,16,0.0
2024-02-05,602.6,614.85,600.08,613.61,1594.0,3,0.0
2024-02-06,613.02,614.88,595.5,600.72,1680.0,8,0.0
2024-02-07,607.09,611.93,598.0,607.41,1668.0,9,0.0
2024-02-08,607.0,624.57,607.0,618.18,1254.0,15,0.0
2024-02-09,628.16,650.49,626.9,648.68,1877.0,13,0.0
2024-02-12,645.61,657.27,645.0,646.34,2500.0,6,0.0
2024-02-13,632.21,649.02,630.0,639.7,2130.0,11,0.0
2024-02-14,649.85,661.18,646.57,653.57,1969.0,10,0.0
2024-02-15,654.59,660.99,650.0,652.34,1749.0,16,0.0
2024-02-16,668.0,675.57,656.81,661.15,1712.0,14,0.0
2024-02-20,657.09,659.09,643.44,649.88,2459.0,18,0.0
2024-02-21,645.23,650.89,638.55,649.32,1131.0,21,0.0
2024-02-22,671.48,687.23,670.0,682.45,1358.0,6,0.0
2024-02-23,684.82,686.86,667.54,669.81,2374.0,14,0.0
2024-02-26,676.13,686.41,670.27,682.65,1366.0,17,0.0
2024-02-27,681.87,683.82,675.0,675.97,1149.0,11,0.0
2024-02-28,668.67,675.21,668.67,672.82,1305.0,13,0.0
2024-02-29,676.03,683.6,673.24,681.89,981.0,23,0.0
2024-03-01,690.88,718.79,686.0,716.68,1721.0,12,0.0
2024-03-04,720.0,726.78,715.68,716.29,1435.0,10,0.0
2024-03-05,711.84,714.72,697.68,705.66,1702.0,4,0.0
2024-03-06,712.51,720.8,704.14,714.94,1217.0,19,0.0
2024-03-07,722.62,729.16,720.58,721.51,1533.0,12,0.0
2024-03-08,718.01,723.74,698.72,698.72,1553.0,14,0.0
2024-03-11,680.0,686.43,675.0,685.33,1450.0,14,0.0
2024-03-12,692.68,698.34,681.52,698.01,1750.0,8,0.0
2024-03-13,690.23,694.2,681.34,688.69,2123.0,16,0.0
2024-03-14,693.27,700.62,687.11,692.13,1185.0,28,0.0
2024-03-15,684.73,691.84,677.0,683.67,1738.0,22,0.0
2024-03-18,697.18,703.99,688.24,689.6,1141.0,12,0.0
2024-03-19,675.99,683.99,668.6,681.55,1086.0,29,0.0
2024-03-20,675.26,697.86,672.63,693.52,1661.0,11,0.0
2024-03-21,713.0,727.15,710.04,713.47,912.0,22,0.0
2024-03-22,708.64,718.27,703.14,709.93,1084.0,20,0.0
2024-03-25,698.5,708.09,695.0,699.56,1150.0,19,0.0
2024-03-26,703.53,707.24,687.08,688.68,1284.0,19,0.0
2024-03-27,690.52,697.5,680.55,695.1,2270.0,22,0.0
2024-03-28,694.4,698.83,689.5,698.8,2278.0,18,0.0
2024-04-01,699.61,717.55,699.61,708.26,1532.0,23,0.0
2024-04-02,689.0,696.71,686.0,693.83,2524.0,5,0.0
2024-04-03,687.64,706.93,686.81,695.82,1484.0,22,0.0
2024-04-04,697.75,705.45,668.71,670.78,1428.0,9,0.0
2024-04-05,673.93,688.29,673.93,682.41,1690.0,16,0.0
2024-04-08,686.82,692.11,678.66,690.64,922.0,16,0.0
2024-04-09,697.55,698.12,681.0,695.62,1328.0,16,0.0
2024-04-10,683.15,694.44,682.36,687.47,1319.0,21,0.0
2024-04-11,688.03,701.37,687.55,699.88,1129.0,22,0.0
2024-04-12,685.68,687.8,676.91,680.65,1280.0,30,0.0
2024-04-15,687.0,698.1,672.08,675.96,1026.0,22,0.0
2024-04-16,676.4,696.03,676.4,693.8,3133.0,13,0.0
2024-04-17,681.05,683.31,656.75,659.8,1567.0,23,0.0
2024-04-18,653.45,657.54,640.17,642.11,1606.0,25,0.0
2024-04-19,641.68,647.3,622.22,628.23,1114.0,22,0.0
2024-04-22,628.54,637.93,624.68,631.08,1280.0,17,0.0
2024-04-23,634.68,652.95,634.18,646.66,881.0,10,0.0
2024-04-24,659.84,666.07,646.43,656.47,1169.0,23,0.0
2024-04-25,645.1,677.03,645.1,673.4,1796.0,17,0.0
2024-04-26,672.97,709.31,672.97,705.38,1170.0,9,0.0
2024-04-29,707.23,715.8,698.57,713.01,1433.0,21,0.0
2024-04-30,710.01,716.89,687.82,689.0,912.0,10,0.0
2024-05-01,678.96,689.84,661.56,665.2,1052.0,23,0.0
2024-05-02,674.0,682.51,661.56,679.75,727.0,17,0.0
2024-05-03,692.04,703.5,684.48,695.38,1488.0,18,0.0
2024-05-06,697.15,718.37,696.59,717.3,1101.0,16,0.0
2024-05-07,715.08,723.12,711.15,714.26,858.0,17,0.0
2024-05-08,705.76,717.09,705.0,715.23,1123.0,17,0.0
2024-05-09,717.15,717.15,708.6,709.99,926.0,15,0.0
2024-05-10,722.28,727.19,712.0,718.8,814.0,29,0.0
2024-05-13,716.9,716.9,710.0,713.26,1121.0,16,0.0
2024-05-14,706.28,730.61,704.86,728.69,839.0,8,0.0
2024-05-15,735.0,759.67,734.11,758.97,914.0,19,0.0
2024-05-16,755.23,762.81,747.05,749.94,1124.0,12,0.0
2024-05-17,752.44,755.69,737.17,746.98,768.0,10,0.0
2024-05-20,751.62,777.5,751.62,771.3,1145.0,29,0.0
2024-05-21,756.5,768.87,756.33,765.97,1028.0,27,0.0
2024-05-22,769.02,772.52,761.08,769.84,2291.0,15,0.0
2024-05-23,783.79,786.14,760.0,764.51,1754.0,28,0.0
2024-05-24,769.0,782.69,769.0,777.87,999.0,9,0.0
2024-05-28,781.58,791.57,775.0,781.41,1353.0,14,0.0
2024-05-29,768.23,779.43,768.23,770.92,1230.0,21,0.0
2024-05-30,767.0,775.69,765.0,770.53,1509.0,25,0.0
2024-05-31,766.5,775.02,735.0,757.9,1191.0,28,0.0
2024-06-03,766.7,769.51,735.48,752.07,1436.0,11,0.0
2024-06-04,748.87,752.49,740.0,748.14,1391.0,30,0.0
2024-06-05,765.18,786.31,760.0,784.64,926.0,18,0.0
2024-06-06,783.34,784.53,772.52,777.98,1446.0,14,0.0
2024-06-07,781.03,781.5,763.08,767.82,1170.0,13,0.0
2024-06-10,763.13,795.39,760.88,790.04,1423.0,14,0.0
2024-06-11,791.9,797.87,780.56,797.47,1042.0,31,0.0
2024-06-12,805.07,830.7,805.07,824.94,1417.0,27,0.0
2024-06-13,819.0,832.55,816.17,829.7,1391.0,11,0.0
2024-06-14,813.0,826.04,813.0,822.86,1096.0,15,0.0
2024-06-17,826.25,851.06,820.0,846.93,1826.0,13,0.0
2024-06-18,846.09,876.26,846.09,862.08,1853.0,16,0.0
2024-06-20,856.5,860.0,825.25,825.25,1594.0,32,0.0
2024-06-21,822.0,826.55,812.95,816.22,2655.0,7,0.0
2024-06-24,808.0,815.22,793.16,793.16,1534.0,11,0.0
2024-06-25,792.99,819.61,790.0,816.22,1668.0,23,0.0
2024-06-26,813.69,824.73,799.0,812.45,1643.0,27,0.0
2024-06-27,816.0,825.9,806.15,812.75,1112.0,22,0.0
2024-06-28,819.04,840.65,817.12,821.63,963.0,36,0.0
2024-07-01,824.09,828.3,807.12,825.34,1201.0,34,0.0
2024-07-02,817.59,839.05,817.33,838.58,2471.0,16,0.0
2024-07-03,837.11,858.68,833.33,851.09,1460.0,31,0.0
2024-07-05,855.45,858.49,842.22,855.22,732.0,44,0.0
2024-07-08,857.12,868.15,854.0,865.5,1557.0,25,0.0
2024-07-09,870.43,878.31,862.49,875.37,943.0,27,0.0
2024-07-10,875.0,894.17,870.0,889.75,1074.0,18,0.0
2024-07-11,888.23,888.23,850.56,850.56,1854.0,24,0.0
2024-07-12,852.0,878.03,844.0,855.65,930.0,31,0.0
2024-07-15,860.51,875.71,851.79,854.51,1046.0,37,0.0
2024-07-16,855.0,868.31,850.15,866.36,988.0,20,0.0
2024-07-17,815.0,822.98,777.43,777.43,1607.0,26,0.0
2024-07-18,788.24,795.91,768.0,785.58,961.0,45,0.0
2024-07-19,775.86,793.51,760.0,762.74,1517.0,27,0.0
2024-07-22,778.91,811.29,773.3,808.65,1799.0,23,0.0
2024-07-23,796.24,812.01,796.0,807.5,1426.0,34,0.0
2024-07-24,795.0,795.0,750.0,753.07,1609.0,20,0.0
2024-07-25,758.78,790.0,747.88,763.14,1678.0,34,0.0
2024-07-26,777.0,797.76,770.0,786.47,1333.0,30,0.0
2024-07-29,790.0,808.01,776.21,776.29,1113.0,19,0.0
2024-07-30,785.92,796.79,754.28,760.04,1127.0,37,0.0
2024-07-31,796.66,826.27,788.29,819.58,1323.0,44,0.0
2024-08-01,815.0,819.8,745.1,755.61,1547.0,40,0.0
2024-08-02,701.18,719.66,687.59,693.27,1198.0,34,0.0
2024-08-05,652.63,718.69,648.0,702.22,1175.0,43,0.0
2024-08-06,705.22,737.25,700.27,713.03,1036.0,48,0.0
2024-08-07,747.91,747.91,694.0,697.67,968.0,60,0.0
2024-08-08,722.0,752.65,703.7,748.73,912.0,36,0.0
2024-08-09,749.96,754.14,731.1,746.31,882.0,48,0.0
2024-08-12,745.01,766.87,741.38,756.04,614.0,41,0.0
2024-08-13,768.01,795.11,758.53,791.9,964.0,27,0.0
2024-08-14,806.1,811.7,782.7,794.18,835.0,30,0.0
2024-08-15,804.1,839.37,804.06,833.57,1098.0,22,0.0
2024-08-16,818.0,824.78,808.0,817.15,944.0,14,0.0
2024-08-19,811.24,821.15,797.12,819.04,772.0,22,0.0
2024-08-20,809.62,822.25,802.09,812.12,908.0,19,0.0
2024-08-21,814.01,831.41,812.0,823.3,669.0,48,0.0
2024-08-22,829.09,829.18,793.24,794.75,1175.0,26,0.0
2024-08-23,811.02,823.14,798.52,814.42,754.0,36,0.0
2024-08-26,806.81,812.0,792.0,797.84,853.0,39,0.0
2024-08-27,792.17,813.2,782.0,809.47,592.0,29,0.0
2024-08-28,810.35,818.48,795.0,804.72,888.0,65,0.0
2024-08-29,810.0,824.47,790.94,795.47,1054.0,32,0.0
2024-08-30,802.0,818.56,796.79,813.45,831.0,49,0.0
2024-09-03,796.86,796.86,737.0,740.0,1410.0,11,0.0
2024-09-04,723.0,748.3,723.0,746.23,1131.0,21,0.0
2024-09-05,724.64,742.91,722.0,726.37,876.0,39,0.0
2024-09-06,721.02,724.1,696.1,702.06,939.0,39,0.0
2024-09-09,712.5,716.14,696.5,706.32,1159.0,26,0.0
2024-09-10,708.49,716.1,696.0,711.01,796.0,28,0.0
2024-09-11,714.13,750.03,702.07,750.03,881.0,20,0.0
2024-09-12,727.32,742.78,727.32,732.63,1076.0,33,0.0
2024-09-13,741.68,754.29,738.73,752.27,1867.0,18,0.0
2024-09-16,732.5,742.0,725.0,736.92,1495.0,23,0.0
2024-09-17,747.34,749.01,730.83,737.48,1111.0,34,0.0
2024-09-18,743.73,751.4,726.5,727.42,1237.0,41,0.0
2024-09-19,757.25,781.42,754.6,772.44,2805.0,27,0.0
2024-09-20,764.48,764.48,749.11,757.6,1369.0,28,0.0
2024-09-23,769.08,769.08,757.0,760.62,945.0,36,0.0
2024-09-24,772.15,774.09,752.0,767.19,1105.0,32,0.0
2024-09-25,765.0,781.61,765.0,771.04,1021.0,34,0.0
2024-09-26,813.68,813.68,780.02,804.56,1377.0,28,0.0
2024-09-27,801.7,803.86,777.59,781.41,1358.0,41,0.0
2024-09-30,775.28,781.6,760.08,774.36,1163.0,32,0.0
2024-10-01,774.94,779.64,745.59,753.14,1838.0,31,0.0
2024-10-02,756.77,787.0,750.93,776.37,1656.0,40,0.0
2024-10-03,764.0,782.62,764.0,773.0,1280.0,28,0.0
2024-10-04,788.66,795.45,777.21,784.62,1244.0,42,0.0
2024-10-07,780.27,785.99,771.2,780.27,1318.0,9,0.0
2024-10-08,778.28,793.21,772.0,783.57,799.0,37,0.0
2024-10-09,777.17,806.07,776.76,803.15,1584.0,21,0.0
2024-10-10,790.59,798.61,785.0,797.42,999.0,30,0.0
2024-10-11,791.69,805.81,790.23,801.82,636.0,19,0.0
2024-10-14,812.97,831.95,810.0,828.42,1117.0,32,0.0
2024-10-15,827.84,830.9,698.8,707.53,2658.0,1,0.0
2024-10-16,708.46,709.07,682.11,682.11,1644.0,4,0.0
2024-10-17,693.0,693.15,669.33,669.41,1846.0,14,0.0
2024-10-18,667.5,681.34,667.5,677.87,1567.0,20,0.0
2024-10-21,675.1,678.76,667.01,671.51,1024.0,23,0.0
2024-10-22,668.2,672.54,663.63,669.37,894.0,26,0.0
2024-10-23,663.11,671.92,654.32,662.72,1086.0,13,0.0
2024-10-24,679.76,680.76,665.0,665.84,1604.0,13,0.0
2024-10-25,670.42,682.52,670.0,672.73,1609.0,13,0.0
2024-10-28,671.56,678.49,670.68,673.1,1271.0,7,0.0
2024-10-29,675.01,699.87,674.0,695.56,1251.0,18,0.0
2024-10-30,681.58,694.98,680.02,692.37,1647.0,15,0.0
2024-10-31,665.0,673.54,655.68,665.44,2305.0,22,0.0
2024-11-01,665.0,678.39,662.67,668.0,1578.0,21,0.0
2024-11-04,665.63,669.99,661.23,661.33,1003.0,22,0.0
2024-11-05,668.0,680.99,666.05,666.82,733.0,23,0.0
2024-11-06,673.15,676.15,657.93,667.66,975.0,16,0.0
2024-11-07,679.99,687.1,675.0,683.9,840.0,15,0.0
2024-11-08,688.98,693.0,680.05,685.48,875.0,23,0.0
2024-11-11,681.01,681.01,656.71,665.1,1314.0,12,0.0
2024-11-12,660.71,668.66,654.78,664.3,1174.0,22,0.0
2024-11-13,650.56,655.23,638.19,642.85,1255.0,23,0.0
2024-11-14,652.0,654.08,642.62,644.55,1137.0,35,0.0
2024-11-15,615.12,629.2,612.1,614.68,1577.0,14,0.0
2024-11-18,611.87,622.3,610.34,619.26,946.0,21,0.0
2024-11-19,616.58,617.95,609.0,615.59,927.0,12,0.0
2024-11-20,614.34,618.82,609.4,615.08,784.0,16,0.0
2024-11-21,626.99,637.24,618.0,633.43,1103.0,24,0.0
2024-11-22,628.95,642.61,628.95,638.38,822.0,18,0.0
2024-11-25,642.7,644.21,631.59,641.34,970.0,25,0.0
2024-11-26,644.23,645.36,623.96,629.86,1020.0,11,0.0
2024-11-27,625.0,633.3,620.77,631.43,1347.0,15,0.0
2024-11-29,648.07,660.7,643.6,645.37,1030.0,5,0.0
2024-12-02,648.72,668.51,646.17,666.62,2093.0,23,0.0
2024-12-03,657.49,666.72,656.11,665.18,1760.0,11,0.0
2024-12-04,666.01,668.68,654.92,665.92,2344.0,24,0.0
2024-12-05,661.24,661.31,641.09,643.49,2850.0,13,0.0
2024-12-06,641.35,649.64,638.0,647.41,2584.0,22,0.0
2024-12-09,647.67,666.0,644.52,651.25,1310.0,25,0.0
2024-12-10,652.41,653.06,638.0,640.9,2265.0,23,0.0
2024-12-11,643.12,656.82,641.9,648.4,1057.0,24,0.0
2024-12-12,640.0,649.05,636.5,646.11,797.0,39,0.0
2024-12-13,649.22,662.5,648.46,652.41,762.0,17,0.0
2024-12-16,648.29,664.03,645.0,654.41,858.0,20,0.0
2024-12-17,660.98,667.59,650.5,654.02,1185.0,27,0.0
2024-12-18,657.6,668.7,625.0,628.95,916.0,34,0.0
2024-12-19,625.0,634.64,620.0,622.27,993.0,21,0.0
2024-12-20,612.0,640.45,612.0,627.31,772.0,32,0.0
2024-12-23,633.75,648.34,630.14,644.23,834.0,24,0.0
2024-12-24,641.96,651.47,639.08,646.29,364.0,27,0.0
2024-12-26,646.53,653.17,642.73,649.34,910.0,36,0.0
2024-12-27,644.12,646.93,636.56,643.97,605.0,32,0.0
2024-12-30,630.39,636.83,626.0,632.44,730.0,32,0.0
2024-12-31,631.6,637.27,626.0,629.6,687.0,32,0.0
2025-01-07,696.39,705.03,681.75,686.64,850.0,35,0.0
2025-01-08,685.51,691.2,677.26,684.28,774.0,17,0.0
2025-01-10,676.05,692.6,670.13,683.44,923.0,34,0.0
2025-01-13,669.31,691.0,662.79,690.79,912.0,17,0.0
2025-01-14,691.0,700.4,685.5,699.13,896.0,35,0.0
2025-01-15,717.16,726.36,709.97,715.09,969.0,17,0.0
2025-01-16,741.64,777.14,729.5,747.19,1000.0,20,0.0
2025-01-17,756.96,761.24,746.82,757.5,1025.0,26,0.0
2025-01-21,756.19,777.53,749.0,766.5,900.0,23,0.0
2025-01-22,774.02,785.79,770.51,770.67,932.0,6,0.0
2025-01-23,746.86,760.85,740.86,759.84,896.0,23,0.0
2025-01-24,755.0,758.87,742.3,748.99,789.0,30,0.0
2025-01-27,719.88,720.07,685.3,702.51,1982.0,15,0.0
2025-01-28,696.0,708.53,687.41,702.68,1058.0,21,0.0
2025-01-29,710.08,717.0,707.04,711.08,619.0,32,0.0
2025-01-30,726.59,745.47,720.34,741.83,1467.0,17,0.0
2025-01-31,764.5,769.51,734.07,737.9,916.0,39,0.0
2025-02-03,728.25,752.42,725.95,738.88,893.0,25,0.0
2025-02-04,736.68,754.86,736.68,748.91,725.0,11,0.0
2025-02-05,741.01,761.4,740.02,758.43,713.0,28,0.0
2025-02-06,750.64,762.68,750.0,761.28,583.0,25,0.0
2025-02-07,761.93,765.5,742.52,747.4,747.0,34,0.0
2025-02-10,757.4,760.2,743.39,749.28,578.0,22,0.0
2025-02-11,751.1,760.65,747.63,756.79,733.0,27,0.0
2025-02-12,737.02,753.89,737.02,750.2,720.0,29,0.0
2025-02-13,751.19,764.51,747.55,764.34,585.0,18,0.0
2025-02-14,750.0,768.18,738.38,749.5,677.0,39,0.0
2025-02-18,754.98,759.03,738.0,756.38,872.0,25,0.0
2025-02-19,755.82,776.1,755.82,771.91,774.0,14,0.0
2025-02-20,780.0,792.75,770.0,777.53,750.0,33,0.0
2025-02-21,777.5,779.06,750.05,752.59,680.0,26,0.0
2025-02-24,756.76,762.06,735.28,735.28,776.0,31,0.0
2025-02-25,732.6,735.23,720.05,724.78,1122.0,25,0.0
2025-02-26,731.2,749.2,730.06,735.69,776.0,15,0.0
2025-02-27,736.35,742.11,698.3,698.3,1011.0,41,0.0
2025-02-28,697.2,712.21,691.36,706.69,984.0,32,0.0
2025-03-03,714.81,726.99,685.2,691.15,1405.0,21,0.0
2025-03-04,685.5,715.09,678.0,695.0,911.0,42,0.0
2025-03-05,697.06,716.13,688.36,715.51,825.0,37,0.0
2025-03-06,695.48,710.4,683.36,691.85,882.0,34,0.0
2025-03-07,689.14,713.58,680.02,708.87,892.0,36,0.0
2025-03-10,689.67,694.87,670.0,678.0,944.0,52,0.0
2025-03-11,677.0,678.79,653.3,664.91,855.0,30,0.0
2025-03-12,672.27,685.75,668.99,677.68,758.0,28,0.0
2025-03-13,675.0,692.02,667.29,680.17,673.0,30,0.0
2025-03-14,692.08,712.88,692.08,712.77,792.0,16,0.0
2025-03-17,706.8,723.43,705.79,716.18,821.0,30,0.0
2025-03-18,709.0,711.78,698.0,709.1,974.0,27,0.0
2025-03-19,707.03,729.23,700.81,718.64,662.0,31,0.0
2025-03-20,709.36,718.92,706.74,714.21,541.0,67,0.0
2025-03-21,699.06,708.86,690.5,704.22,730.0,26,0.0
2025-03-24,718.54,734.8,718.0,726.44,484.0,30,0.0
2025-03-25,721.0,725.21,718.11,719.45,506.0,30,0.0
2025-03-26,716.53,719.79,698.0,703.34,596.0,30,0.0
2025-03-27,695.7,706.2,691.0,699.65,484.0,39,0.0
2025-03-28,683.0,693.59,666.87,674.27,803.0,28,0.0
2025-03-31,661.71,680.5,654.0,680.2,741.0,44,0.0
2025-04-01,673.99,682.1,661.71,679.44,721.0,30,0.0
2025-04-02,667.31,695.25,666.5,684.79,693.0,30,0.0
2025-04-03,650.78,654.29,620.23,620.23,1260.0,31,0.0
2025-04-04,591.2,592.13,559.76,573.65,1594.0,35,0.0
2025-04-07,559.66,625.72,550.01,597.07,1739.0,37,0.0
2025-04-08,625.76,643.69,586.0,598.16,1316.0,30,0.0
2025-04-09,603.73,717.11,596.56,702.7,1518.0,57,0.0
2025-04-10,660.03,680.06,628.26,651.54,1457.0,5,0.0
2025-04-11,640.76,675.81,632.59,667.92,1145.0,1,0.0
2025-04-14,679.5,683.03,654.99,669.55,853.0,41,0.0
2025-04-15,674.08,680.32,660.27,674.0,560.0,42,0.0
2025-04-16,639.53,656.52,617.72,643.15,1403.0,33,0.0
2025-04-17,642.19,643.19,631.16,632.88,936.0,45,0.0
2025-04-21,619.26,626.09,607.24,618.94,864.0,28,0.0
2025-04-22,625.0,638.33,625.0,635.49,771.0,37,0.0
2025-04-23,660.29,671.37,650.21,657.3,944.0,41,0.0
2025-04-24,664.95,690.47,661.85,684.93,768.0,20,0.0
2025-04-25,690.0,698.87,681.62,693.86,752.0,29,0.0
2025-04-28,688.39,696.03,677.37,691.88,840.0,25,0.0
2025-04-29,682.25,695.02,682.25,685.22,828.0,29,0.0
2025-04-30,676.44,704.3,671.33,703.88,1084.0,22,0.0
2025-05-01,682.2,689.91,674.0,674.0,800.0,32,0.0
2025-05-02,694.26,707.27,693.44,694.79,840.0,30,0.0
2025-05-05,690.0,700.94,689.35,692.62,674.0,17,0.0
2025-05-06,681.16,687.51,676.53,679.44,674.0,16,0.0
2025-05-07,679.5,695.41,675.1,691.34,830.0,23,0.0
2025-05-08,702.82,710.0,691.71,701.7,1037.0,23,0.0
2025-05-09,701.83,710.0,696.0,700.44,781.0,30,0.0
2025-05-12,748.35,762.25,740.03,759.29,1192.0,30,0.0
2025-05-13,759.55,797.23,759.55,793.43,1062.0,22,0.0
2025-05-14,792.59,804.5,790.0,802.69,1403.0,17,0.0
2025-05-15,799.73,810.03,795.0,803.81,1196.0,27,0.0
2025-05-16,796.5,798.62,783.5,790.35,996.0,19,0.0
2025-05-19,775.02,789.26,775.02,784.99,985.0,21,0.0
2025-05-20,777.0,788.91,776.97,788.28,1100.0,23,0.0
2025-05-21,780.38,799.13,775.0,779.43,1030.0,37,0.0
2025-05-22,769.41,780.93,764.74,765.63,1150.0,16,0.0
2025-05-23,745.0,760.93,745.0,755.6,1490.0,20,0.0
2025-05-27,770.07,791.75,768.53,787.13,1680.0,18,0.0
2025-05-28,784.51,795.85,773.08,775.7,1053.0,26,0.0
2025-05-29,788.02,791.23,768.04,772.34,1279.0,29,0.0
2025-05-30,766.69,766.69,740.1,754.63,1594.0,18,0.0
2025-06-02,752.02,764.64,751.03,761.71,1210.0,15,0.0
2025-06-03,755.4,779.26,754.0,774.27,1438.0,22,0.0
2025-06-04,780.58,784.88,768.82,781.4,1228.0,22,0.0
2025-06-05,785.6,796.0,776.5,787.6,1570.0,26,0.0
2025-06-06,798.12,813.01,794.85,806.6,1797.0,15,0.0
2025-06-09,813.48,834.47,812.01,829.69,2267.0,20,0.0
2025-06-10,829.61,856.57,829.0,853.94,2610.0,21,0.0
2025-06-11,859.15,873.02,856.32,871.62,2475.0,22,0.0
2025-06-12,870.58,878.24,866.82,873.96,1583.0,25,0.0
2025-06-13,863.81,875.8,857.06,866.36,1844.0,28,0.0
2025-06-16,880.0,892.35,873.52,891.23,1873.0,21,0.0
2025-06-17,887.16,914.17,886.0,892.74,1411.0,21,0.0
2025-06-18,893.06,895.53,866.33,869.71,1579.0,23,0.0
2025-06-20,872.9,873.5,834.0,847.46,1327.0,16,0.0
2025-06-23,848.04,858.5,840.1,856.11,1343.0,32,0.0
2025-06-24,870.6,889.75,869.7,888.69,1111.0,18,0.0
2025-06-25,898.0,900.77,886.62,891.51,701.0,38,0.0
2025-06-26,895.28,906.79,890.12,902.92,1023.0,21,0.0
2025-06-27,899.99,905.52,884.5,884.86,1028.0,19,0.0
2025-06-30,888.0,897.46,882.98,894.29,1183.0,20,0.0
2025-07-01,884.9,904.8,881.26,899.44,1648.0,14,0.0
2025-07-02,887.51,921.63,885.03,920.01,1594.0,19,0.0
2025-07-03,920.5,927.83,915.45,923.64,508.0,7,0.0
2025-07-07,915.51,920.94,905.1,910.55,1399.0,20,0.0
2025-07-08,912.23,926.78,908.0,917.36,1460.0,16,0.0
2025-07-09,917.25,930.85,915.03,922.81,1298.0,22,0.0
2025-07-10,920.0,931.75,916.68,926.9,1100.0,13,0.0
2025-07-11,919.66,929.78,919.66,922.63,772.0,25,0.0
2025-07-14,910.35,926.4,905.04,921.7,965.0,20,0.0
2025-07-15,933.01,941.95,928.33,935.91,996.0,26,0.0
2025-07-16,903.08,935.63,894.04,932.41,1148.0,12,0.0
2025-07-17,909.11,942.3,909.11,934.88,890.0,16,0.0
2025-07-18,935.71,940.99,924.0,931.27,786.0,27,0.0
2025-07-21,925.92,944.62,925.92,938.43,617.0,29,0.0
2025-07-22,935.0,935.0,887.44,887.44,1116.0,19,0.0
2025-07-23,890.76,895.58,876.16,892.92,993.0,15,0.0
2025-07-24,897.13,911.26,891.99,903.88,917.0,14,0.0
2025-07-25,892.71,904.48,888.0,900.56,715.0,18,0.0
2025-07-28,916.9,930.88,913.0,921.58,942.0,26,0.0
2025-07-29,926.71,936.32,915.0,915.0,811.0,34,0.0
2025-07-30,917.58,926.57,910.0,924.12,727.0,23,0.0
2025-07-31,864.8,896.41,857.47,876.26,1270.0,26,0.0
2025-08-01,864.2,893.58,855.67,884.38,1123.0,31,0.0
2025-08-04,890.0,917.2,890.0,914.62,905.0,33,0.0
2025-08-05,918.0,918.0,877.0,882.81,990.0,29,0.0
2025-08-06,878.77,888.59,869.0,887.82,804.0,9,0.0
2025-08-07,917.7,917.7,901.98,908.38,908.0,22,0.0
2025-08-08,910.66,916.45,906.21,911.86,664.0,27,0.0
2025-08-11,924.8,932.45,906.63,906.63,660.0,50,0.0
2025-08-12,907.0,938.96,907.0,933.22,928.0,22,0.0
2025-08-13,936.72,951.61,936.23,949.01,640.0,34,0.0
2025-08-14,935.0,958.27,931.72,955.21,792.0,23,0.0
2025-08-15,910.0,912.02,872.67,872.67,1161.0,19,0.0
2025-08-18,872.94,883.69,871.01,883.55,907.0,18,0.0
2025-08-19,880.47,888.74,874.0,874.0,1030.0,24,0.0
2025-08-20,873.5,879.6,860.0,876.47,883.0,28,0.0
2025-08-21,872.0,880.65,865.13,869.01,826.0,28,0.0
2025-08-22,867.82,893.83,867.0,869.96,999.0,25,0.0
2025-08-25,866.74,885.32,864.46,880.6,615.0,18,0.0
2025-08-26,881.96,891.34,878.95,886.79,635.0,18,0.0
2025-08-27,880.1,889.95,879.0,887.41,670.0,23,0.0
2025-08-28,892.45,895.71,884.23,892.04,789.0,29,0.0
